date,quantity
2024-04-12,21
2024-04-13,25
2024-04-14,24
2024-04-15,28
2024-04-16,22
2024-04-17,31
2024-04-18,24
2024-04-19,19
2024-04-20,21
2024-04-21,18
2024-04-22,32
2024-04-23,29
2024-04-24,23
2024-04-25,14
2024-04-26,66
2024-04-27,7
2024-04-28,0
2024-04-29,10
2024-04-30,25
2024-05-01,24
2024-05-02,36
2024-05-03,32
2024-05-04,28
2024-05-05,21
2024-05-06,15
2024-05-07,26
2024-05-08,30
2024-05-09,32
2024-05-10,24
2024-05-11,28
2024-05-12,32
2024-05-13,31
2024-05-14,31
2024-05-15,29
2024-05-16,46
2024-05-17,35
2024-05-18,23
2024-05-19,28
2024-05-20,43
2024-05-21,39
2024-05-22,24
2024-05-23,31
2024-05-24,44
2024-05-25,45
2024-05-26,26
2024-05-27,43
2024-05-28,40
2024-05-29,45
2024-05-30,35
2024-05-31,53
2024-06-01,36
2024-06-02,39
2024-06-03,32
2024-06-04,24
2024-06-05,41
2024-06-06,43
2024-06-07,38
2024-06-08,26
2024-06-09,26
2024-06-10,22
2024-06-11,37
2024-06-12,23
2024-06-13,25
2024-06-14,66
2024-06-15,33
2024-06-16,29
2024-06-17,31
2024-06-18,21
2024-06-19,30
2024-06-20,20
2024-06-21,34
2024-06-22,32
2024-06-23,40
2024-06-24,34
2024-06-25,53
2024-06-26,48
2024-06-27,56
2024-06-28,39
2024-06-29,42
2024-06-30,38
2024-07-01,31
2024-07-02,42
2024-07-03,36
2024-07-04,39
2024-07-05,46
2024-07-06,22
2024-07-07,38
2024-07-08,22
2024-07-09,61
2024-07-10,51
2024-07-11,44
2024-07-12,38
2024-07-13,54
2024-07-14,51
2024-07-15,38
2024-07-16,41
2024-07-17,53
2024-07-18,31
2024-07-19,40
2024-07-20,36
2024-07-21,56
2024-07-22,50
2024-07-23,35
2024-07-24,39
2024-07-25,65
2024-07-26,65
2024-07-27,38
2024-07-28,29
2024-07-29,50
2024-07-30,51
2024-07-31,46
2024-08-01,22
2024-08-02,81
2024-08-03,44
2024-08-04,21
2024-08-05,27
2024-08-06,46
2024-08-07,19
2024-08-08,60
2024-08-09,66
2024-08-10,41
2024-08-11,37
2024-08-12,41
2024-08-13,41
2024-08-14,65
2024-08-15,0
2024-08-16,64
2024-08-17,53
2024-08-18,47
2024-08-19,62
2024-08-20,59
2024-08-21,58
2024-08-22,66
2024-08-23,70
2024-08-24,56
2024-08-25,36
2024-08-26,85
2024-08-27,85
2024-08-28,59
2024-08-29,24
2024-08-30,38
2024-08-31,30
2024-09-01,61
2024-09-02,74
2024-09-03,40
2024-09-04,65
2024-09-05,68
2024-09-06,64
2024-09-07,57
2024-09-08,41
2024-09-09,55
2024-09-10,57
2024-09-11,49
2024-09-12,64
2024-09-13,90
2024-09-14,21
2024-09-15,0
2024-09-16,38
2024-09-17,43
2024-09-18,57
2024-09-19,55
2024-09-20,50
2024-09-21,55
2024-09-22,33
2024-09-23,57
2024-09-24,52
2024-09-25,46
2024-09-26,67
