Date,demand
2011-01-29,18
2011-01-30,38
2011-01-31,14
2011-02-01,22
2011-02-02,31
2011-02-03,35
2011-02-04,22
2011-02-05,49
2011-02-06,40
2011-02-07,32
2011-02-08,27
2011-02-09,29
2011-02-10,23
2011-02-11,40
2011-02-12,54
2011-02-13,43
2011-02-14,21
2011-02-15,17
2011-02-16,27
2011-02-17,22
2011-02-18,20
2011-02-19,26
2011-02-20,29
2011-02-21,41
2011-02-22,19
2011-02-23,21
2011-02-24,24
2011-02-25,23
2011-02-26,35
2011-02-27,37
2011-02-28,15
2011-03-01,29
2011-03-02,24
2011-03-03,26
2011-03-04,27
2011-03-05,28
2011-03-06,46
2011-03-07,19
2011-03-08,32
2011-03-09,33
2011-03-10,26
2011-03-11,29
2011-03-12,37
2011-03-13,34
2011-03-14,44
2011-03-15,23
2011-03-16,19
2011-03-17,19
2011-03-18,19
2011-03-19,22
2011-03-20,30
2011-03-21,17
2011-03-22,25
2011-03-23,18
2011-03-24,16
2011-03-25,25
2011-03-26,38
2011-03-27,33
2011-03-28,23
2011-03-29,23
2011-03-30,27
2011-03-31,25
2011-04-01,40
2011-04-02,45
2011-04-03,36
2011-04-04,33
2011-04-05,24
2011-04-06,20
2011-04-07,24
2011-04-08,35
2011-04-09,36
2011-04-10,33
2011-04-11,28
2011-04-12,26
2011-04-13,28
2011-04-14,24
2011-04-15,30
2011-04-16,30
2011-04-17,44
2011-04-18,25
2011-04-19,33
2011-04-20,24
2011-04-21,29
2011-04-22,28
2011-04-23,29
2011-04-24,20
2011-04-25,28
2011-04-26,19
2011-04-27,26
2011-04-28,24
2011-04-29,18
2011-04-30,40
2011-05-01,42
2011-05-02,30
2011-05-03,37
2011-05-04,29
2011-05-05,33
2011-05-06,21
2011-05-07,31
2011-05-08,26
2011-05-09,25
2011-05-10,24
2011-05-11,17
2011-05-12,28
2011-05-13,28
2011-05-14,30
2011-05-15,29
2011-05-16,20
2011-05-17,24
2011-05-18,16
2011-05-19,20
2011-05-20,32
2011-05-21,32
2011-05-22,24
