Date,demand
2011-01-29,65
2011-01-30,79
2011-01-31,51
2011-02-01,42
2011-02-02,32
2011-02-03,50
2011-02-04,56
2011-02-05,79
2011-02-06,75
2011-02-07,32
2011-02-08,48
2011-02-09,34
2011-02-10,40
2011-02-11,54
2011-02-12,92
2011-02-13,93
2011-02-14,49
2011-02-15,25
2011-02-16,45
2011-02-17,52
2011-02-18,85
2011-02-19,87
2011-02-20,75
2011-02-21,74
2011-02-22,55
2011-02-23,47
2011-02-24,83
2011-02-25,55
2011-02-26,80
2011-02-27,96
2011-02-28,54
2011-03-01,58
2011-03-02,57
2011-03-03,47
2011-03-04,66
2011-03-05,93
2011-03-06,99
2011-03-07,42
2011-03-08,65
2011-03-09,70
2011-03-10,62
2011-03-11,63
2011-03-12,86
2011-03-13,64
2011-03-14,51
2011-03-15,80
2011-03-16,83
2011-03-17,63
2011-03-18,67
2011-03-19,80
2011-03-20,74
2011-03-21,37
2011-03-22,47
2011-03-23,42
2011-03-24,40
2011-03-25,39
2011-03-26,93
2011-03-27,83
2011-03-28,50
2011-03-29,39
2011-03-30,48
2011-03-31,67
2011-04-01,80
2011-04-02,93
2011-04-03,74
2011-04-04,50
2011-04-05,57
2011-04-06,43
2011-04-07,61
2011-04-08,65
2011-04-09,88
2011-04-10,74
2011-04-11,68
2011-04-12,63
2011-04-13,43
2011-04-14,53
2011-04-15,81
2011-04-16,96
2011-04-17,85
2011-04-18,57
2011-04-19,72
2011-04-20,65
2011-04-21,51
2011-04-22,94
2011-04-23,104
2011-04-24,79
2011-04-25,49
2011-04-26,42
2011-04-27,64
2011-04-28,74
2011-04-29,55
2011-04-30,64
2011-05-01,93
2011-05-02,44
2011-05-03,59
2011-05-04,46
2011-05-05,56
2011-05-06,65
2011-05-07,91
2011-05-08,84
2011-05-09,63
2011-05-10,69
2011-05-11,59
2011-05-12,56
2011-05-13,81
2011-05-14,54
2011-05-15,78
2011-05-16,44
2011-05-17,55
2011-05-18,35
2011-05-19,40
2011-05-20,60
2011-05-21,79
2011-05-22,83
2011-05-23,56
2011-05-24,47
2011-05-25,64
2011-05-26,75
2011-05-27,80
2011-05-28,107
2011-05-29,81
2011-05-30,64
2011-05-31,47
2011-06-01,75
2011-06-02,78
2011-06-03,95
2011-06-04,24
2011-06-05,80
2011-06-06,55
2011-06-07,61
2011-06-08,72
2011-06-09,64
2011-06-10,72
2011-06-11,88
2011-06-12,88
2011-06-13,71
2011-06-14,60
2011-06-15,66
2011-06-16,64
2011-06-17,86
2011-06-18,45
2011-06-19,19
2011-06-20,34
2011-06-21,62
2011-06-22,43
2011-06-23,46
2011-06-24,77
2011-06-25,76
2011-06-26,79
2011-06-27,60
2011-06-28,58
2011-06-29,58
2011-06-30,63
2011-07-01,70
2011-07-02,106
2011-07-03,85
2011-07-04,74
2011-07-05,66
2011-07-06,38
2011-07-07,76
2011-07-08,70
2011-07-09,11
2011-07-10,77
2011-07-11,72
2011-07-12,47
2011-07-13,74
2011-07-14,78
2011-07-15,73
2011-07-16,29
2011-07-17,86
2011-07-18,60
2011-07-19,40
2011-07-20,61
2011-07-21,83
2011-07-22,64
2011-07-23,70
2011-07-24,87
2011-07-25,55
2011-07-26,45
2011-07-27,42
2011-07-28,44
2011-07-29,61
2011-07-30,66
2011-07-31,86
2011-08-01,61
2011-08-02,76
2011-08-03,78
2011-08-04,89
2011-08-05,83
2011-08-06,91
2011-08-07,118
2011-08-08,76
2011-08-09,62
2011-08-10,60
2011-08-11,79
2011-08-12,86
2011-08-13,92
2011-08-14,106
2011-08-15,86
2011-08-16,84
2011-08-17,55
2011-08-18,90
2011-08-19,69
2011-08-20,127
2011-08-21,128
2011-08-22,86
2011-08-23,78
2011-08-24,63
2011-08-25,68
2011-08-26,57
2011-08-27,97
2011-08-28,109
2011-08-29,82
2011-08-30,48
2011-08-31,45
2011-09-01,64
2011-09-02,70
2011-09-03,65
2011-09-04,61
2011-09-05,70
2011-09-06,45
2011-09-07,66
2011-09-08,48
2011-09-09,68
2011-09-10,73
2011-09-11,89
2011-09-12,70
2011-09-13,59
2011-09-14,46
2011-09-15,58
2011-09-16,61
2011-09-17,66
2011-09-18,65
2011-09-19,51
2011-09-20,49
2011-09-21,53
2011-09-22,47
2011-09-23,69
2011-09-24,68
2011-09-25,85
2011-09-26,58
2011-09-27,51
2011-09-28,45
2011-09-29,48
2011-09-30,73
2011-10-01,73
2011-10-02,59
2011-10-03,51
2011-10-04,48
2011-10-05,36
2011-10-06,53
2011-10-07,31
2011-10-08,52
2011-10-09,44
2011-10-10,39
2011-10-11,53
2011-10-12,56
2011-10-13,49
2011-10-14,35
2011-10-15,68
2011-10-16,86
2011-10-17,68
2011-10-18,42
