Date,demand
2011-01-29,23
2011-01-30,16
2011-01-31,19
2011-02-01,21
2011-02-02,4
2011-02-03,6
2011-02-04,15
2011-02-05,23
2011-02-06,23
2011-02-07,16
2011-02-08,16
2011-02-09,17
2011-02-10,16
2011-02-11,18
2011-02-12,37
2011-02-13,14
2011-02-14,14
2011-02-15,18
2011-02-16,20
2011-02-17,20
2011-02-18,27
2011-02-19,24
2011-02-20,22
2011-02-21,21
2011-02-22,19
2011-02-23,17
2011-02-24,15
2011-02-25,20
2011-02-26,12
2011-02-27,12
2011-02-28,12
2011-03-01,22
2011-03-02,14
2011-03-03,16
2011-03-04,22
2011-03-05,10
2011-03-06,7
2011-03-07,20
2011-03-08,19
2011-03-09,13
2011-03-10,16
2011-03-11,22
2011-03-12,7
2011-03-13,17
2011-03-14,16
2011-03-15,16
2011-03-16,20
2011-03-17,22
2011-03-18,25
2011-03-19,14
2011-03-20,12
2011-03-21,12
2011-03-22,13
2011-03-23,6
2011-03-24,9
2011-03-25,17
2011-03-26,11
2011-03-27,13
2011-03-28,4
2011-03-29,15
2011-03-30,18
2011-03-31,15
2011-04-01,13
2011-04-02,27
2011-04-03,14
2011-04-04,20
2011-04-05,20
2011-04-06,13
2011-04-07,17
2011-04-08,14
2011-04-09,13
2011-04-10,19
2011-04-11,16
2011-04-12,7
2011-04-13,12
2011-04-14,16
2011-04-15,10
2011-04-16,8
2011-04-17,5
2011-04-18,3
2011-04-19,6
2011-04-20,8
2011-04-21,12
2011-04-22,0
2011-04-23,0
2011-04-24,15
2011-04-25,20
2011-04-26,19
2011-04-27,16
2011-04-28,15
2011-04-29,13
2011-04-30,17
2011-05-01,0
2011-05-02,0
2011-05-03,16
2011-05-04,22
2011-05-05,12
2011-05-06,22
2011-05-07,19
2011-05-08,21
2011-05-09,2
2011-05-10,5
2011-05-11,9
2011-05-12,14
2011-05-13,16
2011-05-14,7
2011-05-15,11
2011-05-16,13
2011-05-17,14
2011-05-18,10
2011-05-19,0
2011-05-20,20
2011-05-21,22
2011-05-22,2
2011-05-23,0
2011-05-24,11
2011-05-25,8
2011-05-26,8
2011-05-27,23
