date,quantity
0,155
1,121
2,99
3,105
4,92
5,113
6,110
7,176
8,165
9,95
10,96
11,107
12,119
13,160
14,224
15,226
16,142
17,133
18,126
19,135
20,154
21,204
22,184
23,117
24,139
25,126
26,120
27,156
28,165
29,194
30,119
31,123
32,127
33,149
34,166
35,180
36,179
37,100
38,117
39,136
40,123
41,151
42,180
43,176
44,119
45,116
46,119
47,134
48,121
49,166
50,198
51,142
52,114
53,110
54,112
55,135
56,185
57,195
58,104
59,118
60,104
61,158
62,184
63,195
64,220
65,159
66,124
67,116
68,137
69,155
70,219
71,214
72,127
73,146
74,116
75,145
76,161
77,211
78,210
79,159
80,129
81,138
82,125
83,195
84,215
85,225
86,125
87,105
88,136
89,111
90,161
91,189
92,227
93,141
94,160
95,144
96,164
97,172
98,233
99,205
100,152
101,141
102,120
103,124
104,192
105,190
106,217
107,117
108,130
109,98
110,137
111,161
112,193
113,203
114,131
115,123
116,144
117,139
118,166
119,183
120,178
121,148
122,126
123,149
124,144
125,177
126,207
127,223
128,149
129,150
130,151
131,172
132,166
133,192
134,241
135,160
136,166
137,178
138,174
139,162
140,225
141,220
142,143
143,132
144,112
145,135
146,145
147,180
148,193
149,141
150,128
151,141
152,148
153,218
154,228
155,268
156,179
157,152
158,136
159,154
160,170
161,215
162,224
163,161
164,158
165,133
166,126
167,210
168,208
169,239
170,160
171,128
172,132
173,147
174,160
175,198
176,219
177,192
178,121
179,141
180,131
181,156
182,207
183,220
184,201
185,154
186,173
187,164
188,211
189,231
190,276
191,177
192,196
193,199
194,169
195,221
196,249
197,266
198,195
199,192
200,161
201,183
202,206
203,305
204,315
205,219
206,179
207,151
208,146
209,138
210,227
211,251
212,123
213,148
214,121
215,186
216,168
217,231
218,184
219,192
220,152
221,160
222,135
223,195
224,197
225,260
226,140
227,155
228,144
229,149
230,169
231,205
232,194
233,140
234,143
235,175
236,113
237,147
238,192
239,209
240,135
241,96
242,125
243,110
244,160
245,207
246,235
247,167
248,132
249,138
250,142
251,202
252,224
253,217
254,139
255,175
256,149
257,154
258,160
259,211
260,226
261,130
262,118
263,122
264,126
265,149
266,177
267,176
268,142
269,155
270,146
271,140
272,191
273,212
274,244
275,145
276,128
277,157
278,139
279,190
280,223
281,248
282,186
283,130
284,140
285,168
286,166
287,190
288,224
289,156
290,116
291,145
292,118
293,158
294,178
295,171
296,157
297,153
298,152
299,225
300,347
301,167
302,172
303,125
304,87
305,106
306,147
307,203
308,242
309,221
310,144
311,107
312,118
313,145
314,177
315,234
316,260
317,166
318,145
319,158
320,173
321,199
322,278
323,240
324,187
325,182
326,197
327,214
328,305
329,224
330,6
331,185
332,136
333,138
334,118
335,164
336,152
337,119
338,149
339,127
340,131
341,128
342,140
343,187
344,160
345,102
346,98
347,153
348,114
349,132
350,167
351,167
352,119
353,106
354,110
355,103
356,130
357,174
358,170
359,109
360,86
361,101
362,104
363,147
364,176
365,160
366,106
367,99
368,144
369,166
370,156
371,241
372,194
373,152
374,131
375,165
376,155
377,168
378,229
379,230
380,182
381,182
382,111
383,47
384,8
385,193
386,207
387,139
388,125
389,149
390,126
391,148
392,183
393,209
394,129
395,107
396,102
397,128
398,175
399,201
400,200
401,157
402,136
403,123
404,134
405,143
406,188
407,178
408,143
409,144
410,129
411,139
412,168
413,187
414,190
415,144
416,108
417,102
418,143
419,158
420,235
421,204
422,118
423,137
424,111
425,122
426,166
427,222
428,240
429,162
430,159
431,187
432,156
433,223
434,293
435,291
436,152
437,133
438,150
439,144
440,169
441,224
442,232
443,124
444,162
445,144
446,153
447,173
448,228
449,210
450,129
451,147
452,134
453,159
454,145
455,185
456,230
457,119
458,137
459,133
460,157
461,171
462,225
463,257
464,178
465,125
466,155
467,170
468,174
469,253
470,202
471,177
472,134
473,160
474,151
475,179
476,245
477,251
478,154
479,137
480,132
481,171
482,190
483,214
484,196
485,196
486,144
487,157
488,145
489,213
490,240
491,278
492,165
493,129
494,146
495,173
496,167
497,215
498,263
499,148
500,168
501,137
502,157
503,212
504,213
505,220
506,147
507,145
508,132
509,142
510,174
511,194
512,238
513,142
514,156
515,124
516,118
517,167
518,189
519,212
520,147
521,176
522,169
523,171
524,182
525,205
526,191
527,156
528,140
529,147
530,161
531,156
532,228
533,215
534,146
535,130
536,126
537,146
538,153
539,230
540,181
541,125
542,132
543,133
544,126
545,163
546,195
547,187
548,152
549,136
550,170
551,174
552,172
553,226
554,244
555,174
556,198
557,146
558,193
559,209
560,270
561,286
562,166
563,148
564,194
565,186
566,194
567,250
568,273
569,155
570,177
571,133
572,154
573,154
574,220
575,289
576,170
577,168
578,144
579,109
580,158
581,252
582,244
583,233
584,173
585,166
586,149
587,158
588,214
589,236
590,134
591,139
592,153
593,170
594,191
595,243
596,195
597,146
598,146
599,154
600,146
601,171
602,208
603,201
604,148
605,139
606,135
607,117
608,157
609,172
610,220
611,164
612,160
613,170
614,172
615,182
616,231
617,240
618,147
619,157
620,128
621,141
622,191
623,254
624,226
625,165
626,137
627,148
628,171
629,166
630,235
631,198
632,162
633,143
634,109
635,109
636,171
637,190
638,176
639,102
640,153
641,128
642,152
643,156
644,230
645,226
646,154
647,118
648,138
649,133
650,168
651,229
652,240
653,135
654,130
655,141
656,132
657,160
658,229
659,229
660,141
661,149
662,165
663,311
664,271
665,204
666,194
667,129
668,115
669,93
670,132
671,148
672,235
673,225
674,176
675,139
676,138
677,164
678,217
679,239
680,246
681,160
682,133
683,156
684,166
685,244
686,250
687,277
688,152
689,164
690,193
691,166
692,205
693,291
694,305
695,198
696,1
697,161
698,137
699,151
700,173
701,148
702,164
703,115
704,121
705,136
706,126
707,203
708,175
709,116
710,112
711,96
712,123
713,140
714,184
715,158
716,98
717,98
718,125
719,137
720,134
721,194
722,144
723,117
724,89
725,98
726,116
727,114
728,155
729,158
730,95
731,95
732,95
733,104
734,165
735,196
736,179
737,110
738,121
739,117
740,121
741,151
742,215
743,179
744,158
745,89
746,82
747,78
748,150
749,200
750,187
751,142
752,112
753,105
754,126
755,120
756,164
757,187
758,109
759,111
760,115
761,107
762,161
763,175
764,216
765,136
766,93
767,146
768,128
769,118
770,165
771,168
772,126
773,129
774,76
775,81
776,113
777,121
778,111
779,57
780,55
781,105
782,120
783,114
784,181
785,163
786,112
787,117
788,129
789,110
790,185
791,218
792,194
793,139
794,107
795,114
796,114
797,140
798,181
799,178
800,118
801,117
802,119
803,136
804,120
805,182
806,164
807,121
808,87
809,102
810,122
811,119
812,178
813,183
814,103
815,115
816,98
817,123
818,124
819,152
820,174
821,101
822,128
823,136
824,111
825,141
826,238
827,174
828,114
829,116
830,131
831,124
832,139
833,174
834,220
835,145
836,114
837,129
838,119
839,134
840,181
841,176
842,134
843,109
844,115
845,136
846,121
847,172
848,141
849,121
850,140
851,102
852,113
853,134
854,252
855,161
856,162
857,128
858,133
859,142
860,137
861,179
862,190
863,144
864,139
865,152
866,153
867,168
868,218
869,174
870,120
871,137
872,111
873,131
874,165
875,181
876,190
877,108
878,116
879,140
880,130
881,176
882,223
883,203
884,179
885,146
886,147
887,199
888,175
889,203
890,180
891,130
892,141
893,132
894,147
895,184
896,201
897,225
898,122
899,119
900,138
901,134
902,142
903,187
904,172
905,131
906,101
907,111
908,122
909,164
910,197
911,216
912,137
913,138
914,130
915,161
916,170
917,209
918,243
919,163
920,152
921,151
922,152
923,200
924,201
925,218
926,142
927,148
928,141
929,160
930,156
931,229
932,243
933,169
934,148
935,164
936,159
937,129
938,231
939,254
940,129
941,115
942,116
943,135
944,165
945,209
946,216
947,211
948,119
949,133
950,134
951,139
952,172
953,198
954,125
955,115
956,132
957,120
958,176
959,200
960,189
961,119
962,126
963,105
964,137
965,104
966,126
967,190
968,120
969,115
970,103
971,114
972,114
973,167
974,163
975,108
976,112
977,114
978,129
979,131
980,182
981,203
982,128
983,94
984,90
985,119
986,137
987,176
988,203
989,153
990,117
991,136
992,148
993,144
994,210
995,204
996,121
997,114
998,128
999,113
1000,155
1001,209
1002,171
1003,140
1004,122
1005,163
1006,114
1007,163
1008,174
1009,220
1010,113
1011,137
1012,105
1013,116
1014,142
1015,200
1016,203
1017,146
1018,125
1019,129
1020,96
1021,125
1022,182
1023,207
1024,138
1025,123
1026,112
1027,121
1028,135
1029,166
1030,177
1031,121
1032,110
1033,146
1034,251
1035,246
1036,191
1037,184
1038,114
1039,153
1040,131
1041,113
1042,159
1043,191
1044,182
1045,115
1046,129
1047,158
1048,134
1049,141
1050,187
1051,200
1052,137
1053,121
1054,162
1055,176
1056,185
1057,219
1058,226
1059,201
1060,189
1061,1
1062,152
1063,123
1064,164
1065,161
1066,121
1067,120
1068,114
1069,122
1070,162
1071,168
1072,143
1073,95
1074,121
1075,85
1076,103
