date,quantity
0,90
1,82
2,61
3,52
4,43
5,54
6,50
7,90
8,63
9,56
10,48
11,46
12,54
13,79
14,127
15,124
16,78
17,77
18,50
19,64
20,59
21,86
22,56
23,46
24,69
25,48
26,59
27,91
28,86
29,75
30,74
31,63
32,64
33,70
34,75
35,119
36,123
37,52
38,53
39,62
40,60
41,73
42,94
43,90
44,69
45,60
46,71
47,80
48,72
49,83
50,74
51,71
52,69
53,49
54,55
55,76
56,86
57,85
58,49
59,68
60,37
61,67
62,101
63,123
64,101
65,60
66,64
67,65
68,41
69,85
70,113
71,159
72,72
73,73
74,72
75,79
76,113
77,129
78,133
79,63
80,79
81,112
82,80
83,110
84,159
85,96
86,67
87,65
88,57
89,64
90,89
91,157
92,123
93,91
94,79
95,75
96,101
97,114
98,154
99,138
100,110
101,89
102,63
103,96
104,106
105,105
106,121
107,73
108,71
109,58
110,88
111,94
112,117
113,165
114,98
115,87
116,85
117,75
118,93
119,137
120,99
121,125
122,91
123,112
124,103
125,147
126,190
127,163
128,112
129,85
130,128
131,86
132,120
133,111
134,142
135,100
136,105
137,115
138,109
139,149
140,171
141,162
142,118
143,62
144,46
145,87
146,92
147,165
148,144
149,122
150,78
151,100
152,103
153,210
154,259
155,194
156,134
157,120
158,91
159,108
160,107
161,186
162,153
163,136
164,95
165,110
166,106
167,117
168,149
169,201
170,148
171,113
172,150
173,132
174,129
175,182
176,112
177,86
178,95
179,82
180,72
181,105
182,178
183,137
184,110
185,113
186,114
187,132
188,144
189,189
190,144
191,107
192,104
193,94
194,106
195,131
196,141
197,124
198,108
199,97
200,95
201,103
202,142
203,167
204,138
205,71
206,80
207,81
208,64
209,90
210,127
211,141
212,69
213,59
214,89
215,103
216,139
217,114
218,67
219,62
220,70
221,53
222,59
223,80
224,99
225,91
226,79
227,66
228,70
229,60
230,67
231,87
232,66
233,38
234,57
235,57
236,48
237,63
238,59
239,63
240,35
241,46
242,47
243,29
244,59
245,74
246,84
247,49
248,46
249,48
250,47
251,82
252,82
253,62
254,27
255,38
256,46
257,61
258,62
259,95
260,98
261,51
262,40
263,33
264,40
265,55
266,78
267,68
268,53
269,57
270,56
271,48
272,78
273,114
274,75
275,48
276,64
277,70
278,55
279,63
280,81
281,88
282,57
283,44
284,44
285,37
286,63
287,98
288,78
289,37
290,48
291,40
292,47
293,47
294,80
295,50
296,41
297,55
298,61
299,76
300,105
301,48
302,44
303,44
304,38
305,46
306,47
307,63
308,69
309,61
310,46
311,32
312,37
313,36
314,61
315,79
316,82
317,57
318,49
319,53
320,64
321,81
322,103
323,108
324,57
325,58
326,69
327,61
328,85
329,76
330,0
331,45
332,32
333,33
334,40
335,68
336,55
337,34
338,35
339,45
340,36
341,45
342,55
343,97
344,57
345,35
346,33
347,64
348,41
349,47
350,46
351,63
352,40
353,37
354,35
355,36
356,47
357,70
358,52
359,49
360,32
361,22
362,37
363,39
364,66
365,53
366,37
367,47
368,53
369,51
370,117
371,90
372,94
373,68
374,65
375,57
376,54
377,74
378,80
379,75
380,74
381,54
382,54
383,59
384,66
385,80
386,83
387,41
388,48
389,61
390,75
391,76
392,104
393,79
394,49
395,58
396,60
397,99
398,75
399,77
400,100
401,78
402,59
403,80
404,73
405,63
406,96
407,77
408,62
409,60
410,78
411,66
412,113
413,128
414,139
415,77
416,66
417,65
418,48
419,85
420,94
421,82
422,55
423,58
424,48
425,47
426,97
427,107
428,75
429,52
430,100
431,53
432,93
433,128
434,174
435,104
436,82
437,41
438,73
439,62
440,74
441,98
442,79
443,40
444,63
445,70
446,69
447,72
448,89
449,93
450,38
451,60
452,55
453,53
454,60
455,89
456,84
457,62
458,66
459,82
460,73
461,65
462,113
463,85
464,71
465,66
466,50
467,80
468,104
469,109
470,99
471,99
472,52
473,47
474,57
475,77
476,75
477,121
478,56
479,75
480,70
481,68
482,100
483,119
484,121
485,72
486,64
487,71
488,62
489,88
490,160
491,106
492,80
493,73
494,112
495,87
496,129
497,166
498,124
499,72
500,42
501,57
502,82
503,131
504,137
505,140
506,83
507,76
508,76
509,82
510,99
511,127
512,126
513,97
514,68
515,111
516,103
517,117
518,132
519,103
520,111
521,105
522,47
523,77
524,131
525,96
526,103
527,72
528,65
529,76
530,71
531,87
532,105
533,125
534,97
535,88
536,68
537,60
538,111
539,141
540,97
541,80
542,68
543,76
544,72
545,67
546,130
547,122
548,78
549,83
550,97
551,112
552,136
553,134
554,58
555,101
556,99
557,63
558,80
559,112
560,116
561,117
562,80
563,104
564,112
565,68
566,88
567,116
568,69
569,69
570,80
571,70
572,80
573,103
574,142
575,83
576,75
577,58
578,78
579,99
580,101
581,83
582,123
583,127
584,65
585,64
586,86
587,61
588,83
589,92
590,66
591,49
592,72
593,54
594,63
595,107
596,69
597,61
598,51
599,64
600,55
601,48
602,86
603,85
604,57
605,59
606,48
607,49
608,66
609,74
610,70
611,51
612,83
613,78
614,49
615,82
616,93
617,74
618,59
619,54
620,60
621,50
622,62
623,71
624,70
625,62
626,45
627,53
628,51
629,59
630,61
631,84
632,45
633,54
634,40
635,47
636,60
637,72
638,57
639,47
640,36
641,50
642,65
643,60
644,70
645,76
646,44
647,48
648,41
649,44
650,62
651,70
652,63
653,38
654,44
655,45
656,44
657,41
658,64
659,54
660,47
661,51
662,62
663,81
664,62
665,54
666,40
667,35
668,33
669,41
670,38
671,47
672,103
673,82
674,66
675,46
676,50
677,64
678,75
679,83
680,71
681,26
682,44
683,42
684,57
685,58
686,75
687,67
688,66
689,50
690,66
691,67
692,64
693,82
694,107
695,65
696,0
697,38
698,40
699,57
700,51
701,53
702,31
703,38
704,43
705,41
706,41
707,55
708,53
709,46
710,30
711,32
712,31
713,50
714,56
715,44
716,47
717,33
718,35
719,35
720,53
721,60
722,52
723,35
724,34
725,29
726,40
727,43
728,47
729,44
730,40
731,23
732,28
733,40
734,69
735,70
736,46
737,40
738,48
739,46
740,55
741,65
742,88
743,84
744,65
745,61
746,89
747,74
748,91
749,107
750,117
751,57
752,49
753,45
754,58
755,63
756,90
757,67
758,69
759,56
760,55
761,64
762,96
763,104
764,103
765,82
766,72
767,69
768,75
769,70
770,109
771,85
772,68
773,76
774,66
775,72
776,81
777,100
778,65
779,76
780,65
781,101
782,61
783,83
784,98
785,93
786,70
787,64
788,67
789,63
790,84
791,137
792,95
793,86
794,57
795,65
796,61
797,74
798,101
799,90
800,68
801,80
802,57
803,61
804,83
805,94
806,96
807,89
808,83
809,45
810,63
811,65
812,83
813,69
814,77
815,63
816,63
817,55
818,71
819,88
820,107
821,67
822,77
823,109
824,65
825,73
826,118
827,86
828,98
829,84
830,99
831,77
832,70
833,110
834,68
835,95
836,81
837,107
838,64
839,93
840,133
841,111
842,122
843,101
844,76
845,78
846,104
847,140
848,101
849,86
850,66
851,72
852,102
853,108
854,136
855,107
856,84
857,104
858,106
859,99
860,96
861,105
862,97
863,80
864,102
865,83
866,100
867,127
868,156
869,168
870,82
871,85
872,75
873,92
874,107
875,115
876,174
877,89
878,71
879,86
880,110
881,77
882,138
883,141
884,121
885,78
886,108
887,107
888,108
889,109
890,85
891,81
892,76
893,92
894,72
895,116
896,118
897,110
898,96
899,94
900,74
901,70
902,130
903,89
904,109
905,105
906,71
907,55
908,62
909,71
910,93
911,63
912,56
913,59
914,67
915,106
916,119
917,108
918,74
919,70
920,114
921,101
922,62
923,105
924,76
925,69
926,42
927,71
928,73
929,69
930,99
931,100
932,127
933,71
934,80
935,92
936,79
937,112
938,145
939,109
940,67
941,109
942,89
943,88
944,113
945,133
946,127
947,80
948,75
949,79
950,75
951,86
952,75
953,102
954,79
955,90
956,93
957,89
958,89
959,118
960,90
961,60
962,57
963,53
964,36
965,38
966,78
967,76
968,50
969,62
970,71
971,59
972,68
973,103
974,59
975,62
976,91
977,65
978,76
979,67
980,127
981,65
982,63
983,70
984,79
985,69
986,105
987,85
988,79
989,51
990,57
991,42
992,58
993,46
994,76
995,88
996,54
997,40
998,54
999,66
1000,72
1001,111
1002,87
1003,69
1004,53
1005,41
1006,56
1007,79
1008,88
1009,70
1010,59
1011,45
1012,40
1013,56
1014,66
1015,71
1016,68
1017,62
1018,64
1019,36
1020,60
1021,78
1022,104
1023,68
1024,56
1025,37
1026,45
1027,52
1028,48
1029,48
1030,81
1031,35
1032,52
1033,60
1034,81
1035,44
1036,53
1037,38
1038,57
1039,67
1040,58
1041,49
1042,50
1043,59
1044,44
1045,38
1046,49
1047,47
1048,42
1049,58
1050,75
1051,79
1052,56
1053,58
1054,64
1055,74
1056,78
1057,113
1058,61
1059,59
1060,69
1061,0
1062,46
1063,39
1064,70
1065,47
1066,36
1067,51
1068,32
1069,47
1070,55
1071,70
1072,52
1073,36
1074,28
1075,42
1076,58
1077,52
1078,73
1079,50
1080,51
1081,54
1082,38
1083,48
1084,57
1085,81
1086,55
1087,54
1088,45
1089,37
1090,26
1091,35
1092,52
1093,44
1094,36
1095,21
1096,30
1097,33
1098,74
1099,44
1100,37
1101,52
1102,44
1103,50
1104,31
1105,43
1106,81
1107,93
1108,46
1109,62
1110,40
1111,51
1112,58
1113,100
1114,102
1115,80
1116,63
1117,67
1118,66
1119,69
1120,101
1121,111
1122,54
1123,54
1124,54
1125,63
1126,82
1127,125
1128,82
1129,56
1130,42
1131,61
1132,76
1133,80
1134,91
1135,75
1136,76
1137,70
1138,52
1139,83
1140,84
1141,70
1142,72
1143,62
1144,59
1145,77
1146,97
1147,82
1148,95
1149,72
1150,53
1151,43
1152,47
1153,62
1154,75
1155,82
1156,99
1157,58
1158,60
1159,54
1160,65
1161,77
1162,88
1163,70
1164,56
1165,57
1166,72
1167,62
1168,80
1169,95
1170,75
1171,51
1172,66
1173,63
1174,81
1175,98
1176,124
1177,98
1178,59
1179,51
1180,84
1181,65
1182,99
1183,75
1184,92
1185,73
1186,63
1187,62
1188,73
1189,79
1190,113
1191,80
1192,76
1193,62
1194,72
1195,63
1196,82
1197,117
1198,107
1199,78
1200,53
1201,72
1202,73
1203,74
1204,90
1205,113
1206,77
1207,62
1208,85
1209,79
1210,88
1211,123
1212,81
1213,68
1214,48
1215,53
1216,68
1217,86
1218,61
1219,106
1220,88
1221,91
1222,65
1223,96
1224,140
1225,135
1226,110
1227,80
1228,81
1229,85
1230,105
1231,91
1232,102
1233,117
1234,77
1235,73
1236,56
1237,98
1238,120
1239,103
1240,85
1241,67
1242,57
1243,53
1244,59
1245,83
1246,98
1247,109
1248,81
1249,111
1250,90
1251,117
1252,108
1253,127
1254,122
1255,103
1256,104
1257,83
1258,82
1259,93
1260,144
1261,164
1262,118
1263,70
1264,49
1265,92
1266,76
1267,143
1268,128
1269,110
1270,101
1271,83
1272,104
1273,107
1274,116
1275,111
1276,101
1277,71
1278,73
1279,86
1280,122
1281,111
1282,131
1283,104
1284,74
1285,88
1286,91
1287,134
1288,115
1289,143
1290,97
1291,81
1292,99
1293,108
1294,143
1295,178
1296,190
1297,93
1298,83
1299,73
1300,129
1301,163
1302,163
1303,185
1304,90
1305,41
1306,68
1307,80
1308,93
1309,97
1310,112
1311,104
1312,92
1313,81
1314,66
1315,72
1316,108
1317,90
1318,80
1319,60
1320,71
1321,75
1322,59
1323,92
1324,66
1325,71
1326,61
1327,34
1328,47
1329,66
1330,98
1331,109
1332,54
1333,67
1334,49
1335,54
1336,76
1337,81
1338,79
1339,57
1340,54
1341,73
1342,84
1343,63
1344,93
1345,83
1346,57
1347,60
1348,50
1349,91
1350,78
1351,103
1352,60
1353,49
1354,59
1355,63
1356,78
1357,66
1358,87
1359,100
1360,61
1361,48
1362,57
1363,61
1364,73
1365,105
1366,76
1367,62
1368,32
1369,68
1370,56
1371,69
1372,106
1373,96
1374,59
1375,50
1376,57
1377,44
1378,82
1379,96
1380,96
1381,53
1382,34
1383,67
1384,33
1385,58
1386,91
1387,58
1388,45
1389,33
1390,39
1391,49
1392,45
1393,66
1394,84
1395,53
1396,67
1397,60
1398,73
1399,51
1400,69
1401,55
1402,60
1403,57
1404,49
1405,44
1406,78
1407,76
1408,89
1409,52
1410,55
1411,49
1412,65
1413,60
1414,75
1415,71
1416,70
1417,51
1418,46
1419,65
1420,51
1421,76
1422,78
1423,67
1424,78
1425,56
1426,0
1427,73
1428,59
1429,46
1430,41
1431,42
1432,64
1433,55
1434,65
1435,60
1436,44
1437,55
1438,62
1439,37
1440,38
1441,41
1442,62
1443,52
1444,40
1445,44
1446,42
1447,45
1448,48
1449,77
1450,68
1451,56
1452,46
1453,40
1454,34
1455,33
1456,60
1457,57
1458,41
1459,42
1460,49
1461,42
1462,71
1463,82
1464,50
1465,48
1466,52
1467,56
1468,43
1469,56
1470,53
1471,68
1472,48
1473,60
1474,58
1475,65
1476,67
1477,73
1478,75
1479,52
1480,51
1481,45
1482,57
1483,56
1484,96
1485,72
1486,34
1487,34
1488,45
1489,38
1490,54
1491,60
1492,65
1493,57
1494,44
1495,51
1496,45
1497,54
1498,55
1499,56
1500,36
1501,51
1502,58
1503,82
1504,53
1505,71
1506,105
1507,78
1508,61
1509,62
1510,53
1511,66
1512,48
1513,68
1514,62
1515,38
1516,83
1517,51
1518,63
1519,59
1520,80
1521,49
1522,71
1523,57
1524,59
1525,87
1526,52
1527,59
1528,44
1529,53
1530,46
1531,53
1532,53
1533,73
1534,57
1535,80
1536,56
1537,52
1538,40
1539,44
1540,46
1541,66
1542,40
1543,45
1544,37
1545,59
1546,52
1547,63
1548,59
1549,39
1550,38
1551,44
1552,66
1553,66
1554,59
1555,96
1556,65
1557,64
1558,57
1559,82
1560,73
1561,116
1562,59
1563,56
1564,56
1565,56
1566,56
1567,61
1568,110
1569,93
1570,65
1571,64
1572,60
1573,54
1574,47
1575,95
1576,57
1577,76
1578,49
1579,56
1580,65
1581,94
1582,63
1583,74
1584,77
1585,73
1586,48
1587,73
1588,81
1589,99
1590,83
1591,84
1592,72
1593,85
1594,63
1595,58
1596,57
1597,73
1598,85
1599,42
1600,39
1601,66
1602,72
1603,97
1604,60
1605,43
1606,34
1607,38
1608,62
1609,39
1610,80
1611,66
1612,56
1613,30
1614,39
1615,63
1616,76
1617,69
1618,54
1619,64
1620,52
1621,50
1622,86
1623,80
1624,86
1625,108
1626,93
1627,67
1628,71
1629,87
1630,114
1631,86
1632,106
1633,73
1634,66
1635,62
1636,76
1637,83
1638,73
1639,113
1640,71
1641,71
1642,89
1643,71
1644,94
1645,102
1646,119
1647,76
1648,87
1649,59
1650,82
1651,54
1652,84
1653,78
1654,79
1655,89
1656,72
1657,85
1658,86
1659,94
1660,110
1661,101
1662,81
1663,40
1664,61
1665,110
1666,94
1667,122
1668,91
1669,64
1670,83
1671,80
1672,97
1673,100
1674,73
1675,74
1676,75
1677,55
1678,67
1679,80
1680,104
1681,86
1682,78
1683,21
1684,66
1685,51
1686,58
1687,97
1688,80
1689,59
1690,77
1691,75
1692,51
1693,80
1694,99
1695,105
1696,64
1697,81
1698,52
1699,58
1700,76
1701,95
1702,59
1703,61
1704,38
1705,48
1706,68
1707,75
1708,77
1709,64
1710,45
1711,45
1712,47
1713,59
1714,72
1715,89
1716,91
1717,57
1718,65
1719,55
1720,62
1721,49
1722,68
1723,75
1724,59
1725,56
1726,63
1727,63
1728,61
1729,71
1730,61
1731,44
1732,60
1733,65
1734,61
1735,73
1736,70
1737,58
1738,48
1739,41
1740,55
1741,51
1742,61
1743,59
1744,69
1745,53
1746,30
1747,50
1748,44
1749,47
1750,90
1751,76
1752,38
1753,36
1754,37
1755,52
1756,65
1757,46
1758,60
1759,44
1760,54
1761,79
1762,76
1763,86
1764,66
1765,43
1766,41
1767,48
1768,54
1769,53
1770,49
1771,69
1772,61
1773,52
1774,43
1775,47
1776,35
1777,48
1778,71
1779,53
1780,56
1781,35
1782,42
1783,55
1784,74
1785,70
1786,47
1787,36
1788,57
1789,80
1790,64
1791,1
1792,47
1793,39
1794,41
1795,48
1796,45
1797,43
1798,45
1799,52
1800,42
1801,58
1802,36
1803,27
1804,37
1805,39
1806,56
1807,36
1808,36
1809,42
1810,45
1811,26
1812,46
1813,48
1814,48
1815,31
1816,32
1817,33
1818,46
1819,42
1820,70
1821,40
1822,39
1823,25
1824,38
1825,42
1826,66
1827,72
1828,55
1829,39
1830,37
1831,48
1832,45
1833,37
1834,50
1835,56
1836,39
1837,58
1838,64
1839,72
1840,75
1841,54
1842,86
1843,64
1844,56
1845,51
1846,64
1847,78
1848,96
1849,48
1850,51
1851,50
1852,63
1853,74
1854,60
1855,61
1856,93
1857,64
1858,63
1859,57
1860,91
1861,89
1862,77
1863,64
1864,83
1865,61
1866,67
1867,78
1868,84
1869,104
1870,81
1871,76
1872,59
1873,61
1874,63
1875,84
1876,73
