date,quantity
0,41
1,44
2,22
3,46
4,45
5,57
6,36
7,82
8,67
9,49
10,33
11,46
12,55
13,61
14,78
15,80
16,30
17,33
18,38
19,24
20,32
21,57
22,46
23,42
24,39
25,34
26,37
27,34
28,47
29,54
30,39
31,39
32,30
33,47
34,44
35,66
36,47
37,32
38,41
39,46
40,37
41,56
42,58
43,50
44,58
45,38
46,44
47,41
48,21
49,38
50,47
51,30
52,31
53,29
54,28
55,34
56,48
57,40
58,35
59,28
60,47
61,57
62,80
63,53
64,76
65,57
66,38
67,32
68,25
69,43
70,52
71,57
72,29
73,33
74,31
75,45
76,43
77,55
78,47
79,34
80,27
81,40
82,39
83,49
84,55
85,53
86,43
87,28
88,39
89,27
90,31
91,63
92,64
93,59
94,53
95,64
96,58
97,42
98,60
99,31
100,43
101,27
102,30
103,32
104,39
105,46
106,52
107,40
108,29
109,28
110,44
111,40
112,48
113,55
114,42
115,41
116,27
117,41
118,39
119,57
120,40
121,34
122,30
123,36
124,41
125,31
126,47
127,44
128,43
129,61
130,54
131,49
132,49
133,51
134,66
135,47
136,59
137,63
138,56
139,65
140,88
141,74
142,99
143,74
144,54
145,53
146,51
147,42
148,67
149,37
150,21
151,33
152,50
153,86
154,88
155,86
156,65
157,90
158,73
159,72
160,70
161,80
162,53
163,58
164,39
165,35
166,41
167,53
168,53
169,53
170,43
171,33
172,56
173,56
174,54
175,74
176,60
177,38
178,41
179,58
180,34
181,44
182,36
183,33
184,44
185,49
186,74
187,48
188,69
189,66
190,64
191,46
192,61
193,56
194,38
195,61
196,94
197,87
198,59
199,58
200,42
201,57
202,40
203,68
204,82
205,59
206,60
207,45
208,36
209,55
210,66
211,75
212,55
213,37
214,48
215,53
216,78
217,77
218,67
219,63
220,77
221,62
222,39
223,62
224,82
225,84
226,40
227,52
228,41
229,29
230,63
231,53
232,79
233,63
234,76
235,69
236,54
237,68
238,55
239,69
240,57
241,38
242,52
243,46
244,50
245,82
246,60
247,40
248,35
249,34
250,33
251,50
252,74
253,70
254,34
255,39
256,55
257,58
258,57
259,74
260,72
261,46
262,51
263,37
264,32
265,49
266,86
267,80
268,44
269,25
270,43
271,41
272,57
273,98
274,77
275,33
276,39
277,40
278,44
279,55
280,67
281,68
282,44
283,37
284,52
285,48
286,44
287,56
288,57
289,38
290,51
291,36
292,27
293,35
294,61
295,55
296,48
297,46
298,49
299,96
300,93
301,36
302,49
303,35
304,43
305,36
306,62
307,64
308,71
309,53
310,40
311,36
312,42
313,48
314,46
315,74
316,64
317,27
318,33
319,28
320,46
321,43
322,66
323,66
324,53
325,44
326,53
327,59
328,60
329,58
330,0
331,52
332,48
333,37
334,41
335,43
336,44
337,41
338,41
339,38
340,51
341,36
342,43
343,57
344,52
345,44
346,37
347,35
348,34
349,30
350,44
351,33
352,30
353,26
354,28
355,26
356,37
357,47
358,40
359,28
360,25
361,29
362,37
363,39
364,38
365,52
366,32
367,35
368,36
369,35
370,50
371,53
372,48
373,51
374,27
375,40
376,53
377,57
378,66
379,56
380,32
381,27
382,50
383,45
384,41
385,53
386,41
387,47
388,31
389,39
390,36
391,42
392,46
393,41
394,30
395,38
396,23
397,42
398,67
399,66
400,51
401,35
402,36
403,32
404,55
405,47
406,68
407,53
408,36
409,23
410,27
411,31
412,49
413,56
414,53
415,33
416,44
417,50
418,44
419,44
420,49
421,66
422,20
423,29
424,42
425,34
426,60
427,60
428,71
429,55
430,60
431,48
432,47
433,50
434,78
435,82
436,43
437,27
438,28
439,32
440,38
441,60
442,48
443,45
444,46
445,36
446,46
447,75
448,110
449,77
450,36
451,48
452,30
453,28
454,61
455,70
456,78
457,30
458,53
459,48
460,42
461,62
462,56
463,65
464,73
465,79
466,36
467,60
468,69
469,68
470,60
471,49
472,57
473,53
474,39
475,62
476,74
477,67
478,38
479,38
480,32
481,53
482,43
483,46
484,41
485,47
486,30
487,42
488,75
489,79
490,78
491,75
492,41
493,41
494,41
495,61
496,50
497,63
498,92
499,109
500,58
501,37
502,57
503,66
504,148
505,105
506,61
507,41
508,60
509,45
510,40
511,45
512,47
513,52
514,46
515,41
516,35
517,48
518,66
519,62
520,60
521,58
522,78
523,52
524,60
525,96
526,76
527,33
528,64
529,76
530,38
531,41
532,59
533,69
534,35
535,25
536,42
537,42
