date,quantity
0,179
1,173
2,119
3,107
4,81
5,134
6,137
7,200
8,192
9,123
10,135
11,89
12,108
13,149
14,217
15,197
16,109
17,108
18,126
19,146
20,189
21,193
22,160
23,134
24,134
25,112
26,137
27,141
28,193
29,200
30,96
31,148
32,128
33,132
34,167
35,208
36,196
37,112
38,137
39,165
40,153
41,165
42,211
43,174
44,129
45,167
46,167
47,170
48,176
49,203
50,182
51,111
52,117
53,116
54,110
55,107
56,206
57,170
58,113
59,108
60,116
61,135
62,181
63,226
64,170
65,128
66,133
67,122
68,120
69,145
70,193
71,161
72,142
73,149
74,129
75,133
76,177
77,197
78,203
79,133
80,128
81,149
82,127
83,224
84,232
85,178
86,113
87,91
88,131
89,151
90,141
91,187
92,170
93,118
94,115
95,108
96,121
97,211
98,210
99,168
100,127
101,151
102,139
103,162
104,175
105,162
106,182
107,110
108,129
109,99
110,126
111,169
112,196
113,207
114,136
115,116
116,135
117,164
118,178
119,222
120,174
121,162
122,122
123,167
124,153
125,225
126,163
127,221
128,155
129,178
130,153
131,157
132,155
133,209
134,195
135,142
136,147
137,169
138,154
139,210
140,190
141,128
142,89
143,140
144,107
145,122
146,201
147,190
148,160
149,146
150,132
151,143
152,173
153,216
154,287
155,225
156,170
157,166
158,91
159,147
160,167
161,159
162,217
163,159
164,143
165,159
166,179
167,186
168,157
169,233
170,177
171,128
172,156
173,181
174,183
175,224
176,189
177,142
178,127
179,104
180,121
181,176
182,235
183,237
184,176
185,170
186,199
187,190
188,208
189,256
190,259
191,176
192,202
193,162
194,192
195,201
196,260
197,259
198,235
199,211
200,162
201,217
202,231
203,320
204,280
205,204
206,178
207,167
208,164
209,191
210,278
211,310
212,200
213,129
214,169
215,205
216,235
217,245
218,167
219,204
220,155
221,158
222,139
223,229
224,249
225,230
226,150
227,151
228,161
229,203
230,193
231,219
232,183
233,147
234,154
235,142
236,139
237,170
238,234
239,225
240,140
241,133
242,136
243,140
244,186
245,239
246,208
247,188
248,148
249,150
250,141
251,158
252,214
253,152
254,155
255,154
256,190
257,172
258,179
259,256
260,246
261,181
262,161
263,147
264,150
265,180
266,228
267,190
268,155
269,144
270,137
271,147
272,177
273,198
274,163
275,125
276,140
277,130
278,130
279,181
280,227
281,193
282,101
283,140
284,127
285,165
286,165
287,211
288,242
289,143
290,140
291,134
292,129
293,192
294,204
295,215
296,133
297,131
298,199
299,240
300,310
301,154
302,171
303,111
304,107
305,116
306,168
307,182
308,205
309,186
310,143
311,134
312,119
313,155
314,184
315,196
316,244
317,163
318,142
319,172
320,172
321,175
322,222
323,202
324,164
325,159
326,157
327,201
328,287
329,216
330,0
331,179
332,149
333,126
334,122
335,178
336,179
337,140
338,147
339,128
340,120
341,119
342,127
343,177
344,161
345,93
346,104
347,118
348,109
349,134
350,161
351,176
352,125
353,100
354,100
355,122
356,146
357,173
358,160
359,100
360,102
361,88
362,110
363,134
364,189
365,149
366,116
367,127
368,154
369,146
370,148
371,209
372,199
373,140
374,119
375,146
376,164
377,129
378,253
379,219
380,198
381,160
382,130
383,62
384,40
385,216
386,211
387,134
388,109
389,82
390,112
391,94
392,195
393,201
394,137
395,117
396,109
397,183
398,175
399,242
400,199
401,164
402,173
403,129
404,155
405,104
406,166
407,161
408,179
409,154
410,172
411,140
412,217
413,211
414,189
415,152
416,126
417,121
418,122
419,153
420,193
421,203
422,138
423,109
424,104
425,85
426,147
427,179
428,153
429,152
430,133
431,104
432,143
433,203
434,246
435,174
436,120
437,122
438,135
439,158
440,181
441,192
442,204
443,100
444,120
445,116
446,88
447,98
448,179
449,171
450,107
451,93
452,103
453,104
454,135
455,169
456,164
457,103
458,129
459,168
460,168
461,147
462,158
463,204
464,159
465,113
466,153
467,129
468,162
469,240
470,211
471,130
472,137
473,104
474,144
475,172
476,188
477,163
478,127
479,111
480,120
481,143
482,165
483,200
484,163
485,186
486,110
487,123
488,101
489,162
490,191
491,174
492,128
493,134
494,150
495,154
496,184
497,252
498,208
499,173
500,140
501,146
502,159
503,208
504,211
505,179
506,137
507,124
508,141
509,131
510,155
511,219
512,182
513,144
514,169
515,134
516,102
517,169
518,177
519,156
520,155
521,161
522,168
523,145
524,208
525,181
526,139
527,129
528,107
529,123
530,128
531,140
532,154
533,208
534,157
535,144
536,120
537,127
538,215
539,222
540,187
541,128
542,130
543,144
544,137
545,170
546,219
547,197
548,143
549,133
550,159
551,180
552,204
553,242
554,163
555,147
556,167
557,122
558,181
559,214
560,199
561,203
562,172
563,190
564,199
565,173
566,224
567,231
568,214
569,80
570,119
571,122
572,121
573,156
574,243
575,248
576,143
577,136
578,159
579,122
580,206
581,219
582,187
583,170
584,124
585,118
586,137
587,144
588,205
589,158
590,123
591,108
592,136
593,107
594,135
595,185
596,166
597,131
598,119
599,105
600,99
601,125
602,183
603,182
604,125
605,118
606,124
607,95
608,119
609,162
610,145
611,129
612,134
613,145
614,130
615,148
616,204
617,154
618,140
619,123
620,125
621,160
622,148
