date,quantity
0,90
1,53
2,54
3,59
4,41
5,55
6,87
7,91
8,79
9,55
10,16
11,58
12,61
13,64
14,65
15,77
16,58
17,61
18,45
19,69
20,72
21,72
22,57
23,50
24,52
25,63
26,59
27,48
28,63
29,72
30,44
31,60
32,47
33,44
34,54
35,59
36,54
37,49
38,52
39,38
40,25
41,48
42,53
43,57
44,66
45,40
46,53
47,52
48,39
49,50
50,46
51,48
52,30
53,30
54,52
55,41
56,64
57,50
58,31
59,41
60,49
61,34
62,74
63,80
64,40
65,54
66,57
67,44
68,54
69,41
70,50
71,72
72,36
73,60
74,49
75,51
76,48
77,55
78,56
79,39
80,39
81,30
82,62
83,56
84,55
85,39
86,28
87,50
88,25
89,46
90,50
91,38
92,53
93,17
94,54
95,57
96,34
97,33
98,55
99,55
100,45
101,43
102,38
103,35
104,45
105,49
106,34
107,24
108,34
109,33
110,30
111,47
112,53
113,50
114,30
115,31
116,29
117,42
118,39
119,27
120,27
121,45
122,32
123,32
124,42
125,58
126,59
127,71
128,53
129,50
130,55
131,91
132,46
133,56
134,45
135,46
136,46
137,37
138,47
139,51
140,50
141,38
142,45
143,41
144,42
145,38
146,56
147,38
148,43
149,48
150,30
151,31
152,50
153,70
154,79
155,34
156,34
157,23
158,27
159,51
160,45
161,60
162,49
163,46
164,45
165,38
166,46
167,58
168,77
169,45
170,48
171,36
172,47
173,63
174,57
175,63
176,54
177,59
178,44
179,47
180,44
181,53
182,55
183,55
184,66
185,61
186,58
187,49
188,58
189,56
190,46
191,46
192,71
193,73
194,46
195,50
196,64
197,69
198,67
199,57
200,53
201,49
202,65
203,64
204,54
205,55
206,47
207,55
208,50
209,43
210,55
211,65
212,54
213,59
214,60
215,60
216,69
217,52
218,58
219,70
220,42
221,54
222,61
223,48
224,45
225,66
226,72
227,37
228,36
229,36
230,39
231,42
232,44
233,44
234,50
235,40
236,35
237,33
238,40
239,20
240,36
241,31
242,18
243,27
244,45
245,68
246,52
247,37
248,43
249,36
250,44
251,48
252,51
253,62
254,50
255,31
256,40
257,38
258,43
259,29
260,34
261,44
262,35
263,30
264,24
265,35
266,46
267,44
268,24
269,31
270,18
271,31
272,37
273,51
274,46
275,31
276,39
277,37
278,29
279,39
280,39
281,48
282,31
283,35
284,36
285,42
286,38
287,26
288,47
289,36
290,41
291,28
292,22
293,49
294,49
295,49
296,36
297,42
298,47
299,59
300,77
301,59
302,44
303,22
304,30
305,47
306,80
307,66
308,67
309,53
310,53
311,38
312,40
313,45
314,44
315,50
316,51
317,41
318,54
319,44
320,49
321,50
322,65
323,50
324,47
325,53
326,31
327,54
328,76
329,88
330,0
331,58
332,43
333,42
334,41
335,46
336,54
337,40
338,42
339,55
340,35
341,48
342,53
343,42
344,53
345,54
346,45
347,30
348,34
349,45
350,37
351,34
352,37
353,22
354,25
355,31
356,32
357,46
358,38
359,35
360,41
361,21
362,42
363,33
364,34
365,34
366,24
367,39
368,32
369,31
370,32
371,43
372,47
373,30
374,21
375,38
376,20
377,30
378,37
379,51
380,27
381,32
382,23
383,21
384,7
385,25
386,25
387,23
388,22
389,31
390,25
391,44
392,32
393,29
394,26
395,31
396,21
397,26
398,43
399,37
400,44
401,39
402,36
403,27
404,30
405,26
406,49
407,26
408,35
409,22
410,37
411,21
412,29
413,42
414,39
415,26
416,33
417,38
418,34
419,25
420,16
421,36
422,22
423,28
424,35
425,27
426,50
427,26
428,39
429,64
430,37
431,35
432,37
433,49
434,54
435,49
436,37
437,37
438,40
439,41
440,39
441,57
442,45
443,46
444,54
445,48
446,50
447,43
448,60
449,61
450,31
451,35
452,38
453,43
454,43
455,60
456,39
457,51
458,52
459,54
460,55
461,39
462,57
463,60
464,59
465,62
466,47
467,42
468,78
469,65
470,38
471,49
472,59
473,42
474,36
475,51
476,52
477,62
478,46
479,35
480,65
481,49
482,56
483,60
484,60
485,70
486,42
487,41
488,38
489,76
490,75
491,73
492,54
493,62
494,69
495,78
496,103
497,105
498,77
499,85
500,78
501,57
502,79
503,106
504,94
