date,quantity
2011-01-29,46
2011-01-30,43
2011-01-31,33
2011-02-01,39
2011-02-02,20
2011-02-03,24
2011-02-04,48
2011-02-05,69
2011-02-06,64
2011-02-07,50
2011-02-08,44
2011-02-09,35
2011-02-10,38
2011-02-11,53
2011-02-12,84
2011-02-13,58
2011-02-14,43
2011-02-15,39
2011-02-16,41
2011-02-17,40
2011-02-18,60
2011-02-19,68
2011-02-20,69
2011-02-21,46
2011-02-22,50
2011-02-23,44
2011-02-24,32
2011-02-25,44
2011-02-26,47
2011-02-27,40
2011-02-28,33
2011-03-01,43
2011-03-02,35
2011-03-03,58
2011-03-04,61
2011-03-05,48
2011-03-06,40
2011-03-07,52
2011-03-08,56
2011-03-09,33
2011-03-10,33
2011-03-11,45
2011-03-12,38
2011-03-13,41
2011-03-14,48
2011-03-15,47
2011-03-16,44
2011-03-17,50
2011-03-18,47
2011-03-19,46
2011-03-20,40
2011-03-21,37
2011-03-22,20
2011-03-23,18
2011-03-24,23
2011-03-25,43
2011-03-26,32
2011-03-27,36
2011-03-28,20
2011-03-29,44
2011-03-30,47
2011-03-31,54
2011-04-01,74
2011-04-02,67
2011-04-03,65
2011-04-04,62
2011-04-05,59
2011-04-06,44
2011-04-07,44
2011-04-08,40
2011-04-09,61
2011-04-10,61
2011-04-11,41
2011-04-12,28
2011-04-13,35
2011-04-14,27
2011-04-15,50
2011-04-16,56
2011-04-17,52
2011-04-18,27
2011-04-19,30
2011-04-20,36
2011-04-21,37
2011-04-22,29
2011-04-23,46
2011-04-24,62
2011-04-25,49
2011-04-26,45
2011-04-27,41
2011-04-28,34
2011-04-29,50
2011-04-30,60
2011-05-01,69
2011-05-02,56
2011-05-03,52
2011-05-04,71
2011-05-05,56
2011-05-06,76
2011-05-07,74
2011-05-08,65
2011-05-09,38
2011-05-10,32
2011-05-11,48
2011-05-12,57
2011-05-13,49
2011-05-14,47
2011-05-15,43
2011-05-16,34
2011-05-17,29
2011-05-18,36
2011-05-19,18
2011-05-20,59
2011-05-21,54
2011-05-22,31
2011-05-23,24
2011-05-24,33
2011-05-25,30
2011-05-26,24
2011-05-27,46
2011-05-28,42
2011-05-29,44
2011-05-30,50
2011-05-31,23
2011-06-01,38
2011-06-02,45
2011-06-03,53
2011-06-04,70
2011-06-05,69
2011-06-06,34
2011-06-07,47
2011-06-08,58
2011-06-09,39
2011-06-10,48
2011-06-11,64
2011-06-12,74
2011-06-13,37
2011-06-14,63
2011-06-15,48
2011-06-16,55
2011-06-17,58
2011-06-18,70
2011-06-19,62
2011-06-20,68
2011-06-21,58
2011-06-22,50
2011-06-23,57
2011-06-24,46
2011-06-25,86
2011-06-26,73
2011-06-27,40
2011-06-28,29
2011-06-29,35
2011-06-30,34
2011-07-01,80
2011-07-02,95
2011-07-03,92
2011-07-04,83
2011-07-05,82
2011-07-06,69
2011-07-07,70
2011-07-08,64
2011-07-09,76
2011-07-10,81
2011-07-11,50
2011-07-12,45
2011-07-13,48
2011-07-14,61
2011-07-15,51
2011-07-16,48
2011-07-17,37
2011-07-18,69
2011-07-19,56
2011-07-20,103
2011-07-21,69
2011-07-22,74
2011-07-23,50
2011-07-24,68
2011-07-25,49
2011-07-26,42
2011-07-27,31
2011-07-28,37
2011-07-29,73
2011-07-30,89
2011-07-31,82
2011-08-01,65
2011-08-02,59
2011-08-03,60
2011-08-04,66
2011-08-05,70
2011-08-06,69
2011-08-07,49
2011-08-08,74
2011-08-09,57
2011-08-10,47
2011-08-11,54
2011-08-12,81
2011-08-13,65
2011-08-14,98
2011-08-15,83
2011-08-16,66
2011-08-17,67
2011-08-18,78
2011-08-19,73
2011-08-20,85
2011-08-21,80
2011-08-22,50
2011-08-23,58
2011-08-24,88
2011-08-25,58
2011-08-26,52
2011-08-27,79
2011-08-28,75
2011-08-29,49
2011-08-30,41
2011-08-31,54
2011-09-01,56
2011-09-02,70
2011-09-03,54
2011-09-04,44
2011-09-05,43
2011-09-06,51
2011-09-07,62
2011-09-08,44
2011-09-09,56
2011-09-10,55
2011-09-11,49
2011-09-12,30
2011-09-13,29
2011-09-14,25
2011-09-15,41
2011-09-16,40
2011-09-17,55
2011-09-18,56
2011-09-19,58
2011-09-20,54
2011-09-21,40
2011-09-22,30
2011-09-23,49
2011-09-24,42
2011-09-25,33
2011-09-26,34
2011-09-27,31
2011-09-28,32
2011-09-29,34
2011-09-30,43
2011-10-01,42
2011-10-02,53
2011-10-03,22
2011-10-04,19
2011-10-05,31
2011-10-06,47
2011-10-07,42
2011-10-08,50
2011-10-09,33
2011-10-10,32
2011-10-11,43
2011-10-12,47
2011-10-13,37
2011-10-14,46
2011-10-15,38
2011-10-16,31
2011-10-17,40
2011-10-18,28
2011-10-19,22
2011-10-20,25
2011-10-21,37
2011-10-22,45
2011-10-23,49
2011-10-24,24
2011-10-25,20
2011-10-26,19
2011-10-27,27
2011-10-28,30
2011-10-29,64
2011-10-30,42
2011-10-31,27
2011-11-01,26
2011-11-02,40
2011-11-03,26
2011-11-04,32
2011-11-05,41
2011-11-06,52
2011-11-07,25
2011-11-08,32
2011-11-09,31
2011-11-10,38
2011-11-11,33
2011-11-12,25
2011-11-13,40
2011-11-14,24
2011-11-15,26
2011-11-16,16
2011-11-17,15
2011-11-18,49
2011-11-19,55
2011-11-20,49
2011-11-21,39
2011-11-22,47
2011-11-23,46
2011-11-24,54
2011-11-25,72
2011-11-26,51
2011-11-27,42
2011-11-28,26
2011-11-29,20
2011-11-30,34
2011-12-01,53
2011-12-02,38
2011-12-03,58
2011-12-04,60
2011-12-05,44
2011-12-06,51
2011-12-07,31
2011-12-08,28
2011-12-09,39
2011-12-10,61
2011-12-11,50
2011-12-12,28
2011-12-13,30
2011-12-14,31
2011-12-15,38
2011-12-16,32
2011-12-17,50
2011-12-18,50
2011-12-19,36
2011-12-20,38
2011-12-21,45
2011-12-22,29
2011-12-23,71
2011-12-24,48
2011-12-25,0
2011-12-26,47
2011-12-27,30
2011-12-28,23
2011-12-29,38
2011-12-30,37
2011-12-31,48
2012-01-01,35
2012-01-02,45
2012-01-03,30
2012-01-04,38
2012-01-05,36
2012-01-06,37
2012-01-07,44
2012-01-08,49
2012-01-09,25
2012-01-10,40
2012-01-11,29
2012-01-12,28
2012-01-13,32
2012-01-14,33
2012-01-15,28
2012-01-16,40
2012-01-17,23
2012-01-18,25
2012-01-19,34
2012-01-20,19
2012-01-21,46
2012-01-22,39
2012-01-23,24
2012-01-24,17
2012-01-25,36
2012-01-26,34
2012-01-27,36
2012-01-28,26
2012-01-29,32
2012-01-30,14
2012-01-31,28
2012-02-01,27
2012-02-02,39
2012-02-03,48
2012-02-04,41
2012-02-05,33
2012-02-06,18
2012-02-07,18
2012-02-08,22
2012-02-09,30
2012-02-10,37
2012-02-11,40
2012-02-12,34
2012-02-13,27
2012-02-14,16
2012-02-15,32
2012-02-16,38
2012-02-17,34
2012-02-18,28
2012-02-19,25
2012-02-20,26
2012-02-21,21
2012-02-22,17
2012-02-23,25
2012-02-24,27
2012-02-25,40
2012-02-26,36
2012-02-27,21
2012-02-28,16
2012-02-29,23
2012-03-01,36
2012-03-02,34
2012-03-03,58
2012-03-04,43
2012-03-05,28
2012-03-06,36
2012-03-07,14
2012-03-08,16
2012-03-09,39
2012-03-10,42
2012-03-11,37
2012-03-12,22
2012-03-13,26
2012-03-14,32
2012-03-15,33
2012-03-16,27
2012-03-17,41
2012-03-18,35
2012-03-19,44
2012-03-20,29
2012-03-21,41
2012-03-22,37
2012-03-23,28
2012-03-24,40
2012-03-25,41
2012-03-26,24
2012-03-27,26
2012-03-28,30
2012-03-29,28
2012-03-30,45
2012-03-31,50
2012-04-01,51
2012-04-02,42
2012-04-03,49
2012-04-04,43
2012-04-05,32
2012-04-06,53
2012-04-07,69
2012-04-08,48
2012-04-09,49
2012-04-10,27
2012-04-11,34
2012-04-12,44
2012-04-13,31
2012-04-14,61
2012-04-15,54
2012-04-16,34
2012-04-17,36
2012-04-18,39
2012-04-19,37
2012-04-20,51
2012-04-21,72
2012-04-22,59
2012-04-23,26
2012-04-24,33
2012-04-25,26
2012-04-26,30
2012-04-27,44
2012-04-28,35
2012-04-29,34
2012-04-30,41
2012-05-01,44
2012-05-02,47
2012-05-03,52
2012-05-04,46
2012-05-05,37
2012-05-06,48
2012-05-07,58
2012-05-08,46
2012-05-09,57
2012-05-10,60
2012-05-11,87
2012-05-12,90
2012-05-13,72
2012-05-14,48
2012-05-15,52
2012-05-16,46
2012-05-17,41
2012-05-18,51
2012-05-19,94
2012-05-20,69
2012-05-21,38
2012-05-22,50
2012-05-23,49
2012-05-24,49
2012-05-25,56
2012-05-26,63
2012-05-27,57
2012-05-28,59
2012-05-29,44
2012-05-30,40
2012-05-31,58
2012-06-01,87
2012-06-02,77
2012-06-03,77
2012-06-04,60
2012-06-05,47
2012-06-06,59
2012-06-07,68
2012-06-08,108
2012-06-09,114
2012-06-10,94
2012-06-11,86
2012-06-12,57
2012-06-13,66
2012-06-14,55
2012-06-15,96
2012-06-16,89
2012-06-17,93
2012-06-18,91
2012-06-19,68
2012-06-20,93
2012-06-21,53
2012-06-22,47
2012-06-23,64
2012-06-24,86
2012-06-25,48
2012-06-26,49
2012-06-27,70
2012-06-28,74
2012-06-29,70
2012-06-30,111
2012-07-01,75
2012-07-02,89
2012-07-03,100
2012-07-04,105
2012-07-05,96
2012-07-06,96
2012-07-07,55
2012-07-08,77
2012-07-09,61
2012-07-10,76
2012-07-11,70
2012-07-12,72
2012-07-13,68
2012-07-14,105
2012-07-15,92
2012-07-16,70
2012-07-17,69
2012-07-18,62
2012-07-19,45
2012-07-20,69
2012-07-21,95
2012-07-22,78
2012-07-23,73
2012-07-24,48
2012-07-25,60
2012-07-26,43
2012-07-27,65
2012-07-28,70
2012-07-29,56
2012-07-30,59
2012-07-31,53
2012-08-01,77
2012-08-02,102
2012-08-03,89
2012-08-04,78
2012-08-05,94
2012-08-06,82
2012-08-07,75
2012-08-08,71
2012-08-09,61
2012-08-10,87
2012-08-11,93
2012-08-12,77
2012-08-13,58
2012-08-14,62
2012-08-15,62
2012-08-16,65
2012-08-17,78
2012-08-18,73
2012-08-19,78
2012-08-20,48
2012-08-21,44
2012-08-22,37
2012-08-23,23
2012-08-24,38
2012-08-25,62
2012-08-26,57
2012-08-27,46
2012-08-28,59
2012-08-29,61
2012-08-30,60
2012-08-31,51
2012-09-01,57
