Date,demand
2011-01-29,49
2011-01-30,44
2011-01-31,24
2011-02-01,26
2011-02-02,20
2011-02-03,27
2011-02-04,43
2011-02-05,60
2011-02-06,49
2011-02-07,20
2011-02-08,27
2011-02-09,25
2011-02-10,35
2011-02-11,45
2011-02-12,87
2011-02-13,47
2011-02-14,45
2011-02-15,28
2011-02-16,24
2011-02-17,16
2011-02-18,40
2011-02-19,52
2011-02-20,52
2011-02-21,46
2011-02-22,27
2011-02-23,33
2011-02-24,21
2011-02-25,37
2011-02-26,46
2011-02-27,53
2011-02-28,26
2011-03-01,35
2011-03-02,24
2011-03-03,30
2011-03-04,41
2011-03-05,65
2011-03-06,45
2011-03-07,34
2011-03-08,41
2011-03-09,29
2011-03-10,35
2011-03-11,54
2011-03-12,69
2011-03-13,51
2011-03-14,38
2011-03-15,32
2011-03-16,30
2011-03-17,28
2011-03-18,21
2011-03-19,54
2011-03-20,46
2011-03-21,22
2011-03-22,14
2011-03-23,34
2011-03-24,17
2011-03-25,38
2011-03-26,59
2011-03-27,52
2011-03-28,29
2011-03-29,34
2011-03-30,32
2011-03-31,36
2011-04-01,56
2011-04-02,62
2011-04-03,64
2011-04-04,56
2011-04-05,35
2011-04-06,36
2011-04-07,27
2011-04-08,32
2011-04-09,62
2011-04-10,55
2011-04-11,33
2011-04-12,29
2011-04-13,27
2011-04-14,37
2011-04-15,52
2011-04-16,66
2011-04-17,54
2011-04-18,29
2011-04-19,35
2011-04-20,34
2011-04-21,31
2011-04-22,51
2011-04-23,66
2011-04-24,68
2011-04-25,23
2011-04-26,25
2011-04-27,34
2011-04-28,25
2011-04-29,28
2011-04-30,70
2011-05-01,90
2011-05-02,54
2011-05-03,32
2011-05-04,43
2011-05-05,41
2011-05-06,69
2011-05-07,59
2011-05-08,46
2011-05-09,27
2011-05-10,40
2011-05-11,32
2011-05-12,31
2011-05-13,59
2011-05-14,58
2011-05-15,45
2011-05-16,29
2011-05-17,16
2011-05-18,28
2011-05-19,35
2011-05-20,34
2011-05-21,47
2011-05-22,56
2011-05-23,21
2011-05-24,31
2011-05-25,15
2011-05-26,34
2011-05-27,34
2011-05-28,34
2011-05-29,50
2011-05-30,40
2011-05-31,23
2011-06-01,32
2011-06-02,18
2011-06-03,27
2011-06-04,46
2011-06-05,64
2011-06-06,31
2011-06-07,41
2011-06-08,36
2011-06-09,39
2011-06-10,46
2011-06-11,48
2011-06-12,56
2011-06-13,36
2011-06-14,53
2011-06-15,46
2011-06-16,36
2011-06-17,36
2011-06-18,35
2011-06-19,48
2011-06-20,28
2011-06-21,30
2011-06-22,22
2011-06-23,13
2011-06-24,20
2011-06-25,32
2011-06-26,40
2011-06-27,25
2011-06-28,13
2011-06-29,33
2011-06-30,28
2011-07-01,44
2011-07-02,81
2011-07-03,71
2011-07-04,64
2011-07-05,42
2011-07-06,35
2011-07-07,41
2011-07-08,57
2011-07-09,50
2011-07-10,59
2011-07-11,37
2011-07-12,25
2011-07-13,22
2011-07-14,24
2011-07-15,37
2011-07-16,35
2011-07-17,45
2011-07-18,33
2011-07-19,16
2011-07-20,34
2011-07-21,29
2011-07-22,30
2011-07-23,42
2011-07-24,56
2011-07-25,21
2011-07-26,29
2011-07-27,26
2011-07-28,38
2011-07-29,32
2011-07-30,41
2011-07-31,46
2011-08-01,44
2011-08-02,28
2011-08-03,30
2011-08-04,28
2011-08-05,28
2011-08-06,61
2011-08-07,46
2011-08-08,45
2011-08-09,27
2011-08-10,16
2011-08-11,40
2011-08-12,35
2011-08-13,66
2011-08-14,61
2011-08-15,54
2011-08-16,36
2011-08-17,28
2011-08-18,25
2011-08-19,52
2011-08-20,59
2011-08-21,54
2011-08-22,37
2011-08-23,31
2011-08-24,29
2011-08-25,30
2011-08-26,38
2011-08-27,46
2011-08-28,53
2011-08-29,22
2011-08-30,19
2011-08-31,26
2011-09-01,37
2011-09-02,35
2011-09-03,53
2011-09-04,58
2011-09-05,35
2011-09-06,40
2011-09-07,46
2011-09-08,39
2011-09-09,48
2011-09-10,57
2011-09-11,49
2011-09-12,20
2011-09-13,28
2011-09-14,28
2011-09-15,26
2011-09-16,45
2011-09-17,46
2011-09-18,69
2011-09-19,30
2011-09-20,22
2011-09-21,24
2011-09-22,35
2011-09-23,50
2011-09-24,38
2011-09-25,33
2011-09-26,25
2011-09-27,31
2011-09-28,22
2011-09-29,30
2011-09-30,24
2011-10-01,61
2011-10-02,57
2011-10-03,36
2011-10-04,25
2011-10-05,24
2011-10-06,23
2011-10-07,50
2011-10-08,45
2011-10-09,78
2011-10-10,26
2011-10-11,31
2011-10-12,27
2011-10-13,39
2011-10-14,42
2011-10-15,58
2011-10-16,50
2011-10-17,14
2011-10-18,36
2011-10-19,34
2011-10-20,29
2011-10-21,27
2011-10-22,56
2011-10-23,60
2011-10-24,42
2011-10-25,30
2011-10-26,32
2011-10-27,38
2011-10-28,37
2011-10-29,46
2011-10-30,63
2011-10-31,37
2011-11-01,23
2011-11-02,23
2011-11-03,36
2011-11-04,39
2011-11-05,56
2011-11-06,44
2011-11-07,25
2011-11-08,29
2011-11-09,17
2011-11-10,37
2011-11-11,43
2011-11-12,44
2011-11-13,53
2011-11-14,20
2011-11-15,16
2011-11-16,27
2011-11-17,19
2011-11-18,36
2011-11-19,54
2011-11-20,46
2011-11-21,31
2011-11-22,51
2011-11-23,40
2011-11-24,63
2011-11-25,93
2011-11-26,47
2011-11-27,43
2011-11-28,22
2011-11-29,29
2011-11-30,30
2011-12-01,42
2011-12-02,40
2011-12-03,67
2011-12-04,53
2011-12-05,21
2011-12-06,22
2011-12-07,17
2011-12-08,28
2011-12-09,42
2011-12-10,64
2011-12-11,48
2011-12-12,27
2011-12-13,30
2011-12-14,31
2011-12-15,31
2011-12-16,37
2011-12-17,58
2011-12-18,39
2011-12-19,57
2011-12-20,47
2011-12-21,41
2011-12-22,53
2011-12-23,62
2011-12-24,44
2011-12-25,0
2011-12-26,46
2011-12-27,31
2011-12-28,34
2011-12-29,48
2011-12-30,44
2011-12-31,30
2012-01-01,29
2012-01-02,46
2012-01-03,34
2012-01-04,25
2012-01-05,24
2012-01-06,28
2012-01-07,46
2012-01-08,27
2012-01-09,39
2012-01-10,14
2012-01-11,20
2012-01-12,22
2012-01-13,28
2012-01-14,33
2012-01-15,35
2012-01-16,29
2012-01-17,17
2012-01-18,17
2012-01-19,15
2012-01-20,30
2012-01-21,26
2012-01-22,35
2012-01-23,22
2012-01-24,14
2012-01-25,20
2012-01-26,22
2012-01-27,23
2012-01-28,43
2012-01-29,33
2012-01-30,25
2012-01-31,19
2012-02-01,37
2012-02-02,17
2012-02-03,40
2012-02-04,59
2012-02-05,46
2012-02-06,23
2012-02-07,16
2012-02-08,31
2012-02-09,27
2012-02-10,34
2012-02-11,48
2012-02-12,58
2012-02-13,25
2012-02-14,25
2012-02-15,27
2012-02-16,26
2012-02-17,30
2012-02-18,50
2012-02-19,42
2012-02-20,48
2012-02-21,18
2012-02-22,22
2012-02-23,24
2012-02-24,46
2012-02-25,38
2012-02-26,42
2012-02-27,12
2012-02-28,18
2012-02-29,19
2012-03-01,15
2012-03-02,35
2012-03-03,44
2012-03-04,74
2012-03-05,34
