Date,demand
2011-01-29,26
2011-01-30,26
2011-01-31,24
2011-02-01,15
2011-02-02,15
2011-02-03,10
2011-02-04,14
2011-02-05,16
2011-02-06,13
2011-02-07,14
2011-02-08,13
2011-02-09,10
2011-02-10,17
2011-02-11,26
2011-02-12,42
2011-02-13,46
2011-02-14,24
2011-02-15,26
2011-02-16,13
2011-02-17,40
2011-02-18,26
2011-02-19,33
2011-02-20,19
2011-02-21,19
2011-02-22,20
2011-02-23,12
2011-02-24,21
2011-02-25,38
2011-02-26,32
2011-02-27,29
2011-02-28,15
2011-03-01,25
2011-03-02,11
2011-03-03,17
2011-03-04,18
2011-03-05,33
2011-03-06,49
2011-03-07,17
2011-03-08,15
2011-03-09,25
2011-03-10,19
2011-03-11,16
2011-03-12,21
2011-03-13,23
2011-03-14,16
2011-03-15,23
2011-03-16,18
2011-03-17,28
2011-03-18,25
2011-03-19,34
2011-03-20,32
2011-03-21,33
2011-03-22,19
2011-03-23,18
2011-03-24,13
2011-03-25,25
2011-03-26,35
2011-03-27,33
2011-03-28,13
2011-03-29,15
2011-03-30,9
2011-03-31,23
2011-04-01,31
2011-04-02,47
2011-04-03,48
2011-04-04,14
2011-04-05,19
2011-04-06,16
2011-04-07,18
2011-04-08,26
2011-04-09,37
2011-04-10,62
2011-04-11,25
2011-04-12,25
2011-04-13,24
2011-04-14,25
2011-04-15,32
2011-04-16,50
2011-04-17,45
2011-04-18,21
2011-04-19,30
2011-04-20,41
2011-04-21,25
2011-04-22,60
2011-04-23,71
2011-04-24,38
2011-04-25,15
2011-04-26,17
2011-04-27,19
2011-04-28,26
2011-04-29,35
2011-04-30,60
2011-05-01,62
2011-05-02,36
2011-05-03,27
2011-05-04,26
2011-05-05,20
2011-05-06,26
2011-05-07,77
2011-05-08,67
2011-05-09,46
2011-05-10,28
2011-05-11,18
2011-05-12,21
2011-05-13,42
2011-05-14,51
2011-05-15,64
2011-05-16,30
2011-05-17,24
2011-05-18,25
2011-05-19,26
2011-05-20,37
2011-05-21,53
2011-05-22,66
2011-05-23,33
2011-05-24,28
2011-05-25,34
2011-05-26,32
2011-05-27,28
2011-05-28,54
2011-05-29,40
2011-05-30,32
2011-05-31,23
2011-06-01,43
2011-06-02,46
2011-06-03,35
2011-06-04,64
2011-06-05,70
2011-06-06,49
2011-06-07,28
2011-06-08,40
2011-06-09,31
2011-06-10,58
2011-06-11,41
2011-06-12,54
2011-06-13,29
2011-06-14,36
2011-06-15,32
2011-06-16,37
2011-06-17,51
2011-06-18,76
2011-06-19,73
2011-06-20,47
2011-06-21,28
2011-06-22,17
2011-06-23,37
2011-06-24,44
2011-06-25,69
2011-06-26,54
2011-06-27,44
2011-06-28,36
2011-06-29,27
2011-06-30,34
2011-07-01,64
2011-07-02,61
2011-07-03,66
2011-07-04,57
2011-07-05,28
2011-07-06,20
2011-07-07,26
2011-07-08,28
2011-07-09,65
2011-07-10,57
2011-07-11,57
2011-07-12,25
2011-07-13,45
2011-07-14,35
2011-07-15,30
2011-07-16,66
2011-07-17,61
2011-07-18,33
2011-07-19,18
2011-07-20,35
2011-07-21,30
2011-07-22,38
2011-07-23,67
2011-07-24,57
2011-07-25,35
2011-07-26,33
2011-07-27,21
2011-07-28,19
2011-07-29,30
2011-07-30,54
2011-07-31,38
2011-08-01,39
2011-08-02,36
2011-08-03,25
2011-08-04,44
2011-08-05,42
2011-08-06,67
2011-08-07,48
2011-08-08,31
2011-08-09,26
2011-08-10,30
2011-08-11,30
2011-08-12,43
2011-08-13,69
2011-08-14,59
2011-08-15,35
2011-08-16,39
2011-08-17,37
2011-08-18,28
2011-08-19,36
2011-08-20,58
2011-08-21,55
2011-08-22,26
2011-08-23,25
2011-08-24,22
2011-08-25,15
2011-08-26,18
2011-08-27,27
2011-08-28,52
2011-08-29,8
2011-08-30,5
2011-08-31,4
2011-09-01,6
2011-09-02,8
2011-09-03,14
2011-09-04,8
2011-09-05,6
2011-09-06,2
2011-09-07,7
2011-09-08,6
2011-09-09,6
2011-09-10,8
2011-09-11,9
2011-09-12,2
2011-09-13,8
2011-09-14,9
2011-09-15,8
2011-09-16,4
2011-09-17,9
2011-09-18,5
2011-09-19,3
2011-09-20,10
2011-09-21,5
2011-09-22,1
2011-09-23,10
2011-09-24,6
2011-09-25,8
2011-09-26,4
2011-09-27,4
2011-09-28,0
2011-09-29,2
2011-09-30,3
2011-10-01,9
2011-10-02,17
2011-10-03,4
2011-10-04,3
2011-10-05,4
2011-10-06,3
2011-10-07,5
2011-10-08,10
2011-10-09,3
2011-10-10,1
2011-10-11,5
2011-10-12,3
2011-10-13,8
2011-10-14,8
2011-10-15,17
2011-10-16,18
2011-10-17,9
2011-10-18,11
2011-10-19,1
2011-10-20,2
2011-10-21,6
2011-10-22,14
2011-10-23,16
2011-10-24,4
2011-10-25,16
2011-10-26,17
2011-10-27,20
2011-10-28,17
2011-10-29,45
2011-10-30,23
2011-10-31,23
2011-11-01,17
2011-11-02,28
2011-11-03,18
2011-11-04,10
2011-11-05,9
2011-11-06,11
2011-11-07,12
2011-11-08,5
2011-11-09,2
2011-11-10,5
2011-11-11,11
2011-11-12,24
2011-11-13,5
2011-11-14,6
2011-11-15,6
2011-11-16,1
2011-11-17,5
2011-11-18,3
2011-11-19,13
2011-11-20,7
2011-11-21,4
2011-11-22,6
2011-11-23,7
2011-11-24,7
2011-11-25,28
2011-11-26,12
2011-11-27,10
2011-11-28,6
2011-11-29,4
2011-11-30,8
2011-12-01,3
2011-12-02,9
2011-12-03,13
2011-12-04,11
2011-12-05,5
2011-12-06,1
2011-12-07,4
2011-12-08,4
2011-12-09,15
2011-12-10,25
2011-12-11,22
2011-12-12,13
2011-12-13,11
2011-12-14,14
2011-12-15,21
2011-12-16,24
2011-12-17,38
2011-12-18,50
2011-12-19,22
2011-12-20,5
2011-12-21,13
2011-12-22,9
2011-12-23,22
2011-12-24,21
2011-12-25,0
2011-12-26,4
2011-12-27,5
2011-12-28,8
2011-12-29,6
2011-12-30,14
2011-12-31,16
2012-01-01,5
2012-01-02,9
2012-01-03,11
2012-01-04,9
2012-01-05,13
2012-01-06,11
2012-01-07,29
2012-01-08,18
2012-01-09,6
2012-01-10,13
2012-01-11,21
2012-01-12,8
2012-01-13,10
2012-01-14,16
2012-01-15,18
2012-01-16,11
2012-01-17,11
2012-01-18,14
2012-01-19,12
2012-01-20,15
2012-01-21,27
2012-01-22,18
2012-01-23,14
2012-01-24,10
2012-01-25,5
2012-01-26,8
2012-01-27,15
2012-01-28,23
2012-01-29,15
2012-01-30,12
2012-01-31,8
2012-02-01,15
2012-02-02,9
2012-02-03,32
2012-02-04,28
2012-02-05,29
2012-02-06,15
2012-02-07,21
2012-02-08,10
2012-02-09,13
2012-02-10,23
2012-02-11,28
2012-02-12,25
2012-02-13,25
2012-02-14,13
2012-02-15,10
2012-02-16,18
2012-02-17,13
