Date,demand
2011-01-29,47
2011-01-30,38
2011-01-31,28
2011-02-01,27
2011-02-02,23
2011-02-03,32
2011-02-04,33
2011-02-05,52
2011-02-06,33
2011-02-07,33
2011-02-08,20
2011-02-09,28
2011-02-10,27
2011-02-11,33
2011-02-12,58
2011-02-13,52
2011-02-14,45
2011-02-15,37
2011-02-16,24
2011-02-17,14
2011-02-18,15
2011-02-19,32
2011-02-20,14
2011-02-21,14
2011-02-22,33
2011-02-23,27
2011-02-24,29
2011-02-25,36
2011-02-26,37
2011-02-27,31
2011-02-28,43
2011-03-01,15
2011-03-02,34
2011-03-03,32
2011-03-04,34
2011-03-05,63
2011-03-06,47
2011-03-07,25
2011-03-08,27
2011-03-09,27
2011-03-10,27
2011-03-11,49
2011-03-12,44
2011-03-13,47
2011-03-14,38
2011-03-15,22
2011-03-16,38
2011-03-17,35
2011-03-18,29
2011-03-19,34
2011-03-20,26
2011-03-21,29
2011-03-22,36
2011-03-23,18
2011-03-24,27
2011-03-25,30
2011-03-26,35
2011-03-27,29
2011-03-28,25
2011-03-29,29
2011-03-30,17
2011-03-31,27
2011-04-01,49
2011-04-02,60
2011-04-03,40
2011-04-04,31
2011-04-05,29
2011-04-06,34
2011-04-07,11
2011-04-08,41
2011-04-09,46
2011-04-10,75
2011-04-11,30
2011-04-12,31
2011-04-13,31
2011-04-14,29
2011-04-15,39
2011-04-16,43
2011-04-17,60
2011-04-18,23
2011-04-19,21
2011-04-20,31
2011-04-21,37
2011-04-22,22
2011-04-23,52
2011-04-24,35
2011-04-25,36
2011-04-26,30
2011-04-27,22
2011-04-28,27
2011-04-29,35
2011-04-30,72
2011-05-01,35
2011-05-02,40
2011-05-03,40
2011-05-04,32
2011-05-05,51
2011-05-06,58
2011-05-07,45
2011-05-08,35
2011-05-09,38
2011-05-10,33
2011-05-11,29
2011-05-12,66
2011-05-13,43
2011-05-14,31
2011-05-15,30
2011-05-16,21
2011-05-17,31
2011-05-18,18
2011-05-19,40
2011-05-20,39
2011-05-21,29
2011-05-22,65
2011-05-23,39
2011-05-24,28
2011-05-25,24
2011-05-26,21
2011-05-27,40
2011-05-28,43
2011-05-29,34
2011-05-30,70
2011-05-31,40
2011-06-01,34
2011-06-02,24
2011-06-03,68
2011-06-04,81
2011-06-05,53
2011-06-06,34
2011-06-07,26
2011-06-08,66
2011-06-09,30
2011-06-10,34
2011-06-11,29
2011-06-12,46
2011-06-13,35
2011-06-14,25
2011-06-15,40
2011-06-16,41
2011-06-17,51
2011-06-18,39
2011-06-19,43
2011-06-20,36
2011-06-21,16
2011-06-22,16
2011-06-23,19
2011-06-24,21
2011-06-25,51
2011-06-26,51
2011-06-27,43
2011-06-28,25
2011-06-29,37
2011-06-30,37
2011-07-01,94
2011-07-02,143
2011-07-03,86
2011-07-04,47
2011-07-05,57
2011-07-06,45
2011-07-07,42
2011-07-08,50
2011-07-09,92
2011-07-10,55
2011-07-11,46
2011-07-12,56
2011-07-13,29
2011-07-14,41
2011-07-15,58
2011-07-16,44
2011-07-17,94
2011-07-18,96
2011-07-19,76
2011-07-20,91
2011-07-21,63
2011-07-22,53
2011-07-23,76
2011-07-24,16
2011-07-25,16
2011-07-26,45
2011-07-27,32
2011-07-28,32
2011-07-29,57
2011-07-30,85
2011-07-31,62
2011-08-01,33
2011-08-02,61
2011-08-03,65
2011-08-04,53
2011-08-05,77
2011-08-06,82
2011-08-07,50
2011-08-08,41
2011-08-09,48
2011-08-10,40
2011-08-11,49
2011-08-12,70
2011-08-13,37
2011-08-14,42
2011-08-15,48
2011-08-16,41
2011-08-17,38
2011-08-18,43
2011-08-19,63
2011-08-20,67
2011-08-21,43
2011-08-22,32
2011-08-23,36
2011-08-24,45
2011-08-25,36
2011-08-26,56
2011-08-27,67
2011-08-28,55
2011-08-29,44
2011-08-30,40
2011-08-31,63
2011-09-01,77
2011-09-02,97
2011-09-03,59
2011-09-04,44
2011-09-05,42
2011-09-06,47
2011-09-07,29
2011-09-08,35
2011-09-09,57
2011-09-10,58
2011-09-11,59
2011-09-12,51
2011-09-13,29
2011-09-14,34
2011-09-15,30
2011-09-16,41
2011-09-17,46
2011-09-18,36
2011-09-19,22
2011-09-20,27
2011-09-21,40
2011-09-22,22
2011-09-23,31
2011-09-24,22
2011-09-25,28
2011-09-26,12
2011-09-27,26
2011-09-28,22
2011-09-29,9
2011-09-30,38
2011-10-01,39
2011-10-02,40
2011-10-03,23
2011-10-04,21
2011-10-05,26
2011-10-06,21
2011-10-07,50
2011-10-08,48
2011-10-09,41
2011-10-10,14
2011-10-11,19
2011-10-12,26
2011-10-13,23
2011-10-14,30
2011-10-15,44
2011-10-16,53
2011-10-17,27
2011-10-18,16
2011-10-19,18
2011-10-20,17
2011-10-21,33
2011-10-22,31
2011-10-23,23
2011-10-24,17
2011-10-25,21
2011-10-26,16
2011-10-27,19
2011-10-28,46
2011-10-29,37
2011-10-30,23
2011-10-31,15
2011-11-01,37
2011-11-02,20
2011-11-03,24
2011-11-04,36
2011-11-05,50
2011-11-06,55
2011-11-07,34
2011-11-08,30
2011-11-09,31
2011-11-10,24
2011-11-11,31
2011-11-12,42
2011-11-13,48
2011-11-14,18
2011-11-15,27
2011-11-16,27
2011-11-17,31
2011-11-18,33
2011-11-19,39
2011-11-20,21
2011-11-21,26
2011-11-22,33
2011-11-23,37
2011-11-24,46
2011-11-25,56
2011-11-26,20
2011-11-27,17
2011-11-28,26
2011-11-29,23
2011-11-30,31
2011-12-01,25
2011-12-02,41
2011-12-03,31
2011-12-04,37
2011-12-05,34
2011-12-06,21
2011-12-07,21
2011-12-08,22
2011-12-09,38
2011-12-10,36
2011-12-11,37
2011-12-12,35
2011-12-13,32
2011-12-14,29
2011-12-15,32
2011-12-16,41
2011-12-17,38
2011-12-18,42
2011-12-19,25
2011-12-20,39
2011-12-21,34
2011-12-22,33
2011-12-23,40
2011-12-24,42
2011-12-25,0
2011-12-26,31
2011-12-27,19
2011-12-28,18
2011-12-29,23
2011-12-30,44
2011-12-31,21
2012-01-01,15
2012-01-02,15
2012-01-03,30
2012-01-04,17
2012-01-05,22
2012-01-06,32
2012-01-07,48
2012-01-08,24
2012-01-09,22
2012-01-10,16
2012-01-11,29
2012-01-12,22
2012-01-13,22
2012-01-14,18
2012-01-15,28
2012-01-16,21
2012-01-17,13
2012-01-18,15
2012-01-19,14
2012-01-20,20
2012-01-21,33
2012-01-22,21
2012-01-23,28
2012-01-24,19
2012-01-25,15
2012-01-26,20
2012-01-27,17
2012-01-28,34
2012-01-29,25
2012-01-30,17
2012-01-31,32
2012-02-01,28
2012-02-02,29
2012-02-03,67
2012-02-04,44
2012-02-05,43
2012-02-06,35
2012-02-07,31
2012-02-08,36
2012-02-09,32
2012-02-10,37
2012-02-11,35
2012-02-12,38
2012-02-13,31
2012-02-14,22
2012-02-15,30
2012-02-16,25
2012-02-17,44
2012-02-18,45
2012-02-19,36
2012-02-20,21
2012-02-21,30
2012-02-22,18
2012-02-23,25
2012-02-24,41
2012-02-25,56
2012-02-26,44
2012-02-27,26
2012-02-28,27
2012-02-29,18
2012-03-01,48
2012-03-02,30
2012-03-03,41
2012-03-04,42
2012-03-05,41
2012-03-06,35
2012-03-07,39
2012-03-08,37
2012-03-09,35
2012-03-10,43
2012-03-11,53
2012-03-12,25
2012-03-13,28
2012-03-14,45
2012-03-15,33
2012-03-16,49
2012-03-17,71
2012-03-18,63
2012-03-19,43
2012-03-20,42
2012-03-21,37
2012-03-22,19
2012-03-23,21
2012-03-24,29
2012-03-25,29
2012-03-26,22
2012-03-27,19
2012-03-28,21
2012-03-29,21
2012-03-30,39
2012-03-31,53
2012-04-01,27
2012-04-02,34
2012-04-03,43
2012-04-04,21
2012-04-05,38
2012-04-06,39
2012-04-07,68
2012-04-08,42
2012-04-09,33
2012-04-10,18
2012-04-11,36
2012-04-12,37
2012-04-13,31
2012-04-14,53
2012-04-15,26
2012-04-16,19
2012-04-17,22
2012-04-18,26
2012-04-19,21
2012-04-20,23
2012-04-21,30
2012-04-22,21
2012-04-23,18
2012-04-24,24
2012-04-25,13
2012-04-26,13
2012-04-27,17
2012-04-28,27
2012-04-29,28
2012-04-30,20
2012-05-01,37
2012-05-02,43
2012-05-03,31
2012-05-04,24
2012-05-05,31
2012-05-06,28
2012-05-07,24
2012-05-08,28
2012-05-09,20
2012-05-10,38
2012-05-11,66
2012-05-12,35
2012-05-13,30
2012-05-14,49
2012-05-15,27
2012-05-16,10
2012-05-17,15
2012-05-18,30
2012-05-19,26
2012-05-20,66
2012-05-21,27
2012-05-22,31
2012-05-23,36
2012-05-24,43
2012-05-25,57
2012-05-26,38
2012-05-27,52
2012-05-28,20
2012-05-29,27
2012-05-30,27
2012-05-31,23
2012-06-01,32
2012-06-02,51
2012-06-03,47
2012-06-04,32
2012-06-05,29
2012-06-06,49
2012-06-07,41
2012-06-08,82
2012-06-09,97
2012-06-10,48
2012-06-11,31
2012-06-12,2
2012-06-13,20
2012-06-14,38
2012-06-15,57
2012-06-16,63
2012-06-17,64
2012-06-18,58
2012-06-19,47
2012-06-20,45
2012-06-21,39
2012-06-22,44
2012-06-23,36
2012-06-24,40
2012-06-25,37
2012-06-26,23
2012-06-27,54
2012-06-28,57
2012-06-29,74
2012-06-30,85
2012-07-01,60
2012-07-02,74
2012-07-03,63
2012-07-04,5
2012-07-05,46
2012-07-06,81
2012-07-07,48
2012-07-08,59
2012-07-09,43
2012-07-10,41
2012-07-11,43
2012-07-12,46
2012-07-13,51
2012-07-14,64
2012-07-15,72
2012-07-16,44
2012-07-17,52
2012-07-18,39
2012-07-19,15
2012-07-20,40
2012-07-21,49
2012-07-22,44
2012-07-23,53
2012-07-24,31
2012-07-25,34
2012-07-26,24
2012-07-27,20
2012-07-28,51
2012-07-29,41
2012-07-30,48
2012-07-31,38
2012-08-01,55
2012-08-02,58
2012-08-03,73
2012-08-04,58
2012-08-05,19
2012-08-06,51
2012-08-07,42
2012-08-08,27
2012-08-09,23
2012-08-10,48
2012-08-11,47
2012-08-12,26
2012-08-13,17
2012-08-14,30
2012-08-15,37
2012-08-16,27
2012-08-17,37
2012-08-18,51
2012-08-19,16
2012-08-20,17
2012-08-21,35
2012-08-22,32
2012-08-23,38
2012-08-24,53
2012-08-25,82
2012-08-26,20
2012-08-27,32
2012-08-28,16
2012-08-29,33
2012-08-30,42
2012-08-31,51
2012-09-01,54
2012-09-02,61
2012-09-03,77
2012-09-04,22
2012-09-05,36
2012-09-06,40
2012-09-07,24
2012-09-08,36
2012-09-09,41
2012-09-10,24
2012-09-11,30
2012-09-12,47
2012-09-13,27
2012-09-14,36
2012-09-15,50
2012-09-16,35
2012-09-17,26
2012-09-18,26
2012-09-19,30
2012-09-20,25
2012-09-21,19
2012-09-22,32
2012-09-23,31
2012-09-24,18
2012-09-25,31
2012-09-26,20
2012-09-27,22
2012-09-28,31
2012-09-29,35
2012-09-30,43
2012-10-01,18
2012-10-02,45
2012-10-03,28
2012-10-04,19
2012-10-05,42
2012-10-06,38
2012-10-07,31
2012-10-08,26
2012-10-09,20
2012-10-10,32
2012-10-11,19
2012-10-12,27
2012-10-13,20
2012-10-14,28
2012-10-15,29
2012-10-16,27
2012-10-17,31
2012-10-18,26
2012-10-19,17
2012-10-20,31
2012-10-21,23
