node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,10015.48,8752.199999999999,0.0,0.0,18767.68
R1,SKU_B,5159.429999999999,3921.2000000000003,0.0,0.0,9080.63
R2,SKU_A,5482.76,24387.0,0.0,0.0,29869.76
R2,SKU_B,3764.91,19258.8,0.0,0.0,23023.710000000003
R3,SKU_A,19329.8,57885.6,0.0,0.0,77215.4
R3,SKU_B,6670.7699999999995,24687.600000000002,0.0,0.0,31358.370000000003
Supplier,SKU_A,0.0,0.0,0.0,461132.63162858447,461132.63162858447
Supplier,SKU_B,0.0,0.0,0.0,715035.3683714155,715035.3683714155
W1,SKU_A,8475.76,0.0,33574.22,152497.31205288533,194547.29205288534
W1,SKU_B,4781.04,0.0,31170.61,298262.6879471147,334214.33794711466
W2,SKU_A,12087.5,0.0,32893.71,88394.24586948277,133375.45586948277
W2,SKU_B,4165.0199999999995,0.0,30029.06,112050.75413051723,146244.83413051724
_OVERALL_,_ALL_,79932.47000000002,138892.4,127667.6,1827373.0,2173865.47
