t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0
0,Supplier,SKU_B,0
0,W1,SKU_A,0
0,W1,SKU_B,0
0,W2,SKU_A,0
0,W2,SKU_B,0
0,R1,SKU_A,155
0,R1,SKU_B,102
0,R2,SKU_A,87
0,R2,SKU_B,46
0,R3,SKU_A,274
0,R3,SKU_B,90
1,Supplier,SKU_A,0
1,Supplier,SKU_B,0
1,W1,SKU_A,242
1,W1,SKU_B,148
1,W2,SKU_A,274
1,W2,SKU_B,90
1,R1,SKU_A,121
1,R1,SKU_B,90
1,R2,SKU_A,90
1,R2,SKU_B,43
1,R3,SKU_A,268
1,R3,SKU_B,82
2,Supplier,SKU_A,0
2,Supplier,SKU_B,0
2,W1,SKU_A,211
2,W1,SKU_B,133
2,W2,SKU_A,268
2,W2,SKU_B,82
2,R1,SKU_A,99
2,R1,SKU_B,47
2,R2,SKU_A,76
2,R2,SKU_B,33
2,R3,SKU_A,153
2,R3,SKU_B,61
3,Supplier,SKU_A,0
3,Supplier,SKU_B,0
3,W1,SKU_A,175
3,W1,SKU_B,80
3,W2,SKU_A,153
3,W2,SKU_B,61
3,R1,SKU_A,105
3,R1,SKU_B,53
3,R2,SKU_A,83
3,R2,SKU_B,39
3,R3,SKU_A,188
3,R3,SKU_B,52
4,Supplier,SKU_A,0
4,Supplier,SKU_B,0
4,W1,SKU_A,188
4,W1,SKU_B,92
4,W2,SKU_A,188
4,W2,SKU_B,52
4,R1,SKU_A,92
4,R1,SKU_B,33
4,R2,SKU_A,73
4,R2,SKU_B,20
4,R3,SKU_A,154
4,R3,SKU_B,43
5,Supplier,SKU_A,0
5,Supplier,SKU_B,0
5,W1,SKU_A,165
5,W1,SKU_B,53
5,W2,SKU_A,154
5,W2,SKU_B,43
5,R1,SKU_A,113
5,R1,SKU_B,61
5,R2,SKU_A,106
5,R2,SKU_B,24
5,R3,SKU_A,211
5,R3,SKU_B,54
6,Supplier,SKU_A,0
6,Supplier,SKU_B,0
6,W1,SKU_A,219
6,W1,SKU_B,85
6,W2,SKU_A,211
6,W2,SKU_B,54
6,R1,SKU_A,110
6,R1,SKU_B,71
6,R2,SKU_A,91
6,R2,SKU_B,48
6,R3,SKU_A,204
6,R3,SKU_B,50
7,Supplier,SKU_A,0
7,Supplier,SKU_B,0
7,W1,SKU_A,201
7,W1,SKU_B,119
7,W2,SKU_A,204
7,W2,SKU_B,50
7,R1,SKU_A,176
7,R1,SKU_B,118
7,R2,SKU_A,149
7,R2,SKU_B,69
7,R3,SKU_A,299
7,R3,SKU_B,90
8,Supplier,SKU_A,0
8,Supplier,SKU_B,0
8,W1,SKU_A,325
8,W1,SKU_B,187
8,W2,SKU_A,299
8,W2,SKU_B,90
8,R1,SKU_A,165
8,R1,SKU_B,92
8,R2,SKU_A,96
8,R2,SKU_B,64
8,R3,SKU_A,276
8,R3,SKU_B,63
9,Supplier,SKU_A,0
9,Supplier,SKU_B,0
9,W1,SKU_A,261
9,W1,SKU_B,156
9,W2,SKU_A,276
9,W2,SKU_B,63
9,R1,SKU_A,95
9,R1,SKU_B,60
9,R2,SKU_A,113
9,R2,SKU_B,50
9,R3,SKU_A,224
9,R3,SKU_B,56
10,Supplier,SKU_A,0
10,Supplier,SKU_B,0
10,W1,SKU_A,208
10,W1,SKU_B,110
10,W2,SKU_A,224
10,W2,SKU_B,56
10,R1,SKU_A,96
10,R1,SKU_B,51
10,R2,SKU_A,106
10,R2,SKU_B,44
10,R3,SKU_A,184
10,R3,SKU_B,48
11,Supplier,SKU_A,0
11,Supplier,SKU_B,0
11,W1,SKU_A,202
11,W1,SKU_B,95
11,W2,SKU_A,184
11,W2,SKU_B,48
11,R1,SKU_A,107
11,R1,SKU_B,55
11,R2,SKU_A,98
11,R2,SKU_B,35
11,R3,SKU_A,186
11,R3,SKU_B,46
12,Supplier,SKU_A,0
12,Supplier,SKU_B,0
12,W1,SKU_A,205
12,W1,SKU_B,90
12,W2,SKU_A,186
12,W2,SKU_B,46
12,R1,SKU_A,119
12,R1,SKU_B,71
12,R2,SKU_A,93
12,R2,SKU_B,38
12,R3,SKU_A,157
12,R3,SKU_B,54
13,Supplier,SKU_A,0
13,Supplier,SKU_B,0
13,W1,SKU_A,212
13,W1,SKU_B,109
13,W2,SKU_A,157
13,W2,SKU_B,54
13,R1,SKU_A,160
13,R1,SKU_B,82
13,R2,SKU_A,118
13,R2,SKU_B,53
13,R3,SKU_A,251
13,R3,SKU_B,79
14,Supplier,SKU_A,0
14,Supplier,SKU_B,0
14,W1,SKU_A,278
14,W1,SKU_B,135
14,W2,SKU_A,251
14,W2,SKU_B,79
14,R1,SKU_A,224
14,R1,SKU_B,135
14,R2,SKU_A,142
14,R2,SKU_B,84
14,R3,SKU_A,347
14,R3,SKU_B,127
15,Supplier,SKU_A,0
15,Supplier,SKU_B,0
15,W1,SKU_A,366
15,W1,SKU_B,219
15,W2,SKU_A,347
15,W2,SKU_B,127
15,R1,SKU_A,226
15,R1,SKU_B,129
15,R2,SKU_A,155
15,R2,SKU_B,58
15,R3,SKU_A,332
15,R3,SKU_B,124
16,Supplier,SKU_A,0
16,Supplier,SKU_B,0
16,W1,SKU_A,381
16,W1,SKU_B,187
16,W2,SKU_A,332
16,W2,SKU_B,124
16,R1,SKU_A,142
16,R1,SKU_B,77
16,R2,SKU_A,93
16,R2,SKU_B,43
16,R3,SKU_A,217
16,R3,SKU_B,78
17,Supplier,SKU_A,0
17,Supplier,SKU_B,0
17,W1,SKU_A,235
17,W1,SKU_B,120
17,W2,SKU_A,217
17,W2,SKU_B,78
17,R1,SKU_A,133
17,R1,SKU_B,70
17,R2,SKU_A,83
17,R2,SKU_B,39
17,R3,SKU_A,246
17,R3,SKU_B,77
18,Supplier,SKU_A,0
18,Supplier,SKU_B,0
18,W1,SKU_A,216
18,W1,SKU_B,109
18,W2,SKU_A,246
18,W2,SKU_B,77
18,R1,SKU_A,126
18,R1,SKU_B,53
18,R2,SKU_A,77
18,R2,SKU_B,41
18,R3,SKU_A,182
18,R3,SKU_B,50
19,Supplier,SKU_A,0
19,Supplier,SKU_B,0
19,W1,SKU_A,203
19,W1,SKU_B,94
19,W2,SKU_A,182
19,W2,SKU_B,50
19,R1,SKU_A,135
19,R1,SKU_B,47
19,R2,SKU_A,77
19,R2,SKU_B,40
19,R3,SKU_A,187
19,R3,SKU_B,64
20,Supplier,SKU_A,0
20,Supplier,SKU_B,0
20,W1,SKU_A,212
20,W1,SKU_B,87
20,W2,SKU_A,187
20,W2,SKU_B,64
20,R1,SKU_A,154
20,R1,SKU_B,78
20,R2,SKU_A,87
20,R2,SKU_B,60
20,R3,SKU_A,248
20,R3,SKU_B,59
21,Supplier,SKU_A,0
21,Supplier,SKU_B,0
21,W1,SKU_A,241
21,W1,SKU_B,138
21,W2,SKU_A,248
21,W2,SKU_B,59
21,R1,SKU_A,204
21,R1,SKU_B,112
21,R2,SKU_A,100
21,R2,SKU_B,68
21,R3,SKU_A,304
21,R3,SKU_B,86
22,Supplier,SKU_A,0
22,Supplier,SKU_B,0
22,W1,SKU_A,304
22,W1,SKU_B,180
22,W2,SKU_A,304
22,W2,SKU_B,86
22,R1,SKU_A,184
22,R1,SKU_B,104
22,R2,SKU_A,108
22,R2,SKU_B,69
22,R3,SKU_A,272
22,R3,SKU_B,56
23,Supplier,SKU_A,0
23,Supplier,SKU_B,0
23,W1,SKU_A,292
23,W1,SKU_B,173
23,W2,SKU_A,272
23,W2,SKU_B,56
23,R1,SKU_A,117
23,R1,SKU_B,91
23,R2,SKU_A,89
23,R2,SKU_B,46
23,R3,SKU_A,172
23,R3,SKU_B,46
24,Supplier,SKU_A,0
24,Supplier,SKU_B,0
24,W1,SKU_A,206
24,W1,SKU_B,137
24,W2,SKU_A,172
24,W2,SKU_B,46
24,R1,SKU_A,139
24,R1,SKU_B,53
24,R2,SKU_A,83
24,R2,SKU_B,50
24,R3,SKU_A,212
24,R3,SKU_B,69
25,Supplier,SKU_A,0
25,Supplier,SKU_B,0
25,W1,SKU_A,222
25,W1,SKU_B,103
25,W2,SKU_A,212
25,W2,SKU_B,69
25,R1,SKU_A,126
25,R1,SKU_B,68
25,R2,SKU_A,66
25,R2,SKU_B,44
25,R3,SKU_A,205
25,R3,SKU_B,48
26,Supplier,SKU_A,0
26,Supplier,SKU_B,0
26,W1,SKU_A,192
26,W1,SKU_B,112
26,W2,SKU_A,205
26,W2,SKU_B,48
26,R1,SKU_A,120
26,R1,SKU_B,56
26,R2,SKU_A,71
26,R2,SKU_B,32
26,R3,SKU_A,190
26,R3,SKU_B,59
27,Supplier,SKU_A,0
27,Supplier,SKU_B,0
27,W1,SKU_A,191
27,W1,SKU_B,88
27,W2,SKU_A,190
27,W2,SKU_B,59
27,R1,SKU_A,156
27,R1,SKU_B,83
27,R2,SKU_A,99
27,R2,SKU_B,44
27,R3,SKU_A,233
27,R3,SKU_B,91
28,Supplier,SKU_A,0
28,Supplier,SKU_B,0
28,W1,SKU_A,255
28,W1,SKU_B,127
28,W2,SKU_A,233
28,W2,SKU_B,91
28,R1,SKU_A,165
28,R1,SKU_B,97
28,R2,SKU_A,98
28,R2,SKU_B,47
28,R3,SKU_A,305
28,R3,SKU_B,86
29,Supplier,SKU_A,0
29,Supplier,SKU_B,0
29,W1,SKU_A,263
29,W1,SKU_B,144
29,W2,SKU_A,305
29,W2,SKU_B,86
29,R1,SKU_A,194
29,R1,SKU_B,122
29,R2,SKU_A,77
29,R2,SKU_B,40
29,R3,SKU_A,297
29,R3,SKU_B,75
30,Supplier,SKU_A,0
30,Supplier,SKU_B,0
30,W1,SKU_A,271
30,W1,SKU_B,162
30,W2,SKU_A,297
30,W2,SKU_B,75
30,R1,SKU_A,119
30,R1,SKU_B,53
30,R2,SKU_A,70
30,R2,SKU_B,33
30,R3,SKU_A,168
30,R3,SKU_B,74
31,Supplier,SKU_A,0
31,Supplier,SKU_B,0
31,W1,SKU_A,189
31,W1,SKU_B,86
31,W2,SKU_A,168
31,W2,SKU_B,74
31,R1,SKU_A,123
31,R1,SKU_B,64
31,R2,SKU_A,83
31,R2,SKU_B,43
31,R3,SKU_A,242
31,R3,SKU_B,63
32,Supplier,SKU_A,0
32,Supplier,SKU_B,0
32,W1,SKU_A,206
32,W1,SKU_B,107
32,W2,SKU_A,242
32,W2,SKU_B,63
32,R1,SKU_A,127
32,R1,SKU_B,59
32,R2,SKU_A,81
32,R2,SKU_B,35
32,R3,SKU_A,208
32,R3,SKU_B,64
33,Supplier,SKU_A,0
33,Supplier,SKU_B,0
33,W1,SKU_A,208
33,W1,SKU_B,94
33,W2,SKU_A,208
33,W2,SKU_B,64
33,R1,SKU_A,149
33,R1,SKU_B,61
33,R2,SKU_A,102
33,R2,SKU_B,58
33,R3,SKU_A,203
33,R3,SKU_B,70
34,Supplier,SKU_A,0
34,Supplier,SKU_B,0
34,W1,SKU_A,251
34,W1,SKU_B,119
34,W2,SKU_A,203
34,W2,SKU_B,70
34,R1,SKU_A,166
34,R1,SKU_B,99
34,R2,SKU_A,92
34,R2,SKU_B,61
34,R3,SKU_A,250
34,R3,SKU_B,75
35,Supplier,SKU_A,0
35,Supplier,SKU_B,0
35,W1,SKU_A,258
35,W1,SKU_B,160
35,W2,SKU_A,250
35,W2,SKU_B,75
35,R1,SKU_A,180
35,R1,SKU_B,129
35,R2,SKU_A,138
35,R2,SKU_B,48
35,R3,SKU_A,300
35,R3,SKU_B,119
36,Supplier,SKU_A,0
36,Supplier,SKU_B,0
36,W1,SKU_A,318
36,W1,SKU_B,177
36,W2,SKU_A,300
36,W2,SKU_B,119
36,R1,SKU_A,179
36,R1,SKU_B,91
36,R2,SKU_A,125
36,R2,SKU_B,40
36,R3,SKU_A,313
36,R3,SKU_B,123
37,Supplier,SKU_A,0
37,Supplier,SKU_B,0
37,W1,SKU_A,304
37,W1,SKU_B,131
37,W2,SKU_A,313
37,W2,SKU_B,123
37,R1,SKU_A,100
37,R1,SKU_B,61
37,R2,SKU_A,85
37,R2,SKU_B,52
37,R3,SKU_A,225
37,R3,SKU_B,52
38,Supplier,SKU_A,0
38,Supplier,SKU_B,0
38,W1,SKU_A,185
38,W1,SKU_B,113
38,W2,SKU_A,225
38,W2,SKU_B,52
38,R1,SKU_A,117
38,R1,SKU_B,74
38,R2,SKU_A,108
38,R2,SKU_B,56
38,R3,SKU_A,206
38,R3,SKU_B,53
39,Supplier,SKU_A,0
39,Supplier,SKU_B,0
39,W1,SKU_A,225
39,W1,SKU_B,130
39,W2,SKU_A,206
39,W2,SKU_B,53
39,R1,SKU_A,136
39,R1,SKU_B,48
39,R2,SKU_A,84
39,R2,SKU_B,33
39,R3,SKU_A,196
39,R3,SKU_B,62
40,Supplier,SKU_A,0
40,Supplier,SKU_B,0
40,W1,SKU_A,220
40,W1,SKU_B,81
40,W2,SKU_A,196
40,W2,SKU_B,62
40,R1,SKU_A,123
40,R1,SKU_B,70
40,R2,SKU_A,91
40,R2,SKU_B,33
40,R3,SKU_A,226
40,R3,SKU_B,60
41,Supplier,SKU_A,0
41,Supplier,SKU_B,0
41,W1,SKU_A,214
41,W1,SKU_B,103
41,W2,SKU_A,226
41,W2,SKU_B,60
41,R1,SKU_A,151
41,R1,SKU_B,94
41,R2,SKU_A,82
41,R2,SKU_B,45
41,R3,SKU_A,234
41,R3,SKU_B,73
42,Supplier,SKU_A,0
42,Supplier,SKU_B,0
42,W1,SKU_A,233
42,W1,SKU_B,139
42,W2,SKU_A,234
42,W2,SKU_B,73
42,R1,SKU_A,180
42,R1,SKU_B,139
42,R2,SKU_A,100
42,R2,SKU_B,38
42,R3,SKU_A,345
42,R3,SKU_B,94
43,Supplier,SKU_A,0
43,Supplier,SKU_B,0
43,W1,SKU_A,280
43,W1,SKU_B,177
43,W2,SKU_A,345
43,W2,SKU_B,94
43,R1,SKU_A,176
43,R1,SKU_B,108
43,R2,SKU_A,84
43,R2,SKU_B,41
43,R3,SKU_A,296
43,R3,SKU_B,90
44,Supplier,SKU_A,0
44,Supplier,SKU_B,0
44,W1,SKU_A,260
44,W1,SKU_B,149
44,W2,SKU_A,296
44,W2,SKU_B,90
44,R1,SKU_A,119
44,R1,SKU_B,65
44,R2,SKU_A,94
44,R2,SKU_B,48
44,R3,SKU_A,200
44,R3,SKU_B,69
45,Supplier,SKU_A,0
45,Supplier,SKU_B,0
45,W1,SKU_A,213
45,W1,SKU_B,113
45,W2,SKU_A,200
45,W2,SKU_B,69
45,R1,SKU_A,116
45,R1,SKU_B,62
45,R2,SKU_A,77
45,R2,SKU_B,47
45,R3,SKU_A,257
45,R3,SKU_B,60
46,Supplier,SKU_A,0
46,Supplier,SKU_B,0
46,W1,SKU_A,193
46,W1,SKU_B,109
46,W2,SKU_A,257
46,W2,SKU_B,60
46,R1,SKU_A,119
46,R1,SKU_B,66
46,R2,SKU_A,67
46,R2,SKU_B,44
46,R3,SKU_A,209
46,R3,SKU_B,71
47,Supplier,SKU_A,0
47,Supplier,SKU_B,0
47,W1,SKU_A,186
47,W1,SKU_B,110
47,W2,SKU_A,209
47,W2,SKU_B,71
47,R1,SKU_A,134
47,R1,SKU_B,59
47,R2,SKU_A,97
47,R2,SKU_B,50
47,R3,SKU_A,229
47,R3,SKU_B,80
48,Supplier,SKU_A,0
48,Supplier,SKU_B,0
48,W1,SKU_A,231
48,W1,SKU_B,109
48,W2,SKU_A,229
48,W2,SKU_B,80
48,R1,SKU_A,121
48,R1,SKU_B,65
48,R2,SKU_A,84
48,R2,SKU_B,47
48,R3,SKU_A,228
48,R3,SKU_B,72
49,Supplier,SKU_A,0
49,Supplier,SKU_B,0
49,W1,SKU_A,205
49,W1,SKU_B,112
49,W2,SKU_A,228
49,W2,SKU_B,72
49,R1,SKU_A,166
49,R1,SKU_B,120
49,R2,SKU_A,81
49,R2,SKU_B,46
49,R3,SKU_A,293
49,R3,SKU_B,83
50,Supplier,SKU_A,0
50,Supplier,SKU_B,0
50,W1,SKU_A,247
50,W1,SKU_B,166
50,W2,SKU_A,293
50,W2,SKU_B,83
50,R1,SKU_A,198
50,R1,SKU_B,94
50,R2,SKU_A,98
50,R2,SKU_B,40
50,R3,SKU_A,344
50,R3,SKU_B,74
51,Supplier,SKU_A,0
51,Supplier,SKU_B,0
51,W1,SKU_A,296
51,W1,SKU_B,134
51,W2,SKU_A,344
51,W2,SKU_B,74
51,R1,SKU_A,142
51,R1,SKU_B,48
51,R2,SKU_A,69
51,R2,SKU_B,37
51,R3,SKU_A,207
51,R3,SKU_B,71
52,Supplier,SKU_A,0
52,Supplier,SKU_B,0
52,W1,SKU_A,211
52,W1,SKU_B,85
52,W2,SKU_A,207
52,W2,SKU_B,71
52,R1,SKU_A,114
52,R1,SKU_B,44
52,R2,SKU_A,77
52,R2,SKU_B,20
52,R3,SKU_A,214
52,R3,SKU_B,69
53,Supplier,SKU_A,0
53,Supplier,SKU_B,0
53,W1,SKU_A,191
53,W1,SKU_B,64
53,W2,SKU_A,214
53,W2,SKU_B,69
53,R1,SKU_A,110
53,R1,SKU_B,53
53,R2,SKU_A,60
53,R2,SKU_B,18
53,R3,SKU_A,224
53,R3,SKU_B,49
54,Supplier,SKU_A,0
54,Supplier,SKU_B,0
54,W1,SKU_A,170
54,W1,SKU_B,71
54,W2,SKU_A,224
54,W2,SKU_B,49
54,R1,SKU_A,112
54,R1,SKU_B,37
54,R2,SKU_A,65
54,R2,SKU_B,23
54,R3,SKU_A,208
54,R3,SKU_B,55
55,Supplier,SKU_A,0
55,Supplier,SKU_B,0
55,W1,SKU_A,177
55,W1,SKU_B,60
55,W2,SKU_A,208
55,W2,SKU_B,55
55,R1,SKU_A,135
55,R1,SKU_B,77
55,R2,SKU_A,65
55,R2,SKU_B,43
55,R3,SKU_A,221
55,R3,SKU_B,76
56,Supplier,SKU_A,0
56,Supplier,SKU_B,0
56,W1,SKU_A,200
56,W1,SKU_B,120
56,W2,SKU_A,221
56,W2,SKU_B,76
56,R1,SKU_A,185
56,R1,SKU_B,112
56,R2,SKU_A,90
56,R2,SKU_B,32
56,R3,SKU_A,268
56,R3,SKU_B,86
57,Supplier,SKU_A,0
57,Supplier,SKU_B,0
57,W1,SKU_A,275
57,W1,SKU_B,144
57,W2,SKU_A,268
57,W2,SKU_B,86
57,R1,SKU_A,195
57,R1,SKU_B,104
57,R2,SKU_A,83
57,R2,SKU_B,36
57,R3,SKU_A,271
57,R3,SKU_B,85
58,Supplier,SKU_A,0
58,Supplier,SKU_B,0
58,W1,SKU_A,278
58,W1,SKU_B,140
58,W2,SKU_A,271
58,W2,SKU_B,85
58,R1,SKU_A,104
58,R1,SKU_B,56
58,R2,SKU_A,84
58,R2,SKU_B,20
58,R3,SKU_A,183
58,R3,SKU_B,49
59,Supplier,SKU_A,0
59,Supplier,SKU_B,0
59,W1,SKU_A,188
59,W1,SKU_B,76
59,W2,SKU_A,183
59,W2,SKU_B,49
59,R1,SKU_A,118
59,R1,SKU_B,62
59,R2,SKU_A,69
