node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,295680,262425,0.8875304383116883
R1,SKU_B,149389,122716,0.8214527174022184
R1,SKU_C,188593,153611,0.8145106128011114
R1,SKU_D,138388,129087,0.9327904153539324
R1,SKU_E,106855,101462,0.9495297365588882
R2,SKU_A,195525,186276,0.9526965861143076
R2,SKU_B,105823,94358,0.8916587131341958
R2,SKU_C,104873,94816,0.9041030579844193
R2,SKU_D,88288,74704,0.8461399057629576
R2,SKU_E,101694,82468,0.8109426318170196
R3,SKU_A,429037,361036,0.8415031803783822
R3,SKU_B,140960,109533,0.777050227014756
R3,SKU_C,238006,198746,0.8350461753065048
R3,SKU_D,233138,173201,0.7429119234101691
R3,SKU_E,153607,142639,0.9285970040427846
Supplier,SKU_A,0,0,0.0
Supplier,SKU_B,0,0,0.0
Supplier,SKU_C,0,0,0.0
Supplier,SKU_D,0,0,0.0
Supplier,SKU_E,0,0,0.0
W1,SKU_A,0,0,0.0
W1,SKU_B,0,0,0.0
W1,SKU_C,0,0,0.0
W1,SKU_D,0,0,0.0
W1,SKU_E,0,0,0.0
W2,SKU_A,0,0,0.0
W2,SKU_B,0,0,0.0
W2,SKU_C,0,0,0.0
W2,SKU_D,0,0,0.0
W2,SKU_E,0,0,0.0
_OVERALL_,_ALL_,2669856,2287078,0.8566297208538588
