t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,SKU_A,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_B,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_C,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_D,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,Supplier,SKU_E,0,0,0,0,0,0,EOD,0,0,0.0,0.0,0.0,0.0,0.0
0,W1,SKU_A,1736,0,0,0,0,0,EOD,0,0,26.04,0.0,0.0,0.0,26.04
0,W1,SKU_B,942,0,0,0,0,0,EOD,0,0,16.956,0.0,0.0,0.0,16.956
0,W1,SKU_C,1093,0,0,0,0,0,EOD,0,0,17.488,0.0,0.0,0.0,17.488
0,W1,SKU_D,825,0,0,0,0,0,EOD,0,0,14.025,0.0,0.0,0.0,14.025
0,W1,SKU_E,749,0,0,0,0,0,EOD,0,0,11.984,0.0,0.0,0.0,11.984
0,W2,SKU_A,1849,0,0,0,0,0,EOD,0,0,27.735,0.0,0.0,0.0,27.735
0,W2,SKU_B,639,0,0,0,0,0,EOD,0,0,11.501999999999999,0.0,0.0,0.0,11.501999999999999
0,W2,SKU_C,1067,0,0,0,0,0,EOD,0,0,17.072,0.0,0.0,0.0,17.072
0,W2,SKU_D,1046,0,0,0,0,0,EOD,0,0,17.782,0.0,0.0,0.0,17.782
0,W2,SKU_E,648,0,0,0,0,0,EOD,0,0,10.368,0.0,0.0,0.0,10.368
0,R1,SKU_A,433,0,0,0,155,0,EOD,155,155,10.825000000000001,0.0,0.31,0.0,11.135000000000002
0,R1,SKU_B,217,0,0,0,102,0,EOD,102,102,6.51,0.0,0.20400000000000001,0.0,6.7139999999999995
0,R1,SKU_C,307,0,0,0,97,0,EOD,97,97,8.289,0.0,0.194,0.0,8.483
0,R1,SKU_D,208,0,0,0,81,0,EOD,81,81,5.824,0.0,0.162,0.0,5.986
0,R1,SKU_E,132,0,0,0,87,0,EOD,87,87,3.432,0.0,0.17400000000000002,0.0,3.606
0,R2,SKU_A,394,0,0,0,87,0,EOD,87,87,9.850000000000001,0.0,0.17400000000000002,0.0,10.024000000000001
0,R2,SKU_B,239,0,0,0,46,0,EOD,46,46,7.17,0.0,0.092,0.0,7.262
0,R2,SKU_C,244,0,0,0,41,0,EOD,41,41,6.588,0.0,0.082,0.0,6.67
0,R2,SKU_D,189,0,0,0,39,0,EOD,39,39,5.292,0.0,0.078,0.0,5.37
0,R2,SKU_E,173,0,0,0,90,0,EOD,90,90,4.498,0.0,0.18,0.0,4.678
0,R3,SKU_A,1083,0,0,0,274,0,EOD,274,274,27.075000000000003,0.0,0.548,0.0,27.623000000000005
0,R3,SKU_B,383,0,0,0,90,0,EOD,90,90,11.49,0.0,0.18,0.0,11.67
