t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU1,0.0,0.0,0.0,0.0
0,W1,SKU1,1736.0,0.0,0.0,0.0
0,W2,SKU1,1849.0,0.0,0.0,0.0
0,R1,SKU1,433.0,0.0,0.0,0.0
0,R2,SKU1,394.0,0.0,0.0,0.0
0,R3,SKU1,1083.0,0.0,0.0,0.0
1,Supplier,SKU1,0.0,0.0,0.0,0.0
1,W1,SKU1,1494.0,0.0,0.0,0.0
1,W2,SKU1,1575.0,0.0,0.0,0.0
1,R1,SKU1,312.0,0.0,0.0,155.0
1,R2,SKU1,304.0,0.0,0.0,87.0
1,R3,SKU1,815.0,0.0,0.0,274.0
2,Supplier,SKU1,0.0,0.0,0.0,0.0
2,W1,SKU1,1304.0,0.0,21.0,242.0
2,W2,SKU1,1307.0,0.0,0.0,274.0
2,R1,SKU1,213.0,0.0,0.0,255.0
2,R2,SKU1,228.0,0.0,0.0,177.0
2,R3,SKU1,662.0,0.0,0.0,542.0
3,Supplier,SKU1,0.0,0.0,11.0,0.0
3,W1,SKU1,1087.0,0.0,0.0,442.0
3,W2,SKU1,1154.0,0.0,0.0,542.0
3,R1,SKU1,263.0,0.0,0.0,241.0
3,R2,SKU1,145.0,0.0,0.0,253.0
3,R3,SKU1,474.0,0.0,0.0,695.0
4,Supplier,SKU1,0.0,0.0,18.0,0.0
4,W1,SKU1,920.0,0.0,0.0,642.0
4,W2,SKU1,966.0,0.0,0.0,695.0
4,R1,SKU1,271.0,0.0,0.0,225.0
4,R2,SKU1,159.0,0.0,0.0,249.0
4,R3,SKU1,320.0,0.0,0.0,883.0
5,Supplier,SKU1,0.0,0.0,0.0,0.0
5,W1,SKU1,755.0,0.0,0.0,834.0
5,W2,SKU1,812.0,0.0,0.0,883.0
5,R1,SKU1,299.0,0.0,0.0,176.0
5,R2,SKU1,143.0,0.0,0.0,232.0
5,R3,SKU1,383.0,0.0,0.0,763.0
6,Supplier,SKU1,0.0,0.0,0.0,0.0
6,W1,SKU1,555.0,0.0,19.0,981.0
6,W2,SKU1,612.0,0.0,11.0,1037.0
6,R1,SKU1,273.0,0.0,0.0,192.0
6,R2,SKU1,128.0,0.0,0.0,256.0
6,R3,SKU1,447.0,0.0,0.0,695.0
7,Supplier,SKU1,0.0,0.0,30.0,0.0
7,W1,SKU1,561.0,0.0,3.0,939.0
7,W2,SKU1,386.0,0.0,0.0,1237.0
7,R1,SKU1,189.0,0.0,0.0,236.0
7,R2,SKU1,62.0,0.0,0.0,273.0
7,R3,SKU1,301.0,0.0,0.0,768.0
8,Supplier,SKU1,0.0,0.0,0.0,0.0
8,W1,SKU1,449.0,0.0,0.0,997.0
8,W2,SKU1,372.0,0.0,0.0,1200.0
8,R1,SKU1,124.0,0.0,0.0,299.0
8,R2,SKU1,39.0,0.0,0.0,349.0
8,R3,SKU1,213.0,0.0,0.0,868.0
9,Supplier,SKU1,0.0,0.0,0.0,0.0
9,W1,SKU1,391.0,0.0,0.0,1087.0
9,W2,SKU1,364.0,0.0,0.0,1209.0
9,R1,SKU1,165.0,0.0,0.0,328.0
9,R2,SKU1,26.0,0.0,0.0,342.0
9,R3,SKU1,143.0,0.0,0.0,990.0
10,Supplier,SKU1,0.0,0.0,0.0,0.0
10,W1,SKU1,388.0,0.0,13.0,1153.0
10,W2,SKU1,317.0,0.0,24.0,1332.0
10,R1,SKU1,232.0,0.0,0.0,260.0
10,R2,SKU1,20.0,0.0,0.0,342.0
10,R3,SKU1,159.0,0.0,0.0,990.0
11,Supplier,SKU1,0.0,0.0,32.0,0.0
11,W1,SKU1,307.0,0.0,0.0,1206.0
11,W2,SKU1,273.0,0.0,0.0,1344.0
11,R1,SKU1,290.0,0.0,0.0,191.0
11,R2,SKU1,71.0,0.0,0.0,325.0
11,R3,SKU1,199.0,0.0,0.0,996.0
12,Supplier,SKU1,0.0,0.0,0.0,0.0
12,W1,SKU1,322.0,0.0,7.0,1237.0
12,W2,SKU1,265.0,0.0,0.0,1446.0
12,R1,SKU1,266.0,0.0,0.0,196.0
12,R2,SKU1,71.0,0.0,0.0,317.0
12,R3,SKU1,330.0,0.0,0.0,870.0
13,Supplier,SKU1,0.0,0.0,0.0,0.0
13,W1,SKU1,354.0,0.0,0.0,1163.0
13,W2,SKU1,308.0,0.0,0.0,1384.0
13,R1,SKU1,202.0,0.0,0.0,233.0
13,R2,SKU1,53.0,0.0,0.0,310.0
13,R3,SKU1,355.0,0.0,0.0,751.0
14,Supplier,SKU1,0.0,0.0,19.0,0.0
14,W1,SKU1,391.0,0.0,18.0,1073.0
14,W2,SKU1,294.0,0.0,0.0,1304.0
14,R1,SKU1,78.0,0.0,0.0,286.0
14,R2,SKU1,43.0,0.0,0.0,278.0
14,R3,SKU1,208.0,0.0,0.0,802.0
15,Supplier,SKU1,0.0,0.0,9.0,0.0
15,W1,SKU1,271.0,0.0,24.0,1115.0
15,W2,SKU1,224.0,0.0,0.0,1278.0
15,R1,SKU1,0.0,15.0,0.0,353.0
15,R2,SKU1,0.0,27.0,0.0,371.0
15,R3,SKU1,108.0,0.0,0.0,917.0
16,Supplier,SKU1,0.0,0.0,0.0,0.0
16,W1,SKU1,60.0,0.0,0.0,1298.0
16,W2,SKU1,168.0,0.0,0.0,1349.0
16,R1,SKU1,0.0,4.0,0.0,474.0
16,R2,SKU1,0.0,27.0,0.0,415.0
16,R3,SKU1,53.0,0.0,0.0,1087.0
17,Supplier,SKU1,0.0,0.0,0.0,0.0
17,W1,SKU1,98.0,0.0,18.0,1445.0
17,W2,SKU1,168.0,0.0,17.0,1481.0
17,R1,SKU1,63.0,0.0,0.0,374.0
17,R2,SKU1,0.0,10.0,0.0,408.0
