t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
0,Supplier,SKU1,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,W1,SKU1,1736.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,W2,SKU1,1849.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
0,R1,SKU1,433.0,0.0,0.0,0.0,155.0,0.0,EOD,155,155.0,0.0,0.0,0.0,0.0,0.0
0,R2,SKU1,394.0,0.0,0.0,0.0,87.0,0.0,EOD,87,87.0,0.0,0.0,0.0,0.0,0.0
0,R3,SKU1,1083.0,0.0,0.0,0.0,274.0,0.0,EOD,274,274.0,0.0,0.0,0.0,0.0,0.0
1,Supplier,SKU1,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1,SKU1,1494.0,0.0,0.0,0.0,242.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,W2,SKU1,1575.0,0.0,0.0,0.0,274.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
1,R1,SKU1,312.0,0.0,0.0,155.0,121.0,0.0,EOD,121,121.0,0.0,0.0,0.0,0.0,0.0
1,R2,SKU1,304.0,0.0,0.0,87.0,90.0,0.0,EOD,90,90.0,0.0,0.0,0.0,0.0,0.0
1,R3,SKU1,815.0,0.0,0.0,274.0,268.0,0.0,EOD,268,268.0,0.0,0.0,0.0,0.0,0.0
2,Supplier,SKU1,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
2,W1,SKU1,1304.0,0.0,21.0,242.0,211.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
2,W2,SKU1,1307.0,0.0,0.0,274.0,268.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
2,R1,SKU1,213.0,0.0,0.0,255.0,120.0,0.0,EOD,99,99.0,0.0,0.0,0.0,0.0,0.0
2,R2,SKU1,228.0,0.0,0.0,177.0,76.0,0.0,EOD,76,76.0,0.0,0.0,0.0,0.0,0.0
2,R3,SKU1,662.0,0.0,0.0,542.0,153.0,0.0,EOD,153,153.0,0.0,0.0,0.0,0.0,0.0
3,Supplier,SKU1,0.0,0.0,11.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
3,W1,SKU1,1087.0,0.0,0.0,442.0,207.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
3,W2,SKU1,1154.0,0.0,0.0,542.0,153.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
3,R1,SKU1,263.0,0.0,0.0,241.0,84.0,155.0,EOD,105,105.0,0.0,0.0,0.0,0.0,0.0
3,R2,SKU1,145.0,0.0,0.0,253.0,83.0,0.0,EOD,83,83.0,0.0,0.0,0.0,0.0,0.0
3,R3,SKU1,474.0,0.0,0.0,695.0,188.0,0.0,EOD,188,188.0,0.0,0.0,0.0,0.0,0.0
4,Supplier,SKU1,0.0,0.0,18.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
4,W1,SKU1,920.0,0.0,0.0,642.0,174.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
