t,node_id,sku,orders_to_parent
0,Supplier,SKU1,0.0
0,W1,SKU1,0.0
0,W2,SKU1,0.0
0,R1,SKU1,155.0
0,R2,SKU1,87.0
0,R3,SKU1,274.0
1,Supplier,SKU1,0.0
1,W1,SKU1,242.0
1,W2,SKU1,274.0
1,R1,SKU1,121.0
1,R2,SKU1,90.0
1,R3,SKU1,268.0
2,Supplier,SKU1,0.0
2,W1,SKU1,211.0
2,W2,SKU1,268.0
2,R1,SKU1,120.0
2,R2,SKU1,76.0
2,R3,SKU1,153.0
3,Supplier,SKU1,0.0
3,W1,SKU1,207.0
3,W2,SKU1,153.0
3,R1,SKU1,84.0
3,R2,SKU1,83.0
3,R3,SKU1,188.0
4,Supplier,SKU1,0.0
4,W1,SKU1,174.0
4,W2,SKU1,188.0
4,R1,SKU1,92.0
4,R2,SKU1,73.0
4,R3,SKU1,154.0
5,Supplier,SKU1,0.0
5,W1,SKU1,147.0
5,W2,SKU1,154.0
5,R1,SKU1,113.0
5,R2,SKU1,106.0
5,R3,SKU1,211.0
6,Supplier,SKU1,0.0
6,W1,SKU1,219.0
6,W2,SKU1,211.0
6,R1,SKU1,123.0
6,R2,SKU1,97.0
6,R3,SKU1,215.0
7,Supplier,SKU1,0.0
7,W1,SKU1,239.0
7,W2,SKU1,226.0
7,R1,SKU1,163.0
7,R2,SKU1,146.0
7,R3,SKU1,288.0
8,Supplier,SKU1,0.0
8,W1,SKU1,290.0
8,W2,SKU1,277.0
8,R1,SKU1,165.0
8,R2,SKU1,93.0
8,R3,SKU1,276.0
9,Supplier,SKU1,0.0
9,W1,SKU1,258.0
9,W2,SKU1,276.0
9,R1,SKU1,95.0
9,R2,SKU1,113.0
9,R3,SKU1,224.0
10,Supplier,SKU1,0.0
10,W1,SKU1,208.0
10,W2,SKU1,224.0
10,R1,SKU1,96.0
10,R2,SKU1,119.0
10,R3,SKU1,208.0
11,Supplier,SKU1,0.0
11,W1,SKU1,223.0
11,W2,SKU1,232.0
11,R1,SKU1,107.0
11,R2,SKU1,85.0
11,R3,SKU1,162.0
12,Supplier,SKU1,0.0
12,W1,SKU1,184.0
12,W2,SKU1,138.0
12,R1,SKU1,126.0
12,R2,SKU1,93.0
12,R3,SKU1,157.0
13,Supplier,SKU1,0.0
13,W1,SKU1,219.0
13,W2,SKU1,157.0
13,R1,SKU1,153.0
13,R2,SKU1,118.0
13,R3,SKU1,251.0
14,Supplier,SKU1,0.0
14,W1,SKU1,290.0
14,W2,SKU1,251.0
14,R1,SKU1,224.0
14,R2,SKU1,160.0
14,R3,SKU1,347.0
15,Supplier,SKU1,0.0
15,W1,SKU1,374.0
15,W2,SKU1,347.0
15,R1,SKU1,250.0
15,R2,SKU1,137.0
15,R3,SKU1,332.0
16,Supplier,SKU1,0.0
16,W1,SKU1,378.0
16,W2,SKU1,332.0
16,R1,SKU1,118.0
16,R2,SKU1,93.0
16,R3,SKU1,217.0
17,Supplier,SKU1,0.0
17,W1,SKU1,211.0
17,W2,SKU1,217.0
17,R1,SKU1,151.0
17,R2,SKU1,83.0
17,R3,SKU1,263.0
18,Supplier,SKU1,0.0
18,W1,SKU1,245.0
18,W2,SKU1,280.0
18,R1,SKU1,108.0
18,R2,SKU1,77.0
18,R3,SKU1,165.0
19,Supplier,SKU1,0.0
19,W1,SKU1,174.0
19,W2,SKU1,148.0
19,R1,SKU1,143.0
19,R2,SKU1,77.0
19,R3,SKU1,187.0
20,Supplier,SKU1,0.0
20,W1,SKU1,220.0
20,W2,SKU1,187.0
20,R1,SKU1,146.0
20,R2,SKU1,87.0
20,R3,SKU1,248.0
21,Supplier,SKU1,0.0
21,W1,SKU1,253.0
21,W2,SKU1,248.0
21,R1,SKU1,204.0
21,R2,SKU1,100.0
21,R3,SKU1,304.0
22,Supplier,SKU1,0.0
22,W1,SKU1,284.0
22,W2,SKU1,304.0
22,R1,SKU1,188.0
22,R2,SKU1,108.0
22,R3,SKU1,276.0
23,Supplier,SKU1,0.0
23,W1,SKU1,296.0
23,W2,SKU1,280.0
23,R1,SKU1,113.0
23,R2,SKU1,97.0
23,R3,SKU1,168.0
24,Supplier,SKU1,0.0
24,W1,SKU1,210.0
24,W2,SKU1,164.0
24,R1,SKU1,152.0
24,R2,SKU1,80.0
24,R3,SKU1,212.0
25,Supplier,SKU1,0.0
25,W1,SKU1,242.0
25,W2,SKU1,212.0
25,R1,SKU1,113.0
25,R2,SKU1,61.0
25,R3,SKU1,217.0
26,Supplier,SKU1,0.0
26,W1,SKU1,164.0
26,W2,SKU1,229.0
26,R1,SKU1,133.0
26,R2,SKU1,71.0
26,R3,SKU1,178.0
27,Supplier,SKU1,0.0
27,W1,SKU1,204.0
27,W2,SKU1,166.0
27,R1,SKU1,143.0
27,R2,SKU1,99.0
27,R3,SKU1,233.0
28,Supplier,SKU1,0.0
28,W1,SKU1,246.0
28,W2,SKU1,233.0
28,R1,SKU1,165.0
28,R2,SKU1,98.0
28,R3,SKU1,305.0
29,Supplier,SKU1,0.0
29,W1,SKU1,259.0
29,W2,SKU1,305.0
29,R1,SKU1,194.0
29,R2,SKU1,77.0
29,R3,SKU1,302.0
30,Supplier,SKU1,0.0
30,W1,SKU1,271.0
30,W2,SKU1,307.0
30,R1,SKU1,119.0
30,R2,SKU1,70.0
30,R3,SKU1,170.0
31,Supplier,SKU1,0.0
31,W1,SKU1,189.0
31,W2,SKU1,177.0
31,R1,SKU1,142.0
31,R2,SKU1,83.0
31,R3,SKU1,235.0
32,Supplier,SKU1,0.0
32,W1,SKU1,225.0
32,W2,SKU1,223.0
32,R1,SKU1,108.0
32,R2,SKU1,81.0
32,R3,SKU1,208.0
33,Supplier,SKU1,0.0
33,W1,SKU1,189.0
33,W2,SKU1,231.0
33,R1,SKU1,157.0
33,R2,SKU1,102.0
33,R3,SKU1,211.0
34,Supplier,SKU1,0.0
34,W1,SKU1,259.0
34,W2,SKU1,188.0
34,R1,SKU1,158.0
34,R2,SKU1,94.0
34,R3,SKU1,261.0
35,Supplier,SKU1,0.0
35,W1,SKU1,252.0
35,W2,SKU1,261.0
35,R1,SKU1,180.0
35,R2,SKU1,136.0
35,R3,SKU1,281.0
36,Supplier,SKU1,0.0
36,W1,SKU1,316.0
36,W2,SKU1,281.0
36,R1,SKU1,179.0
36,R2,SKU1,125.0
36,R3,SKU1,313.0
37,Supplier,SKU1,0.0
37,W1,SKU1,320.0
37,W2,SKU1,313.0
37,R1,SKU1,100.0
37,R2,SKU1,85.0
37,R3,SKU1,238.0
38,Supplier,SKU1,0.0
38,W1,SKU1,169.0
38,W2,SKU1,251.0
38,R1,SKU1,117.0
38,R2,SKU1,108.0
38,R3,SKU1,193.0
39,Supplier,SKU1,0.0
39,W1,SKU1,225.0
39,W2,SKU1,180.0
39,R1,SKU1,153.0
39,R2,SKU1,92.0
39,R3,SKU1,196.0
40,Supplier,SKU1,0.0
40,W1,SKU1,245.0
40,W2,SKU1,196.0
40,R1,SKU1,106.0
40,R2,SKU1,83.0
40,R3,SKU1,226.0
41,Supplier,SKU1,0.0
41,W1,SKU1,189.0
41,W2,SKU1,226.0
41,R1,SKU1,157.0
41,R2,SKU1,82.0
41,R3,SKU1,234.0
42,Supplier,SKU1,0.0
42,W1,SKU1,239.0
42,W2,SKU1,234.0
42,R1,SKU1,174.0
42,R2,SKU1,100.0
42,R3,SKU1,345.0
43,Supplier,SKU1,0.0
43,W1,SKU1,274.0
43,W2,SKU1,345.0
43,R1,SKU1,176.0
43,R2,SKU1,84.0
43,R3,SKU1,296.0
44,Supplier,SKU1,0.0
44,W1,SKU1,260.0
44,W2,SKU1,296.0
44,R1,SKU1,119.0
44,R2,SKU1,94.0
44,R3,SKU1,200.0
45,Supplier,SKU1,0.0
45,W1,SKU1,213.0
45,W2,SKU1,200.0
45,R1,SKU1,135.0
45,R2,SKU1,77.0
45,R3,SKU1,257.0
46,Supplier,SKU1,0.0
46,W1,SKU1,225.0
46,W2,SKU1,257.0
46,R1,SKU1,100.0
46,R2,SKU1,67.0
46,R3,SKU1,209.0
47,Supplier,SKU1,0.0
47,W1,SKU1,154.0
47,W2,SKU1,209.0
47,R1,SKU1,134.0
47,R2,SKU1,97.0
47,R3,SKU1,238.0
48,Supplier,SKU1,0.0
48,W1,SKU1,231.0
48,W2,SKU1,247.0
48,R1,SKU1,121.0
48,R2,SKU1,84.0
48,R3,SKU1,219.0
49,Supplier,SKU1,0.0
49,W1,SKU1,205.0
49,W2,SKU1,210.0
49,R1,SKU1,187.0
49,R2,SKU1,81.0
49,R3,SKU1,312.0
50,Supplier,SKU1,0.0
50,W1,SKU1,273.0
50,W2,SKU1,322.0
50,R1,SKU1,185.0
50,R2,SKU1,98.0
50,R3,SKU1,325.0
51,Supplier,SKU1,0.0
51,W1,SKU1,278.0
51,W2,SKU1,315.0
51,R1,SKU1,134.0
51,R2,SKU1,69.0
51,R3,SKU1,207.0
52,Supplier,SKU1,0.0
52,W1,SKU1,203.0
52,W2,SKU1,222.0
52,R1,SKU1,114.0
52,R2,SKU1,77.0
52,R3,SKU1,221.0
53,Supplier,SKU1,0.0
53,W1,SKU1,194.0
53,W2,SKU1,206.0
53,R1,SKU1,124.0
53,R2,SKU1,60.0
53,R3,SKU1,217.0
54,Supplier,SKU1,0.0
54,W1,SKU1,181.0
54,W2,SKU1,223.0
54,R1,SKU1,98.0
54,R2,SKU1,65.0
54,R3,SKU1,225.0
55,Supplier,SKU1,0.0
55,W1,SKU1,163.0
55,W2,SKU1,219.0
55,R1,SKU1,135.0
55,R2,SKU1,65.0
55,R3,SKU1,204.0
56,Supplier,SKU1,0.0
56,W1,SKU1,200.0
