t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0.0,0.0,0.0,0.0
0,Supplier,SKU_B,0.0,0.0,0.0,0.0
0,W1,SKU_A,1736.0,0.0,0.0,0.0
0,W1,SKU_B,1736.0,0.0,0.0,0.0
0,W2,SKU_A,1849.0,0.0,0.0,0.0
0,W2,SKU_B,1849.0,0.0,0.0,0.0
0,R1,SKU_A,433.0,0.0,0.0,0.0
0,R1,SKU_B,433.0,0.0,0.0,0.0
0,R2,SKU_A,394.0,0.0,0.0,0.0
0,R2,SKU_B,394.0,0.0,0.0,0.0
0,R3,SKU_A,1083.0,0.0,0.0,0.0
0,R3,SKU_B,1083.0,0.0,0.0,0.0
1,Supplier,SKU_A,0.0,0.0,0.0,0.0
1,Supplier,SKU_B,0.0,0.0,0.0,0.0
1,W1,SKU_A,1494.0,0.0,0.0,0.0
1,W1,SKU_B,1494.0,0.0,0.0,0.0
1,W2,SKU_A,1575.0,0.0,0.0,0.0
1,W2,SKU_B,1575.0,0.0,0.0,0.0
1,R1,SKU_A,312.0,0.0,0.0,155.0
1,R1,SKU_B,312.0,0.0,0.0,155.0
1,R2,SKU_A,304.0,0.0,0.0,87.0
1,R2,SKU_B,304.0,0.0,0.0,87.0
1,R3,SKU_A,815.0,0.0,0.0,274.0
1,R3,SKU_B,815.0,0.0,0.0,274.0
2,Supplier,SKU_A,0.0,0.0,0.0,0.0
2,Supplier,SKU_B,0.0,0.0,0.0,0.0
2,W1,SKU_A,1304.0,0.0,21.0,242.0
2,W1,SKU_B,1304.0,0.0,21.0,242.0
2,W2,SKU_A,1307.0,0.0,0.0,274.0
2,W2,SKU_B,1307.0,0.0,0.0,274.0
2,R1,SKU_A,213.0,0.0,0.0,255.0
2,R1,SKU_B,213.0,0.0,0.0,255.0
2,R2,SKU_A,228.0,0.0,0.0,177.0
2,R2,SKU_B,228.0,0.0,0.0,177.0
2,R3,SKU_A,662.0,0.0,0.0,542.0
2,R3,SKU_B,662.0,0.0,0.0,542.0
3,Supplier,SKU_A,0.0,0.0,11.0,0.0
3,Supplier,SKU_B,0.0,0.0,11.0,0.0
3,W1,SKU_A,1128.0,0.0,20.0,442.0
3,W1,SKU_B,1128.0,0.0,20.0,442.0
3,W2,SKU_A,1154.0,0.0,0.0,542.0
3,W2,SKU_B,1154.0,0.0,0.0,542.0
3,R1,SKU_A,263.0,0.0,0.0,200.0
3,R1,SKU_B,263.0,0.0,0.0,200.0
3,R2,SKU_A,145.0,0.0,0.0,253.0
3,R2,SKU_B,145.0,0.0,0.0,253.0
3,R3,SKU_A,474.0,0.0,0.0,695.0
3,R3,SKU_B,474.0,0.0,0.0,695.0
4,Supplier,SKU_A,0.0,0.0,0.0,0.0
4,Supplier,SKU_B,0.0,0.0,0.0,0.0
4,W1,SKU_A,920.0,0.0,0.0,628.0
4,W1,SKU_B,920.0,0.0,0.0,628.0
4,W2,SKU_A,966.0,0.0,0.0,695.0
4,W2,SKU_B,966.0,0.0,0.0,695.0
4,R1,SKU_A,271.0,0.0,0.0,225.0
4,R1,SKU_B,271.0,0.0,0.0,225.0
4,R2,SKU_A,159.0,0.0,0.0,249.0
4,R2,SKU_B,159.0,0.0,0.0,249.0
4,R3,SKU_A,320.0,0.0,0.0,883.0
4,R3,SKU_B,320.0,0.0,0.0,883.0
5,Supplier,SKU_A,0.0,0.0,0.0,0.0
5,Supplier,SKU_B,0.0,0.0,0.0,0.0
5,W1,SKU_A,755.0,0.0,0.0,816.0
5,W1,SKU_B,755.0,0.0,0.0,816.0
5,W2,SKU_A,812.0,0.0,0.0,883.0
5,W2,SKU_B,812.0,0.0,0.0,883.0
5,R1,SKU_A,258.0,0.0,0.0,217.0
5,R1,SKU_B,258.0,0.0,0.0,217.0
5,R2,SKU_A,143.0,0.0,0.0,232.0
5,R2,SKU_B,143.0,0.0,0.0,232.0
5,R3,SKU_A,383.0,0.0,0.0,763.0
5,R3,SKU_B,383.0,0.0,0.0,763.0
6,Supplier,SKU_A,0.0,0.0,0.0,0.0
6,Supplier,SKU_B,0.0,0.0,0.0,0.0
6,W1,SKU_A,555.0,0.0,19.0,981.0
6,W1,SKU_B,555.0,0.0,19.0,981.0
6,W2,SKU_A,612.0,0.0,11.0,1037.0
6,W2,SKU_B,612.0,0.0,11.0,1037.0
