t_ship,from_node,to_node,sku,lead_time,qty,arrival_time
1,W1,R1,SKU_A,2,155.0,3
1,W1,R2,SKU_A,3,87.0,4
1,W1,R1,SKU_B,2,155.0,3
1,W1,R2,SKU_B,3,87.0,4
1,W2,R3,SKU_A,4,274.0,5
1,W2,R3,SKU_B,4,274.0,5
2,Supplier,W1,SKU_A,5,242.0,7
2,Supplier,W2,SKU_B,6,274.0,8
2,Supplier,W2,SKU_A,6,274.0,8
2,Supplier,W1,SKU_B,5,242.0,7
2,W1,R1,SKU_A,2,100.0,4
2,W1,R2,SKU_A,3,90.0,5
2,W1,R1,SKU_B,2,100.0,4
2,W1,R2,SKU_B,3,90.0,5
2,W2,R3,SKU_A,4,268.0,6
2,W2,R3,SKU_B,4,268.0,6
3,Supplier,W1,SKU_A,5,200.0,8
3,Supplier,W2,SKU_B,6,268.0,9
3,Supplier,W2,SKU_A,6,268.0,9
3,Supplier,W1,SKU_B,5,200.0,8
3,W1,R1,SKU_A,2,100.0,5
3,W1,R2,SKU_A,3,76.0,6
3,W1,R1,SKU_B,2,100.0,5
3,W1,R2,SKU_B,3,76.0,6
3,W2,R3,SKU_A,4,153.0,7
3,W2,R3,SKU_B,4,153.0,7
4,Supplier,W2,SKU_A,6,153.0,10
4,Supplier,W1,SKU_A,5,186.0,9
4,Supplier,W2,SKU_B,6,153.0,10
4,Supplier,W1,SKU_B,5,186.0,9
4,W1,R1,SKU_A,2,125.0,6
4,W1,R2,SKU_A,3,83.0,7
4,W1,R1,SKU_B,2,125.0,6
4,W1,R2,SKU_B,3,83.0,7
4,W2,R3,SKU_A,4,188.0,8
4,W2,R3,SKU_B,4,188.0,8
5,Supplier,W1,SKU_A,5,188.0,10
5,Supplier,W2,SKU_B,6,188.0,11
5,Supplier,W2,SKU_A,6,188.0,11
5,Supplier,W1,SKU_B,5,188.0,10
5,W1,R1,SKU_A,2,92.0,7
5,W1,R2,SKU_A,3,73.0,8
5,W1,R1,SKU_B,2,92.0,7
5,W1,R2,SKU_B,3,73.0,8
5,W2,R3,SKU_A,4,154.0,9
5,W2,R3,SKU_B,4,154.0,9
6,Supplier,W1,SKU_A,5,165.0,11
6,Supplier,W2,SKU_B,6,154.0,12
6,Supplier,W2,SKU_A,6,154.0,12
6,Supplier,W1,SKU_B,5,165.0,11
6,W1,R1,SKU_A,2,100.0,8
6,W1,R2,SKU_A,3,100.0,9
6,W1,R1,SKU_B,2,100.0,8
6,W1,R2,SKU_B,3,100.0,9
6,W2,R3,SKU_A,4,200.0,10
6,W2,R3,SKU_B,4,200.0,10
7,Supplier,W1,SKU_A,5,200.0,12
7,Supplier,W2,SKU_B,6,200.0,13
7,Supplier,W2,SKU_A,6,200.0,13
7,Supplier,W1,SKU_B,5,200.0,12
7,W1,R1,SKU_A,2,100.0,9
7,W1,R1,SKU_B,2,100.0,9
7,W1,R2,SKU_A,3,97.0,10
7,W1,R2,SKU_B,3,97.0,10
7,W2,R3,SKU_A,4,200.0,11
7,W2,R3,SKU_B,4,200.0,11
8,Supplier,W1,SKU_A,5,200.0,13
8,Supplier,W1,SKU_B,5,200.0,13
8,Supplier,W2,SKU_A,6,200.0,14
8,Supplier,W2,SKU_B,6,200.0,14
8,W1,R1,SKU_A,2,199.0,10
8,W1,R2,SKU_A,3,149.0,11
8,W1,R1,SKU_B,2,199.0,10
8,W1,R2,SKU_B,3,149.0,11
8,W2,R3,SKU_A,4,300.0,12
8,W2,R3,SKU_B,4,300.0,12
9,Supplier,W1,SKU_A,5,345.0,14
9,Supplier,W1,SKU_B,5,345.0,14
9,Supplier,W2,SKU_A,6,300.0,15
9,Supplier,W2,SKU_B,6,300.0,15
9,W1,R1,SKU_A,2,165.0,11
9,W1,R2,SKU_A,3,96.0,12
9,W1,R1,SKU_B,2,165.0,11
9,W1,R2,SKU_B,3,96.0,12
9,W2,R3,SKU_A,4,290.0,13
9,W2,R3,SKU_B,4,290.0,13
10,Supplier,W2,SKU_A,6,290.0,16
10,Supplier,W1,SKU_A,5,261.0,15
10,Supplier,W2,SKU_B,6,290.0,16
10,Supplier,W1,SKU_B,5,261.0,15
10,W1,R1,SKU_A,2,95.0,12
10,W1,R2,SKU_A,3,100.0,13
10,W1,R1,SKU_B,2,95.0,12
10,W1,R2,SKU_B,3,100.0,13
10,W2,R3,SKU_A,4,200.0,14
10,W2,R3,SKU_B,4,200.0,14
11,Supplier,W1,SKU_A,5,200.0,16
11,Supplier,W2,SKU_B,6,200.0,17
11,Supplier,W2,SKU_A,6,200.0,17
11,Supplier,W1,SKU_B,5,200.0,16
11,W1,R1,SKU_A,2,96.0,13
11,W1,R2,SKU_A,3,100.0,14
11,W1,R1,SKU_B,2,96.0,13
11,W1,R2,SKU_B,3,100.0,14
11,W2,R3,SKU_A,4,200.0,15
11,W2,R3,SKU_B,4,200.0,15
12,Supplier,W1,SKU_A,5,200.0,17
12,Supplier,W1,SKU_B,5,200.0,17
12,Supplier,W2,SKU_A,6,200.0,18
12,Supplier,W2,SKU_B,6,200.0,18
12,W1,R1,SKU_A,2,100.0,14
12,W1,R2,SKU_A,3,100.0,15
12,W1,R1,SKU_B,2,100.0,14
12,W1,R2,SKU_B,3,100.0,15
12,W2,R3,SKU_A,4,194.0,16
12,W2,R3,SKU_B,4,194.0,16
13,Supplier,W1,SKU_A,5,200.0,18
13,Supplier,W1,SKU_B,5,200.0,18
13,Supplier,W2,SKU_A,6,194.0,19
13,Supplier,W2,SKU_B,6,194.0,19
13,W1,R1,SKU_A,2,126.0,15
13,W1,R1,SKU_B,2,126.0,15
13,W1,R2,SKU_A,3,100.0,16
13,W1,R2,SKU_B,3,100.0,16
13,W2,R3,SKU_A,4,157.0,17
13,W2,R3,SKU_B,4,157.0,17
14,Supplier,W2,SKU_A,6,157.0,20
14,Supplier,W1,SKU_A,5,227.0,19
14,Supplier,W2,SKU_B,6,157.0,20
14,Supplier,W1,SKU_B,5,227.0,19
14,W1,R1,SKU_A,2,160.0,16
14,W1,R2,SKU_A,3,128.0,17
14,W1,R1,SKU_B,2,160.0,16
14,W1,R2,SKU_B,3,128.0,17
14,W2,R3,SKU_A,4,251.0,18
14,W2,R3,SKU_B,4,251.0,18
15,Supplier,W1,SKU_A,5,278.0,20
15,Supplier,W2,SKU_B,6,251.0,21
15,Supplier,W2,SKU_A,6,251.0,21
15,Supplier,W1,SKU_B,5,278.0,20
15,W1,R1,SKU_A,2,200.0,17
15,W1,R2,SKU_A,3,142.0,18
15,W1,R1,SKU_B,2,200.0,17
15,W1,R2,SKU_B,3,142.0,18
15,W2,R3,SKU_A,4,347.0,19
15,W2,R3,SKU_B,4,347.0,19
16,Supplier,W1,SKU_A,5,366.0,21
16,Supplier,W2,SKU_B,6,347.0,22
16,Supplier,W2,SKU_A,6,347.0,22
16,Supplier,W1,SKU_B,5,366.0,21
16,W1,R1,SKU_A,2,250.0,18
16,W1,R2,SKU_A,3,155.0,19
16,W1,R1,SKU_B,2,250.0,18
16,W1,R2,SKU_B,3,155.0,19
16,W2,R3,SKU_A,4,332.0,20
16,W2,R3,SKU_B,4,332.0,20
17,Supplier,W1,SKU_A,5,381.0,22
17,Supplier,W2,SKU_B,6,332.0,23
17,Supplier,W2,SKU_A,6,332.0,23
17,Supplier,W1,SKU_B,5,381.0,22
17,W1,R1,SKU_A,2,142.0,19
17,W1,R2,SKU_A,3,93.0,20
17,W1,R1,SKU_B,2,142.0,19
17,W1,R2,SKU_B,3,93.0,20
17,W2,R3,SKU_A,4,200.0,21
17,W2,R3,SKU_B,4,200.0,21
18,Supplier,W1,SKU_A,5,235.0,23
18,Supplier,W2,SKU_B,6,200.0,24
18,Supplier,W2,SKU_A,6,200.0,24
18,Supplier,W1,SKU_B,5,235.0,23
18,W1,R1,SKU_A,2,133.0,20
18,W1,R2,SKU_A,3,83.0,21
18,W1,R1,SKU_B,2,133.0,20
18,W1,R2,SKU_B,3,83.0,21
18,W2,R3,SKU_A,4,263.0,22
18,W2,R3,SKU_B,4,263.0,22
19,Supplier,W2,SKU_A,6,263.0,25
19,Supplier,W1,SKU_A,5,200.0,24
19,Supplier,W2,SKU_B,6,263.0,25
19,Supplier,W1,SKU_B,5,200.0,24
19,W1,R1,SKU_A,2,126.0,21
19,W1,R2,SKU_A,3,77.0,22
19,W1,R1,SKU_B,2,126.0,21
19,W1,R2,SKU_B,3,77.0,22
19,W2,R3,SKU_A,4,182.0,23
19,W2,R3,SKU_B,4,182.0,23
20,Supplier,W2,SKU_A,6,182.0,26
20,Supplier,W1,SKU_A,5,200.0,25
20,Supplier,W2,SKU_B,6,182.0,26
20,Supplier,W1,SKU_B,5,200.0,25
20,W1,R1,SKU_A,2,135.0,22
20,W1,R2,SKU_A,3,77.0,23
20,W1,R1,SKU_B,2,135.0,22
20,W1,R2,SKU_B,3,77.0,23
20,W2,R3,SKU_A,4,187.0,24
20,W2,R3,SKU_B,4,187.0,24
21,Supplier,W2,SKU_A,6,187.0,27
21,Supplier,W1,SKU_A,5,231.0,26
21,Supplier,W2,SKU_B,6,187.0,27
21,Supplier,W1,SKU_B,5,231.0,26
21,W1,R1,SKU_A,2,154.0,23
21,W1,R2,SKU_A,3,87.0,24
21,W1,R1,SKU_B,2,154.0,23
21,W1,R2,SKU_B,3,87.0,24
21,W2,R3,SKU_A,4,248.0,25
21,W2,R3,SKU_B,4,248.0,25
22,Supplier,W1,SKU_A,5,241.0,27
22,Supplier,W2,SKU_B,6,248.0,28
22,Supplier,W2,SKU_A,6,248.0,28
22,Supplier,W1,SKU_B,5,241.0,27
22,W1,R1,SKU_A,2,200.0,24
22,W1,R2,SKU_A,3,100.0,25
22,W1,R1,SKU_B,2,200.0,24
22,W1,R2,SKU_B,3,100.0,25
22,W2,R3,SKU_A,4,300.0,26
22,W2,R3,SKU_B,4,300.0,26
23,Supplier,W1,SKU_A,5,300.0,28
23,Supplier,W2,SKU_B,6,300.0,29
23,Supplier,W2,SKU_A,6,300.0,29
23,Supplier,W1,SKU_B,5,300.0,28
23,W1,R1,SKU_A,2,188.0,25
23,W1,R2,SKU_A,3,100.0,26
23,W1,R1,SKU_B,2,188.0,25
23,W1,R2,SKU_B,3,100.0,26
23,W2,R3,SKU_A,4,276.0,27
23,W2,R3,SKU_B,4,276.0,27
24,Supplier,W1,SKU_A,5,296.0,29
24,Supplier,W1,SKU_B,5,296.0,29
24,Supplier,W2,SKU_A,6,276.0,30
24,Supplier,W2,SKU_B,6,276.0,30
24,W1,R1,SKU_A,2,100.0,26
24,W1,R2,SKU_A,3,97.0,27
24,W1,R1,SKU_B,2,100.0,26
24,W1,R2,SKU_B,3,97.0,27
24,W2,R3,SKU_A,4,172.0,28
24,W2,R3,SKU_B,4,172.0,28
25,Supplier,W1,SKU_A,5,200.0,30
25,Supplier,W2,SKU_B,6,172.0,31
25,Supplier,W2,SKU_A,6,172.0,31
25,Supplier,W1,SKU_B,5,200.0,30
25,W1,R1,SKU_A,2,156.0,27
25,W1,R2,SKU_A,3,83.0,28
25,W1,R1,SKU_B,2,156.0,27
25,W1,R2,SKU_B,3,83.0,28
25,W2,R3,SKU_A,4,200.0,29
25,W2,R3,SKU_B,4,200.0,29
26,Supplier,W2,SKU_A,6,200.0,32
26,Supplier,W1,SKU_A,5,228.0,31
26,Supplier,W2,SKU_B,6,200.0,32
26,Supplier,W1,SKU_B,5,228.0,31
26,W1,R1,SKU_A,2,126.0,28
26,W1,R2,SKU_A,3,66.0,29
26,W1,R1,SKU_B,2,126.0,28
26,W1,R2,SKU_B,3,66.0,29
26,W2,R3,SKU_A,4,200.0,30
26,W2,R3,SKU_B,4,200.0,30
27,Supplier,W2,SKU_A,6,200.0,33
27,Supplier,W1,SKU_A,5,192.0,32
27,Supplier,W2,SKU_B,6,200.0,33
27,Supplier,W1,SKU_B,5,192.0,32
27,W1,R1,SKU_A,2,100.0,29
27,W1,R2,SKU_A,3,71.0,30
27,W1,R1,SKU_B,2,100.0,29
27,W1,R2,SKU_B,3,71.0,30
27,W2,R3,SKU_A,4,200.0,31
27,W2,R3,SKU_B,4,200.0,31
28,Supplier,W2,SKU_A,6,200.0,34
28,Supplier,W1,SKU_A,5,191.0,33
28,Supplier,W2,SKU_B,6,200.0,34
28,Supplier,W1,SKU_B,5,191.0,33
28,W1,R1,SKU_A,2,176.0,30
28,W1,R2,SKU_A,3,99.0,31
28,W1,R1,SKU_B,2,176.0,30
28,W1,R2,SKU_B,3,99.0,31
28,W2,R3,SKU_A,4,240.0,32
28,W2,R3,SKU_B,4,240.0,32
29,Supplier,W2,SKU_A,6,240.0,35
29,Supplier,W1,SKU_A,5,255.0,34
29,Supplier,W2,SKU_B,6,240.0,35
29,Supplier,W1,SKU_B,5,255.0,34
29,W1,R1,SKU_A,2,165.0,31
29,W1,R2,SKU_A,3,98.0,32
29,W1,R1,SKU_B,2,165.0,31
29,W1,R2,SKU_B,3,98.0,32
29,W2,R3,SKU_A,4,300.0,33
29,W2,R3,SKU_B,4,300.0,33
30,Supplier,W1,SKU_A,5,263.0,35
30,Supplier,W2,SKU_B,6,300.0,36
30,Supplier,W2,SKU_A,6,300.0,36
30,Supplier,W1,SKU_B,5,263.0,35
30,W1,R1,SKU_A,2,194.0,32
30,W1,R2,SKU_A,3,77.0,33
30,W1,R1,SKU_B,2,194.0,32
30,W1,R2,SKU_B,3,77.0,33
30,W2,R3,SKU_A,4,300.0,34
30,W2,R3,SKU_B,4,300.0,34
