node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,409.10999999999996,38.5,0.0,0.0,447.60999999999996
R1,SKU_B,409.10999999999996,38.5,0.0,0.0,447.60999999999996
R2,SKU_A,326.61,32.0,0.0,0.0,358.61
R2,SKU_B,326.61,32.0,0.0,0.0,358.61
R3,SKU_A,516.96,71.5,0.0,0.0,588.46
R3,SKU_B,516.96,71.5,0.0,0.0,588.46
Supplier,SKU_A,0.0,0.0,0.0,0.0,0.0
Supplier,SKU_B,0.0,0.0,0.0,0.0,0.0
W1,SKU_A,647.2,0.0,1547.8,0.0,2195.0
W1,SKU_B,647.2,0.0,1547.8,0.0,2195.0
W2,SKU_A,462.68,0.0,1547.0,0.0,2009.68
W2,SKU_B,462.68,0.0,1547.0,0.0,2009.68
_OVERALL_,_ALL_,4725.120000000001,284.0,6189.6,0.0,11198.720000000001
