t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0.0
0,Supplier,SKU_B,0.0
0,W1,SKU_A,0.0
0,W1,SKU_B,0.0
0,W2,SKU_A,0.0
0,W2,SKU_B,0.0
0,R1,SKU_A,155.0
0,R1,SKU_B,155.0
0,R2,SKU_A,87.0
0,R2,SKU_B,87.0
0,R3,SKU_A,274.0
0,R3,SKU_B,274.0
1,Supplier,SKU_A,0.0
1,Supplier,SKU_B,0.0
1,W1,SKU_A,242.0
1,W1,SKU_B,242.0
1,W2,SKU_A,274.0
1,W2,SKU_B,274.0
1,R1,SKU_A,121.0
1,R1,SKU_B,121.0
1,R2,SKU_A,90.0
1,R2,SKU_B,90.0
1,R3,SKU_A,268.0
1,R3,SKU_B,268.0
2,Supplier,SKU_A,0.0
2,Supplier,SKU_B,0.0
2,W1,SKU_A,211.0
2,W1,SKU_B,211.0
2,W2,SKU_A,268.0
2,W2,SKU_B,268.0
2,R1,SKU_A,120.0
2,R1,SKU_B,120.0
2,R2,SKU_A,76.0
2,R2,SKU_B,76.0
2,R3,SKU_A,153.0
2,R3,SKU_B,153.0
3,Supplier,SKU_A,0.0
3,Supplier,SKU_B,0.0
3,W1,SKU_A,207.0
3,W1,SKU_B,207.0
3,W2,SKU_A,153.0
3,W2,SKU_B,153.0
3,R1,SKU_A,84.0
3,R1,SKU_B,84.0
3,R2,SKU_A,83.0
3,R2,SKU_B,83.0
3,R3,SKU_A,188.0
3,R3,SKU_B,188.0
4,Supplier,SKU_A,0.0
4,Supplier,SKU_B,0.0
4,W1,SKU_A,174.0
4,W1,SKU_B,174.0
4,W2,SKU_A,188.0
4,W2,SKU_B,188.0
4,R1,SKU_A,92.0
4,R1,SKU_B,92.0
4,R2,SKU_A,73.0
4,R2,SKU_B,73.0
4,R3,SKU_A,154.0
4,R3,SKU_B,154.0
5,Supplier,SKU_A,0.0
5,Supplier,SKU_B,0.0
5,W1,SKU_A,147.0
5,W1,SKU_B,147.0
5,W2,SKU_A,154.0
5,W2,SKU_B,154.0
5,R1,SKU_A,113.0
5,R1,SKU_B,113.0
5,R2,SKU_A,106.0
5,R2,SKU_B,106.0
5,R3,SKU_A,211.0
5,R3,SKU_B,211.0
6,Supplier,SKU_A,0.0
6,Supplier,SKU_B,0.0
6,W1,SKU_A,219.0
6,W1,SKU_B,219.0
6,W2,SKU_A,211.0
6,W2,SKU_B,211.0
6,R1,SKU_A,123.0
6,R1,SKU_B,123.0
6,R2,SKU_A,97.0
6,R2,SKU_B,97.0
6,R3,SKU_A,215.0
6,R3,SKU_B,215.0
7,Supplier,SKU_A,0.0
7,Supplier,SKU_B,0.0
7,W1,SKU_A,239.0
7,W1,SKU_B,239.0
7,W2,SKU_A,226.0
7,W2,SKU_B,226.0
7,R1,SKU_A,163.0
7,R1,SKU_B,163.0
7,R2,SKU_A,146.0
7,R2,SKU_B,146.0
7,R3,SKU_A,288.0
7,R3,SKU_B,288.0
8,Supplier,SKU_A,0.0
8,Supplier,SKU_B,0.0
8,W1,SKU_A,290.0
8,W1,SKU_B,290.0
8,W2,SKU_A,277.0
8,W2,SKU_B,277.0
8,R1,SKU_A,165.0
8,R1,SKU_B,165.0
8,R2,SKU_A,93.0
8,R2,SKU_B,93.0
8,R3,SKU_A,276.0
8,R3,SKU_B,276.0
9,Supplier,SKU_A,0.0
9,Supplier,SKU_B,0.0
9,W1,SKU_A,258.0
9,W1,SKU_B,258.0
9,W2,SKU_A,276.0
9,W2,SKU_B,276.0
9,R1,SKU_A,95.0
9,R1,SKU_B,95.0
9,R2,SKU_A,113.0
9,R2,SKU_B,113.0
9,R3,SKU_A,224.0
9,R3,SKU_B,224.0
10,Supplier,SKU_A,0.0
10,Supplier,SKU_B,0.0
10,W1,SKU_A,208.0
10,W1,SKU_B,208.0
10,W2,SKU_A,224.0
10,W2,SKU_B,224.0
10,R1,SKU_A,96.0
10,R1,SKU_B,96.0
10,R2,SKU_A,119.0
10,R2,SKU_B,119.0
10,R3,SKU_A,208.0
10,R3,SKU_B,208.0
11,Supplier,SKU_A,0.0
11,Supplier,SKU_B,0.0
11,W1,SKU_A,223.0
11,W1,SKU_B,223.0
11,W2,SKU_A,232.0
11,W2,SKU_B,232.0
11,R1,SKU_A,107.0
11,R1,SKU_B,107.0
11,R2,SKU_A,85.0
11,R2,SKU_B,85.0
11,R3,SKU_A,162.0
11,R3,SKU_B,162.0
12,Supplier,SKU_A,0.0
12,Supplier,SKU_B,0.0
12,W1,SKU_A,184.0
12,W1,SKU_B,184.0
12,W2,SKU_A,138.0
12,W2,SKU_B,138.0
12,R1,SKU_A,126.0
12,R1,SKU_B,126.0
12,R2,SKU_A,93.0
12,R2,SKU_B,93.0
12,R3,SKU_A,157.0
12,R3,SKU_B,157.0
13,Supplier,SKU_A,0.0
13,Supplier,SKU_B,0.0
13,W1,SKU_A,219.0
13,W1,SKU_B,219.0
13,W2,SKU_A,157.0
13,W2,SKU_B,157.0
13,R1,SKU_A,153.0
13,R1,SKU_B,153.0
13,R2,SKU_A,118.0
13,R2,SKU_B,118.0
13,R3,SKU_A,251.0
13,R3,SKU_B,251.0
14,Supplier,SKU_A,0.0
14,Supplier,SKU_B,0.0
14,W1,SKU_A,290.0
14,W1,SKU_B,290.0
14,W2,SKU_A,251.0
14,W2,SKU_B,251.0
14,R1,SKU_A,224.0
14,R1,SKU_B,224.0
14,R2,SKU_A,160.0
14,R2,SKU_B,160.0
14,R3,SKU_A,347.0
14,R3,SKU_B,347.0
15,Supplier,SKU_A,0.0
15,Supplier,SKU_B,0.0
15,W1,SKU_A,374.0
15,W1,SKU_B,374.0
15,W2,SKU_A,347.0
15,W2,SKU_B,347.0
15,R1,SKU_A,250.0
15,R1,SKU_B,250.0
15,R2,SKU_A,137.0
15,R2,SKU_B,137.0
15,R3,SKU_A,332.0
15,R3,SKU_B,332.0
16,Supplier,SKU_A,0.0
16,Supplier,SKU_B,0.0
16,W1,SKU_A,378.0
16,W1,SKU_B,378.0
16,W2,SKU_A,332.0
16,W2,SKU_B,332.0
16,R1,SKU_A,118.0
16,R1,SKU_B,118.0
16,R2,SKU_A,93.0
16,R2,SKU_B,93.0
16,R3,SKU_A,217.0
16,R3,SKU_B,217.0
17,Supplier,SKU_A,0.0
17,Supplier,SKU_B,0.0
17,W1,SKU_A,211.0
17,W1,SKU_B,211.0
17,W2,SKU_A,217.0
17,W2,SKU_B,217.0
17,R1,SKU_A,151.0
17,R1,SKU_B,151.0
17,R2,SKU_A,83.0
17,R2,SKU_B,83.0
17,R3,SKU_A,263.0
17,R3,SKU_B,263.0
18,Supplier,SKU_A,0.0
18,Supplier,SKU_B,0.0
18,W1,SKU_A,245.0
18,W1,SKU_B,245.0
18,W2,SKU_A,280.0
18,W2,SKU_B,280.0
18,R1,SKU_A,108.0
18,R1,SKU_B,108.0
18,R2,SKU_A,77.0
18,R2,SKU_B,77.0
18,R3,SKU_A,165.0
18,R3,SKU_B,165.0
19,Supplier,SKU_A,0.0
19,Supplier,SKU_B,0.0
19,W1,SKU_A,174.0
19,W1,SKU_B,174.0
19,W2,SKU_A,148.0
19,W2,SKU_B,148.0
19,R1,SKU_A,143.0
19,R1,SKU_B,143.0
19,R2,SKU_A,77.0
19,R2,SKU_B,77.0
19,R3,SKU_A,187.0
19,R3,SKU_B,187.0
20,Supplier,SKU_A,0.0
20,Supplier,SKU_B,0.0
20,W1,SKU_A,220.0
20,W1,SKU_B,220.0
20,W2,SKU_A,187.0
20,W2,SKU_B,187.0
20,R1,SKU_A,146.0
20,R1,SKU_B,146.0
20,R2,SKU_A,87.0
20,R2,SKU_B,87.0
20,R3,SKU_A,248.0
20,R3,SKU_B,248.0
21,Supplier,SKU_A,0.0
21,Supplier,SKU_B,0.0
21,W1,SKU_A,253.0
21,W1,SKU_B,253.0
21,W2,SKU_A,248.0
21,W2,SKU_B,248.0
21,R1,SKU_A,204.0
21,R1,SKU_B,204.0
21,R2,SKU_A,100.0
21,R2,SKU_B,100.0
21,R3,SKU_A,304.0
21,R3,SKU_B,304.0
22,Supplier,SKU_A,0.0
22,Supplier,SKU_B,0.0
22,W1,SKU_A,284.0
22,W1,SKU_B,284.0
22,W2,SKU_A,304.0
22,W2,SKU_B,304.0
22,R1,SKU_A,188.0
22,R1,SKU_B,188.0
22,R2,SKU_A,108.0
22,R2,SKU_B,108.0
22,R3,SKU_A,276.0
22,R3,SKU_B,276.0
23,Supplier,SKU_A,0.0
23,Supplier,SKU_B,0.0
23,W1,SKU_A,296.0
23,W1,SKU_B,296.0
23,W2,SKU_A,280.0
23,W2,SKU_B,280.0
23,R1,SKU_A,113.0
23,R1,SKU_B,113.0
23,R2,SKU_A,97.0
23,R2,SKU_B,97.0
23,R3,SKU_A,168.0
23,R3,SKU_B,168.0
24,Supplier,SKU_A,0.0
24,Supplier,SKU_B,0.0
24,W1,SKU_A,210.0
24,W1,SKU_B,210.0
24,W2,SKU_A,164.0
24,W2,SKU_B,164.0
24,R1,SKU_A,152.0
24,R1,SKU_B,152.0
24,R2,SKU_A,80.0
24,R2,SKU_B,80.0
24,R3,SKU_A,212.0
24,R3,SKU_B,212.0
25,Supplier,SKU_A,0.0
25,Supplier,SKU_B,0.0
25,W1,SKU_A,242.0
25,W1,SKU_B,242.0
25,W2,SKU_A,212.0
25,W2,SKU_B,212.0
25,R1,SKU_A,113.0
25,R1,SKU_B,113.0
25,R2,SKU_A,61.0
25,R2,SKU_B,61.0
25,R3,SKU_A,217.0
25,R3,SKU_B,217.0
26,Supplier,SKU_A,0.0
26,Supplier,SKU_B,0.0
26,W1,SKU_A,164.0
26,W1,SKU_B,164.0
26,W2,SKU_A,229.0
26,W2,SKU_B,229.0
26,R1,SKU_A,133.0
26,R1,SKU_B,133.0
26,R2,SKU_A,71.0
26,R2,SKU_B,71.0
26,R3,SKU_A,178.0
26,R3,SKU_B,178.0
27,Supplier,SKU_A,0.0
27,Supplier,SKU_B,0.0
27,W1,SKU_A,204.0
27,W1,SKU_B,204.0
27,W2,SKU_A,166.0
27,W2,SKU_B,166.0
27,R1,SKU_A,143.0
27,R1,SKU_B,143.0
27,R2,SKU_A,99.0
27,R2,SKU_B,99.0
27,R3,SKU_A,233.0
27,R3,SKU_B,233.0
28,Supplier,SKU_A,0.0
28,Supplier,SKU_B,0.0
28,W1,SKU_A,246.0
28,W1,SKU_B,246.0
28,W2,SKU_A,233.0
28,W2,SKU_B,233.0
28,R1,SKU_A,165.0
28,R1,SKU_B,165.0
28,R2,SKU_A,98.0
28,R2,SKU_B,98.0
28,R3,SKU_A,305.0
28,R3,SKU_B,305.0
29,Supplier,SKU_A,0.0
29,Supplier,SKU_B,0.0
29,W1,SKU_A,259.0
29,W1,SKU_B,259.0
29,W2,SKU_A,305.0
29,W2,SKU_B,305.0
29,R1,SKU_A,194.0
29,R1,SKU_B,194.0
29,R2,SKU_A,77.0
29,R2,SKU_B,77.0
29,R3,SKU_A,302.0
29,R3,SKU_B,302.0
30,Supplier,SKU_A,0.0
30,Supplier,SKU_B,0.0
30,W1,SKU_A,271.0
30,W1,SKU_B,271.0
30,W2,SKU_A,307.0
30,W2,SKU_B,307.0
30,R1,SKU_A,119.0
30,R1,SKU_B,119.0
30,R2,SKU_A,70.0
30,R2,SKU_B,70.0
30,R3,SKU_A,170.0
30,R3,SKU_B,170.0
31,Supplier,SKU_A,0.0
31,Supplier,SKU_B,0.0
31,W1,SKU_A,189.0
31,W1,SKU_B,189.0
31,W2,SKU_A,177.0
31,W2,SKU_B,177.0
31,R1,SKU_A,142.0
31,R1,SKU_B,142.0
31,R2,SKU_A,83.0
31,R2,SKU_B,83.0
31,R3,SKU_A,235.0
31,R3,SKU_B,235.0
32,Supplier,SKU_A,0.0
32,Supplier,SKU_B,0.0
32,W1,SKU_A,225.0
32,W1,SKU_B,225.0
32,W2,SKU_A,223.0
32,W2,SKU_B,223.0
32,R1,SKU_A,108.0
32,R1,SKU_B,108.0
32,R2,SKU_A,81.0
32,R2,SKU_B,81.0
32,R3,SKU_A,208.0
32,R3,SKU_B,208.0
33,Supplier,SKU_A,0.0
33,Supplier,SKU_B,0.0
33,W1,SKU_A,189.0
33,W1,SKU_B,189.0
33,W2,SKU_A,231.0
33,W2,SKU_B,231.0
33,R1,SKU_A,157.0
33,R1,SKU_B,157.0
33,R2,SKU_A,102.0
33,R2,SKU_B,102.0
33,R3,SKU_A,211.0
33,R3,SKU_B,211.0
34,Supplier,SKU_A,0.0
34,Supplier,SKU_B,0.0
34,W1,SKU_A,259.0
34,W1,SKU_B,259.0
34,W2,SKU_A,188.0
34,W2,SKU_B,188.0
34,R1,SKU_A,158.0
34,R1,SKU_B,158.0
34,R2,SKU_A,94.0
34,R2,SKU_B,94.0
34,R3,SKU_A,261.0
34,R3,SKU_B,261.0
35,Supplier,SKU_A,0.0
35,Supplier,SKU_B,0.0
35,W1,SKU_A,252.0
35,W1,SKU_B,252.0
35,W2,SKU_A,261.0
35,W2,SKU_B,261.0
35,R1,SKU_A,180.0
35,R1,SKU_B,180.0
35,R2,SKU_A,136.0
35,R2,SKU_B,136.0
35,R3,SKU_A,281.0
35,R3,SKU_B,281.0
36,Supplier,SKU_A,0.0
36,Supplier,SKU_B,0.0
36,W1,SKU_A,316.0
36,W1,SKU_B,316.0
36,W2,SKU_A,281.0
36,W2,SKU_B,281.0
36,R1,SKU_A,179.0
36,R1,SKU_B,179.0
36,R2,SKU_A,125.0
36,R2,SKU_B,125.0
36,R3,SKU_A,313.0
36,R3,SKU_B,313.0
37,Supplier,SKU_A,0.0
37,Supplier,SKU_B,0.0
37,W1,SKU_A,320.0
37,W1,SKU_B,320.0
37,W2,SKU_A,313.0
37,W2,SKU_B,313.0
37,R1,SKU_A,100.0
37,R1,SKU_B,100.0
37,R2,SKU_A,85.0
37,R2,SKU_B,85.0
37,R3,SKU_A,238.0
37,R3,SKU_B,238.0
38,Supplier,SKU_A,0.0
38,Supplier,SKU_B,0.0
38,W1,SKU_A,169.0
38,W1,SKU_B,169.0
38,W2,SKU_A,251.0
38,W2,SKU_B,251.0
38,R1,SKU_A,117.0
38,R1,SKU_B,117.0
38,R2,SKU_A,108.0
38,R2,SKU_B,108.0
38,R3,SKU_A,193.0
38,R3,SKU_B,193.0
39,Supplier,SKU_A,0.0
39,Supplier,SKU_B,0.0
39,W1,SKU_A,225.0
39,W1,SKU_B,225.0
39,W2,SKU_A,180.0
39,W2,SKU_B,180.0
39,R1,SKU_A,153.0
39,R1,SKU_B,153.0
39,R2,SKU_A,92.0
39,R2,SKU_B,92.0
39,R3,SKU_A,196.0
39,R3,SKU_B,196.0
40,Supplier,SKU_A,0.0
40,Supplier,SKU_B,0.0
40,W1,SKU_A,245.0
40,W1,SKU_B,245.0
40,W2,SKU_A,196.0
40,W2,SKU_B,196.0
40,R1,SKU_A,106.0
40,R1,SKU_B,106.0
40,R2,SKU_A,83.0
40,R2,SKU_B,83.0
40,R3,SKU_A,226.0
40,R3,SKU_B,226.0
41,Supplier,SKU_A,0.0
41,Supplier,SKU_B,0.0
41,W1,SKU_A,189.0
41,W1,SKU_B,189.0
41,W2,SKU_A,226.0
41,W2,SKU_B,226.0
41,R1,SKU_A,157.0
41,R1,SKU_B,157.0
41,R2,SKU_A,82.0
41,R2,SKU_B,82.0
41,R3,SKU_A,234.0
41,R3,SKU_B,234.0
42,Supplier,SKU_A,0.0
42,Supplier,SKU_B,0.0
42,W1,SKU_A,239.0
42,W1,SKU_B,239.0
42,W2,SKU_A,234.0
42,W2,SKU_B,234.0
42,R1,SKU_A,174.0
42,R1,SKU_B,174.0
42,R2,SKU_A,100.0
42,R2,SKU_B,100.0
42,R3,SKU_A,345.0
42,R3,SKU_B,345.0
43,Supplier,SKU_A,0.0
43,Supplier,SKU_B,0.0
43,W1,SKU_A,274.0
43,W1,SKU_B,274.0
43,W2,SKU_A,345.0
43,W2,SKU_B,345.0
43,R1,SKU_A,176.0
43,R1,SKU_B,176.0
43,R2,SKU_A,84.0
43,R2,SKU_B,84.0
43,R3,SKU_A,296.0
43,R3,SKU_B,296.0
44,Supplier,SKU_A,0.0
44,Supplier,SKU_B,0.0
44,W1,SKU_A,260.0
44,W1,SKU_B,260.0
44,W2,SKU_A,296.0
44,W2,SKU_B,296.0
44,R1,SKU_A,119.0
44,R1,SKU_B,119.0
44,R2,SKU_A,94.0
44,R2,SKU_B,94.0
44,R3,SKU_A,200.0
44,R3,SKU_B,200.0
45,Supplier,SKU_A,0.0
45,Supplier,SKU_B,0.0
45,W1,SKU_A,213.0
45,W1,SKU_B,213.0
45,W2,SKU_A,200.0
45,W2,SKU_B,200.0
45,R1,SKU_A,135.0
45,R1,SKU_B,135.0
45,R2,SKU_A,77.0
45,R2,SKU_B,77.0
45,R3,SKU_A,257.0
45,R3,SKU_B,257.0
46,Supplier,SKU_A,0.0
46,Supplier,SKU_B,0.0
46,W1,SKU_A,225.0
46,W1,SKU_B,225.0
46,W2,SKU_A,257.0
46,W2,SKU_B,257.0
46,R1,SKU_A,100.0
46,R1,SKU_B,100.0
46,R2,SKU_A,67.0
46,R2,SKU_B,67.0
46,R3,SKU_A,209.0
46,R3,SKU_B,209.0
47,Supplier,SKU_A,0.0
47,Supplier,SKU_B,0.0
47,W1,SKU_A,154.0
47,W1,SKU_B,154.0
47,W2,SKU_A,209.0
47,W2,SKU_B,209.0
47,R1,SKU_A,134.0
47,R1,SKU_B,134.0
47,R2,SKU_A,97.0
47,R2,SKU_B,97.0
47,R3,SKU_A,238.0
47,R3,SKU_B,238.0
48,Supplier,SKU_A,0.0
48,Supplier,SKU_B,0.0
48,W1,SKU_A,231.0
48,W1,SKU_B,231.0
48,W2,SKU_A,247.0
48,W2,SKU_B,247.0
48,R1,SKU_A,121.0
48,R1,SKU_B,121.0
48,R2,SKU_A,84.0
48,R2,SKU_B,84.0
48,R3,SKU_A,219.0
48,R3,SKU_B,219.0
49,Supplier,SKU_A,0.0
49,Supplier,SKU_B,0.0
49,W1,SKU_A,205.0
49,W1,SKU_B,205.0
49,W2,SKU_A,210.0
49,W2,SKU_B,210.0
49,R1,SKU_A,187.0
49,R1,SKU_B,187.0
49,R2,SKU_A,81.0
49,R2,SKU_B,81.0
49,R3,SKU_A,312.0
49,R3,SKU_B,312.0
50,Supplier,SKU_A,0.0
50,Supplier,SKU_B,0.0
50,W1,SKU_A,273.0
50,W1,SKU_B,273.0
50,W2,SKU_A,322.0
50,W2,SKU_B,322.0
50,R1,SKU_A,185.0
50,R1,SKU_B,185.0
50,R2,SKU_A,98.0
50,R2,SKU_B,98.0
50,R3,SKU_A,325.0
50,R3,SKU_B,325.0
51,Supplier,SKU_A,0.0
51,Supplier,SKU_B,0.0
51,W1,SKU_A,278.0
51,W1,SKU_B,278.0
51,W2,SKU_A,315.0
51,W2,SKU_B,315.0
51,R1,SKU_A,134.0
51,R1,SKU_B,134.0
51,R2,SKU_A,69.0
51,R2,SKU_B,69.0
51,R3,SKU_A,207.0
51,R3,SKU_B,207.0
52,Supplier,SKU_A,0.0
52,Supplier,SKU_B,0.0
52,W1,SKU_A,203.0
52,W1,SKU_B,203.0
52,W2,SKU_A,222.0
52,W2,SKU_B,222.0
52,R1,SKU_A,114.0
52,R1,SKU_B,114.0
52,R2,SKU_A,77.0
52,R2,SKU_B,77.0
52,R3,SKU_A,221.0
52,R3,SKU_B,221.0
53,Supplier,SKU_A,0.0
53,Supplier,SKU_B,0.0
53,W1,SKU_A,194.0
53,W1,SKU_B,194.0
53,W2,SKU_A,206.0
53,W2,SKU_B,206.0
53,R1,SKU_A,124.0
53,R1,SKU_B,124.0
53,R2,SKU_A,60.0
53,R2,SKU_B,60.0
53,R3,SKU_A,217.0
53,R3,SKU_B,217.0
54,Supplier,SKU_A,0.0
54,Supplier,SKU_B,0.0
54,W1,SKU_A,181.0
54,W1,SKU_B,181.0
54,W2,SKU_A,223.0
54,W2,SKU_B,223.0
54,R1,SKU_A,98.0
54,R1,SKU_B,98.0
54,R2,SKU_A,65.0
54,R2,SKU_B,65.0
54,R3,SKU_A,225.0
54,R3,SKU_B,225.0
55,Supplier,SKU_A,0.0
55,Supplier,SKU_B,0.0
55,W1,SKU_A,163.0
55,W1,SKU_B,163.0
55,W2,SKU_A,219.0
55,W2,SKU_B,219.0
55,R1,SKU_A,135.0
55,R1,SKU_B,135.0
55,R2,SKU_A,65.0
55,R2,SKU_B,65.0
55,R3,SKU_A,204.0
55,R3,SKU_B,204.0
56,Supplier,SKU_A,0.0
56,Supplier,SKU_B,0.0
56,W1,SKU_A,200.0
56,W1,SKU_B,200.0
56,W2,SKU_A,223.0
