node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,6302.75,6978.5,591.36,0.0,13872.61
R1,SKU_B,5159.429999999999,5881.8,298.778,0.0,11340.008
R1,SKU_C,5963.3009999999995,6726.6,377.18600000000004,0.0,13067.087
R1,SKU_D,4119.304,5315.200000000001,276.776,0.0,9711.28
R1,SKU_E,2705.716,2198.8,213.71,0.0,5118.226
R2,SKU_A,3395.125,20867.0,391.05,0.0,24653.175
R2,SKU_B,3764.91,28888.2,211.64600000000002,0.0,32864.756
R2,SKU_C,3428.406,24274.350000000002,209.746,0.0,27912.502
R2,SKU_D,2239.888,13215.400000000001,176.576,0.0,15631.864000000001
R2,SKU_E,2540.5119999999997,11423.6,203.388,0.0,14167.5
R3,SKU_A,12084.725,48238.0,858.0740000000001,0.0,61180.799
R3,SKU_B,6670.7699999999995,37031.4,281.92,0.0,43984.09
R3,SKU_C,9219.015,30207.15,476.012,0.0,39902.177
R3,SKU_D,9723.392,55058.3,466.276,0.0,65247.96800000001
R3,SKU_E,3700.216,5015.200000000001,307.214,0.0,9022.63
Supplier,SKU_A,0.0,0.0,0.0,29599.121973517744,29599.121973517744
Supplier,SKU_B,0.0,0.0,0.0,50154.1221436257,50154.1221436257
Supplier,SKU_C,0.0,0.0,0.0,25554.20347813135,25554.20347813135
Supplier,SKU_D,0.0,0.0,0.0,37146.40610962168,37146.40610962168
Supplier,SKU_E,0.0,0.0,0.0,34751.14629510353,34751.14629510353
W1,SKU_A,6356.82,0.0,26859.376,13785.258051868901,47001.4540518689
W1,SKU_B,5737.248,0.0,20610.366,28662.48215454986,55010.09615454986
W1,SKU_C,6212.144,0.0,23052.051,12247.86509326013,41512.06009326013
W1,SKU_D,4228.818,0.0,20685.745,15876.270467128525,40790.83346712853
W1,SKU_E,3381.072,0.0,18422.562,17816.124233192582,39619.75823319258
W2,SKU_A,9063.465,0.0,26314.968,11904.028276802257,47282.461276802256
W2,SKU_B,4998.023999999999,0.0,19925.436,15613.048189690706,40536.50818969071
W2,SKU_C,6762.16,0.0,22653.342,9886.768420593848,39302.27042059385
W2,SKU_D,7459.243,0.0,20721.399,16133.648529528442,44314.29052952844
W2,SKU_E,2824.0480000000002,0.0,18084.126,12829.506583384748,33737.68058338475
