node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,6302.5,6978.5,591.36,0.0,13872.36
R1,SKU_B,5159.37,5881.8,298.778,0.0,11339.948
R1,SKU_C,5963.247,6726.6,377.18600000000004,0.0,13067.033
R1,SKU_D,4119.2480000000005,5315.200000000001,276.776,0.0,9711.224
R1,SKU_E,2705.716,2198.8,213.71,0.0,5118.226
R2,SKU_A,3027.4500000000003,23682.5,391.05,0.0,27101.0
R2,SKU_B,3557.97,29620.8,211.64600000000002,0.0,33390.416
R2,SKU_C,3210.813,24897.15,209.746,0.0,28317.709
R2,SKU_D,2052.176,14466.650000000001,176.576,0.0,16695.402000000002
R2,SKU_E,2344.706,12444.400000000001,203.388,0.0,14992.494
R3,SKU_A,2806.9500000000003,542878.5,858.0740000000001,0.0,546543.524
R3,SKU_B,1999.95,212402.4,281.92,0.0,214684.27
R3,SKU_C,2488.752,264398.4,476.012,0.0,267363.164
R3,SKU_D,2841.524,326658.2,466.276,0.0,329966.0
R3,SKU_E,794.872,150510.80000000002,307.214,0.0,151612.886
Supplier,SKU_A,0.0,0.0,0.0,99907.36073255523,99907.36073255523
Supplier,SKU_B,0.0,0.0,0.0,191019.34595301046,191019.34595301046
Supplier,SKU_C,0.0,0.0,0.0,86538.16909089866,86538.16909089866
Supplier,SKU_D,0.0,0.0,0.0,117676.84705567772,117676.84705567772
Supplier,SKU_E,0.0,0.0,0.0,123973.27716785793,123973.27716785793
W1,SKU_A,6353.429999999999,0.0,26859.376,72985.24338001525,106198.04938001526
W1,SKU_B,5735.07,0.0,20610.366,148927.61922317868,175273.05522317867
W1,SKU_C,6209.344,0.0,23052.051,63354.30049334479,92615.69549334479
W1,SKU_D,4227.339,0.0,20685.745,83323.82288522496,108236.90688522496
W1,SKU_E,3379.7760000000003,0.0,18422.562,95483.01401823631,117285.35201823631
W2,SKU_A,2340.75,0.0,26314.968,9341.82289328876,37997.54089328876
W2,SKU_B,1708.4699999999998,0.0,19925.436,12218.560038175307,33852.466038175306
W2,SKU_C,2029.7920000000001,0.0,22653.342,7742.796301219667,32425.930301219665
W2,SKU_D,2473.976,0.0,20721.399,12699.250187205489,35894.62518720549
W2,SKU_E,648.304,0.0,18084.126,9981.570580110778,28714.00058011078
