t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0
0,Supplier,SKU_B,0
0,Supplier,SKU_C,0
0,Supplier,SKU_D,0
0,Supplier,SKU_E,0
0,W1,SKU_A,0
0,W1,SKU_B,0
0,W1,SKU_C,0
0,W1,SKU_D,0
0,W1,SKU_E,0
0,W2,SKU_A,0
0,W2,SKU_B,0
0,W2,SKU_C,0
0,W2,SKU_D,0
0,W2,SKU_E,0
0,R1,SKU_A,155
0,R1,SKU_B,102
0,R1,SKU_C,97
0,R1,SKU_D,81
0,R1,SKU_E,87
0,R2,SKU_A,87
0,R2,SKU_B,46
0,R2,SKU_C,41
0,R2,SKU_D,39
0,R2,SKU_E,90
0,R3,SKU_A,274
0,R3,SKU_B,90
0,R3,SKU_C,136
0,R3,SKU_D,179
0,R3,SKU_E,98
1,Supplier,SKU_A,0
1,Supplier,SKU_B,0
1,Supplier,SKU_C,0
1,Supplier,SKU_D,0
1,Supplier,SKU_E,0
1,W1,SKU_A,242
1,W1,SKU_B,148
1,W1,SKU_C,138
1,W1,SKU_D,120
1,W1,SKU_E,177
1,W2,SKU_A,274
1,W2,SKU_B,90
1,W2,SKU_C,136
1,W2,SKU_D,179
1,W2,SKU_E,98
1,R1,SKU_A,121
1,R1,SKU_B,90
1,R1,SKU_C,75
1,R1,SKU_D,62
1,R1,SKU_E,65
1,R2,SKU_A,90
1,R2,SKU_B,43
1,R2,SKU_C,44
1,R2,SKU_D,64
1,R2,SKU_E,53
1,R3,SKU_A,268
1,R3,SKU_B,82
1,R3,SKU_C,139
1,R3,SKU_D,173
1,R3,SKU_E,99
2,Supplier,SKU_A,0
2,Supplier,SKU_B,0
2,Supplier,SKU_C,0
2,Supplier,SKU_D,0
2,Supplier,SKU_E,0
2,W1,SKU_A,211
2,W1,SKU_B,133
2,W1,SKU_C,119
2,W1,SKU_D,126
2,W1,SKU_E,118
2,W2,SKU_A,268
2,W2,SKU_B,82
2,W2,SKU_C,139
2,W2,SKU_D,173
2,W2,SKU_E,99
2,R1,SKU_A,99
2,R1,SKU_B,47
2,R1,SKU_C,50
2,R1,SKU_D,50
2,R1,SKU_E,47
2,R2,SKU_A,76
2,R2,SKU_B,33
2,R2,SKU_C,22
2,R2,SKU_D,38
2,R2,SKU_E,54
2,R3,SKU_A,153
2,R3,SKU_B,61
2,R3,SKU_C,79
2,R3,SKU_D,119
2,R3,SKU_E,75
3,Supplier,SKU_A,0
3,Supplier,SKU_B,0
3,Supplier,SKU_C,0
3,Supplier,SKU_D,0
3,Supplier,SKU_E,0
3,W1,SKU_A,175
3,W1,SKU_B,80
3,W1,SKU_C,72
3,W1,SKU_D,88
3,W1,SKU_E,101
3,W2,SKU_A,153
3,W2,SKU_B,61
3,W2,SKU_C,79
3,W2,SKU_D,119
3,W2,SKU_E,75
3,R1,SKU_A,105
3,R1,SKU_B,53
3,R1,SKU_C,36
3,R1,SKU_D,50
3,R1,SKU_E,40
3,R2,SKU_A,83
3,R2,SKU_B,39
3,R2,SKU_C,46
3,R2,SKU_D,39
3,R2,SKU_E,59
3,R3,SKU_A,188
3,R3,SKU_B,52
3,R3,SKU_C,77
3,R3,SKU_D,107
3,R3,SKU_E,93
4,Supplier,SKU_A,0
4,Supplier,SKU_B,0
4,Supplier,SKU_C,0
4,Supplier,SKU_D,0
4,Supplier,SKU_E,0
4,W1,SKU_A,188
4,W1,SKU_B,92
4,W1,SKU_C,82
4,W1,SKU_D,89
4,W1,SKU_E,99
4,W2,SKU_A,188
4,W2,SKU_B,52
4,W2,SKU_C,77
4,W2,SKU_D,107
4,W2,SKU_E,93
4,R1,SKU_A,92
4,R1,SKU_B,33
4,R1,SKU_C,27
4,R1,SKU_D,31
4,R1,SKU_E,22
4,R2,SKU_A,73
4,R2,SKU_B,20
4,R2,SKU_C,45
4,R2,SKU_D,40
4,R2,SKU_E,41
4,R3,SKU_A,154
4,R3,SKU_B,43
4,R3,SKU_C,57
4,R3,SKU_D,81
4,R3,SKU_E,52
5,Supplier,SKU_A,0
5,Supplier,SKU_B,0
5,Supplier,SKU_C,0
5,Supplier,SKU_D,0
5,Supplier,SKU_E,0
5,W1,SKU_A,165
5,W1,SKU_B,53
5,W1,SKU_C,72
5,W1,SKU_D,71
5,W1,SKU_E,63
5,W2,SKU_A,154
5,W2,SKU_B,43
5,W2,SKU_C,57
5,W2,SKU_D,81
5,W2,SKU_E,52
5,R1,SKU_A,113
5,R1,SKU_B,61
5,R1,SKU_C,47
5,R1,SKU_D,50
5,R1,SKU_E,64
5,R2,SKU_A,106
5,R2,SKU_B,24
5,R2,SKU_C,57
5,R2,SKU_D,63
5,R2,SKU_E,55
5,R3,SKU_A,211
5,R3,SKU_B,54
5,R3,SKU_C,91
5,R3,SKU_D,134
5,R3,SKU_E,96
6,Supplier,SKU_A,0
6,Supplier,SKU_B,0
6,Supplier,SKU_C,0
6,Supplier,SKU_D,0
6,Supplier,SKU_E,0
6,W1,SKU_A,219
6,W1,SKU_B,85
6,W1,SKU_C,104
6,W1,SKU_D,113
6,W1,SKU_E,119
6,W2,SKU_A,211
6,W2,SKU_B,54
6,W2,SKU_C,91
6,W2,SKU_D,134
6,W2,SKU_E,96
6,R1,SKU_A,110
6,R1,SKU_B,71
6,R1,SKU_C,61
6,R1,SKU_D,42
6,R1,SKU_E,68
6,R2,SKU_A,91
6,R2,SKU_B,48
6,R2,SKU_C,36
6,R2,SKU_D,42
6,R2,SKU_E,87
6,R3,SKU_A,204
6,R3,SKU_B,50
6,R3,SKU_C,108
6,R3,SKU_D,137
6,R3,SKU_E,77
7,Supplier,SKU_A,0
7,Supplier,SKU_B,0
7,Supplier,SKU_C,0
7,Supplier,SKU_D,0
7,Supplier,SKU_E,0
7,W1,SKU_A,201
7,W1,SKU_B,119
7,W1,SKU_C,97
7,W1,SKU_D,84
7,W1,SKU_E,155
7,W2,SKU_A,204
7,W2,SKU_B,50
7,W2,SKU_C,108
7,W2,SKU_D,137
7,W2,SKU_E,77
7,R1,SKU_A,176
7,R1,SKU_B,118
7,R1,SKU_C,109
7,R1,SKU_D,102
7,R1,SKU_E,91
7,R2,SKU_A,149
7,R2,SKU_B,69
7,R2,SKU_C,82
7,R2,SKU_D,109
7,R2,SKU_E,91
7,R3,SKU_A,299
7,R3,SKU_B,90
7,R3,SKU_C,124
7,R3,SKU_D,200
7,R3,SKU_E,112
8,Supplier,SKU_A,0
8,Supplier,SKU_B,0
8,Supplier,SKU_C,0
8,Supplier,SKU_D,0
8,Supplier,SKU_E,0
8,W1,SKU_A,325
8,W1,SKU_B,187
8,W1,SKU_C,191
8,W1,SKU_D,211
8,W1,SKU_E,182
8,W2,SKU_A,299
8,W2,SKU_B,90
8,W2,SKU_C,124
8,W2,SKU_D,200
8,W2,SKU_E,112
8,R1,SKU_A,165
8,R1,SKU_B,92
8,R1,SKU_C,61
8,R1,SKU_D,83
8,R1,SKU_E,62
8,R2,SKU_A,96
8,R2,SKU_B,64
8,R2,SKU_C,67
8,R2,SKU_D,72
8,R2,SKU_E,79
8,R3,SKU_A,276
8,R3,SKU_B,63
8,R3,SKU_C,118
8,R3,SKU_D,192
8,R3,SKU_E,97
9,Supplier,SKU_A,0
9,Supplier,SKU_B,0
9,Supplier,SKU_C,0
9,Supplier,SKU_D,0
9,Supplier,SKU_E,0
9,W1,SKU_A,261
9,W1,SKU_B,156
9,W1,SKU_C,128
9,W1,SKU_D,155
9,W1,SKU_E,141
9,W2,SKU_A,276
9,W2,SKU_B,63
9,W2,SKU_C,118
9,W2,SKU_D,192
9,W2,SKU_E,97
9,R1,SKU_A,95
9,R1,SKU_B,60
9,R1,SKU_C,53
9,R1,SKU_D,61
9,R1,SKU_E,62
9,R2,SKU_A,113
9,R2,SKU_B,50
9,R2,SKU_C,49
9,R2,SKU_D,34
9,R2,SKU_E,55
9,R3,SKU_A,224
9,R3,SKU_B,56
9,R3,SKU_C,89
9,R3,SKU_D,123
9,R3,SKU_E,72
10,Supplier,SKU_A,0
10,Supplier,SKU_B,0
10,Supplier,SKU_C,0
10,Supplier,SKU_D,0
10,Supplier,SKU_E,0
10,W1,SKU_A,208
10,W1,SKU_B,110
10,W1,SKU_C,102
10,W1,SKU_D,95
10,W1,SKU_E,117
10,W2,SKU_A,224
10,W2,SKU_B,56
10,W2,SKU_C,89
10,W2,SKU_D,123
10,W2,SKU_E,72
10,R1,SKU_A,96
10,R1,SKU_B,51
10,R1,SKU_C,55
10,R1,SKU_D,52
10,R1,SKU_E,34
10,R2,SKU_A,106
10,R2,SKU_B,44
10,R2,SKU_C,33
10,R2,SKU_D,59
10,R2,SKU_E,16
10,R3,SKU_A,184
10,R3,SKU_B,48
10,R3,SKU_C,80
10,R3,SKU_D,135
10,R3,SKU_E,77
11,Supplier,SKU_A,0
11,Supplier,SKU_B,0
11,Supplier,SKU_C,0
11,Supplier,SKU_D,0
11,Supplier,SKU_E,0
11,W1,SKU_A,202
11,W1,SKU_B,95
11,W1,SKU_C,88
11,W1,SKU_D,111
11,W1,SKU_E,50
11,W2,SKU_A,184
11,W2,SKU_B,48
11,W2,SKU_C,80
11,W2,SKU_D,135
11,W2,SKU_E,77
11,R1,SKU_A,107
11,R1,SKU_B,55
11,R1,SKU_C,56
11,R1,SKU_D,41
11,R1,SKU_E,53
11,R2,SKU_A,98
11,R2,SKU_B,35
11,R2,SKU_C,46
11,R2,SKU_D,58
11,R2,SKU_E,58
11,R3,SKU_A,186
11,R3,SKU_B,46
11,R3,SKU_C,61
11,R3,SKU_D,89
11,R3,SKU_E,80
12,Supplier,SKU_A,0
12,Supplier,SKU_B,0
12,Supplier,SKU_C,0
12,Supplier,SKU_D,0
12,Supplier,SKU_E,0
12,W1,SKU_A,205
12,W1,SKU_B,90
12,W1,SKU_C,102
12,W1,SKU_D,99
12,W1,SKU_E,111
12,W2,SKU_A,186
12,W2,SKU_B,46
12,W2,SKU_C,61
12,W2,SKU_D,89
12,W2,SKU_E,80
12,R1,SKU_A,119
12,R1,SKU_B,71
12,R1,SKU_C,50
12,R1,SKU_D,68
12,R1,SKU_E,40
12,R2,SKU_A,93
12,R2,SKU_B,38
12,R2,SKU_C,55
12,R2,SKU_D,47
12,R2,SKU_E,61
12,R3,SKU_A,157
12,R3,SKU_B,54
12,R3,SKU_C,93
12,R3,SKU_D,108
12,R3,SKU_E,69
13,Supplier,SKU_A,0
13,Supplier,SKU_B,0
13,Supplier,SKU_C,0
13,Supplier,SKU_D,0
13,Supplier,SKU_E,0
13,W1,SKU_A,212
13,W1,SKU_B,109
13,W1,SKU_C,105
13,W1,SKU_D,115
13,W1,SKU_E,101
13,W2,SKU_A,157
13,W2,SKU_B,54
13,W2,SKU_C,93
13,W2,SKU_D,108
13,W2,SKU_E,69
13,R1,SKU_A,160
13,R1,SKU_B,82
13,R1,SKU_C,74
13,R1,SKU_D,79
13,R1,SKU_E,74
13,R2,SKU_A,118
13,R2,SKU_B,53
13,R2,SKU_C,61
13,R2,SKU_D,83
13,R2,SKU_E,64
13,R3,SKU_A,251
13,R3,SKU_B,79
13,R3,SKU_C,105
13,R3,SKU_D,149
13,R3,SKU_E,106
14,Supplier,SKU_A,0
14,Supplier,SKU_B,0
14,Supplier,SKU_C,0
14,Supplier,SKU_D,0
14,Supplier,SKU_E,0
14,W1,SKU_A,278
14,W1,SKU_B,135
14,W1,SKU_C,135
14,W1,SKU_D,162
14,W1,SKU_E,138
14,W2,SKU_A,251
14,W2,SKU_B,79
14,W2,SKU_C,105
14,W2,SKU_D,149
14,W2,SKU_E,106
14,R1,SKU_A,224
14,R1,SKU_B,135
14,R1,SKU_C,146
14,R1,SKU_D,112
14,R1,SKU_E,88
14,R2,SKU_A,142
14,R2,SKU_B,84
14,R2,SKU_C,78
14,R2,SKU_D,87
14,R2,SKU_E,65
14,R3,SKU_A,347
14,R3,SKU_B,127
14,R3,SKU_C,193
14,R3,SKU_D,217
14,R3,SKU_E,129
15,Supplier,SKU_A,0
15,Supplier,SKU_B,0
15,Supplier,SKU_C,0
15,Supplier,SKU_D,0
15,Supplier,SKU_E,0
15,W1,SKU_A,366
15,W1,SKU_B,219
15,W1,SKU_C,224
15,W1,SKU_D,199
15,W1,SKU_E,153
15,W2,SKU_A,347
15,W2,SKU_B,127
15,W2,SKU_C,193
15,W2,SKU_D,217
15,W2,SKU_E,129
15,R1,SKU_A,226
15,R1,SKU_B,129
15,R1,SKU_C,121
15,R1,SKU_D,97
15,R1,SKU_E,121
15,R2,SKU_A,155
15,R2,SKU_B,58
15,R2,SKU_C,80
15,R2,SKU_D,70
15,R2,SKU_E,77
15,R3,SKU_A,332
15,R3,SKU_B,124
15,R3,SKU_C,208
15,R3,SKU_D,197
15,R3,SKU_E,121
16,Supplier,SKU_A,0
16,Supplier,SKU_B,0
16,Supplier,SKU_C,0
16,Supplier,SKU_D,0
16,Supplier,SKU_E,0
16,W1,SKU_A,381
16,W1,SKU_B,187
16,W1,SKU_C,201
16,W1,SKU_D,167
16,W1,SKU_E,198
16,W2,SKU_A,332
16,W2,SKU_B,124
16,W2,SKU_C,208
16,W2,SKU_D,197
16,W2,SKU_E,121
16,R1,SKU_A,142
16,R1,SKU_B,77
16,R1,SKU_C,59
16,R1,SKU_D,77
16,R1,SKU_E,60
16,R2,SKU_A,93
16,R2,SKU_B,43
16,R2,SKU_C,30
16,R2,SKU_D,22
16,R2,SKU_E,58
16,R3,SKU_A,217
16,R3,SKU_B,78
16,R3,SKU_C,139
16,R3,SKU_D,109
16,R3,SKU_E,83
17,Supplier,SKU_A,0
17,Supplier,SKU_B,0
17,Supplier,SKU_C,0
17,Supplier,SKU_D,0
17,Supplier,SKU_E,0
17,W1,SKU_A,235
17,W1,SKU_B,120
17,W1,SKU_C,89
17,W1,SKU_D,99
17,W1,SKU_E,118
17,W2,SKU_A,217
17,W2,SKU_B,78
17,W2,SKU_C,139
17,W2,SKU_D,109
17,W2,SKU_E,83
17,R1,SKU_A,133
17,R1,SKU_B,70
17,R1,SKU_C,70
17,R1,SKU_D,74
17,R1,SKU_E,40
17,R2,SKU_A,83
17,R2,SKU_B,39
17,R2,SKU_C,33
17,R2,SKU_D,49
17,R2,SKU_E,61
17,R3,SKU_A,246
17,R3,SKU_B,77
17,R3,SKU_C,127
17,R3,SKU_D,108
17,R3,SKU_E,95
18,Supplier,SKU_A,0
18,Supplier,SKU_B,0
18,Supplier,SKU_C,0
18,Supplier,SKU_D,0
18,Supplier,SKU_E,0
18,W1,SKU_A,216
18,W1,SKU_B,109
18,W1,SKU_C,103
18,W1,SKU_D,123
18,W1,SKU_E,101
18,W2,SKU_A,246
18,W2,SKU_B,77
18,W2,SKU_C,127
18,W2,SKU_D,108
18,W2,SKU_E,95
18,R1,SKU_A,126
18,R1,SKU_B,53
18,R1,SKU_C,51
18,R1,SKU_D,54
18,R1,SKU_E,42
18,R2,SKU_A,77
18,R2,SKU_B,41
18,R2,SKU_C,38
18,R2,SKU_D,56
18,R2,SKU_E,45
18,R3,SKU_A,182
18,R3,SKU_B,50
18,R3,SKU_C,98
18,R3,SKU_D,126
18,R3,SKU_E,87
19,Supplier,SKU_A,0
19,Supplier,SKU_B,0
19,Supplier,SKU_C,0
19,Supplier,SKU_D,0
19,Supplier,SKU_E,0
19,W1,SKU_A,203
19,W1,SKU_B,94
19,W1,SKU_C,89
19,W1,SKU_D,110
19,W1,SKU_E,87
19,W2,SKU_A,182
19,W2,SKU_B,50
19,W2,SKU_C,98
19,W2,SKU_D,126
19,W2,SKU_E,87
19,R1,SKU_A,135
19,R1,SKU_B,47
19,R1,SKU_C,59
19,R1,SKU_D,53
19,R1,SKU_E,49
19,R2,SKU_A,77
19,R2,SKU_B,40
19,R2,SKU_C,24
19,R2,SKU_D,60
19,R2,SKU_E,69
19,R3,SKU_A,187
19,R3,SKU_B,64
19,R3,SKU_C,113
19,R3,SKU_D,146
19,R3,SKU_E,86
20,Supplier,SKU_A,0
20,Supplier,SKU_B,0
20,Supplier,SKU_C,0
20,Supplier,SKU_D,0
20,Supplier,SKU_E,0
20,W1,SKU_A,212
20,W1,SKU_B,87
20,W1,SKU_C,83
20,W1,SKU_D,113
20,W1,SKU_E,118
20,W2,SKU_A,187
20,W2,SKU_B,64
20,W2,SKU_C,113
20,W2,SKU_D,146
20,W2,SKU_E,86
20,R1,SKU_A,154
20,R1,SKU_B,78
20,R1,SKU_C,60
20,R1,SKU_D,81
20,R1,SKU_E,80
20,R2,SKU_A,87
20,R2,SKU_B,60
20,R2,SKU_C,32
20,R2,SKU_D,59
20,R2,SKU_E,72
20,R3,SKU_A,248
20,R3,SKU_B,59
20,R3,SKU_C,156
20,R3,SKU_D,189
20,R3,SKU_E,86
21,Supplier,SKU_A,0
21,Supplier,SKU_B,0
21,Supplier,SKU_C,0
21,Supplier,SKU_D,0
21,Supplier,SKU_E,0
21,W1,SKU_A,241
21,W1,SKU_B,138
21,W1,SKU_C,92
21,W1,SKU_D,140
21,W1,SKU_E,152
21,W2,SKU_A,248
21,W2,SKU_B,59
21,W2,SKU_C,156
21,W2,SKU_D,189
21,W2,SKU_E,86
21,R1,SKU_A,204
21,R1,SKU_B,112
21,R1,SKU_C,95
21,R1,SKU_D,95
21,R1,SKU_E,79
21,R2,SKU_A,100
21,R2,SKU_B,68
21,R2,SKU_C,57
21,R2,SKU_D,73
21,R2,SKU_E,72
21,R3,SKU_A,304
21,R3,SKU_B,86
21,R3,SKU_C,191
21,R3,SKU_D,193
21,R3,SKU_E,119
22,Supplier,SKU_A,0
22,Supplier,SKU_B,0
22,Supplier,SKU_C,0
22,Supplier,SKU_D,0
22,Supplier,SKU_E,0
22,W1,SKU_A,304
22,W1,SKU_B,180
22,W1,SKU_C,152
22,W1,SKU_D,168
22,W1,SKU_E,151
22,W2,SKU_A,304
22,W2,SKU_B,86
22,W2,SKU_C,191
22,W2,SKU_D,193
22,W2,SKU_E,119
22,R1,SKU_A,184
22,R1,SKU_B,104
22,R1,SKU_C,112
22,R1,SKU_D,78
22,R1,SKU_E,58
22,R2,SKU_A,108
22,R2,SKU_B,69
22,R2,SKU_C,46
22,R2,SKU_D,58
22,R2,SKU_E,57
22,R3,SKU_A,272
22,R3,SKU_B,56
22,R3,SKU_C,143
22,R3,SKU_D,160
22,R3,SKU_E,97
23,Supplier,SKU_A,0
23,Supplier,SKU_B,0
23,Supplier,SKU_C,0
23,Supplier,SKU_D,0
23,Supplier,SKU_E,0
23,W1,SKU_A,292
23,W1,SKU_B,173
23,W1,SKU_C,158
23,W1,SKU_D,136
23,W1,SKU_E,115
23,W2,SKU_A,272
23,W2,SKU_B,56
23,W2,SKU_C,143
23,W2,SKU_D,160
23,W2,SKU_E,97
23,R1,SKU_A,117
23,R1,SKU_B,91
23,R1,SKU_C,91
23,R1,SKU_D,45
23,R1,SKU_E,45
23,R2,SKU_A,89
23,R2,SKU_B,46
23,R2,SKU_C,42
23,R2,SKU_D,61
23,R2,SKU_E,50
23,R3,SKU_A,172
23,R3,SKU_B,46
