t_ship,parent,child,sku,lead_time,qty
1,W1,R1,SKU_A,2,135
1,W1,R1,SKU_B,2,67
1,W1,R1,SKU_C,2,89
1,W1,R1,SKU_D,2,60
1,W1,R1,SKU_E,2,55
1,W2,R3,SKU_A,4,219
1,W2,R3,SKU_B,4,59
1,W2,R3,SKU_C,4,143
1,W2,R3,SKU_D,4,104
1,W2,R3,SKU_E,4,83
2,W1,R2,SKU_A,3,223
2,W1,R2,SKU_B,3,94
2,W1,R2,SKU_C,3,118
2,W1,R2,SKU_D,3,96
2,W1,R2,SKU_E,3,76
2,W2,R3,SKU_A,4,169
2,W2,R3,SKU_B,4,39
2,W2,R3,SKU_C,4,108
2,W2,R3,SKU_D,4,73
2,W2,R3,SKU_E,4,58
3,Supplier,W1,SKU_A,5,452
3,Supplier,W1,SKU_B,5,189
3,Supplier,W1,SKU_C,5,273
3,Supplier,W1,SKU_D,5,186
3,Supplier,W1,SKU_E,5,158
3,W1,R1,SKU_A,2,180
3,W1,R1,SKU_B,2,53
3,W1,R1,SKU_C,2,124
3,W1,R1,SKU_D,2,62
3,W1,R1,SKU_E,2,69
3,W2,R3,SKU_A,4,196
3,W2,R3,SKU_B,4,38
3,W2,R3,SKU_C,4,66
3,W2,R3,SKU_D,4,58
3,W2,R3,SKU_E,4,66
4,Supplier,W2,SKU_A,6,584
4,Supplier,W2,SKU_B,6,136
4,Supplier,W2,SKU_C,6,317
4,Supplier,W2,SKU_D,6,235
4,Supplier,W2,SKU_E,6,207
4,W1,R2,SKU_A,3,173
4,W1,R2,SKU_B,3,98
4,W1,R2,SKU_C,3,94
4,W1,R2,SKU_D,3,68
4,W1,R2,SKU_E,3,50
4,W2,R3,SKU_A,4,146
4,W2,R3,SKU_B,4,44
4,W2,R3,SKU_C,4,90
4,W2,R3,SKU_D,4,62
4,W2,R3,SKU_E,4,49
5,Supplier,W1,SKU_A,5,347
5,Supplier,W1,SKU_B,5,152
5,Supplier,W1,SKU_C,5,216
5,Supplier,W1,SKU_D,5,137
5,Supplier,W1,SKU_E,5,126
5,W1,R1,SKU_A,2,175
5,W1,R1,SKU_B,2,70
5,W1,R1,SKU_C,2,145
5,W1,R1,SKU_D,2,78
5,W1,R1,SKU_E,2,78
5,W2,R3,SKU_A,4,181
5,W2,R3,SKU_B,4,66
5,W2,R3,SKU_C,4,115
5,W2,R3,SKU_D,4,79
5,W2,R3,SKU_E,4,64
6,W1,R1,SKU_A,2,128
6,W1,R1,SKU_B,2,77
