t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1766,0,0,0
0,W1,SKU_B,943,0,0,0
0,W1,SKU_C,1245,0,0,0
0,W1,SKU_D,805,0,0,0
0,W1,SKU_E,668,0,0,0
0,W2,SKU_A,1610,0,0,0
0,W2,SKU_B,535,0,0,0
0,W2,SKU_C,1069,0,0,0
0,W2,SKU_D,813,0,0,0
0,W2,SKU_E,672,0,0,0
0,R1,SKU_A,438,0,0,0
0,R1,SKU_B,220,0,0,0
0,R1,SKU_C,370,0,0,0
0,R1,SKU_D,193,0,0,0
0,R1,SKU_E,126,0,0,0
0,R2,SKU_A,371,0,0,0
0,R2,SKU_B,254,0,0,0
0,R2,SKU_C,228,0,0,0
0,R2,SKU_D,183,0,0,0
0,R2,SKU_E,199,0,0,0
0,R3,SKU_A,959,0,0,0
0,R3,SKU_B,334,0,0,0
0,R3,SKU_C,648,0,0,0
0,R3,SKU_D,492,0,0,0
0,R3,SKU_E,408,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,1306,0,0,178
1,W1,SKU_B,811,0,0,772
1,W1,SKU_C,978,0,0,0
1,W1,SKU_D,483,0,0,592
1,W1,SKU_E,145,0,0,0
1,W2,SKU_A,1018,0,0,1466
1,W2,SKU_B,58,0,0,431
1,W2,SKU_C,0,0,468,1432
1,W2,SKU_D,0,0,130,1280
1,W2,SKU_E,0,0,238,1063
1,R1,SKU_A,344,0,0,55
1,R1,SKU_B,192,0,0,132
1,R1,SKU_C,304,0,0,84
1,R1,SKU_D,163,0,0,192
1,R1,SKU_E,99,0,0,187
1,R2,SKU_A,259,0,0,405
1,R2,SKU_B,203,0,0,0
1,R2,SKU_C,171,0,0,183
1,R2,SKU_D,143,0,0,130
1,R2,SKU_E,161,0,0,336
1,R3,SKU_A,790,0,0,592
1,R3,SKU_B,295,0,0,477
1,R3,SKU_C,540,0,0,1069
1,R3,SKU_D,419,0,0,813
1,R3,SKU_E,350,0,0,672
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,1100,0,0,638
2,W1,SKU_B,750,0,0,904
2,W1,SKU_C,855,0,0,176
2,W1,SKU_D,413,0,0,914
2,W1,SKU_E,80,0,0,66
2,W2,SKU_A,849,0,0,2058
2,W2,SKU_B,19,0,0,908
2,W2,SKU_C,0,0,576,2969
2,W2,SKU_D,0,0,203,2223
2,W2,SKU_E,0,0,296,1973
2,R1,SKU_A,258,0,0,149
2,R1,SKU_B,167,0,0,160
2,R1,SKU_C,246,0,0,150
2,R1,SKU_D,131,0,0,222
2,R1,SKU_E,57,0,0,214
2,R2,SKU_A,176,0,0,517
2,R2,SKU_B,160,0,0,33
2,R2,SKU_C,119,0,0,240
2,R2,SKU_D,112,0,0,170
2,R2,SKU_E,133,0,0,374
2,R3,SKU_A,594,0,0,761
2,R3,SKU_B,257,0,0,516
2,R3,SKU_C,474,0,0,1069
2,R3,SKU_D,361,0,0,813
2,R3,SKU_E,284,0,0,672
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,931,0,0,844
3,W1,SKU_B,682,0,0,965
3,W1,SKU_C,745,0,0,299
3,W1,SKU_D,350,0,0,984
3,W1,SKU_E,10,0,0,131
3,W2,SKU_A,653,0,0,2227
3,W2,SKU_B,0,0,19,947
3,W2,SKU_C,0,0,642,3077
3,W2,SKU_D,0,0,261,2296
3,W2,SKU_E,0,0,362,2031
3,R1,SKU_A,225,0,0,180
3,R1,SKU_B,270,0,0,53
3,R1,SKU_C,266,0,0,124
3,R1,SKU_D,286,0,0,62
3,R1,SKU_E,210,0,0,69
3,R2,SKU_A,86,0,0,600
3,R2,SKU_B,105,0,0,76
3,R2,SKU_C,77,0,0,292
3,R2,SKU_D,75,0,0,201
3,R2,SKU_E,111,0,0,402
3,R3,SKU_A,448,0,0,957
3,R3,SKU_B,213,0,0,535
3,R3,SKU_C,384,0,0,1069
3,R3,SKU_D,299,0,0,813
3,R3,SKU_E,235,0,0,672
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,753,0,0,1013
4,W1,SKU_B,598,0,0,1033
4,W1,SKU_C,639,0,0,409
4,W1,SKU_D,276,0,0,1047
4,W1,SKU_E,0,0,46,201
4,W2,SKU_A,507,0,0,2423
4,W2,SKU_B,0,0,63,985
4,W2,SKU_C,0,0,732,3143
4,W2,SKU_D,0,0,323,2354
4,W2,SKU_E,0,0,411,2097
4,R1,SKU_A,232,0,0,174
4,R1,SKU_B,257,0,0,54
4,R1,SKU_C,251,0,0,122
4,R1,SKU_D,275,0,0,69
4,R1,SKU_E,193,0,0,52
4,R2,SKU_A,390,0,0,285
4,R2,SKU_B,42,0,0,131
4,R2,SKU_C,204,0,0,151
4,R2,SKU_D,162,0,0,108
4,R2,SKU_E,423,0,0,66
4,R3,SKU_A,267,0,0,1103
4,R3,SKU_B,147,0,0,535
4,R3,SKU_C,269,0,0,1069
4,R3,SKU_D,220,0,0,813
4,R3,SKU_E,171,0,0,672
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,565,0,0,1191
5,W1,SKU_B,494,0,0,1117
5,W1,SKU_C,502,0,0,515
5,W1,SKU_D,192,0,0,1121
5,W1,SKU_E,0,0,114,257
5,W2,SKU_A,326,0,0,2569
5,W2,SKU_B,0,0,129,1029
5,W2,SKU_C,0,0,847,3233
5,W2,SKU_D,0,0,402,2416
5,W2,SKU_E,0,0,475,2146
5,R1,SKU_A,190,0,0,175
5,R1,SKU_B,205,0,0,70
5,R1,SKU_C,201,0,0,145
5,R1,SKU_D,260,0,0,78
5,R1,SKU_E,176,0,0,10
5,R2,SKU_A,394,0,0,274
5,R2,SKU_B,5,0,0,161
5,R2,SKU_C,172,0,0,150
5,R2,SKU_D,147,0,0,111
5,R2,SKU_E,406,0,0,28
5,R3,SKU_A,613,0,0,692
5,R3,SKU_B,558,0,0,58
5,R3,SKU_C,1175,0,0,0
5,R3,SKU_D,932,0,0,0
5,R3,SKU_E,766,0,0,0
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,507,0,0,1201
6,W1,SKU_B,1119,0,0,449
6,W1,SKU_C,305,0,0,652
6,W1,SKU_D,682,0,0,613
6,W1,SKU_E,0,0,228,325
6,W2,SKU_A,80,0,0,2750
6,W2,SKU_B,0,0,195,1095
6,W2,SKU_C,0,0,1010,3348
6,W2,SKU_D,0,0,503,2495
6,W2,SKU_E,0,0,552,2210
6,R1,SKU_A,112,0,0,215
6,R1,SKU_B,154,0,0,118
6,R1,SKU_C,150,0,0,189
6,R1,SKU_D,233,0,0,88
6,R1,SKU_E,119,0,0,0
6,R2,SKU_A,358,0,0,299
6,R2,SKU_B,0,26,0,188
6,R2,SKU_C,120,0,0,187
6,R2,SKU_D,130,0,0,135
6,R2,SKU_E,367,0,0,0
6,R3,SKU_A,526,0,0,769
6,R3,SKU_B,538,0,0,19
6,R3,SKU_C,1026,0,0,0
6,R3,SKU_D,829,0,0,0
6,R3,SKU_E,639,0,0,0
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,682,0,0,977
7,W1,SKU_B,1097,0,0,464
7,W1,SKU_C,262,0,0,673
7,W1,SKU_D,892,0,0,393
7,W1,SKU_E,0,0,296,373
7,W2,SKU_A,1290,0,0,1530
7,W2,SKU_B,177,0,0,730
7,W2,SKU_C,273,0,0,2079
7,W2,SKU_D,674,0,0,1316
7,W2,SKU_E,384,0,0,1224
7,R1,SKU_A,63,0,0,294
7,R1,SKU_B,117,0,0,157
7,R1,SKU_C,109,0,0,223
7,R1,SKU_D,211,0,0,111
7,R1,SKU_E,59,0,0,66
7,R2,SKU_A,323,0,0,328
7,R2,SKU_B,0,37,0,207
7,R2,SKU_C,81,0,0,249
7,R2,SKU_D,126,0,0,146
7,R2,SKU_E,312,0,0,0
7,R3,SKU_A,482,0,0,829
7,R3,SKU_B,461,0,0,254
7,R3,SKU_C,884,0,0,1159
7,R3,SKU_D,724,0,0,606
7,R3,SKU_E,542,0,0,679
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,627,0,0,1056
8,W1,SKU_B,1014,0,0,557
8,W1,SKU_C,182,0,0,769
8,W1,SKU_D,858,0,0,435
8,W1,SKU_E,0,0,346,442
