t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1766,0,0,0
0,W1,SKU_B,943,0,0,0
0,W1,SKU_C,1245,0,0,0
0,W1,SKU_D,805,0,0,0
0,W1,SKU_E,668,0,0,0
0,W2,SKU_A,1610,0,0,0
0,W2,SKU_B,535,0,0,0
0,W2,SKU_C,1069,0,0,0
0,W2,SKU_D,813,0,0,0
0,W2,SKU_E,672,0,0,0
0,R1,SKU_A,438,0,0,0
0,R1,SKU_B,220,0,0,0
0,R1,SKU_C,370,0,0,0
0,R1,SKU_D,193,0,0,0
0,R1,SKU_E,126,0,0,0
0,R2,SKU_A,371,0,0,0
0,R2,SKU_B,254,0,0,0
0,R2,SKU_C,228,0,0,0
0,R2,SKU_D,183,0,0,0
0,R2,SKU_E,199,0,0,0
0,R3,SKU_A,959,0,0,0
0,R3,SKU_B,334,0,0,0
0,R3,SKU_C,648,0,0,0
0,R3,SKU_D,492,0,0,0
0,R3,SKU_E,408,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,0,0,284,0
1,W1,SKU_B,371,0,0,0
1,W1,SKU_C,58,0,0,0
1,W1,SKU_D,192,0,0,0
1,W1,SKU_E,228,0,0,0
1,W2,SKU_A,916,0,0,518
1,W2,SKU_B,0,0,135,515
1,W2,SKU_C,0,0,94,0
1,W2,SKU_D,475,0,0,1110
1,W2,SKU_E,0,0,352,243
1,R1,SKU_A,344,0,0,1043
1,R1,SKU_B,192,0,0,320
1,R1,SKU_C,304,0,0,972
1,R1,SKU_D,163,0,0,379
1,R1,SKU_E,99,0,0,229
1,R2,SKU_A,259,0,0,723
1,R2,SKU_B,203,0,0,252
1,R2,SKU_C,171,0,0,215
1,R2,SKU_D,143,0,0,234
1,R2,SKU_E,161,0,0,211
1,R3,SKU_A,790,0,0,694
1,R3,SKU_B,295,0,0,535
1,R3,SKU_C,540,0,0,1069
1,R3,SKU_D,419,0,0,338
1,R3,SKU_E,350,0,0,672
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,0,0,490,2160
2,W1,SKU_B,292,0,0,1539
2,W1,SKU_C,0,0,65,2350
2,W1,SKU_D,122,0,0,749
2,W1,SKU_E,163,0,0,961
2,W2,SKU_A,747,0,0,1212
2,W2,SKU_B,0,0,174,1185
2,W2,SKU_C,0,0,202,516
2,W2,SKU_D,402,0,0,1448
2,W2,SKU_E,0,0,410,1267
2,R1,SKU_A,258,0,0,1043
2,R1,SKU_B,167,0,0,320
2,R1,SKU_C,246,0,0,972
2,R1,SKU_D,131,0,0,379
2,R1,SKU_E,57,0,0,229
2,R2,SKU_A,176,0,0,723
2,R2,SKU_B,160,0,0,252
2,R2,SKU_C,119,0,0,215
2,R2,SKU_D,112,0,0,234
2,R2,SKU_E,133,0,0,211
2,R3,SKU_A,594,0,0,694
2,R3,SKU_B,257,0,0,535
2,R3,SKU_C,474,0,0,1069
2,R3,SKU_D,361,0,0,338
2,R3,SKU_E,284,0,0,672
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,0,0,659,2160
3,W1,SKU_B,224,0,0,1539
3,W1,SKU_C,0,0,175,2350
3,W1,SKU_D,59,0,0,749
3,W1,SKU_E,93,0,0,961
3,W2,SKU_A,551,0,0,1212
3,W2,SKU_B,0,0,212,1185
3,W2,SKU_C,0,0,268,516
3,W2,SKU_D,344,0,0,1448
3,W2,SKU_E,0,0,476,1267
3,R1,SKU_A,1213,0,0,0
3,R1,SKU_B,458,0,0,0
3,R1,SKU_C,1154,0,0,0
3,R1,SKU_D,473,0,0,0
3,R1,SKU_E,252,0,0,0
3,R2,SKU_A,86,0,0,723
3,R2,SKU_B,105,0,0,252
3,R2,SKU_C,77,0,0,215
3,R2,SKU_D,75,0,0,234
3,R2,SKU_E,111,0,0,211
3,R3,SKU_A,448,0,0,694
3,R3,SKU_B,213,0,0,535
3,R3,SKU_C,384,0,0,1069
3,R3,SKU_D,299,0,0,338
3,R3,SKU_E,235,0,0,672
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,837,2160
4,W1,SKU_B,140,0,0,1539
4,W1,SKU_C,0,0,281,2350
4,W1,SKU_D,0,0,15,749
4,W1,SKU_E,37,0,0,961
4,W2,SKU_A,405,0,0,1212
4,W2,SKU_B,0,0,256,1185
4,W2,SKU_C,0,0,358,516
4,W2,SKU_D,282,0,0,1448
4,W2,SKU_E,0,0,525,1267
4,R1,SKU_A,1126,0,0,0
4,R1,SKU_B,417,0,0,82
4,R1,SKU_C,1073,0,0,58
4,R1,SKU_D,432,0,0,99
4,R1,SKU_E,208,0,0,103
4,R2,SKU_A,708,0,0,0
4,R2,SKU_B,294,0,0,149
4,R2,SKU_C,236,0,0,0
4,R2,SKU_D,266,0,0,93
4,R2,SKU_E,298,0,0,88
4,R3,SKU_A,267,0,0,1205
4,R3,SKU_B,147,0,0,535
4,R3,SKU_C,269,0,0,1069
4,R3,SKU_D,220,0,0,531
4,R3,SKU_E,171,0,0,672
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,1025,2713
5,W1,SKU_B,36,0,0,1770
5,W1,SKU_C,0,0,418,2689
5,W1,SKU_D,0,0,99,956
5,W1,SKU_E,0,0,31,1152
5,W2,SKU_A,224,0,0,1723
5,W2,SKU_B,0,0,322,1306
5,W2,SKU_C,0,0,473,780
5,W2,SKU_D,203,0,0,1641
5,W2,SKU_E,0,0,589,1440
5,R1,SKU_A,998,0,0,0
5,R1,SKU_B,340,0,0,82
5,R1,SKU_C,965,0,0,58
5,R1,SKU_D,385,0,0,99
5,R1,SKU_E,149,0,0,103
5,R2,SKU_A,600,0,0,0
5,R2,SKU_B,224,0,0,149
5,R2,SKU_C,147,0,0,0
5,R2,SKU_D,211,0,0,93
5,R2,SKU_E,243,0,0,88
5,R3,SKU_A,715,0,0,511
5,R3,SKU_B,616,0,0,0
5,R3,SKU_C,1175,0,0,0
5,R3,SKU_D,457,0,0,193
5,R3,SKU_E,766,0,0,0
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,0,0,1261,2713
6,W1,SKU_B,0,0,111,1770
6,W1,SKU_C,0,0,615,2689
6,W1,SKU_D,0,0,201,956
6,W1,SKU_E,0,0,145,1152
6,W2,SKU_A,0,0,22,1723
6,W2,SKU_B,0,0,388,1306
6,W2,SKU_C,0,0,636,780
6,W2,SKU_D,102,0,0,1641
6,W2,SKU_E,0,0,666,1440
6,R1,SKU_A,832,0,0,0
6,R1,SKU_B,342,0,0,0
6,R1,SKU_C,908,0,0,0
6,R1,SKU_D,420,0,0,0
6,R1,SKU_E,185,0,0,0
6,R2,SKU_A,481,0,0,0
6,R2,SKU_B,150,0,0,149
6,R2,SKU_C,43,0,0,0
6,R2,SKU_D,163,0,0,93
6,R2,SKU_E,176,0,0,88
6,R3,SKU_A,459,0,0,511
6,R3,SKU_B,557,0,0,0
6,R3,SKU_C,1026,0,0,0
6,R3,SKU_D,354,0,0,193
6,R3,SKU_E,639,0,0,0
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,614,0,0,553
7,W1,SKU_B,1274,0,0,231
7,W1,SKU_C,1516,0,0,339
7,W1,SKU_D,436,0,0,207
7,W1,SKU_E,682,0,0,191
7,W2,SKU_A,240,0,0,1205
7,W2,SKU_B,68,0,0,791
7,W2,SKU_C,0,0,785,780
7,W2,SKU_D,1109,0,0,531
7,W2,SKU_E,0,0,550,1197
7,R1,SKU_A,696,0,0,649
7,R1,SKU_B,264,0,0,198
7,R1,SKU_C,786,0,0,434
7,R1,SKU_D,357,0,0,152
7,R1,SKU_E,125,0,0,170
7,R2,SKU_A,356,0,0,897
7,R2,SKU_B,233,0,0,207
7,R2,SKU_C,0,38,0,400
7,R2,SKU_D,215,0,0,161
7,R2,SKU_E,209,0,0,146
7,R3,SKU_A,219,0,0,1194
7,R3,SKU_B,461,0,0,447
7,R3,SKU_C,884,0,0,0
7,R3,SKU_D,249,0,0,476
7,R3,SKU_E,542,0,0,243
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,353,0,0,1262
8,W1,SKU_B,1130,0,0,636
8,W1,SKU_C,1313,0,0,892
8,W1,SKU_D,332,0,0,505
8,W1,SKU_E,567,0,0,507
