t_ship,parent,child,sku,lead_time,qty
1,Supplier,W2,SKU_A,6,518
1,Supplier,W2,SKU_B,6,515
1,Supplier,W2,SKU_D,6,1110
1,Supplier,W2,SKU_E,6,243
1,W1,R1,SKU_A,2,1043
1,W1,R1,SKU_B,2,320
1,W1,R1,SKU_C,2,972
1,W1,R1,SKU_D,2,379
1,W1,R1,SKU_E,2,229
1,W1,R2,SKU_A,3,723
1,W1,R2,SKU_B,3,252
1,W1,R2,SKU_C,3,215
1,W1,R2,SKU_D,3,234
1,W1,R2,SKU_E,3,211
1,W2,R3,SKU_A,4,694
1,W2,R3,SKU_B,4,535
1,W2,R3,SKU_C,4,1069
1,W2,R3,SKU_D,4,338
1,W2,R3,SKU_E,4,672
2,Supplier,W1,SKU_A,5,2160
2,Supplier,W1,SKU_B,5,1539
2,Supplier,W1,SKU_C,5,2350
2,Supplier,W1,SKU_D,5,749
2,Supplier,W1,SKU_E,5,961
2,Supplier,W2,SKU_A,6,694
2,Supplier,W2,SKU_B,6,670
2,Supplier,W2,SKU_C,6,516
2,Supplier,W2,SKU_D,6,338
2,Supplier,W2,SKU_E,6,1024
4,W1,R1,SKU_B,2,82
4,W1,R1,SKU_C,2,58
4,W1,R1,SKU_D,2,99
4,W1,R1,SKU_E,2,103
4,W1,R2,SKU_B,3,149
4,W1,R2,SKU_D,3,93
4,W1,R2,SKU_E,3,88
4,W2,R3,SKU_A,4,511
4,W2,R3,SKU_D,4,193
5,Supplier,W1,SKU_A,5,553
5,Supplier,W1,SKU_B,5,231
5,Supplier,W1,SKU_C,5,339
5,Supplier,W1,SKU_D,5,207
5,Supplier,W1,SKU_E,5,191
5,Supplier,W2,SKU_A,6,511
5,Supplier,W2,SKU_B,6,121
5,Supplier,W2,SKU_C,6,264
5,Supplier,W2,SKU_D,6,193
5,Supplier,W2,SKU_E,6,173
7,W1,R1,SKU_B,2,198
7,W1,R1,SKU_E,2,170
7,W1,R1,SKU_A,2,649
7,W1,R1,SKU_C,2,434
7,W1,R1,SKU_D,2,152
7,W1,R2,SKU_B,3,207
7,W1,R2,SKU_A,3,897
7,W1,R2,SKU_C,3,400
7,W1,R2,SKU_D,3,161
7,W1,R2,SKU_E,3,146
7,W2,R3,SKU_A,4,683
7,W2,R3,SKU_D,4,283
7,W2,R3,SKU_B,4,447
7,W2,R3,SKU_E,4,243
8,Supplier,W1,SKU_A,5,709
8,Supplier,W1,SKU_B,5,405
8,Supplier,W1,SKU_C,5,553
8,Supplier,W1,SKU_D,5,298
8,Supplier,W1,SKU_E,5,316
8,Supplier,W2,SKU_A,6,683
8,Supplier,W2,SKU_B,6,191
8,Supplier,W2,SKU_C,6,427
8,Supplier,W2,SKU_D,6,283
8,Supplier,W2,SKU_E,6,268
8,W2,R3,SKU_A,4,240
8,W2,R3,SKU_B,4,96
8,W2,R3,SKU_C,4,516
8,W2,R3,SKU_D,4,105
8,W2,R3,SKU_E,4,647
9,W1,R1,SKU_A,2,234
9,W1,R1,SKU_B,2,130
9,W1,R1,SKU_C,2,183
9,W1,R1,SKU_D,2,98
9,W1,R1,SKU_E,2,106
10,W1,R2,SKU_A,3,335
10,W1,R2,SKU_B,3,158
10,W1,R2,SKU_C,3,188
10,W1,R2,SKU_D,3,123
10,W1,R2,SKU_E,3,141
11,Supplier,W1,SKU_A,5,664
11,Supplier,W1,SKU_B,5,318
11,Supplier,W1,SKU_C,5,419
11,Supplier,W1,SKU_D,5,255
11,Supplier,W1,SKU_E,5,282
11,Supplier,W2,SKU_A,6,548
11,Supplier,W2,SKU_B,6,225
11,Supplier,W2,SKU_C,6,340
11,Supplier,W2,SKU_D,6,253
11,Supplier,W2,SKU_E,6,237
11,W2,R3,SKU_A,4,508
11,W2,R3,SKU_B,4,186
11,W2,R3,SKU_D,4,222
11,W2,R3,SKU_E,4,210
11,W2,R3,SKU_C,4,264
12,W1,R1,SKU_A,2,302
12,W1,R1,SKU_B,2,105
12,W1,R1,SKU_C,2,193
12,W1,R1,SKU_D,2,117
12,W1,R1,SKU_E,2,116
13,W1,R2,SKU_A,3,306
13,W1,R2,SKU_B,3,162
13,W1,R2,SKU_C,3,141
13,W1,R2,SKU_D,3,108
13,W1,R2,SKU_E,3,144
14,Supplier,W1,SKU_A,5,653
14,Supplier,W1,SKU_B,5,307
14,Supplier,W1,SKU_C,5,357
14,Supplier,W1,SKU_D,5,229
14,Supplier,W1,SKU_E,5,277
14,Supplier,W2,SKU_A,6,602
14,Supplier,W2,SKU_B,6,212
14,Supplier,W2,SKU_C,6,360
14,Supplier,W2,SKU_D,6,254
14,Supplier,W2,SKU_E,6,261
14,W1,R1,SKU_A,2,295
14,W1,R1,SKU_B,2,159
14,W1,R1,SKU_C,2,173
14,W1,R1,SKU_D,2,106
14,W1,R1,SKU_E,2,122
14,W2,R3,SKU_A,4,689
14,W2,R3,SKU_B,4,271
14,W2,R3,SKU_D,4,318
14,W2,R3,SKU_E,4,318
14,W2,R3,SKU_C,4,427
16,W1,R1,SKU_A,2,290
16,W1,R1,SKU_B,2,105
16,W1,R1,SKU_C,2,170
16,W1,R1,SKU_D,2,121
16,W1,R1,SKU_E,2,127
16,W1,R2,SKU_A,3,357
16,W1,R2,SKU_B,3,154
16,W1,R2,SKU_C,3,168
16,W1,R2,SKU_D,3,141
16,W1,R2,SKU_E,3,154
17,Supplier,W1,SKU_A,5,802
17,Supplier,W1,SKU_B,5,348
17,Supplier,W1,SKU_C,5,440
17,Supplier,W1,SKU_D,5,330
17,Supplier,W1,SKU_E,5,351
17,Supplier,W2,SKU_A,6,805
17,Supplier,W2,SKU_B,6,231
17,Supplier,W2,SKU_C,6,442
17,Supplier,W2,SKU_D,6,319
17,Supplier,W2,SKU_E,6,267
17,W2,R3,SKU_A,4,691
17,W2,R3,SKU_B,4,171
17,W2,R3,SKU_D,4,264
17,W2,R3,SKU_E,4,203
17,W2,R3,SKU_C,4,340
19,W1,R1,SKU_A,2,344
19,W1,R1,SKU_B,2,94
19,W1,R1,SKU_C,2,182
19,W1,R1,SKU_D,2,91
19,W1,R1,SKU_E,2,111
19,W1,R2,SKU_A,3,278
19,W1,R2,SKU_B,3,136
19,W1,R2,SKU_C,3,107
19,W1,R2,SKU_D,3,115
19,W1,R2,SKU_E,3,110
20,Supplier,W1,SKU_A,5,622
20,Supplier,W1,SKU_B,5,230
20,Supplier,W1,SKU_C,5,289
20,Supplier,W1,SKU_D,5,206
20,Supplier,W1,SKU_E,5,221
20,Supplier,W2,SKU_A,6,527
20,Supplier,W2,SKU_B,6,168
20,Supplier,W2,SKU_C,6,292
20,Supplier,W2,SKU_D,6,243
20,Supplier,W2,SKU_E,6,203
20,W2,R3,SKU_A,4,544
20,W2,R3,SKU_B,4,173
20,W2,R3,SKU_D,4,253
20,W2,R3,SKU_E,4,221
20,W2,R3,SKU_C,4,360
21,W1,R1,SKU_A,2,303
21,W1,R1,SKU_B,2,137
21,W1,R1,SKU_C,2,184
21,W1,R1,SKU_D,2,134
21,W1,R1,SKU_E,2,134
22,W1,R2,SKU_A,3,379
22,W1,R2,SKU_B,3,214
22,W1,R2,SKU_C,3,151
22,W1,R2,SKU_D,3,152
22,W1,R2,SKU_E,3,142
23,Supplier,W1,SKU_A,5,831
