node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,3004.0750000000003,98.0,102.788,0.0,3204.8630000000003
R1,SKU_B,1607.1299999999999,502.79999999999995,47.6,0.0,2157.5299999999997
R1,SKU_C,3267.594,164.25,75.52,0.0,3507.364
R1,SKU_D,3564.568,0.0,44.602000000000004,0.0,3609.17
R1,SKU_E,1449.396,9.200000000000001,31.706,0.0,1490.302
R2,SKU_A,1667.875,313.0,68.46000000000001,0.0,2049.335
R2,SKU_B,4604.34,58.8,39.122,0.0,4702.262
R2,SKU_C,695.331,1710.0,37.174,0.0,2442.505
R2,SKU_D,1096.3120000000001,1208.3500000000001,33.084,0.0,2337.746
R2,SKU_E,253.23999999999998,2334.8,33.058,0.0,2621.098
R3,SKU_A,11985.85,0.0,133.192,0.0,12119.042000000001
R3,SKU_B,3720.33,28.2,43.066,0.0,3791.596
R3,SKU_C,8525.601,36.0,82.696,0.0,8644.297
R3,SKU_D,3331.132,31.35,66.952,0.0,3429.434
R3,SKU_E,6133.8679999999995,0.0,56.42,0.0,6190.288
Supplier,SKU_A,0.0,0.0,0.0,13648.917148298466,13648.917148298466
Supplier,SKU_B,0.0,0.0,0.0,22316.343514141343,22316.343514141343
Supplier,SKU_C,0.0,0.0,0.0,13077.325676153352,13077.325676153352
Supplier,SKU_D,0.0,0.0,0.0,16307.90264054111,16307.90264054111
Supplier,SKU_E,0.0,0.0,0.0,16419.511020865728,16419.511020865728
W1,SKU_A,918.78,0.0,4692.608,6259.464390210142,11870.852390210142
W1,SKU_B,251.96399999999997,0.0,3609.86,12945.185004339603,16807.0090043396
W1,SKU_C,3695.328,0.0,4079.254,5979.015104016955,13753.597104016955
W1,SKU_D,0.9180000000000001,0.0,3621.509,7102.051168773736,10724.478168773736
W1,SKU_E,5984.832,0.0,3200.064,7496.284332659564,16681.180332659565
W2,SKU_A,2715.24,0.0,4540.968,3080.21174715978,10336.41974715978
W2,SKU_B,10.691999999999998,0.0,3479.33,3985.7895168567775,7475.811516856777
W2,SKU_C,143.648,0.0,3963.471,2876.631103840717,6983.750103840717
W2,SKU_D,4863.513,0.0,3574.283,3866.344425469209,12304.14042546921
W2,SKU_E,6.928,0.0,3175.272,3899.023206673516,7081.223206673516
