node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,51198,0.9961863252519749
R1,SKU_B,23800,23036,0.9678991596638655
R1,SKU_C,37760,37408,0.9906779661016949
R1,SKU_D,22301,22301,1.0
R1,SKU_E,15853,15830,0.9985491705040056
R2,SKU_A,34230,33678,0.9838737949167397
R2,SKU_B,19561,19471,0.9953990082306631
R2,SKU_C,18587,15500,0.8339161779738526
R2,SKU_D,16542,14991,0.9062386652158143
R2,SKU_E,16529,11735,0.7099643051606268
R3,SKU_A,66596,66596,1.0
R3,SKU_B,21533,21486,0.9978173036734315
R3,SKU_C,41348,41268,0.9980652026700203
R3,SKU_D,33476,33419,0.9982972876090334
R3,SKU_E,28210,28210,1.0
