t_ship,parent,child,sku,lead_time,qty
1,W1,R1,SKU_A,2,135
1,W1,R1,SKU_B,2,67
1,W1,R1,SKU_C,2,89
1,W1,R1,SKU_D,2,60
1,W1,R1,SKU_E,2,55
1,W1,R2,SKU_A,3,111
1,W1,R2,SKU_B,3,43
1,W1,R2,SKU_C,3,61
1,W1,R2,SKU_D,3,56
1,W1,R2,SKU_E,3,38
1,W2,R3,SKU_A,4,219
1,W2,R3,SKU_B,4,59
1,W2,R3,SKU_C,4,143
1,W2,R3,SKU_D,4,104
1,W2,R3,SKU_E,4,83
2,Supplier,W1,SKU_A,5,246
2,Supplier,W1,SKU_B,5,110
2,Supplier,W1,SKU_C,5,150
2,Supplier,W1,SKU_D,5,116
2,Supplier,W1,SKU_E,5,93
2,Supplier,W2,SKU_A,6,219
2,Supplier,W2,SKU_B,6,59
2,Supplier,W2,SKU_C,6,143
2,Supplier,W2,SKU_D,6,104
2,Supplier,W2,SKU_E,6,83
2,W1,R1,SKU_A,2,94
2,W1,R1,SKU_B,2,28
2,W1,R1,SKU_C,2,66
2,W1,R1,SKU_D,2,30
2,W1,R1,SKU_E,2,27
2,W1,R2,SKU_A,3,112
2,W1,R2,SKU_B,3,51
2,W1,R2,SKU_C,3,57
2,W1,R2,SKU_D,3,40
2,W1,R2,SKU_E,3,38
2,W2,R3,SKU_A,4,169
2,W2,R3,SKU_B,4,39
2,W2,R3,SKU_C,4,108
2,W2,R3,SKU_D,4,73
2,W2,R3,SKU_E,4,58
3,Supplier,W1,SKU_A,5,206
3,Supplier,W1,SKU_B,5,79
3,Supplier,W1,SKU_C,5,123
3,Supplier,W1,SKU_D,5,70
3,Supplier,W1,SKU_E,5,65
3,Supplier,W2,SKU_A,6,169
3,Supplier,W2,SKU_B,6,39
3,Supplier,W2,SKU_C,6,108
3,Supplier,W2,SKU_D,6,73
3,Supplier,W2,SKU_E,6,58
3,W1,R1,SKU_A,2,86
3,W1,R1,SKU_B,2,25
3,W1,R1,SKU_C,2,58
3,W1,R1,SKU_D,2,32
3,W1,R1,SKU_E,2,42
3,W1,R2,SKU_A,3,83
3,W1,R2,SKU_B,3,43
3,W1,R2,SKU_C,3,52
3,W1,R2,SKU_D,3,31
3,W1,R2,SKU_E,3,28
3,W2,R3,SKU_A,4,196
3,W2,R3,SKU_B,4,38
3,W2,R3,SKU_C,4,66
3,W2,R3,SKU_D,4,58
3,W2,R3,SKU_E,4,66
4,Supplier,W1,SKU_A,5,169
