t_ship,parent,child,sku,lead_time,qty
2,W1,R2,SKU_A,3,223
2,W1,R2,SKU_B,3,94
2,W1,R2,SKU_C,3,118
2,W1,R2,SKU_D,3,96
2,W1,R2,SKU_E,3,76
2,W2,R3,SKU_A,4,388
2,W2,R3,SKU_B,4,98
2,W2,R3,SKU_C,4,251
2,W2,R3,SKU_D,4,177
2,W2,R3,SKU_E,4,141
3,Supplier,W1,SKU_A,5,452
3,Supplier,W1,SKU_B,5,189
3,Supplier,W1,SKU_C,5,273
3,Supplier,W1,SKU_D,5,186
3,Supplier,W1,SKU_E,5,158
3,Supplier,W2,SKU_A,6,388
3,Supplier,W2,SKU_B,6,98
3,Supplier,W2,SKU_C,6,251
3,Supplier,W2,SKU_D,6,177
3,Supplier,W2,SKU_E,6,141
3,W1,R1,SKU_A,2,315
3,W1,R1,SKU_B,2,120
3,W1,R1,SKU_C,2,213
3,W1,R1,SKU_D,2,122
3,W1,R1,SKU_E,2,124
4,W1,R2,SKU_A,3,173
4,W1,R2,SKU_B,3,98
4,W1,R2,SKU_C,3,94
4,W1,R2,SKU_D,3,68
4,W1,R2,SKU_E,3,50
5,W2,R3,SKU_A,4,523
5,W2,R3,SKU_B,4,148
5,W2,R3,SKU_C,4,271
5,W2,R3,SKU_D,4,199
5,W2,R3,SKU_E,4,179
6,Supplier,W1,SKU_A,5,535
6,Supplier,W1,SKU_B,5,256
6,Supplier,W1,SKU_C,5,353
6,Supplier,W1,SKU_D,5,221
6,Supplier,W1,SKU_E,5,194
6,Supplier,W2,SKU_A,6,523
6,Supplier,W2,SKU_B,6,148
6,Supplier,W2,SKU_C,6,271
6,Supplier,W2,SKU_D,6,199
6,Supplier,W2,SKU_E,6,179
6,W1,R1,SKU_A,2,303
6,W1,R1,SKU_B,2,147
6,W1,R1,SKU_C,2,253
6,W1,R1,SKU_D,2,125
6,W1,R1,SKU_E,2,137
6,W1,R2,SKU_A,3,209
6,W1,R2,SKU_B,3,133
6,W1,R2,SKU_C,3,145
6,W1,R2,SKU_D,3,98
6,W1,R2,SKU_E,3,79
7,W2,R3,SKU_A,4,502
7,W2,R3,SKU_B,4,125
7,W2,R3,SKU_C,4,312
7,W2,R3,SKU_D,4,204
7,W2,R3,SKU_E,4,204
8,Supplier,W1,SKU_A,5,521
8,Supplier,W1,SKU_B,5,301
8,Supplier,W1,SKU_C,5,416
8,Supplier,W1,SKU_D,5,214
8,Supplier,W1,SKU_E,5,248
8,Supplier,W2,SKU_A,6,502
8,Supplier,W2,SKU_B,6,125
8,Supplier,W2,SKU_C,6,312
8,Supplier,W2,SKU_D,6,204
8,Supplier,W2,SKU_E,6,204
8,W1,R1,SKU_A,2,302
8,W1,R1,SKU_B,2,158
8,W1,R1,SKU_C,2,237
8,W1,R1,SKU_D,2,127
8,W1,R1,SKU_E,2,127
8,W1,R2,SKU_A,3,244
8,W1,R2,SKU_B,3,140
8,W1,R2,SKU_C,3,185
8,W1,R2,SKU_D,3,89
8,W1,R2,SKU_E,3,122
9,W2,R3,SKU_A,4,419
9,W2,R3,SKU_B,4,161
9,W2,R3,SKU_C,4,252
9,W2,R3,SKU_D,4,182
9,W2,R3,SKU_E,4,169
10,Supplier,W1,SKU_A,5,464
10,Supplier,W1,SKU_B,5,252
