node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,0.066205,1.0
R1,SKU_B,0.132948,0.132948,1.0
R1,SKU_C,0.14054,0.14054,1.0
R1,SKU_D,0.077954,0.077954,1.0
R1,SKU_E,0.08107,0.08107,1.0
R2,SKU_A,0.04691,0.04691,1.0
R2,SKU_B,0.106405,0.106405,1.0
R2,SKU_C,0.135223,0.135223,1.0
R2,SKU_D,0.062566,0.062566,1.0
R2,SKU_E,0.057893,0.057893,1.0
R3,SKU_A,0.063665,0.063665,1.0
R3,SKU_B,0.092004,0.092004,1.0
R3,SKU_C,0.146445,0.146445,1.0
R3,SKU_D,0.068073,0.068073,1.0
R3,SKU_E,0.050516,0.050516,1.0
Supplier,SKU_A,0.050766,,
Supplier,SKU_B,0.08447,,
Supplier,SKU_C,0.117403,,
Supplier,SKU_D,0.050884,,
Supplier,SKU_E,0.043359,,
W1,SKU_A,0.05109,0.051132,1.0008
W1,SKU_B,0.102324,0.102636,1.003
W1,SKU_C,0.12104,0.121188,1.0012
W1,SKU_D,0.054296,0.054524,1.0042
W1,SKU_E,0.051052,0.051015,0.9993
W2,SKU_A,0.063665,0.06354,0.998
W2,SKU_B,0.092004,0.091838,0.9982
W2,SKU_C,0.146445,0.146368,0.9995
W2,SKU_D,0.068073,0.068196,1.0018
W2,SKU_E,0.050516,0.050514,1.0
