t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,1504,0,0,30
1,W1,SKU_B,852,0,0,1
1,W1,SKU_C,884,0,0,152
1,W1,SKU_D,734,0,0,0
1,W1,SKU_E,720,0,0,0
1,W2,SKU_A,1809,0,0,0
1,W2,SKU_B,639,0,0,0
1,W2,SKU_C,921,0,0,2
1,W2,SKU_D,1046,0,0,0
1,W2,SKU_E,548,0,0,24
1,R1,SKU_A,359,0,0,120
1,R1,SKU_B,224,0,0,35
1,R1,SKU_C,249,0,0,144
1,R1,SKU_D,199,0,0,24
1,R1,SKU_E,137,0,0,17
1,R2,SKU_A,258,0,0,112
1,R2,SKU_B,191,0,0,55
1,R2,SKU_C,167,0,0,65
1,R2,SKU_D,132,0,0,67
1,R2,SKU_E,187,0,0,12
1,R3,SKU_A,969,0,0,40
1,R3,SKU_B,375,0,0,0
1,R3,SKU_C,537,0,0,146
1,R3,SKU_D,596,0,0,0
1,R3,SKU_E,333,0,0,100
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,1298,0,0,262
2,W1,SKU_B,773,0,0,91
2,W1,SKU_C,761,0,0,361
2,W1,SKU_D,664,0,0,71
2,W1,SKU_E,655,0,0,0
2,W2,SKU_A,1640,0,0,0
2,W2,SKU_B,621,0,0,0
2,W2,SKU_C,813,0,0,148
2,W2,SKU_D,1046,0,0,0
2,W2,SKU_E,490,0,0,124
2,R1,SKU_A,273,0,0,214
2,R1,SKU_B,199,0,0,63
2,R1,SKU_C,191,0,0,210
2,R1,SKU_D,167,0,0,54
2,R1,SKU_E,95,0,0,44
2,R2,SKU_A,175,0,0,224
2,R2,SKU_B,148,0,0,106
2,R2,SKU_C,115,0,0,122
2,R2,SKU_D,101,0,0,107
2,R2,SKU_E,159,0,0,50
2,R3,SKU_A,773,0,0,209
2,R3,SKU_B,337,0,0,18
2,R3,SKU_C,471,0,0,254
2,R3,SKU_D,538,0,0,0
2,R3,SKU_E,267,0,0,158
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,1129,0,0,468
3,W1,SKU_B,705,0,0,170
3,W1,SKU_C,651,0,0,484
3,W1,SKU_D,601,0,0,141
3,W1,SKU_E,585,0,0,13
3,W2,SKU_A,1444,0,0,0
3,W2,SKU_B,583,0,0,0
3,W2,SKU_C,747,0,0,256
3,W2,SKU_D,988,0,0,0
3,W2,SKU_E,424,0,0,182
3,R1,SKU_A,305,0,0,180
3,R1,SKU_B,205,0,0,53
3,R1,SKU_C,271,0,0,124
3,R1,SKU_D,154,0,0,62
3,R1,SKU_E,78,0,0,69
3,R2,SKU_A,85,0,0,307
3,R2,SKU_B,93,0,0,149
3,R2,SKU_C,73,0,0,174
3,R2,SKU_D,64,0,0,138
3,R2,SKU_E,137,0,0,78
3,R3,SKU_A,627,0,0,405
3,R3,SKU_B,293,0,0,56
3,R3,SKU_C,381,0,0,320
3,R3,SKU_D,476,0,0,58
3,R3,SKU_E,218,0,0,224
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,951,0,0,637
4,W1,SKU_B,621,0,0,238
4,W1,SKU_C,545,0,0,594
4,W1,SKU_D,527,0,0,204
4,W1,SKU_E,529,0,0,83
4,W2,SKU_A,1298,0,0,166
4,W2,SKU_B,539,0,0,0
4,W2,SKU_C,657,0,0,322
4,W2,SKU_D,926,0,0,0
4,W2,SKU_E,375,0,0,248
4,R1,SKU_A,312,0,0,174
4,R1,SKU_B,192,0,0,54
4,R1,SKU_C,256,0,0,122
4,R1,SKU_D,143,0,0,69
4,R1,SKU_E,61,0,0,76
4,R2,SKU_A,96,0,0,285
4,R2,SKU_B,85,0,0,149
4,R2,SKU_C,82,0,0,151
4,R2,SKU_D,88,0,0,108
4,R2,SKU_E,125,0,0,88
4,R3,SKU_A,446,0,0,551
4,R3,SKU_B,227,0,0,100
4,R3,SKU_C,266,0,0,410
4,R3,SKU_D,397,0,0,120
4,R3,SKU_E,154,0,0,273
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,763,0,0,815
5,W1,SKU_B,517,0,0,322
5,W1,SKU_C,408,0,0,700
5,W1,SKU_D,443,0,0,278
5,W1,SKU_E,461,0,0,139
5,W2,SKU_A,1117,0,0,312
5,W2,SKU_B,473,0,0,0
5,W2,SKU_C,542,0,0,412
5,W2,SKU_D,847,0,0,0
5,W2,SKU_E,311,0,0,297
5,R1,SKU_A,270,0,0,175
5,R1,SKU_B,140,0,0,70
5,R1,SKU_C,206,0,0,145
5,R1,SKU_D,128,0,0,78
5,R1,SKU_E,44,0,0,78
5,R2,SKU_A,100,0,0,274
5,R2,SKU_B,66,0,0,161
5,R2,SKU_C,50,0,0,150
5,R2,SKU_D,73,0,0,111
5,R2,SKU_E,108,0,0,74
5,R3,SKU_A,240,0,0,692
5,R3,SKU_B,161,0,0,166
5,R3,SKU_C,249,0,0,379
5,R3,SKU_D,296,0,0,199
5,R3,SKU_E,177,0,0,237
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,557,0,0,973
6,W1,SKU_B,371,0,0,425
6,W1,SKU_C,363,0,0,685
6,W1,SKU_D,341,0,0,362
6,W1,SKU_E,347,0,0,207
6,W2,SKU_A,871,0,0,493
6,W2,SKU_B,407,0,0,62
6,W2,SKU_C,379,0,0,527
6,W2,SKU_D,746,0,0,0
6,W2,SKU_E,234,0,0,361
6,R1,SKU_A,192,0,0,215
6,R1,SKU_B,89,0,0,118
6,R1,SKU_C,155,0,0,189
6,R1,SKU_D,101,0,0,88
6,R1,SKU_E,11,0,0,103
6,R2,SKU_A,64,0,0,299
6,R2,SKU_B,35,0,0,188
6,R2,SKU_C,0,2,0,187
6,R2,SKU_D,56,0,0,135
6,R2,SKU_E,69,0,0,101
6,R3,SKU_A,153,0,0,769
6,R3,SKU_B,120,0,0,214
6,R3,SKU_C,208,0,0,434
6,R3,SKU_D,193,0,0,300
6,R3,SKU_E,108,0,0,256
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,504,0,0,977
7,W1,SKU_B,307,0,0,482
7,W1,SKU_C,353,0,0,673
7,W1,SKU_D,300,0,0,393
7,W1,SKU_E,213,0,0,321
7,W2,SKU_A,615,0,0,739
7,W2,SKU_B,348,0,0,128
7,W2,SKU_C,232,0,0,688
7,W2,SKU_D,643,0,0,67
7,W2,SKU_E,131,0,0,414
7,R1,SKU_A,143,0,0,294
7,R1,SKU_B,52,0,0,157
7,R1,SKU_C,114,0,0,223
7,R1,SKU_D,79,0,0,111
7,R1,SKU_E,0,5,0,126
7,R2,SKU_A,29,0,0,328
7,R2,SKU_B,24,0,0,207
7,R2,SKU_C,0,41,0,249
7,R2,SKU_D,52,0,0,146
7,R2,SKU_E,36,0,0,146
7,R3,SKU_A,109,0,0,829
7,R3,SKU_B,62,0,0,235
7,R3,SKU_C,132,0,0,517
7,R3,SKU_D,146,0,0,345
7,R3,SKU_E,77,0,0,317
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,449,0,0,1056
8,W1,SKU_B,242,0,0,557
8,W1,SKU_C,273,0,0,769
8,W1,SKU_D,266,0,0,435
8,W1,SKU_E,111,0,0,442
8,W2,SKU_A,375,0,0,995
8,W2,SKU_B,252,0,0,187
