node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,2776.3250000000003,372166.0,107.636,0.0,375049.961
R1,SKU_B,2291.2799999999997,162585.0,48.938,0.0,164925.218
R1,SKU_C,4168.692,208252.35,79.108,0.0,212500.15
R1,SKU_D,1910.132,178369.40000000002,46.082,0.0,180325.614
R1,SKU_E,915.746,61630.8,32.552,0.0,62579.098000000005
R2,SKU_A,4069.2000000000003,282399.5,70.354,0.0,286539.054
R2,SKU_B,3042.5699999999997,155099.4,39.122,0.0,158181.092
R2,SKU_C,2553.633,103023.0,37.174,0.0,105613.807
R2,SKU_D,635.0120000000001,179759.25000000003,33.084,0.0,180427.34600000002
R2,SKU_E,1931.072,112350.8,33.058,0.0,114314.93000000001
R3,SKU_A,3605.775,903.5,133.192,0.0,4642.467000000001
R3,SKU_B,2682.0,0.0,43.066,0.0,2725.066
R3,SKU_C,7838.856,0.0,82.696,0.0,7921.552
R3,SKU_D,2993.76,415.8,66.952,0.0,3476.512
R3,SKU_E,4124.822,0.0,56.42,0.0,4181.242
Supplier,SKU_A,0.0,0.0,0.0,13922.366450692049,13922.366450692049
Supplier,SKU_B,0.0,0.0,0.0,22987.712809924087,22987.712809924087
Supplier,SKU_C,0.0,0.0,0.0,13274.538973107155,13274.538973107155
Supplier,SKU_D,0.0,0.0,0.0,16474.735424611827,16474.735424611827
Supplier,SKU_E,0.0,0.0,0.0,16740.646341664884,16740.646341664884
W1,SKU_A,52014.72,0.0,3137.84,6647.726671924805,61800.286671924805
W1,SKU_B,27351.719999999998,0.0,2434.39,13460.095240487759,43246.205240487754
W1,SKU_C,33564.928,0.0,2695.687,6281.498838320953,42542.113838320955
W1,SKU_D,26327.951000000005,0.0,2377.305,7392.152147637087,36097.40814763709
W1,SKU_E,23445.392,0.0,2150.016,7772.527101629396,33367.935101629395
W2,SKU_A,10700.835,0.0,4540.968,3137.586325173,18379.389325173
W2,SKU_B,1572.1019999999999,0.0,3479.33,4033.3721784777654,9084.804178477765
W2,SKU_C,5521.776,0.0,3963.471,2925.3380271065303,12410.58502710653
W2,SKU_D,418.65900000000005,0.0,3574.283,3933.7678664947584,7926.709866494758
W2,SKU_E,3289.264,0.0,3175.272,3962.9356027479457,10427.471602747946
