t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,206,0,0,1199
1,W1,SKU_B,684,0,0,700
1,W1,SKU_C,304,0,0,1553
1,W1,SKU_D,557,0,0,889
1,W1,SKU_E,0,0,109,22
1,W2,SKU_A,663,0,0,0
1,W2,SKU_B,71,0,0,318
1,W2,SKU_C,639,0,0,1126
1,W2,SKU_D,0,0,42,511
1,W2,SKU_E,0,0,51,843
1,R1,SKU_A,359,0,0,500
1,R1,SKU_B,224,0,0,11
1,R1,SKU_C,249,0,0,596
1,R1,SKU_D,199,0,0,92
1,R1,SKU_E,137,0,0,492
1,R2,SKU_A,258,0,0,1030
1,R2,SKU_B,191,0,0,247
1,R2,SKU_C,167,0,0,193
1,R2,SKU_D,132,0,0,176
1,R2,SKU_E,187,0,0,257
1,R3,SKU_A,969,0,0,1186
1,R3,SKU_B,375,0,0,568
1,R3,SKU_C,537,0,0,428
1,R3,SKU_D,596,0,0,1046
1,R3,SKU_E,333,0,0,648
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,0,0,0,1405
2,W1,SKU_B,605,0,0,779
2,W1,SKU_C,181,0,0,1676
2,W1,SKU_D,487,0,0,959
2,W1,SKU_E,0,0,283,196
2,W2,SKU_A,494,0,0,0
2,W2,SKU_B,32,0,0,357
2,W2,SKU_C,531,0,0,1234
2,W2,SKU_D,0,0,157,626
2,W2,SKU_E,0,0,160,952
2,R1,SKU_A,273,0,0,594
2,R1,SKU_B,199,0,0,39
2,R1,SKU_C,191,0,0,662
2,R1,SKU_D,167,0,0,122
2,R1,SKU_E,95,0,0,492
2,R2,SKU_A,175,0,0,1142
2,R2,SKU_B,148,0,0,298
2,R2,SKU_C,115,0,0,250
2,R2,SKU_D,101,0,0,216
2,R2,SKU_E,159,0,0,257
2,R3,SKU_A,773,0,0,1355
2,R3,SKU_B,337,0,0,607
2,R3,SKU_C,471,0,0,536
2,R3,SKU_D,538,0,0,1046
2,R3,SKU_E,267,0,0,648
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,0,0,169,1574
3,W1,SKU_B,537,0,0,847
3,W1,SKU_C,71,0,0,1786
3,W1,SKU_D,424,0,0,1022
3,W1,SKU_E,0,0,527,440
3,W2,SKU_A,298,0,0,0
3,W2,SKU_B,0,0,6,395
3,W2,SKU_C,465,0,0,1300
3,W2,SKU_D,0,0,330,799
3,W2,SKU_E,0,0,335,1127
3,R1,SKU_A,685,0,0,94
3,R1,SKU_B,181,0,0,53
3,R1,SKU_C,723,0,0,124
3,R1,SKU_D,222,0,0,62
3,R1,SKU_E,553,0,0,0
3,R2,SKU_A,85,0,0,1142
3,R2,SKU_B,93,0,0,341
3,R2,SKU_C,73,0,0,302
3,R2,SKU_D,64,0,0,247
3,R2,SKU_E,137,0,0,257
3,R3,SKU_A,627,0,0,1551
3,R3,SKU_B,293,0,0,639
3,R3,SKU_C,381,0,0,602
3,R3,SKU_D,476,0,0,1046
3,R3,SKU_E,218,0,0,648
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,516,1921
4,W1,SKU_B,453,0,0,931
4,W1,SKU_C,0,0,35,1892
4,W1,SKU_D,350,0,0,1096
4,W1,SKU_E,0,0,827,740
4,W2,SKU_A,152,0,0,0
4,W2,SKU_B,0,0,56,445
4,W2,SKU_C,375,0,0,1390
4,W2,SKU_D,0,0,565,1034
4,W2,SKU_E,0,0,559,1351
4,R1,SKU_A,692,0,0,0
4,R1,SKU_B,168,0,0,54
4,R1,SKU_C,708,0,0,122
4,R1,SKU_D,211,0,0,69
4,R1,SKU_E,509,0,0,0
4,R2,SKU_A,1014,0,0,112
4,R2,SKU_B,277,0,0,149
4,R2,SKU_C,210,0,0,116
4,R2,SKU_D,197,0,0,108
4,R2,SKU_E,370,0,0,0
4,R3,SKU_A,446,0,0,1697
4,R3,SKU_B,227,0,0,639
4,R3,SKU_C,266,0,0,692
4,R3,SKU_D,397,0,0,1046
4,R3,SKU_E,154,0,0,648
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,1051,2456
5,W1,SKU_B,349,0,0,1035
5,W1,SKU_C,0,0,207,2064
5,W1,SKU_D,266,0,0,1180
5,W1,SKU_E,0,0,1195,1108
5,W2,SKU_A,0,0,29,0
5,W2,SKU_B,0,0,172,561
5,W2,SKU_C,260,0,0,1505
5,W2,SKU_D,0,0,879,1348
5,W2,SKU_E,0,0,847,1639
5,R1,SKU_A,564,0,0,0
5,R1,SKU_B,116,0,0,70
5,R1,SKU_C,658,0,0,64
5,R1,SKU_D,196,0,0,78
5,R1,SKU_E,450,0,0,0
5,R2,SKU_A,1018,0,0,0
5,R2,SKU_B,258,0,0,161
5,R2,SKU_C,178,0,0,59
5,R2,SKU_D,182,0,0,111
5,R2,SKU_E,315,0,0,0
5,R3,SKU_A,1386,0,0,663
5,R3,SKU_B,729,0,0,71
5,R3,SKU_C,531,0,0,379
5,R3,SKU_D,1342,0,0,0
5,R3,SKU_E,725,0,0,0
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,0,0,623,2028
6,W1,SKU_B,902,0,0,482
6,W1,SKU_C,977,0,0,880
6,W1,SKU_D,1053,0,0,393
6,W1,SKU_E,0,0,1655,1568
6,W2,SKU_A,0,0,304,0
6,W2,SKU_B,0,0,354,743
6,W2,SKU_C,97,0,0,1668
6,W2,SKU_D,0,0,1294,1763
6,W2,SKU_E,0,0,1212,2004
6,R1,SKU_A,398,0,0,910
6,R1,SKU_B,65,0,0,118
6,R1,SKU_C,607,0,0,270
6,R1,SKU_D,169,0,0,88
6,R1,SKU_E,383,0,0,22
6,R2,SKU_A,899,0,0,289
6,R2,SKU_B,227,0,0,188
6,R2,SKU_C,126,0,0,313
6,R2,SKU_D,165,0,0,135
6,R2,SKU_E,248,0,0,0
6,R3,SKU_A,1299,0,0,494
6,R3,SKU_B,709,0,0,32
6,R3,SKU_C,490,0,0,434
6,R3,SKU_D,1239,0,0,0
6,R3,SKU_E,598,0,0,0
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,0,0,629,1822
7,W1,SKU_B,827,0,0,557
7,W1,SKU_C,1066,0,0,769
7,W1,SKU_D,1011,0,0,435
7,W1,SKU_E,0,0,2075,1988
7,W2,SKU_A,0,0,835,0
7,W2,SKU_B,0,0,277,666
7,W2,SKU_C,1074,0,0,691
7,W2,SKU_D,0,0,1301,1770
7,W2,SKU_E,0,0,861,1653
7,R1,SKU_A,262,0,0,910
7,R1,SKU_B,28,0,0,157
7,R1,SKU_C,485,0,0,304
7,R1,SKU_D,147,0,0,111
7,R1,SKU_E,323,0,0,196
7,R2,SKU_A,774,0,0,495
7,R2,SKU_B,216,0,0,207
7,R2,SKU_C,52,0,0,306
7,R2,SKU_D,161,0,0,146
7,R2,SKU_E,193,0,0,0
7,R3,SKU_A,1255,0,0,298
7,R3,SKU_B,645,0,0,318
7,R3,SKU_C,414,0,0,517
7,R3,SKU_D,1134,0,0,511
7,R3,SKU_E,501,0,0,843
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,0,0,591,1777
8,W1,SKU_B,751,0,0,633
8,W1,SKU_C,995,0,0,862
8,W1,SKU_D,970,0,0,476
