t_ship,parent,child,sku,lead_time,qty
1,Supplier,W1,SKU_A,5,892
1,Supplier,W1,SKU_B,5,1115
1,Supplier,W1,SKU_C,5,1996
1,Supplier,W1,SKU_E,5,1093
1,Supplier,W2,SKU_D,6,1483
1,W1,R1,SKU_B,2,529
1,W1,R1,SKU_D,2,534
1,W1,R2,SKU_A,3,1050
1,W1,R2,SKU_C,3,589
1,W1,R2,SKU_D,3,230
1,W1,R2,SKU_E,3,512
1,W2,R3,SKU_A,4,1849
1,W2,R3,SKU_C,4,1067
1,W2,R3,SKU_D,4,1046
1,W2,R3,SKU_E,4,648
2,Supplier,W1,SKU_A,5,1050
2,Supplier,W1,SKU_C,5,589
2,Supplier,W1,SKU_D,5,743
2,Supplier,W2,SKU_A,6,3414
2,Supplier,W2,SKU_C,6,2929
2,Supplier,W2,SKU_D,6,1639
2,Supplier,W2,SKU_E,6,1474
2,W1,R2,SKU_B,3,267
3,W1,R1,SKU_A,2,678
3,W1,R1,SKU_C,2,255
3,W1,R1,SKU_E,2,74
4,Supplier,W1,SKU_A,5,678
4,Supplier,W1,SKU_C,5,255
5,W1,R1,SKU_E,2,78
5,W2,R3,SKU_B,4,170
6,Supplier,W2,SKU_B,6,1203
6,W1,R1,SKU_B,2,200
6,W1,R2,SKU_C,3,296
6,W1,R2,SKU_D,3,61
7,Supplier,W1,SKU_C,5,296
7,Supplier,W1,SKU_D,5,206
7,W1,R1,SKU_C,2,368
7,W1,R1,SKU_E,2,126
7,W1,R2,SKU_B,3,305
7,W1,R2,SKU_D,3,145
7,W2,R3,SKU_D,4,593
8,Supplier,W1,SKU_B,5,1301
8,Supplier,W1,SKU_C,5,368
8,W1,R1,SKU_D,2,314
8,W2,R3,SKU_A,4,170
8,W2,R3,SKU_B,4,221
8,W2,R3,SKU_C,4,25
8,W2,R3,SKU_E,4,482
9,Supplier,W1,SKU_D,5,314
9,W1,R1,SKU_A,2,703
9,W1,R1,SKU_B,2,210
9,W1,R1,SKU_E,2,106
9,W1,R2,SKU_A,3,843
9,W2,R3,SKU_A,4,1613
10,Supplier,W1,SKU_A,5,1546
10,Supplier,W1,SKU_E,5,896
10,W1,R2,SKU_C,3,292
10,W1,R2,SKU_D,3,171
10,W2,R3,SKU_C,4,1031
11,Supplier,W1,SKU_C,5,292
11,Supplier,W1,SKU_D,5,171
11,W1,R1,SKU_C,2,312
