E7_sigma_00 — Forecast σ=0%
============================================================
Total cost            :     261,916.95
  Holding             :      81,406.75  (31.1%)
  Transport           :     137,989.00  (52.7%)
  Ordering            :      38,832.06  (14.8%)
  Shortage            :       3,689.15  (1.4%)
Fill rate             :         98.65%

Fill rate by SKU:
  SKU_A           98.53%
  SKU_B           99.93%
  SKU_C           99.78%
  SKU_D           96.55%
  SKU_E           98.30%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
