t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0
0,Supplier,SKU_B,0
0,Supplier,SKU_C,0
0,Supplier,SKU_D,0
0,Supplier,SKU_E,0
0,W1,SKU_A,0
0,W1,SKU_B,133
0,W1,SKU_C,35
0,W1,SKU_D,0
0,W1,SKU_E,966
0,W2,SKU_A,2095
0,W2,SKU_B,125
0,W2,SKU_C,970
0,W2,SKU_D,0
0,W2,SKU_E,686
0,R1,SKU_A,435
0,R1,SKU_B,293
0,R1,SKU_C,710
0,R1,SKU_D,247
0,R1,SKU_E,79
0,R2,SKU_A,909
0,R2,SKU_B,525
0,R2,SKU_C,569
0,R2,SKU_D,251
0,R2,SKU_E,360
0,R3,SKU_A,497
0,R3,SKU_B,261
0,R3,SKU_C,864
0,R3,SKU_D,277
0,R3,SKU_E,609
1,Supplier,SKU_A,0
1,Supplier,SKU_B,0
1,Supplier,SKU_C,0
1,Supplier,SKU_D,0
1,Supplier,SKU_E,0
1,W1,SKU_A,1222
1,W1,SKU_B,818
1,W1,SKU_C,1279
1,W1,SKU_D,240
1,W1,SKU_E,439
1,W2,SKU_A,497
1,W2,SKU_B,261
1,W2,SKU_C,864
1,W2,SKU_D,64
1,W2,SKU_E,609
1,R1,SKU_A,94
1,R1,SKU_B,28
1,R1,SKU_C,66
1,R1,SKU_D,30
1,R1,SKU_E,27
1,R2,SKU_A,112
1,R2,SKU_B,51
1,R2,SKU_C,57
1,R2,SKU_D,40
1,R2,SKU_E,38
1,R3,SKU_A,169
1,R3,SKU_B,39
1,R3,SKU_C,108
1,R3,SKU_D,73
1,R3,SKU_E,58
2,Supplier,SKU_A,0
2,Supplier,SKU_B,0
2,Supplier,SKU_C,0
2,Supplier,SKU_D,0
2,Supplier,SKU_E,0
2,W1,SKU_A,206
2,W1,SKU_B,79
2,W1,SKU_C,123
2,W1,SKU_D,70
2,W1,SKU_E,65
2,W2,SKU_A,169
2,W2,SKU_B,39
2,W2,SKU_C,108
2,W2,SKU_D,73
2,W2,SKU_E,58
2,R1,SKU_A,86
2,R1,SKU_B,25
2,R1,SKU_C,58
2,R1,SKU_D,32
2,R1,SKU_E,42
2,R2,SKU_A,83
2,R2,SKU_B,43
2,R2,SKU_C,52
2,R2,SKU_D,31
2,R2,SKU_E,28
2,R3,SKU_A,196
2,R3,SKU_B,38
2,R3,SKU_C,66
2,R3,SKU_D,58
2,R3,SKU_E,66
3,Supplier,SKU_A,0
3,Supplier,SKU_B,0
3,Supplier,SKU_C,0
3,Supplier,SKU_D,0
3,Supplier,SKU_E,0
3,W1,SKU_A,169
3,W1,SKU_B,68
3,W1,SKU_C,110
3,W1,SKU_D,63
3,W1,SKU_E,70
3,W2,SKU_A,196
3,W2,SKU_B,38
3,W2,SKU_C,66
3,W2,SKU_D,58
3,W2,SKU_E,66
3,R1,SKU_A,88
3,R1,SKU_B,29
3,R1,SKU_C,64
3,R1,SKU_D,37
3,R1,SKU_E,34
3,R2,SKU_A,90
3,R2,SKU_B,55
3,R2,SKU_C,42
3,R2,SKU_D,37
3,R2,SKU_E,22
3,R3,SKU_A,146
3,R3,SKU_B,44
3,R3,SKU_C,90
3,R3,SKU_D,62
3,R3,SKU_E,49
4,Supplier,SKU_A,0
4,Supplier,SKU_B,0
4,Supplier,SKU_C,0
4,Supplier,SKU_D,0
4,Supplier,SKU_E,0
4,W1,SKU_A,178
4,W1,SKU_B,84
4,W1,SKU_C,106
4,W1,SKU_D,74
4,W1,SKU_E,56
4,W2,SKU_A,146
4,W2,SKU_B,44
4,W2,SKU_C,90
4,W2,SKU_D,62
4,W2,SKU_E,49
4,R1,SKU_A,87
4,R1,SKU_B,41
4,R1,SKU_C,81
4,R1,SKU_D,41
4,R1,SKU_E,44
4,R2,SKU_A,101
4,R2,SKU_B,63
4,R2,SKU_C,56
4,R2,SKU_D,43
4,R2,SKU_E,24
4,R3,SKU_A,181
4,R3,SKU_B,66
4,R3,SKU_C,115
4,R3,SKU_D,79
4,R3,SKU_E,64
5,Supplier,SKU_A,0
5,Supplier,SKU_B,0
5,Supplier,SKU_C,0
5,Supplier,SKU_D,0
5,Supplier,SKU_E,0
5,W1,SKU_A,188
5,W1,SKU_B,104
5,W1,SKU_C,137
5,W1,SKU_D,84
5,W1,SKU_E,68
5,W2,SKU_A,181
5,W2,SKU_B,66
5,W2,SKU_C,115
5,W2,SKU_D,79
5,W2,SKU_E,64
5,R1,SKU_A,128
5,R1,SKU_B,77
5,R1,SKU_C,108
5,R1,SKU_D,47
5,R1,SKU_E,59
5,R2,SKU_A,108
5,R2,SKU_B,70
5,R2,SKU_C,89
5,R2,SKU_D,55
5,R2,SKU_E,55
5,R3,SKU_A,246
5,R3,SKU_B,66
5,R3,SKU_C,163
5,R3,SKU_D,101
5,R3,SKU_E,77
6,Supplier,SKU_A,0
6,Supplier,SKU_B,0
6,Supplier,SKU_C,0
6,Supplier,SKU_D,0
6,Supplier,SKU_E,0
6,W1,SKU_A,236
6,W1,SKU_B,147
6,W1,SKU_C,197
6,W1,SKU_D,102
6,W1,SKU_E,114
6,W2,SKU_A,246
6,W2,SKU_B,66
6,W2,SKU_C,163
6,W2,SKU_D,101
6,W2,SKU_E,77
6,R1,SKU_A,166
6,R1,SKU_B,80
6,R1,SKU_C,115
6,R1,SKU_D,64
6,R1,SKU_E,67
6,R2,SKU_A,119
6,R2,SKU_B,74
6,R2,SKU_C,104
6,R2,SKU_D,48
6,R2,SKU_E,67
6,R3,SKU_A,256
6,R3,SKU_B,59
6,R3,SKU_C,149
6,R3,SKU_D,103
6,R3,SKU_E,127
7,Supplier,SKU_A,0
7,Supplier,SKU_B,0
7,Supplier,SKU_C,0
7,Supplier,SKU_D,0
7,Supplier,SKU_E,0
7,W1,SKU_A,285
7,W1,SKU_B,154
7,W1,SKU_C,219
7,W1,SKU_D,112
7,W1,SKU_E,134
7,W2,SKU_A,256
7,W2,SKU_B,59
7,W2,SKU_C,149
7,W2,SKU_D,103
7,W2,SKU_E,127
7,R1,SKU_A,136
7,R1,SKU_B,78
7,R1,SKU_C,122
7,R1,SKU_D,63
7,R1,SKU_E,60
7,R2,SKU_A,125
7,R2,SKU_B,66
7,R2,SKU_C,81
7,R2,SKU_D,41
7,R2,SKU_E,55
7,R3,SKU_A,240
7,R3,SKU_B,96
7,R3,SKU_C,142
7,R3,SKU_D,105
7,R3,SKU_E,97
8,Supplier,SKU_A,0
8,Supplier,SKU_B,0
8,Supplier,SKU_C,0
8,Supplier,SKU_D,0
8,Supplier,SKU_E,0
8,W1,SKU_A,261
8,W1,SKU_B,144
8,W1,SKU_C,203
8,W1,SKU_D,104
8,W1,SKU_E,115
8,W2,SKU_A,240
8,W2,SKU_B,96
8,W2,SKU_C,142
8,W2,SKU_D,105
8,W2,SKU_E,97
8,R1,SKU_A,98
8,R1,SKU_B,52
8,R1,SKU_C,61
8,R1,SKU_D,35
8,R1,SKU_E,46
8,R2,SKU_A,105
8,R2,SKU_B,56
8,R2,SKU_C,51
8,R2,SKU_D,29
8,R2,SKU_E,42
8,R3,SKU_A,179
8,R3,SKU_B,65
8,R3,SKU_C,110
8,R3,SKU_D,77
8,R3,SKU_E,72
9,Supplier,SKU_A,0
9,Supplier,SKU_B,0
9,Supplier,SKU_C,0
9,Supplier,SKU_D,0
9,Supplier,SKU_E,0
9,W1,SKU_A,203
9,W1,SKU_B,108
9,W1,SKU_C,112
9,W1,SKU_D,64
9,W1,SKU_E,88
9,W2,SKU_A,179
9,W2,SKU_B,65
9,W2,SKU_C,110
9,W2,SKU_D,77
9,W2,SKU_E,72
9,R1,SKU_A,95
9,R1,SKU_B,30
9,R1,SKU_C,48
9,R1,SKU_D,34
9,R1,SKU_E,35
9,R2,SKU_A,105
9,R2,SKU_B,36
9,R2,SKU_C,56
9,R2,SKU_D,53
9,R2,SKU_E,44
9,R3,SKU_A,129
9,R3,SKU_B,64
9,R3,SKU_C,88
9,R3,SKU_D,71
9,R3,SKU_E,68
10,Supplier,SKU_A,0
10,Supplier,SKU_B,0
10,Supplier,SKU_C,0
10,Supplier,SKU_D,0
10,Supplier,SKU_E,0
10,W1,SKU_A,200
10,W1,SKU_B,66
10,W1,SKU_C,104
10,W1,SKU_D,87
10,W1,SKU_E,79
10,W2,SKU_A,129
10,W2,SKU_B,64
10,W2,SKU_C,88
10,W2,SKU_D,71
10,W2,SKU_E,68
10,R1,SKU_A,111
10,R1,SKU_B,30
10,R1,SKU_C,81
10,R1,SKU_D,43
10,R1,SKU_E,31
10,R2,SKU_A,102
10,R2,SKU_B,46
10,R2,SKU_C,50
10,R2,SKU_D,30
10,R2,SKU_E,41
10,R3,SKU_A,200
10,R3,SKU_B,57
10,R3,SKU_C,88
10,R3,SKU_D,74
10,R3,SKU_E,70
11,Supplier,SKU_A,0
11,Supplier,SKU_B,0
11,Supplier,SKU_C,0
11,Supplier,SKU_D,0
11,Supplier,SKU_E,0
11,W1,SKU_A,213
11,W1,SKU_B,76
11,W1,SKU_C,131
11,W1,SKU_D,73
11,W1,SKU_E,72
11,W2,SKU_A,200
11,W2,SKU_B,57
11,W2,SKU_C,88
11,W2,SKU_D,74
11,W2,SKU_E,70
11,R1,SKU_A,96
11,R1,SKU_B,45
11,R1,SKU_C,64
11,R1,SKU_D,40
11,R1,SKU_E,50
11,R2,SKU_A,97
11,R2,SKU_B,34
11,R2,SKU_C,39
11,R2,SKU_D,29
11,R2,SKU_E,47
11,R3,SKU_A,184
11,R3,SKU_B,82
11,R3,SKU_C,113
11,R3,SKU_D,86
11,R3,SKU_E,99
12,Supplier,SKU_A,0
12,Supplier,SKU_B,0
12,Supplier,SKU_C,0
12,Supplier,SKU_D,0
12,Supplier,SKU_E,0
12,W1,SKU_A,193
12,W1,SKU_B,79
12,W1,SKU_C,103
12,W1,SKU_D,69
12,W1,SKU_E,97
12,W2,SKU_A,184
12,W2,SKU_B,82
12,W2,SKU_C,113
12,W2,SKU_D,86
12,W2,SKU_E,99
12,R1,SKU_A,140
12,R1,SKU_B,70
12,R1,SKU_C,71
12,R1,SKU_D,38
12,R1,SKU_E,52
12,R2,SKU_A,107
12,R2,SKU_B,82
12,R2,SKU_C,52
12,R2,SKU_D,49
12,R2,SKU_E,56
12,R3,SKU_A,218
12,R3,SKU_B,73
12,R3,SKU_C,159
12,R3,SKU_D,94
12,R3,SKU_E,92
13,Supplier,SKU_A,0
13,Supplier,SKU_B,0
13,Supplier,SKU_C,0
13,Supplier,SKU_D,0
13,Supplier,SKU_E,0
13,W1,SKU_A,247
13,W1,SKU_B,152
13,W1,SKU_C,123
13,W1,SKU_D,87
13,W1,SKU_E,108
13,W2,SKU_A,218
13,W2,SKU_B,73
13,W2,SKU_C,159
13,W2,SKU_D,94
13,W2,SKU_E,92
13,R1,SKU_A,155
13,R1,SKU_B,89
13,R1,SKU_C,102
13,R1,SKU_D,68
13,R1,SKU_E,70
13,R2,SKU_A,133
13,R2,SKU_B,62
13,R2,SKU_C,70
13,R2,SKU_D,54
13,R2,SKU_E,57
13,R3,SKU_A,287
13,R3,SKU_B,116
13,R3,SKU_C,214
13,R3,SKU_D,138
13,R3,SKU_E,127
14,Supplier,SKU_A,0
14,Supplier,SKU_B,0
14,Supplier,SKU_C,0
14,Supplier,SKU_D,0
14,Supplier,SKU_E,0
14,W1,SKU_A,288
14,W1,SKU_B,151
14,W1,SKU_C,172
14,W1,SKU_D,122
14,W1,SKU_E,127
14,W2,SKU_A,287
14,W2,SKU_B,116
14,W2,SKU_C,214
14,W2,SKU_D,138
14,W2,SKU_E,127
14,R1,SKU_A,149
14,R1,SKU_B,71
14,R1,SKU_C,94
14,R1,SKU_D,60
14,R1,SKU_E,78
14,R2,SKU_A,129
14,R2,SKU_B,49
14,R2,SKU_C,51
14,R2,SKU_D,45
14,R2,SKU_E,53
14,R3,SKU_A,314
14,R3,SKU_B,59
14,R3,SKU_C,127
14,R3,SKU_D,93
14,R3,SKU_E,76
15,Supplier,SKU_A,0
15,Supplier,SKU_B,0
15,Supplier,SKU_C,0
15,Supplier,SKU_D,0
15,Supplier,SKU_E,0
15,W1,SKU_A,278
15,W1,SKU_B,120
15,W1,SKU_C,145
15,W1,SKU_D,105
15,W1,SKU_E,131
15,W2,SKU_A,314
15,W2,SKU_B,59
15,W2,SKU_C,127
15,W2,SKU_D,93
15,W2,SKU_E,76
15,R1,SKU_A,141
15,R1,SKU_B,34
15,R1,SKU_C,76
15,R1,SKU_D,61
15,R1,SKU_E,49
15,R2,SKU_A,95
15,R2,SKU_B,43
15,R2,SKU_C,47
15,R2,SKU_D,42
15,R2,SKU_E,44
15,R3,SKU_A,204
15,R3,SKU_B,56
15,R3,SKU_C,101
15,R3,SKU_D,88
15,R3,SKU_E,64
16,Supplier,SKU_A,0
16,Supplier,SKU_B,0
16,Supplier,SKU_C,0
16,Supplier,SKU_D,0
16,Supplier,SKU_E,0
16,W1,SKU_A,236
16,W1,SKU_B,77
16,W1,SKU_C,123
16,W1,SKU_D,103
16,W1,SKU_E,93
16,W2,SKU_A,204
16,W2,SKU_B,56
16,W2,SKU_C,101
16,W2,SKU_D,88
16,W2,SKU_E,64
16,R1,SKU_A,121
16,R1,SKU_B,27
16,R1,SKU_C,53
16,R1,SKU_D,30
16,R1,SKU_E,37
16,R2,SKU_A,88
16,R2,SKU_B,46
16,R2,SKU_C,42
16,R2,SKU_D,40
16,R2,SKU_E,38
16,R3,SKU_A,173
16,R3,SKU_B,56
16,R3,SKU_C,86
16,R3,SKU_D,83
16,R3,SKU_E,63
17,Supplier,SKU_A,0
17,Supplier,SKU_B,0
17,Supplier,SKU_C,0
17,Supplier,SKU_D,0
17,Supplier,SKU_E,0
17,W1,SKU_A,209
17,W1,SKU_B,73
17,W1,SKU_C,95
17,W1,SKU_D,70
17,W1,SKU_E,75
17,W2,SKU_A,173
17,W2,SKU_B,56
17,W2,SKU_C,86
17,W2,SKU_D,83
17,W2,SKU_E,63
17,R1,SKU_A,136
17,R1,SKU_B,27
17,R1,SKU_C,66
17,R1,SKU_D,43
17,R1,SKU_E,35
17,R2,SKU_A,90
17,R2,SKU_B,54
17,R2,SKU_C,33
17,R2,SKU_D,47
17,R2,SKU_E,38
17,R3,SKU_A,155
17,R3,SKU_B,56
17,R3,SKU_C,75
17,R3,SKU_D,76
17,R3,SKU_E,70
18,Supplier,SKU_A,0
18,Supplier,SKU_B,0
18,Supplier,SKU_C,0
18,Supplier,SKU_D,0
18,Supplier,SKU_E,0
18,W1,SKU_A,226
18,W1,SKU_B,81
18,W1,SKU_C,99
18,W1,SKU_D,90
18,W1,SKU_E,73
18,W2,SKU_A,155
18,W2,SKU_B,56
18,W2,SKU_C,75
18,W2,SKU_D,76
18,W2,SKU_E,70
18,R1,SKU_A,87
18,R1,SKU_B,40
18,R1,SKU_C,63
18,R1,SKU_D,18
18,R1,SKU_E,39
18,R2,SKU_A,100
18,R2,SKU_B,36
18,R2,SKU_C,32
18,R2,SKU_D,28
18,R2,SKU_E,34
18,R3,SKU_A,199
18,R3,SKU_B,56
18,R3,SKU_C,131
18,R3,SKU_D,84
18,R3,SKU_E,70
19,Supplier,SKU_A,0
19,Supplier,SKU_B,0
19,Supplier,SKU_C,0
19,Supplier,SKU_D,0
19,Supplier,SKU_E,0
19,W1,SKU_A,187
19,W1,SKU_B,76
19,W1,SKU_C,95
19,W1,SKU_D,46
19,W1,SKU_E,73
19,W2,SKU_A,199
19,W2,SKU_B,56
19,W2,SKU_C,131
19,W2,SKU_D,84
19,W2,SKU_E,70
19,R1,SKU_A,137
19,R1,SKU_B,46
19,R1,SKU_C,82
19,R1,SKU_D,51
19,R1,SKU_E,62
19,R2,SKU_A,124
19,R2,SKU_B,66
19,R2,SKU_C,41
19,R2,SKU_D,47
19,R2,SKU_E,44
19,R3,SKU_A,190
19,R3,SKU_B,61
19,R3,SKU_C,95
19,R3,SKU_D,93
19,R3,SKU_E,81
20,Supplier,SKU_A,0
20,Supplier,SKU_B,0
20,Supplier,SKU_C,0
20,Supplier,SKU_D,0
20,Supplier,SKU_E,0
20,W1,SKU_A,261
20,W1,SKU_B,112
20,W1,SKU_C,123
20,W1,SKU_D,98
20,W1,SKU_E,106
20,W2,SKU_A,190
20,W2,SKU_B,61
20,W2,SKU_C,95
20,W2,SKU_D,93
20,W2,SKU_E,81
20,R1,SKU_A,166
20,R1,SKU_B,91
20,R1,SKU_C,102
20,R1,SKU_D,83
20,R1,SKU_E,72
20,R2,SKU_A,133
20,R2,SKU_B,75
20,R2,SKU_C,45
20,R2,SKU_D,49
20,R2,SKU_E,56
20,R3,SKU_A,260
20,R3,SKU_B,110
20,R3,SKU_C,185
20,R3,SKU_D,125
20,R3,SKU_E,87
21,Supplier,SKU_A,0
21,Supplier,SKU_B,0
21,Supplier,SKU_C,0
21,Supplier,SKU_D,0
21,Supplier,SKU_E,0
21,W1,SKU_A,299
21,W1,SKU_B,166
21,W1,SKU_C,147
21,W1,SKU_D,132
21,W1,SKU_E,128
21,W2,SKU_A,260
21,W2,SKU_B,110
21,W2,SKU_C,185
21,W2,SKU_D,125
21,W2,SKU_E,87
21,R1,SKU_A,149
21,R1,SKU_B,81
21,R1,SKU_C,101
21,R1,SKU_D,60
21,R1,SKU_E,63
21,R2,SKU_A,122
21,R2,SKU_B,73
21,R2,SKU_C,65
21,R2,SKU_D,56
21,R2,SKU_E,42
21,R3,SKU_A,219
21,R3,SKU_B,93
21,R3,SKU_C,145
21,R3,SKU_D,102
21,R3,SKU_E,81
22,Supplier,SKU_A,0
22,Supplier,SKU_B,0
22,Supplier,SKU_C,0
22,Supplier,SKU_D,0
22,Supplier,SKU_E,0
22,W1,SKU_A,271
22,W1,SKU_B,154
22,W1,SKU_C,166
22,W1,SKU_D,116
22,W1,SKU_E,105
22,W2,SKU_A,219
22,W2,SKU_B,93
22,W2,SKU_C,145
22,W2,SKU_D,102
22,W2,SKU_E,81
22,R1,SKU_A,122
22,R1,SKU_B,46
22,R1,SKU_C,56
22,R1,SKU_D,42
22,R1,SKU_E,44
22,R2,SKU_A,103
22,R2,SKU_B,53
22,R2,SKU_C,32
22,R2,SKU_D,38
22,R2,SKU_E,54
22,R3,SKU_A,157
22,R3,SKU_B,65
22,R3,SKU_C,109
22,R3,SKU_D,99
22,R3,SKU_E,67
23,Supplier,SKU_A,0
23,Supplier,SKU_B,0
23,Supplier,SKU_C,0
23,Supplier,SKU_D,0
23,Supplier,SKU_E,0
23,W1,SKU_A,225
23,W1,SKU_B,99
23,W1,SKU_C,88
23,W1,SKU_D,80
23,W1,SKU_E,98
23,W2,SKU_A,157
23,W2,SKU_B,65
23,W2,SKU_C,109
23,W2,SKU_D,99
23,W2,SKU_E,67
23,R1,SKU_A,105
23,R1,SKU_B,28
23,R1,SKU_C,63
23,R1,SKU_D,30
23,R1,SKU_E,38
23,R2,SKU_A,85
23,R2,SKU_B,43
23,R2,SKU_C,39
23,R2,SKU_D,41
23,R2,SKU_E,27
23,R3,SKU_A,168
23,R3,SKU_B,64
