t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,381,0,0,0
1,W1,SKU_B,161,0,0,0
1,W1,SKU_C,0,0,219,0
1,W1,SKU_D,376,0,0,0
1,W1,SKU_E,314,0,0,0
1,W2,SKU_A,1337,0,0,2336
1,W2,SKU_B,356,0,0,120
1,W2,SKU_C,301,0,0,1001
1,W2,SKU_D,761,0,0,0
1,W2,SKU_E,18,0,0,740
1,R1,SKU_A,359,0,0,0
1,R1,SKU_B,224,0,0,0
1,R1,SKU_C,249,0,0,0
1,R1,SKU_D,199,0,0,0
1,R1,SKU_E,137,0,0,0
1,R2,SKU_A,258,0,0,961
1,R2,SKU_B,191,0,0,510
1,R2,SKU_C,167,0,0,387
1,R2,SKU_D,132,0,0,231
1,R2,SKU_E,187,0,0,362
1,R3,SKU_A,969,0,0,0
1,R3,SKU_B,375,0,0,0
1,R3,SKU_C,537,0,0,0
1,R3,SKU_D,596,0,0,0
1,R3,SKU_E,333,0,0,0
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,175,0,0,1208
2,W1,SKU_B,82,0,0,967
2,W1,SKU_C,0,0,342,1303
2,W1,SKU_D,306,0,0,163
2,W1,SKU_E,249,0,0,1554
2,W2,SKU_A,1168,0,0,2848
2,W2,SKU_B,317,0,0,403
2,W2,SKU_C,193,0,0,1767
2,W2,SKU_D,688,0,0,72
2,W2,SKU_E,0,0,40,1370
2,R1,SKU_A,273,0,0,488
2,R1,SKU_B,199,0,0,299
2,R1,SKU_C,191,0,0,706
2,R1,SKU_D,167,0,0,248
2,R1,SKU_E,95,0,0,100
2,R2,SKU_A,175,0,0,961
2,R2,SKU_B,148,0,0,510
2,R2,SKU_C,115,0,0,387
2,R2,SKU_D,101,0,0,231
2,R2,SKU_E,159,0,0,362
2,R3,SKU_A,773,0,0,0
2,R3,SKU_B,337,0,0,0
2,R3,SKU_C,471,0,0,0
2,R3,SKU_D,538,0,0,0
2,R3,SKU_E,267,0,0,0
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,6,0,0,1208
3,W1,SKU_B,14,0,0,967
3,W1,SKU_C,0,0,452,1303
3,W1,SKU_D,243,0,0,163
3,W1,SKU_E,179,0,0,1554
3,W2,SKU_A,972,0,0,2848
3,W2,SKU_B,279,0,0,403
3,W2,SKU_C,127,0,0,1767
3,W2,SKU_D,630,0,0,72
3,W2,SKU_E,0,0,106,1370
3,R1,SKU_A,185,0,0,488
3,R1,SKU_B,170,0,0,299
3,R1,SKU_C,127,0,0,706
3,R1,SKU_D,130,0,0,248
3,R1,SKU_E,61,0,0,100
3,R2,SKU_A,85,0,0,961
3,R2,SKU_B,93,0,0,510
3,R2,SKU_C,73,0,0,387
3,R2,SKU_D,64,0,0,231
3,R2,SKU_E,137,0,0,362
3,R3,SKU_A,627,0,0,877
3,R3,SKU_B,293,0,0,360
3,R3,SKU_C,381,0,0,940
3,R3,SKU_D,476,0,0,416
3,R3,SKU_E,218,0,0,648
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,172,1208
4,W1,SKU_B,0,0,70,967
4,W1,SKU_C,0,0,558,1303
4,W1,SKU_D,169,0,0,163
4,W1,SKU_E,123,0,0,1554
4,W2,SKU_A,826,0,0,2848
4,W2,SKU_B,235,0,0,403
4,W2,SKU_C,37,0,0,1767
4,W2,SKU_D,568,0,0,72
4,W2,SKU_E,0,0,155,1370
4,R1,SKU_A,586,0,0,0
4,R1,SKU_B,428,0,0,0
4,R1,SKU_C,752,0,0,0
4,R1,SKU_D,337,0,0,0
4,R1,SKU_E,117,0,0,0
4,R2,SKU_A,945,0,0,195
4,R2,SKU_B,540,0,0,94
4,R2,SKU_C,404,0,0,0
4,R2,SKU_D,252,0,0,108
4,R2,SKU_E,475,0,0,88
4,R3,SKU_A,446,0,0,877
4,R3,SKU_B,227,0,0,360
4,R3,SKU_C,266,0,0,940
4,R3,SKU_D,397,0,0,416
4,R3,SKU_E,154,0,0,648
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,360,1761
5,W1,SKU_B,0,0,174,1198
5,W1,SKU_C,0,0,695,1642
5,W1,SKU_D,85,0,0,370
5,W1,SKU_E,55,0,0,1745
5,W2,SKU_A,645,0,0,3359
5,W2,SKU_B,169,0,0,524
5,W2,SKU_C,0,0,78,2031
5,W2,SKU_D,489,0,0,265
5,W2,SKU_E,0,0,219,1543
5,R1,SKU_A,458,0,0,92
5,R1,SKU_B,351,0,0,39
5,R1,SKU_C,644,0,0,0
5,R1,SKU_D,290,0,0,110
5,R1,SKU_E,58,0,0,120
5,R2,SKU_A,837,0,0,195
5,R2,SKU_B,470,0,0,94
5,R2,SKU_C,315,0,0,0
5,R2,SKU_D,197,0,0,108
5,R2,SKU_E,420,0,0,88
5,R3,SKU_A,200,0,0,877
5,R3,SKU_B,161,0,0,360
5,R3,SKU_C,103,0,0,940
5,R3,SKU_D,296,0,0,416
5,R3,SKU_E,77,0,0,648
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,0,0,596,1761
6,W1,SKU_B,0,0,321,1198
6,W1,SKU_C,0,0,892,1642
6,W1,SKU_D,0,0,17,370
6,W1,SKU_E,0,0,59,1745
6,W2,SKU_A,399,0,0,3359
6,W2,SKU_B,103,0,0,524
6,W2,SKU_C,0,0,241,2031
6,W2,SKU_D,388,0,0,265
6,W2,SKU_E,0,0,296,1543
6,R1,SKU_A,292,0,0,92
6,R1,SKU_B,271,0,0,39
6,R1,SKU_C,529,0,0,0
6,R1,SKU_D,226,0,0,110
6,R1,SKU_E,0,9,0,120
6,R2,SKU_A,718,0,0,195
6,R2,SKU_B,396,0,0,94
6,R2,SKU_C,211,0,0,0
6,R2,SKU_D,149,0,0,108
6,R2,SKU_E,353,0,0,88
6,R3,SKU_A,0,56,0,1450
6,R3,SKU_B,102,0,0,536
6,R3,SKU_C,0,46,0,1067
6,R3,SKU_D,193,0,0,658
6,R3,SKU_E,0,50,0,648
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,327,0,0,553
7,W1,SKU_B,492,0,0,231
7,W1,SKU_C,192,0,0,339
7,W1,SKU_D,34,0,0,207
7,W1,SKU_E,1361,0,0,191
7,W2,SKU_A,2479,0,0,1023
7,W2,SKU_B,164,0,0,404
7,W2,SKU_C,611,0,0,1030
7,W2,SKU_D,285,0,0,265
7,W2,SKU_E,317,0,0,803
7,R1,SKU_A,248,0,0,0
7,R1,SKU_B,232,0,0,0
7,R1,SKU_C,407,0,0,0
7,R1,SKU_D,273,0,0,0
7,R1,SKU_E,51,0,0,0
7,R2,SKU_A,788,0,0,418
7,R2,SKU_B,424,0,0,262
7,R2,SKU_C,130,0,0,619
7,R2,SKU_D,216,0,0,146
7,R2,SKU_E,386,0,0,146
7,R3,SKU_A,581,0,0,573
7,R3,SKU_B,366,0,0,176
7,R3,SKU_C,752,0,0,127
7,R3,SKU_D,504,0,0,242
7,R3,SKU_E,501,0,0,0
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,66,0,0,1262
8,W1,SKU_B,348,0,0,636
8,W1,SKU_C,0,0,11,892
8,W1,SKU_D,0,0,70,505
8,W1,SKU_E,1246,0,0,507
