t_ship,parent,child,sku,lead_time,qty
1,Supplier,W2,SKU_A,6,1569
1,Supplier,W2,SKU_B,6,1050
1,W1,R1,SKU_A,2,314
1,W1,R1,SKU_B,2,420
1,W1,R1,SKU_C,2,597
1,W1,R1,SKU_D,2,446
1,W1,R1,SKU_E,2,381
1,W1,R2,SKU_A,3,552
1,W1,R2,SKU_B,3,299
1,W1,R2,SKU_C,3,57
1,W1,R2,SKU_D,3,379
1,W1,R2,SKU_E,3,337
1,W2,R3,SKU_A,4,495
1,W2,R3,SKU_B,4,579
1,W2,R3,SKU_C,4,857
1,W2,R3,SKU_D,4,350
1,W2,R3,SKU_E,4,455
2,Supplier,W1,SKU_B,5,802
2,Supplier,W1,SKU_C,5,1314
2,Supplier,W1,SKU_D,5,1719
2,Supplier,W1,SKU_E,5,1443
2,Supplier,W1,SKU_A,5,785
2,Supplier,W2,SKU_A,6,495
2,Supplier,W2,SKU_B,6,579
2,Supplier,W2,SKU_C,6,812
2,Supplier,W2,SKU_D,6,1
2,Supplier,W2,SKU_E,6,366
4,W1,R1,SKU_A,2,268
4,W1,R1,SKU_B,2,82
4,W1,R1,SKU_C,2,188
4,W1,R1,SKU_E,2,27
4,W1,R2,SKU_A,3,285
4,W1,R2,SKU_B,3,141
4,W1,R2,SKU_C,3,151
4,W1,R2,SKU_E,3,4
4,W2,R3,SKU_A,4,511
4,W2,R3,SKU_B,4,60
4,W2,R3,SKU_C,4,210
4,W2,R3,SKU_D,4,193
4,W2,R3,SKU_E,4,173
5,Supplier,W1,SKU_A,5,553
5,Supplier,W1,SKU_B,5,231
5,Supplier,W1,SKU_C,5,339
5,Supplier,W1,SKU_D,5,207
5,Supplier,W1,SKU_E,5,191
5,Supplier,W2,SKU_A,6,511
5,Supplier,W2,SKU_B,6,121
5,Supplier,W2,SKU_C,6,264
5,Supplier,W2,SKU_D,6,193
5,Supplier,W2,SKU_E,6,173
7,W1,R1,SKU_A,2,381
7,W1,R1,SKU_C,2,304
7,W1,R1,SKU_B,2,198
7,W1,R1,SKU_D,2,251
7,W1,R1,SKU_E,2,246
7,W1,R2,SKU_A,3,328
7,W1,R2,SKU_C,3,249
7,W1,R2,SKU_B,3,215
7,W1,R2,SKU_D,3,265
7,W1,R2,SKU_E,3,230
7,W2,R3,SKU_A,4,683
7,W2,R3,SKU_D,4,283
7,W2,R3,SKU_E,4,20
7,W2,R3,SKU_B,4,252
8,Supplier,W1,SKU_A,5,709
8,Supplier,W1,SKU_B,5,405
