E8_lambda_1e+06 — Bullwhip-aware (λ=1e+06)
============================================================
Total cost            :     271,535.06
  Holding             :      83,330.00  (30.7%)
  Transport           :     140,501.00  (51.7%)
  Ordering            :      38,832.06  (14.3%)
  Shortage            :       8,872.00  (3.3%)
Fill rate             :         96.75%

Fill rate by SKU:
  SKU_A           95.97%
  SKU_B           99.72%
  SKU_C           92.41%
  SKU_D           99.37%
  SKU_E           99.42%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
