Exp,Description,Total Cost,vs E0,Holding %,Transport %,Ordering %,Shortage %,Fill Rate %
E0,E0 — Analytical Baseline,"416,952",+0.0%,5.0,79.5,9.3,6.1,91.59
E1a,E1a — Financial Dispatch (25%),"282,935",+32.1%,4.8,55.4,13.7,26.1,75.09
E1b,E1b — Transport-Only Optimization,"370,370",+11.2%,5.2,74.3,10.5,10.0,87.44
E2,E2 — Inventory-Only Opt (≥92%),"470,742",-12.9%,18.0,70.5,8.2,3.3,94.62
E3,E3 — Joint Opt (≥92%),"261,088",+37.4%,31.1,52.7,14.9,1.3,98.72
E3_per_sku,E3_per_sku — Joint Opt (per-SKU ≥ 92%),"267,706",+35.8%,32.8,52.2,14.5,0.5,99.40
E5,E5 — E0 under W1 outage,"2,577,516",-518.2%,6.9,11.5,1.3,80.3,73.83
E5,E5 — E3 under W1 outage,"2,222,086",-432.9%,10.3,6.4,1.5,81.8,81.86
E6,E6 — base_stock,"458,021",-9.8%,16.8,72.4,8.5,2.3,96.29
E6,E6 — ss,"369,257",+11.4%,32.1,59.3,2.8,5.8,92.03
E6,E6 — periodic_review,"407,719",+2.2%,24.5,53.5,2.5,19.4,88.48
E6,E6 — echelon_stock,"495,132",-18.8%,25.9,67.1,6.5,0.6,98.97
E7,E7 — σ_f = 0%,"261,917",+37.2%,31.1,52.7,14.8,1.4,98.65
E7,E7 — σ_f = 5%,"265,638",+36.3%,31.2,51.9,14.6,2.2,98.08
E7,E7 — σ_f = 10%,"272,812",+34.6%,30.8,50.8,14.2,4.1,96.71
E7,E7 — σ_f = 20%,"295,571",+29.1%,29.5,47.0,13.1,10.4,93.19
E7,E7 — σ_f = 30%,"337,255",+19.1%,26.7,41.2,11.5,20.6,86.54
E8,E8 — λ=0e+00,"290,180",+30.4%,32.5,48.9,13.4,5.2,95.51
E8,E8 — λ=1e+03,"290,180",+30.4%,32.5,48.9,13.4,5.2,95.51
E8,E8 — λ=1e+04,"282,938",+32.1%,28.9,49.4,13.7,7.9,93.10
E8,E8 — λ=1e+05,"287,111",+31.1%,32.3,49.7,13.5,4.5,97.13
E8,E8 — λ=1e+06,"271,535",+34.9%,30.7,51.7,14.3,3.3,96.75
