t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1766,0,0,0
0,W1,SKU_B,943,0,0,0
0,W1,SKU_C,1245,0,0,0
0,W1,SKU_D,805,0,0,0
0,W1,SKU_E,668,0,0,0
0,W2,SKU_A,1610,0,0,0
0,W2,SKU_B,535,0,0,0
0,W2,SKU_C,1069,0,0,0
0,W2,SKU_D,813,0,0,0
0,W2,SKU_E,672,0,0,0
0,R1,SKU_A,438,0,0,0
0,R1,SKU_B,220,0,0,0
0,R1,SKU_C,370,0,0,0
0,R1,SKU_D,193,0,0,0
0,R1,SKU_E,126,0,0,0
0,R2,SKU_A,371,0,0,0
0,R2,SKU_B,254,0,0,0
0,R2,SKU_C,228,0,0,0
0,R2,SKU_D,183,0,0,0
0,R2,SKU_E,199,0,0,0
0,R3,SKU_A,959,0,0,0
0,R3,SKU_B,334,0,0,0
0,R3,SKU_C,648,0,0,0
0,R3,SKU_D,492,0,0,0
0,R3,SKU_E,408,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,1520,0,0,0
1,W1,SKU_B,833,0,0,0
1,W1,SKU_C,1095,0,0,0
1,W1,SKU_D,689,0,0,0
1,W1,SKU_E,575,0,0,0
1,W2,SKU_A,1391,0,0,0
1,W2,SKU_B,476,0,0,0
1,W2,SKU_C,926,0,0,0
1,W2,SKU_D,709,0,0,0
1,W2,SKU_E,589,0,0,0
1,R1,SKU_A,344,0,0,135
1,R1,SKU_B,192,0,0,67
1,R1,SKU_C,304,0,0,89
1,R1,SKU_D,163,0,0,60
1,R1,SKU_E,99,0,0,55
1,R2,SKU_A,259,0,0,0
1,R2,SKU_B,203,0,0,0
1,R2,SKU_C,171,0,0,0
1,R2,SKU_D,143,0,0,0
1,R2,SKU_E,161,0,0,0
1,R3,SKU_A,790,0,0,219
1,R3,SKU_B,295,0,0,59
1,R3,SKU_C,540,0,0,143
1,R3,SKU_D,419,0,0,104
1,R3,SKU_E,350,0,0,83
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,1314,0,0,246
2,W1,SKU_B,754,0,0,110
2,W1,SKU_C,972,0,0,150
2,W1,SKU_D,619,0,0,116
2,W1,SKU_E,510,0,0,93
2,W2,SKU_A,1222,0,0,219
2,W2,SKU_B,437,0,0,59
2,W2,SKU_C,818,0,0,143
2,W2,SKU_D,636,0,0,104
2,W2,SKU_E,531,0,0,83
2,R1,SKU_A,258,0,0,229
2,R1,SKU_B,167,0,0,95
2,R1,SKU_C,246,0,0,155
2,R1,SKU_D,131,0,0,90
2,R1,SKU_E,57,0,0,82
2,R2,SKU_A,176,0,0,223
2,R2,SKU_B,160,0,0,94
2,R2,SKU_C,119,0,0,118
2,R2,SKU_D,112,0,0,96
2,R2,SKU_E,133,0,0,76
2,R3,SKU_A,594,0,0,388
2,R3,SKU_B,257,0,0,98
2,R3,SKU_C,474,0,0,251
2,R3,SKU_D,361,0,0,177
2,R3,SKU_E,284,0,0,141
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,1145,0,0,246
3,W1,SKU_B,686,0,0,110
3,W1,SKU_C,862,0,0,150
3,W1,SKU_D,556,0,0,116
3,W1,SKU_E,440,0,0,93
3,W2,SKU_A,1026,0,0,219
3,W2,SKU_B,399,0,0,59
3,W2,SKU_C,752,0,0,143
3,W2,SKU_D,578,0,0,104
3,W2,SKU_E,465,0,0,83
3,R1,SKU_A,305,0,0,180
3,R1,SKU_B,205,0,0,53
3,R1,SKU_C,271,0,0,124
3,R1,SKU_D,154,0,0,62
3,R1,SKU_E,78,0,0,69
3,R2,SKU_A,86,0,0,223
3,R2,SKU_B,105,0,0,94
3,R2,SKU_C,77,0,0,118
3,R2,SKU_D,75,0,0,96
3,R2,SKU_E,111,0,0,76
3,R3,SKU_A,448,0,0,584
3,R3,SKU_B,213,0,0,136
3,R3,SKU_C,384,0,0,317
3,R3,SKU_D,299,0,0,235
3,R3,SKU_E,235,0,0,207
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,967,0,0,621
4,W1,SKU_B,602,0,0,257
4,W1,SKU_C,756,0,0,383
4,W1,SKU_D,482,0,0,249
4,W1,SKU_E,384,0,0,228
4,W2,SKU_A,880,0,0,584
4,W2,SKU_B,355,0,0,136
4,W2,SKU_C,662,0,0,317
4,W2,SKU_D,516,0,0,235
4,W2,SKU_E,416,0,0,207
4,R1,SKU_A,312,0,0,174
4,R1,SKU_B,192,0,0,54
4,R1,SKU_C,256,0,0,122
4,R1,SKU_D,143,0,0,69
4,R1,SKU_E,61,0,0,76
4,R2,SKU_A,0,15,0,396
4,R2,SKU_B,42,0,0,192
4,R2,SKU_C,21,0,0,212
4,R2,SKU_D,32,0,0,164
4,R2,SKU_E,87,0,0,126
4,R3,SKU_A,267,0,0,730
4,R3,SKU_B,147,0,0,180
4,R3,SKU_C,269,0,0,407
4,R3,SKU_D,220,0,0,297
4,R3,SKU_E,171,0,0,256
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,779,0,0,621
5,W1,SKU_B,498,0,0,257
5,W1,SKU_C,619,0,0,383
5,W1,SKU_D,398,0,0,249
5,W1,SKU_E,316,0,0,228
5,W2,SKU_A,699,0,0,584
5,W2,SKU_B,289,0,0,136
5,W2,SKU_C,547,0,0,317
5,W2,SKU_D,437,0,0,235
5,W2,SKU_E,352,0,0,207
5,R1,SKU_A,270,0,0,175
5,R1,SKU_B,140,0,0,70
5,R1,SKU_C,206,0,0,145
5,R1,SKU_D,128,0,0,78
5,R1,SKU_E,44,0,0,78
5,R2,SKU_A,100,0,0,173
5,R2,SKU_B,66,0,0,98
5,R2,SKU_C,50,0,0,94
5,R2,SKU_D,73,0,0,68
5,R2,SKU_E,108,0,0,50
5,R3,SKU_A,240,0,0,692
5,R3,SKU_B,140,0,0,187
5,R3,SKU_C,249,0,0,379
5,R3,SKU_D,223,0,0,272
5,R3,SKU_E,177,0,0,237
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,543,0,0,987
6,W1,SKU_B,351,0,0,445
6,W1,SKU_C,422,0,0,626
6,W1,SKU_D,296,0,0,407
6,W1,SKU_E,202,0,0,352
6,W2,SKU_A,453,0,0,911
6,W2,SKU_B,223,0,0,246
6,W2,SKU_C,384,0,0,522
6,W2,SKU_D,336,0,0,376
6,W2,SKU_E,275,0,0,320
6,R1,SKU_A,192,0,0,215
6,R1,SKU_B,89,0,0,118
6,R1,SKU_C,155,0,0,189
6,R1,SKU_D,101,0,0,88
6,R1,SKU_E,11,0,0,103
6,R2,SKU_A,0,19,0,382
6,R2,SKU_B,0,8,0,231
6,R2,SKU_C,0,54,0,239
6,R2,SKU_D,25,0,0,166
6,R2,SKU_E,41,0,0,129
6,R3,SKU_A,153,0,0,769
6,R3,SKU_B,120,0,0,214
6,R3,SKU_C,208,0,0,434
6,R3,SKU_D,193,0,0,300
6,R3,SKU_E,108,0,0,256
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,504,0,0,977
7,W1,SKU_B,307,0,0,482
7,W1,SKU_C,353,0,0,673
7,W1,SKU_D,300,0,0,393
7,W1,SKU_E,161,0,0,373
7,W2,SKU_A,197,0,0,1157
7,W2,SKU_B,164,0,0,312
7,W2,SKU_C,235,0,0,685
7,W2,SKU_D,233,0,0,477
7,W2,SKU_E,148,0,0,397
7,R1,SKU_A,143,0,0,294
7,R1,SKU_B,52,0,0,157
7,R1,SKU_C,114,0,0,223
7,R1,SKU_D,79,0,0,111
7,R1,SKU_E,0,5,0,126
7,R2,SKU_A,29,0,0,209
7,R2,SKU_B,24,0,0,133
7,R2,SKU_C,0,41,0,145
7,R2,SKU_D,52,0,0,98
7,R2,SKU_E,36,0,0,79
7,R3,SKU_A,109,0,0,829
7,R3,SKU_B,62,0,0,235
7,R3,SKU_C,132,0,0,517
7,R3,SKU_D,146,0,0,345
7,R3,SKU_E,77,0,0,317
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,243,0,0,1262
8,W1,SKU_B,163,0,0,636
8,W1,SKU_C,150,0,0,892
8,W1,SKU_D,196,0,0,505
8,W1,SKU_E,46,0,0,507
8,W2,SKU_A,176,0,0,1194
8,W2,SKU_B,127,0,0,312
