node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,33467,0.6511849632252792
R1,SKU_B,23800,15456,0.6494117647058824
R1,SKU_C,37760,24018,0.6360699152542373
R1,SKU_D,22301,14133,0.6337383973812833
R1,SKU_E,15853,10094,0.6367249101116508
R2,SKU_A,34230,21169,0.6184341221151037
R2,SKU_B,19561,9937,0.5080006134655692
R2,SKU_C,18587,10598,0.5701834615591542
R2,SKU_D,16542,10269,0.6207834602829162
R2,SKU_E,16529,10612,0.642023110896001
R3,SKU_A,66596,59947,0.9001591687188419
R3,SKU_B,21533,17805,0.8268703849904797
R3,SKU_C,41348,33865,0.8190238947470252
R3,SKU_D,33476,31819,0.950501852073127
R3,SKU_E,28210,27366,0.9700815313718539
