node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,4.000381,60.4238
R1,SKU_B,0.132948,3.857746,29.0169
R1,SKU_C,0.14054,3.721334,26.4789
R1,SKU_D,0.077954,4.292092,55.059
R1,SKU_E,0.08107,4.67396,57.6535
R2,SKU_A,0.04691,3.882232,82.7586
R2,SKU_B,0.106405,2.349695,22.0825
R2,SKU_C,0.135223,2.802752,20.7269
R2,SKU_D,0.062566,3.629042,58.0038
R2,SKU_E,0.057893,3.328699,57.4977
R3,SKU_A,0.063665,0.063665,1.0
R3,SKU_B,0.092004,0.092004,1.0
R3,SKU_C,0.146445,0.146445,1.0
R3,SKU_D,0.068073,0.068073,1.0
R3,SKU_E,0.050516,0.050516,1.0
Supplier,SKU_A,16.449239,,
Supplier,SKU_B,17.238557,,
Supplier,SKU_C,14.689538,,
Supplier,SKU_D,15.060396,,
Supplier,SKU_E,14.265804,,
W1,SKU_A,3.94832,49.93014,12.6459
W1,SKU_B,3.111299,38.221154,12.2846
W1,SKU_C,3.394773,42.546112,12.5328
W1,SKU_D,3.989674,50.912937,12.7612
W1,SKU_E,3.938358,49.17341,12.4858
W2,SKU_A,0.063665,0.06354,0.998
W2,SKU_B,0.092004,0.091838,0.9982
W2,SKU_C,0.146445,0.146368,0.9995
W2,SKU_D,0.068073,0.068196,1.0018
W2,SKU_E,0.050516,0.050514,1.0
