t_ship,parent,child,sku,lead_time,qty
1,Supplier,W2,SKU_A,6,1854
1,Supplier,W2,SKU_B,6,130
1,Supplier,W2,SKU_C,6,938
1,Supplier,W2,SKU_E,6,631
1,W1,R1,SKU_A,2,476
1,W1,R1,SKU_B,2,315
1,W1,R1,SKU_C,2,713
1,W1,R1,SKU_D,2,275
1,W1,R1,SKU_E,2,85
1,W1,R2,SKU_A,3,856
1,W1,R2,SKU_B,3,539
1,W1,R2,SKU_C,3,380
1,W1,R2,SKU_D,3,270
1,W1,R2,SKU_E,3,359
2,Supplier,W1,SKU_B,5,934
2,Supplier,W1,SKU_C,5,1325
2,Supplier,W1,SKU_E,5,1258
2,Supplier,W1,SKU_A,5,1235
2,Supplier,W1,SKU_D,5,315
2,Supplier,W2,SKU_A,6,482
2,Supplier,W2,SKU_B,6,239
2,Supplier,W2,SKU_C,6,962
2,Supplier,W2,SKU_D,6,56
2,Supplier,W2,SKU_E,6,588
2,W2,R3,SKU_A,4,651
2,W2,R3,SKU_B,4,278
2,W2,R3,SKU_C,4,1067
2,W2,R3,SKU_D,4,343
2,W2,R3,SKU_E,4,646
4,W1,R1,SKU_A,2,209
4,W1,R1,SKU_B,2,37
4,W1,R1,SKU_D,2,99
4,W1,R1,SKU_E,2,103
4,W1,R2,SKU_A,3,195
4,W1,R2,SKU_B,3,51
4,W1,R2,SKU_D,3,108
4,W1,R2,SKU_E,3,88
5,Supplier,W1,SKU_A,5,553
5,Supplier,W1,SKU_B,5,231
5,Supplier,W1,SKU_C,5,339
5,Supplier,W1,SKU_D,5,207
5,Supplier,W1,SKU_E,5,191
5,Supplier,W2,SKU_A,6,511
5,Supplier,W2,SKU_B,6,121
5,Supplier,W2,SKU_C,6,264
5,Supplier,W2,SKU_D,6,193
5,Supplier,W2,SKU_E,6,173
5,W2,R3,SKU_A,4,523
5,W2,R3,SKU_B,4,148
5,W2,R3,SKU_D,4,199
5,W2,R3,SKU_E,4,2
7,W1,R1,SKU_D,2,152
7,W1,R1,SKU_E,2,170
7,W1,R1,SKU_A,2,440
7,W1,R1,SKU_B,2,243
7,W1,R1,SKU_C,2,492
7,W1,R2,SKU_D,3,146
7,W1,R2,SKU_E,3,146
7,W1,R2,SKU_A,3,418
7,W1,R2,SKU_B,3,305
7,W1,R2,SKU_C,3,553
8,Supplier,W1,SKU_A,5,709
8,Supplier,W1,SKU_B,5,405
8,Supplier,W1,SKU_C,5,553
8,Supplier,W1,SKU_D,5,298
8,Supplier,W1,SKU_E,5,316
8,Supplier,W2,SKU_A,6,683
8,Supplier,W2,SKU_B,6,191
8,Supplier,W2,SKU_C,6,427
8,Supplier,W2,SKU_D,6,283
8,Supplier,W2,SKU_E,6,268
8,W2,R3,SKU_A,4,742
8,W2,R3,SKU_B,4,221
8,W2,R3,SKU_D,4,309
8,W2,R3,SKU_C,4,728
8,W2,R3,SKU_E,4,478
10,W1,R1,SKU_A,2,329
10,W1,R1,SKU_B,2,160
10,W1,R1,SKU_C,2,231
10,W1,R1,SKU_D,2,132
10,W1,R1,SKU_E,2,141
10,W1,R2,SKU_A,3,335
10,W1,R2,SKU_B,3,158
10,W1,R2,SKU_C,3,188
10,W1,R2,SKU_D,3,123
10,W1,R2,SKU_E,3,141
11,Supplier,W1,SKU_A,5,664
11,Supplier,W1,SKU_B,5,318
11,Supplier,W1,SKU_C,5,419
11,Supplier,W1,SKU_D,5,255
11,Supplier,W1,SKU_E,5,282
11,Supplier,W2,SKU_A,6,548
11,Supplier,W2,SKU_B,6,225
11,Supplier,W2,SKU_C,6,340
11,Supplier,W2,SKU_D,6,253
11,Supplier,W2,SKU_E,6,237
11,W2,R3,SKU_A,4,508
11,W2,R3,SKU_B,4,186
11,W2,R3,SKU_C,4,286
11,W2,R3,SKU_D,4,222
11,W2,R3,SKU_E,4,210
13,W1,R1,SKU_A,2,347
13,W1,R1,SKU_B,2,145
13,W1,R1,SKU_C,2,216
13,W1,R1,SKU_D,2,121
13,W1,R1,SKU_E,2,133
13,W1,R2,SKU_A,3,306
13,W1,R2,SKU_B,3,162
13,W1,R2,SKU_C,3,141
13,W1,R2,SKU_E,3,144
13,W1,R2,SKU_D,3,108
14,Supplier,W1,SKU_A,5,653
14,Supplier,W1,SKU_B,5,307
14,Supplier,W1,SKU_C,5,357
14,Supplier,W1,SKU_D,5,229
14,Supplier,W1,SKU_E,5,277
14,Supplier,W2,SKU_A,6,602
14,Supplier,W2,SKU_B,6,212
14,Supplier,W2,SKU_C,6,360
14,Supplier,W2,SKU_D,6,254
14,Supplier,W2,SKU_E,6,261
14,W2,R3,SKU_A,4,689
14,W2,R3,SKU_B,4,271
14,W2,R3,SKU_C,4,486
14,W2,R3,SKU_D,4,318
14,W2,R3,SKU_E,4,318
16,Supplier,W2,SKU_A,6,601
16,Supplier,W2,SKU_B,6,175
16,Supplier,W2,SKU_C,6,341
16,Supplier,W2,SKU_D,6,231
16,Supplier,W2,SKU_E,6,203
16,W1,R1,SKU_A,2,445
16,W1,R1,SKU_B,2,194
16,W1,R1,SKU_C,2,272
16,W1,R1,SKU_D,2,189
16,W1,R1,SKU_E,2,197
16,W1,R2,SKU_A,3,357
16,W1,R2,SKU_B,3,154
16,W1,R2,SKU_C,3,168
16,W1,R2,SKU_D,3,141
16,W1,R2,SKU_E,3,154
17,Supplier,W1,SKU_A,5,802
17,Supplier,W1,SKU_B,5,348
17,Supplier,W1,SKU_C,5,440
17,Supplier,W1,SKU_D,5,330
17,Supplier,W1,SKU_E,5,351
17,W2,R3,SKU_A,4,691
17,W2,R3,SKU_B,4,171
17,W2,R3,SKU_C,4,314
17,W2,R3,SKU_D,4,264
17,W2,R3,SKU_E,4,203
19,Supplier,W2,SKU_A,6,532
19,Supplier,W2,SKU_B,6,168
19,Supplier,W2,SKU_C,6,262
19,Supplier,W2,SKU_D,6,247
19,Supplier,W2,SKU_E,6,197
19,W1,R1,SKU_A,2,344
19,W1,R1,SKU_B,2,94
19,W1,R1,SKU_C,2,182
19,W1,R1,SKU_D,2,91
19,W1,R1,SKU_E,2,111
19,W1,R2,SKU_A,3,278
19,W1,R2,SKU_B,3,136
19,W1,R2,SKU_C,3,107
19,W1,R2,SKU_D,3,115
19,W1,R2,SKU_E,3,110
20,Supplier,W1,SKU_A,5,622
20,Supplier,W1,SKU_B,5,230
20,Supplier,W1,SKU_C,5,289
20,Supplier,W1,SKU_D,5,206
20,Supplier,W1,SKU_E,5,221
20,W2,R3,SKU_A,4,544
20,W2,R3,SKU_B,4,173
20,W2,R3,SKU_C,4,301
20,W2,R3,SKU_D,4,253
20,W2,R3,SKU_E,4,221
22,Supplier,W2,SKU_A,6,649
22,Supplier,W2,SKU_B,6,227
22,Supplier,W2,SKU_C,6,411
22,Supplier,W2,SKU_D,6,302
22,Supplier,W2,SKU_E,6,238
22,W1,R1,SKU_A,2,452
