node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,0.066205,1.0
R1,SKU_B,0.132948,0.132948,1.0
R1,SKU_C,0.14054,0.540774,3.8478
R1,SKU_D,0.077954,0.077954,1.0
R1,SKU_E,0.08107,4.420649,54.5289
R2,SKU_A,0.04691,0.04691,1.0
R2,SKU_B,0.106405,0.106405,1.0
R2,SKU_C,0.135223,1.242042,9.1851
R2,SKU_D,0.062566,0.062566,1.0
R2,SKU_E,0.057893,7.157707,123.6375
R3,SKU_A,0.063665,0.063665,1.0
R3,SKU_B,0.092004,1.855403,20.1666
R3,SKU_C,0.146445,0.146445,1.0
R3,SKU_D,0.068073,0.068073,1.0
R3,SKU_E,0.050516,0.233492,4.6221
Supplier,SKU_A,0.050739,,
Supplier,SKU_B,0.270748,,
Supplier,SKU_C,0.186509,,
Supplier,SKU_D,0.045318,,
Supplier,SKU_E,0.794751,,
W1,SKU_A,0.05109,0.05109,1.0
W1,SKU_B,0.102324,0.100716,0.9843
W1,SKU_C,0.330316,0.374125,1.1326
W1,SKU_D,0.054296,0.046667,0.8595
W1,SKU_E,2.54432,2.473923,0.9723
W2,SKU_A,0.063665,0.063665,1.0
W2,SKU_B,1.855403,1.855403,1.0
W2,SKU_C,0.146445,0.139479,0.9524
W2,SKU_D,0.068073,0.068073,1.0
W2,SKU_E,0.233492,0.233492,1.0
