node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,6071.725,0.0,102.788,0.0,6174.513
R1,SKU_B,1733.07,53.4,47.6,0.0,1834.07
R1,SKU_C,2737.5299999999997,676.8000000000001,75.52,0.0,3489.85
R1,SKU_D,485.35200000000003,581.9000000000001,44.602000000000004,0.0,1111.854
R1,SKU_E,8353.176,11.600000000000001,30.416,0.0,8395.192
R2,SKU_A,7305.275000000001,0.0,68.46000000000001,0.0,7373.735000000001
R2,SKU_B,5914.139999999999,0.0,39.122,0.0,5953.262
R2,SKU_C,1000.755,2236.9500000000003,37.174,0.0,3274.879
R2,SKU_D,1179.0240000000001,0.0,33.084,0.0,1212.108
R2,SKU_E,9661.964,131.6,28.6,0.0,9822.163999999999
R3,SKU_A,17740.875,0.0,133.192,0.0,17874.067000000003
R3,SKU_B,10004.52,0.0,44.942,0.0,10049.462
R3,SKU_C,2778.786,773.1,82.696,0.0,3634.582
R3,SKU_D,8347.78,0.0,66.952,0.0,8414.732
R3,SKU_E,3744.988,0.0,56.42,0.0,3801.408
Supplier,SKU_A,0.0,0.0,0.0,35715.30109022874,35715.30109022874
Supplier,SKU_B,0.0,0.0,0.0,50914.52371129505,50914.52371129505
Supplier,SKU_C,0.0,0.0,0.0,32902.0241689399,32902.0241689399
Supplier,SKU_D,0.0,0.0,0.0,43023.70750638271,43023.70750638271
Supplier,SKU_E,0.0,0.0,0.0,36769.4435231536,36769.4435231536
W1,SKU_A,2710.575,0.0,4692.992,15726.814448845385,23130.381448845386
W1,SKU_B,4295.286,0.0,3610.166,31654.54482958896,39559.996829588956
W1,SKU_C,625.696,0.0,3826.31,13713.011417945234,18165.017417945233
W1,SKU_D,7059.063,0.0,3621.901,17994.97014998222,28675.93414998222
W1,SKU_E,0.0,0.0,1605.9,9456.659153638204,11062.559153638203
W2,SKU_A,5646.0,0.0,4540.768,8240.389281711788,18427.15728171179
W2,SKU_B,569.4119999999999,0.0,1924.826,7995.476373160552,10489.714373160552
W2,SKU_C,4155.312,0.0,3963.436,7474.511116815577,15593.259116815578
W2,SKU_D,1767.0140000000001,0.0,3574.332,10322.513433899965,15663.859433899965
W2,SKU_E,394.81600000000003,0.0,2968.26,10522.109794412116,13885.185794412117
