t_ship,parent,child,sku,lead_time,qty
1,Supplier,W1,SKU_A,5,1724
1,Supplier,W1,SKU_B,5,1130
1,Supplier,W1,SKU_C,5,133
1,Supplier,W1,SKU_D,5,1166
1,Supplier,W2,SKU_A,6,2444
1,Supplier,W2,SKU_B,6,311
1,Supplier,W2,SKU_C,6,728
1,Supplier,W2,SKU_D,6,583
1,Supplier,W2,SKU_E,6,327
1,W1,R1,SKU_A,2,732
1,W1,R1,SKU_B,2,133
1,W1,R1,SKU_C,2,283
1,W1,R1,SKU_D,2,19
1,W1,R1,SKU_E,2,454
1,W1,R2,SKU_A,3,911
1,W1,R2,SKU_B,3,580
1,W1,R2,SKU_C,3,50
1,W1,R2,SKU_D,3,151
1,W1,R2,SKU_E,3,295
1,W2,R3,SKU_A,4,1849
1,W2,R3,SKU_B,4,639
1,W2,R3,SKU_C,4,274
1,W2,R3,SKU_D,4,720
1,W2,R3,SKU_E,4,452
2,Supplier,W1,SKU_A,5,206
2,Supplier,W1,SKU_B,5,79
2,Supplier,W1,SKU_C,5,123
2,Supplier,W1,SKU_D,5,70
2,Supplier,W2,SKU_A,6,295
2,Supplier,W2,SKU_B,6,110
2,Supplier,W2,SKU_C,6,108
2,Supplier,W2,SKU_D,6,73
2,Supplier,W2,SKU_E,6,58
2,W1,R1,SKU_A,2,93
2,W1,R1,SKU_B,2,28
2,W1,R1,SKU_C,2,66
2,W1,R1,SKU_D,2,30
2,W1,R2,SKU_B,3,51
2,W1,R2,SKU_C,3,57
2,W1,R2,SKU_D,3,40
2,W2,R3,SKU_C,4,108
2,W2,R3,SKU_D,4,73
2,W2,R3,SKU_E,4,58
3,Supplier,W1,SKU_A,5,282
3,Supplier,W1,SKU_B,5,68
3,Supplier,W1,SKU_C,5,110
3,Supplier,W1,SKU_D,5,63
3,Supplier,W2,SKU_A,6,491
3,Supplier,W2,SKU_B,6,148
3,Supplier,W2,SKU_C,6,66
3,Supplier,W2,SKU_D,6,58
3,Supplier,W2,SKU_E,6,66
3,W1,R1,SKU_B,2,25
3,W1,R1,SKU_C,2,58
3,W1,R1,SKU_D,2,32
3,W1,R2,SKU_B,3,43
3,W1,R2,SKU_C,3,52
3,W1,R2,SKU_D,3,31
3,W2,R3,SKU_C,4,66
3,W2,R3,SKU_D,4,58
3,W2,R3,SKU_E,4,66
4,Supplier,W1,SKU_A,5,460
4,Supplier,W1,SKU_B,5,84
4,Supplier,W1,SKU_C,5,106
4,Supplier,W1,SKU_D,5,74
4,Supplier,W2,SKU_A,6,637
4,Supplier,W2,SKU_B,6,192
4,Supplier,W2,SKU_C,6,90
4,Supplier,W2,SKU_D,6,62
4,Supplier,W2,SKU_E,6,49
4,W1,R1,SKU_B,2,29
4,W1,R1,SKU_C,2,64
4,W1,R1,SKU_D,2,37
4,W1,R2,SKU_B,3,53
4,W1,R2,SKU_C,3,42
4,W1,R2,SKU_D,3,37
4,W2,R3,SKU_C,4,90
4,W2,R3,SKU_D,4,62
4,W2,R3,SKU_E,4,49
5,Supplier,W1,SKU_A,5,648
5,Supplier,W1,SKU_B,5,106
5,Supplier,W1,SKU_C,5,137
5,Supplier,W1,SKU_D,5,84
5,Supplier,W1,SKU_E,5,358
5,Supplier,W2,SKU_A,6,818
5,Supplier,W2,SKU_B,6,258
5,Supplier,W2,SKU_C,6,115
5,Supplier,W2,SKU_D,6,79
5,Supplier,W2,SKU_E,6,64
5,W1,R1,SKU_C,2,81
5,W1,R1,SKU_D,2,41
5,W1,R2,SKU_C,3,56
5,W1,R2,SKU_D,3,43
5,W2,R3,SKU_C,4,115
5,W2,R3,SKU_D,4,79
5,W2,R3,SKU_E,4,23
6,Supplier,W1,SKU_A,5,884
6,Supplier,W1,SKU_B,5,253
6,Supplier,W1,SKU_C,5,197
6,Supplier,W1,SKU_D,5,102
6,Supplier,W1,SKU_E,5,493
6,Supplier,W2,SKU_A,6,1064
6,Supplier,W2,SKU_B,6,324
6,Supplier,W2,SKU_C,6,163
6,Supplier,W2,SKU_D,6,101
6,Supplier,W2,SKU_E,6,118
6,W1,R1,SKU_A,2,915
6,W1,R1,SKU_B,2,159
6,W1,R1,SKU_C,2,108
6,W1,R1,SKU_D,2,47
6,W1,R2,SKU_A,3,809
6,W1,R2,SKU_B,3,202
6,W1,R2,SKU_C,3,89
6,W1,R2,SKU_D,3,55
