node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,3.390574,51.213
R1,SKU_B,0.132948,2.102126,15.8116
R1,SKU_C,0.14054,1.99896,14.2234
R1,SKU_D,0.077954,7.208265,92.4678
R1,SKU_E,0.08107,3.031253,37.3906
R2,SKU_A,0.04691,5.352098,114.0922
R2,SKU_B,0.106405,5.478249,51.4848
R2,SKU_C,0.135223,5.742113,42.464
R2,SKU_D,0.062566,0.403809,6.4542
R2,SKU_E,0.057893,8.606634,148.6653
R3,SKU_A,0.063665,6.478469,101.7586
R3,SKU_B,0.092004,3.758468,40.8513
R3,SKU_C,0.146445,8.09688,55.2896
R3,SKU_D,0.068073,8.345071,122.59
R3,SKU_E,0.050516,3.38714,67.0502
Supplier,SKU_A,3.335457,,
Supplier,SKU_B,6.677793,,
Supplier,SKU_C,4.766322,,
Supplier,SKU_D,4.841118,,
Supplier,SKU_E,5.109707,,
W1,SKU_A,2.221161,2.221161,1.0
W1,SKU_B,1.619292,9.634684,5.9499
W1,SKU_C,1.487345,5.199332,3.4957
W1,SKU_D,2.484951,3.673106,1.4781
W1,SKU_E,2.806419,8.690624,3.0967
W2,SKU_A,6.478469,13.624591,2.1031
W2,SKU_B,3.758468,23.035402,6.1289
W2,SKU_C,8.09688,17.696094,2.1855
W2,SKU_D,8.345071,17.676634,2.1182
W2,SKU_E,3.38714,11.942557,3.5259
