node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,1860.875,2479.5,102.788,0.0,4443.1630000000005
R1,SKU_B,2405.58,54.6,47.6,0.0,2507.7799999999997
R1,SKU_C,4974.615,0.0,75.52,0.0,5050.135
R1,SKU_D,1583.82,95.15,44.602000000000004,0.0,1723.5720000000001
R1,SKU_E,464.178,709.2,31.706,0.0,1205.084
R2,SKU_A,6407.275000000001,0.0,68.46000000000001,0.0,6475.735000000001
R2,SKU_B,4602.63,0.0,39.122,0.0,4641.7519999999995
R2,SKU_C,4516.803,176.85,37.174,0.0,4730.827
R2,SKU_D,393.652,7096.1,33.084,0.0,7522.836
R2,SKU_E,2967.0679999999998,0.0,33.058,0.0,3000.1259999999997
R3,SKU_A,3863.9500000000003,576.5,133.192,0.0,4573.642
R3,SKU_B,3136.56,0.0,43.066,0.0,3179.6259999999997
R3,SKU_C,6065.955,0.0,82.696,0.0,6148.651
R3,SKU_D,3108.616,103.4,66.952,0.0,3278.9680000000003
R3,SKU_E,4500.755999999999,0.0,56.42,0.0,4557.1759999999995
Supplier,SKU_A,0.0,0.0,0.0,13388.681821807755,13388.681821807755
Supplier,SKU_B,0.0,0.0,0.0,21964.671173565523,21964.671173565523
Supplier,SKU_C,0.0,0.0,0.0,12811.869986353871,12811.869986353871
Supplier,SKU_D,0.0,0.0,0.0,15991.163650250735,15991.163650250735
Supplier,SKU_E,0.0,0.0,0.0,16083.613368022116,16083.613368022116
W1,SKU_A,226.065,0.0,4692.608,6268.536485777987,11187.209485777987
W1,SKU_B,1476.108,0.0,3609.86,13084.995104231033,18170.963104231032
W1,SKU_C,372.44800000000004,0.0,4079.254,5992.601779797834,10444.303779797834
W1,SKU_D,0.765,0.0,3621.509,7137.307019758148,10759.581019758149
W1,SKU_E,6392.192,0.0,3200.064,7508.559610434997,17100.815610435
W2,SKU_A,13122.885,0.0,4540.968,3224.2503090790096,20888.103309079008
W2,SKU_B,1512.684,0.0,3479.33,4145.382759839149,9137.39675983915
W2,SKU_C,5859.456,0.0,3963.471,3008.2724184241874,12831.199418424187
W2,SKU_D,422.348,0.0,3574.283,4041.3264305769867,8037.957430576987
W2,SKU_E,3873.504,0.0,3175.272,4086.768082080667,11135.544082080667
