node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,46956,0.9136475074911469
R1,SKU_B,23800,23709,0.9961764705882353
R1,SKU_C,37760,37760,1.0
R1,SKU_D,22301,22128,0.9922425003363078
R1,SKU_E,15853,14250,0.8988834920835174
R2,SKU_A,34230,34230,1.0
R2,SKU_B,19561,19561,1.0
R2,SKU_C,18587,18338,0.9866035401086781
R2,SKU_D,16542,9644,0.5830008463305525
R2,SKU_E,16529,16529,1.0
R3,SKU_A,66596,65490,0.9833923959396961
R3,SKU_B,21533,21533,1.0
R3,SKU_C,41348,41348,1.0
R3,SKU_D,33476,33288,0.994384036324531
R3,SKU_E,28210,28210,1.0
