t_ship,parent,child,sku,lead_time,qty
1,Supplier,W2,SKU_A,6,3301
1,Supplier,W2,SKU_B,6,101
1,Supplier,W2,SKU_C,6,1128
1,Supplier,W2,SKU_E,6,958
1,W1,R2,SKU_A,3,1172
1,W1,R2,SKU_B,3,453
1,W1,R2,SKU_C,3,400
1,W1,R2,SKU_D,3,154
1,W1,R2,SKU_E,3,368
2,Supplier,W1,SKU_B,5,1035
2,Supplier,W1,SKU_E,5,2147
2,Supplier,W1,SKU_A,5,1156
2,Supplier,W1,SKU_C,5,1259
2,Supplier,W2,SKU_A,6,572
2,Supplier,W2,SKU_B,6,372
2,Supplier,W2,SKU_C,6,373
2,Supplier,W2,SKU_D,6,104
2,Supplier,W2,SKU_E,6,714
3,W1,R1,SKU_A,2,411
3,W1,R1,SKU_B,2,236
3,W1,R1,SKU_C,2,693
3,W1,R1,SKU_D,2,167
3,W1,R1,SKU_E,2,119
3,W2,R3,SKU_A,4,937
3,W2,R3,SKU_B,4,449
3,W2,R3,SKU_C,4,547
3,W2,R3,SKU_D,4,445
3,W2,R3,SKU_E,4,648
4,W1,R2,SKU_A,3,153
4,W1,R2,SKU_B,3,149
4,W1,R2,SKU_D,3,108
4,W1,R2,SKU_E,3,88
5,Supplier,W1,SKU_A,5,553
5,Supplier,W1,SKU_B,5,231
5,Supplier,W1,SKU_C,5,339
5,Supplier,W1,SKU_E,5,191
5,Supplier,W1,SKU_D,5,68
5,Supplier,W2,SKU_A,6,511
5,Supplier,W2,SKU_B,6,121
5,Supplier,W2,SKU_C,6,264
5,Supplier,W2,SKU_D,6,193
5,Supplier,W2,SKU_E,6,173
6,W1,R1,SKU_B,2,70
6,W1,R1,SKU_D,2,125
6,W1,R1,SKU_E,2,137
6,W2,R3,SKU_A,4,573
6,W2,R3,SKU_B,4,176
6,W2,R3,SKU_C,4,368
6,W2,R3,SKU_D,4,242
7,W1,R2,SKU_B,3,207
7,W1,R2,SKU_D,3,146
7,W1,R2,SKU_E,3,146
7,W1,R2,SKU_A,3,460
7,W1,R2,SKU_C,3,751
8,Supplier,W1,SKU_A,5,709
8,Supplier,W1,SKU_B,5,405
8,Supplier,W1,SKU_C,5,553
8,Supplier,W1,SKU_D,5,298
8,Supplier,W1,SKU_E,5,316
8,Supplier,W2,SKU_A,6,683
8,Supplier,W2,SKU_B,6,191
8,Supplier,W2,SKU_C,6,427
8,Supplier,W2,SKU_D,6,283
8,Supplier,W2,SKU_E,6,268
9,W1,R1,SKU_A,2,605
9,W1,R1,SKU_B,2,287
9,W1,R1,SKU_C,2,508
9,W1,R1,SKU_D,2,125
9,W1,R1,SKU_E,2,173
9,W2,R3,SKU_A,4,675
9,W2,R3,SKU_B,4,220
9,W2,R3,SKU_C,4,401
9,W2,R3,SKU_D,4,285
9,W2,R3,SKU_E,4,676
10,W1,R2,SKU_A,3,335
10,W1,R2,SKU_B,3,158
10,W1,R2,SKU_E,3,141
10,W1,R2,SKU_C,3,124
11,Supplier,W1,SKU_A,5,664
11,Supplier,W1,SKU_B,5,318
11,Supplier,W1,SKU_C,5,419
11,Supplier,W1,SKU_D,5,255
11,Supplier,W1,SKU_E,5,282
11,Supplier,W2,SKU_A,6,548
11,Supplier,W2,SKU_B,6,225
11,Supplier,W2,SKU_C,6,340
11,Supplier,W2,SKU_D,6,253
11,Supplier,W2,SKU_E,6,237
12,W1,R1,SKU_A,2,304
12,W1,R1,SKU_B,2,105
12,W1,R1,SKU_C,2,215
12,W1,R1,SKU_D,2,68
12,W1,R1,SKU_E,2,116
12,W2,R3,SKU_A,4,513
12,W2,R3,SKU_B,4,203
12,W2,R3,SKU_C,4,289
12,W2,R3,SKU_D,4,231
12,W2,R3,SKU_E,4,237
13,W1,R2,SKU_A,3,306
13,W1,R2,SKU_B,3,162
13,W1,R2,SKU_E,3,144
13,W1,R2,SKU_C,3,205
13,W1,R2,SKU_D,3,174
14,Supplier,W1,SKU_A,5,653
14,Supplier,W1,SKU_B,5,307
14,Supplier,W1,SKU_C,5,357
14,Supplier,W1,SKU_D,5,229
14,Supplier,W1,SKU_E,5,277
14,Supplier,W2,SKU_A,6,602
14,Supplier,W2,SKU_B,6,212
14,Supplier,W2,SKU_C,6,360
14,Supplier,W2,SKU_D,6,254
14,Supplier,W2,SKU_E,6,261
15,W1,R1,SKU_A,2,391
15,W1,R1,SKU_B,2,230
15,W1,R1,SKU_C,2,318
15,W1,R1,SKU_D,2,124
15,W1,R1,SKU_E,2,200
15,W2,R3,SKU_A,4,819
15,W2,R3,SKU_B,4,248
15,W2,R3,SKU_C,4,500
15,W2,R3,SKU_D,4,325
15,W2,R3,SKU_E,4,295
16,Supplier,W2,SKU_A,6,601
16,Supplier,W2,SKU_B,6,175
16,Supplier,W2,SKU_C,6,341
16,Supplier,W2,SKU_D,6,231
16,Supplier,W2,SKU_E,6,203
16,W1,R2,SKU_A,3,357
16,W1,R2,SKU_B,3,154
16,W1,R2,SKU_C,3,168
16,W1,R2,SKU_E,3,154
16,W1,R2,SKU_D,3,66
17,Supplier,W1,SKU_A,5,802
17,Supplier,W1,SKU_B,5,348
17,Supplier,W1,SKU_C,5,440
17,Supplier,W1,SKU_D,5,330
17,Supplier,W1,SKU_E,5,351
18,W1,R1,SKU_A,2,324
18,W1,R1,SKU_B,2,88
18,W1,R1,SKU_C,2,239
18,W1,R1,SKU_D,2,189
18,W1,R1,SKU_E,2,121
18,W2,R3,SKU_A,4,532
18,W2,R3,SKU_B,4,168
18,W2,R3,SKU_C,4,262
18,W2,R3,SKU_D,4,247
18,W2,R3,SKU_E,4,197
19,Supplier,W2,SKU_A,6,532
19,Supplier,W2,SKU_B,6,168
19,Supplier,W2,SKU_C,6,262
19,Supplier,W2,SKU_D,6,247
19,Supplier,W2,SKU_E,6,197
19,W1,R2,SKU_B,3,136
19,W1,R2,SKU_C,3,107
19,W1,R2,SKU_E,3,110
19,W1,R2,SKU_A,3,278
19,W1,R2,SKU_D,3,138
20,Supplier,W1,SKU_A,5,622
20,Supplier,W1,SKU_B,5,230
20,Supplier,W1,SKU_C,5,289
20,Supplier,W1,SKU_D,5,206
20,Supplier,W1,SKU_E,5,221
21,W1,R1,SKU_A,2,375
21,W1,R1,SKU_B,2,177
21,W1,R1,SKU_C,2,251
21,W1,R1,SKU_D,2,91
21,W1,R1,SKU_E,2,173
21,W2,R3,SKU_A,4,649
21,W2,R3,SKU_B,4,227
21,W2,R3,SKU_C,4,411
21,W2,R3,SKU_D,4,302
21,W2,R3,SKU_E,4,238
22,Supplier,W2,SKU_A,6,649
22,Supplier,W2,SKU_B,6,227
22,Supplier,W2,SKU_C,6,411
22,Supplier,W2,SKU_D,6,302
22,Supplier,W2,SKU_E,6,238
22,W1,R2,SKU_B,3,214
22,W1,R2,SKU_C,3,151
