t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,771,0,0,0
1,W1,SKU_B,151,0,0,0
1,W1,SKU_C,0,0,96,0
1,W1,SKU_D,83,0,0,0
1,W1,SKU_E,228,0,0,0
1,W2,SKU_A,1299,0,0,1749
1,W2,SKU_B,0,0,294,924
1,W2,SKU_C,0,0,183,1451
1,W2,SKU_D,105,0,0,0
1,W2,SKU_E,302,0,0,328
1,R1,SKU_A,359,0,0,310
1,R1,SKU_B,224,0,0,499
1,R1,SKU_C,249,0,0,741
1,R1,SKU_D,199,0,0,332
1,R1,SKU_E,137,0,0,29
1,R2,SKU_A,258,0,0,655
1,R2,SKU_B,191,0,0,292
1,R2,SKU_C,167,0,0,352
1,R2,SKU_D,132,0,0,410
1,R2,SKU_E,187,0,0,492
1,R3,SKU_A,969,0,0,550
1,R3,SKU_B,375,0,0,639
1,R3,SKU_C,537,0,0,1067
1,R3,SKU_D,596,0,0,941
1,R3,SKU_E,333,0,0,346
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,565,0,0,489
2,W1,SKU_B,72,0,0,1245
2,W1,SKU_C,0,0,219,891
2,W1,SKU_D,13,0,0,408
2,W1,SKU_E,163,0,0,820
2,W2,SKU_A,1130,0,0,2299
2,W2,SKU_B,0,0,333,1857
2,W2,SKU_C,0,0,291,2701
2,W2,SKU_D,32,0,0,706
2,W2,SKU_E,244,0,0,674
2,R1,SKU_A,273,0,0,310
2,R1,SKU_B,199,0,0,499
2,R1,SKU_C,191,0,0,741
2,R1,SKU_D,167,0,0,332
2,R1,SKU_E,95,0,0,29
2,R2,SKU_A,175,0,0,655
2,R2,SKU_B,148,0,0,292
2,R2,SKU_C,115,0,0,352
2,R2,SKU_D,101,0,0,410
2,R2,SKU_E,159,0,0,492
2,R3,SKU_A,773,0,0,550
2,R3,SKU_B,337,0,0,639
2,R3,SKU_C,471,0,0,1067
2,R3,SKU_D,538,0,0,941
2,R3,SKU_E,267,0,0,346
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,396,0,0,489
3,W1,SKU_B,4,0,0,1245
3,W1,SKU_C,0,0,329,891
3,W1,SKU_D,0,0,50,408
3,W1,SKU_E,93,0,0,820
3,W2,SKU_A,934,0,0,2299
3,W2,SKU_B,0,0,371,1857
3,W2,SKU_C,0,0,357,2701
3,W2,SKU_D,0,0,26,706
3,W2,SKU_E,178,0,0,674
3,R1,SKU_A,495,0,0,0
3,R1,SKU_B,669,0,0,0
3,R1,SKU_C,868,0,0,0
3,R1,SKU_D,462,0,0,0
3,R1,SKU_E,90,0,0,0
3,R2,SKU_A,85,0,0,655
3,R2,SKU_B,93,0,0,292
3,R2,SKU_C,73,0,0,352
3,R2,SKU_D,64,0,0,410
3,R2,SKU_E,137,0,0,492
3,R3,SKU_A,627,0,0,550
3,R3,SKU_B,293,0,0,639
3,R3,SKU_C,381,0,0,1067
3,R3,SKU_D,476,0,0,941
3,R3,SKU_E,218,0,0,346
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,218,0,0,489
4,W1,SKU_B,0,0,80,1245
4,W1,SKU_C,0,0,435,891
4,W1,SKU_D,0,0,124,408
4,W1,SKU_E,37,0,0,820
4,W2,SKU_A,788,0,0,2299
4,W2,SKU_B,0,0,415,1857
4,W2,SKU_C,0,0,447,2701
4,W2,SKU_D,0,0,88,706
4,W2,SKU_E,129,0,0,674
4,R1,SKU_A,408,0,0,268
4,R1,SKU_B,628,0,0,57
4,R1,SKU_C,787,0,0,0
4,R1,SKU_D,421,0,0,43
4,R1,SKU_E,46,0,0,103
4,R2,SKU_A,639,0,0,285
4,R2,SKU_B,322,0,0,94
4,R2,SKU_C,369,0,0,0
4,R2,SKU_D,431,0,0,40
4,R2,SKU_E,605,0,0,88
4,R3,SKU_A,446,0,0,1061
4,R3,SKU_B,227,0,0,639
4,R3,SKU_C,266,0,0,1067
4,R3,SKU_D,397,0,0,1046
4,R3,SKU_E,154,0,0,519
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,30,0,0,1042
5,W1,SKU_B,0,0,184,1476
5,W1,SKU_C,0,0,572,1230
5,W1,SKU_D,0,0,208,615
5,W1,SKU_E,0,0,31,1011
5,W2,SKU_A,607,0,0,2810
5,W2,SKU_B,0,0,481,1978
5,W2,SKU_C,0,0,562,2965
5,W2,SKU_D,0,0,167,899
5,W2,SKU_E,65,0,0,847
5,R1,SKU_A,280,0,0,268
5,R1,SKU_B,551,0,0,57
5,R1,SKU_C,679,0,0,0
5,R1,SKU_D,374,0,0,43
5,R1,SKU_E,0,13,0,103
5,R2,SKU_A,531,0,0,285
5,R2,SKU_B,252,0,0,94
5,R2,SKU_C,280,0,0,0
5,R2,SKU_D,376,0,0,40
5,R2,SKU_E,550,0,0,88
5,R3,SKU_A,750,0,0,511
5,R3,SKU_B,800,0,0,0
5,R3,SKU_C,1170,0,0,0
5,R3,SKU_D,1237,0,0,105
5,R3,SKU_E,423,0,0,173
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,0,0,206,1042
6,W1,SKU_B,0,0,331,1476
6,W1,SKU_C,0,0,769,1230
6,W1,SKU_D,0,0,310,615
6,W1,SKU_E,0,0,145,1011
6,W2,SKU_A,361,0,0,2810
6,W2,SKU_B,0,0,547,1978
6,W2,SKU_C,0,0,725,2965
6,W2,SKU_D,0,0,268,899
6,W2,SKU_E,0,0,12,847
6,R1,SKU_A,382,0,0,0
6,R1,SKU_B,528,0,0,0
6,R1,SKU_C,564,0,0,0
6,R1,SKU_D,353,0,0,0
6,R1,SKU_E,23,0,0,0
6,R2,SKU_A,412,0,0,285
6,R2,SKU_B,178,0,0,94
6,R2,SKU_C,176,0,0,0
6,R2,SKU_D,328,0,0,40
6,R2,SKU_E,483,0,0,88
6,R3,SKU_A,494,0,0,511
6,R3,SKU_B,741,0,0,0
6,R3,SKU_C,1021,0,0,0
6,R3,SKU_D,1134,0,0,105
6,R3,SKU_E,296,0,0,173
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,0,0,2,553
7,W1,SKU_B,760,0,0,231
7,W1,SKU_C,0,0,97,339
7,W1,SKU_D,0,0,14,207
7,W1,SKU_E,541,0,0,191
7,W2,SKU_A,1854,0,0,1061
7,W2,SKU_B,318,0,0,1054
7,W2,SKU_C,577,0,0,1514
7,W2,SKU_D,0,0,371,899
7,W2,SKU_E,189,0,0,519
7,R1,SKU_A,246,0,0,381
7,R1,SKU_B,450,0,0,223
7,R1,SKU_C,442,0,0,492
7,R1,SKU_D,290,0,0,208
7,R1,SKU_E,0,37,0,170
7,R2,SKU_A,572,0,0,326
7,R2,SKU_B,206,0,0,262
7,R2,SKU_C,95,0,0,399
7,R2,SKU_D,327,0,0,200
7,R2,SKU_E,516,0,0,146
7,R3,SKU_A,254,0,0,1194
7,R3,SKU_B,645,0,0,606
7,R3,SKU_C,879,0,0,874
7,R3,SKU_D,1029,0,0,105
7,R3,SKU_E,199,0,0,441
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,0,0,263,1262
8,W1,SKU_B,616,0,0,636
8,W1,SKU_C,0,0,300,892
8,W1,SKU_D,0,0,118,505
8,W1,SKU_E,426,0,0,507
