E3 — Joint Inventory + Transport Optimization (Main Result)
============================================================
Total cost            :     261,247.87
  Holding             :      81,245.11  (31.1%)
  Transport           :     137,712.00  (52.7%)
  Ordering            :      38,832.06  (14.9%)
  Shortage            :       3,458.70  (1.3%)
Fill rate             :         98.72%

Fill rate by SKU:
  SKU_A           98.66%
  SKU_B           99.93%
  SKU_C           99.78%
  SKU_D           96.65%
  SKU_E           98.30%

Bullwhip ratio by node × SKU (order CV² / demand CV²):
  Node            SKU                  BWE
  R1              SKU_A              1.000
  R1              SKU_B              1.000
  R1              SKU_C              1.000
  R1              SKU_D              1.000
  R1              SKU_E              1.000
  R2              SKU_A              1.000
  R2              SKU_B              1.000
  R2              SKU_C              1.000
  R2              SKU_D              1.000
  R2              SKU_E              1.000
  R3              SKU_A              1.000
  R3              SKU_B              1.000
  R3              SKU_C              1.000
  R3              SKU_D              1.000
  R3              SKU_E              1.000
  Supplier        SKU_A                nan
  Supplier        SKU_B                nan
  Supplier        SKU_C                nan
  Supplier        SKU_D                nan
  Supplier        SKU_E                nan
  W1              SKU_A              1.001
  W1              SKU_B              1.003
  W1              SKU_C              1.001
  W1              SKU_D              1.004
  W1              SKU_E              0.999
  W2              SKU_A              0.998
  W2              SKU_B              0.998
  W2              SKU_C              1.000
  W2              SKU_D              1.002
  W2              SKU_E              1.000
