t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
0,Supplier,SKU_A,0,0,0,0
0,Supplier,SKU_B,0,0,0,0
0,Supplier,SKU_C,0,0,0,0
0,Supplier,SKU_D,0,0,0,0
0,Supplier,SKU_E,0,0,0,0
0,W1,SKU_A,1736,0,0,0
0,W1,SKU_B,942,0,0,0
0,W1,SKU_C,1093,0,0,0
0,W1,SKU_D,825,0,0,0
0,W1,SKU_E,749,0,0,0
0,W2,SKU_A,1849,0,0,0
0,W2,SKU_B,639,0,0,0
0,W2,SKU_C,1067,0,0,0
0,W2,SKU_D,1046,0,0,0
0,W2,SKU_E,648,0,0,0
0,R1,SKU_A,453,0,0,0
0,R1,SKU_B,252,0,0,0
0,R1,SKU_C,315,0,0,0
0,R1,SKU_D,229,0,0,0
0,R1,SKU_E,164,0,0,0
0,R2,SKU_A,370,0,0,0
0,R2,SKU_B,242,0,0,0
0,R2,SKU_C,224,0,0,0
0,R2,SKU_D,172,0,0,0
0,R2,SKU_E,225,0,0,0
0,R3,SKU_A,1138,0,0,0
0,R3,SKU_B,414,0,0,0
0,R3,SKU_C,645,0,0,0
0,R3,SKU_D,669,0,0,0
0,R3,SKU_E,391,0,0,0
1,Supplier,SKU_A,0,0,0,0
1,Supplier,SKU_B,0,0,0,0
1,Supplier,SKU_C,0,0,0,0
1,Supplier,SKU_D,0,0,0,0
1,Supplier,SKU_E,0,0,0,0
1,W1,SKU_A,409,0,0,0
1,W1,SKU_B,182,0,0,0
1,W1,SKU_C,95,0,0,0
1,W1,SKU_D,51,0,0,0
1,W1,SKU_E,0,0,46,0
1,W2,SKU_A,1374,0,0,1678
1,W2,SKU_B,0,0,13,1242
1,W2,SKU_C,456,0,0,1597
1,W2,SKU_D,208,0,0,0
1,W2,SKU_E,96,0,0,372
1,R1,SKU_A,359,0,0,1031
1,R1,SKU_B,224,0,0,436
1,R1,SKU_C,249,0,0,650
1,R1,SKU_D,199,0,0,281
1,R1,SKU_E,137,0,0,277
1,R2,SKU_A,258,0,0,296
1,R2,SKU_B,191,0,0,324
1,R2,SKU_C,167,0,0,348
1,R2,SKU_D,132,0,0,493
1,R2,SKU_E,187,0,0,472
1,R3,SKU_A,969,0,0,475
1,R3,SKU_B,375,0,0,639
1,R3,SKU_C,537,0,0,611
1,R3,SKU_D,596,0,0,838
1,R3,SKU_E,333,0,0,552
2,Supplier,SKU_A,0,0,0,0
2,Supplier,SKU_B,0,0,0,0
2,Supplier,SKU_C,0,0,0,0
2,Supplier,SKU_D,0,0,0,0
2,Supplier,SKU_E,0,0,0,0
2,W1,SKU_A,203,0,0,2867
2,W1,SKU_B,103,0,0,1627
2,W1,SKU_C,0,0,28,1807
2,W1,SKU_D,0,0,19,1018
2,W1,SKU_E,0,0,111,650
2,W2,SKU_A,1205,0,0,2153
2,W2,SKU_B,0,0,52,1894
2,W2,SKU_C,348,0,0,2208
2,W2,SKU_D,135,0,0,135
2,W2,SKU_E,38,0,0,924
2,R1,SKU_A,273,0,0,1031
2,R1,SKU_B,199,0,0,436
2,R1,SKU_C,191,0,0,650
2,R1,SKU_D,167,0,0,281
2,R1,SKU_E,95,0,0,277
2,R2,SKU_A,175,0,0,296
2,R2,SKU_B,148,0,0,324
2,R2,SKU_C,115,0,0,348
2,R2,SKU_D,101,0,0,493
2,R2,SKU_E,159,0,0,472
2,R3,SKU_A,773,0,0,475
2,R3,SKU_B,337,0,0,639
2,R3,SKU_C,471,0,0,611
2,R3,SKU_D,538,0,0,838
2,R3,SKU_E,267,0,0,552
3,Supplier,SKU_A,0,0,0,0
3,Supplier,SKU_B,0,0,0,0
3,Supplier,SKU_C,0,0,0,0
3,Supplier,SKU_D,0,0,0,0
3,Supplier,SKU_E,0,0,0,0
3,W1,SKU_A,34,0,0,2867
3,W1,SKU_B,35,0,0,1627
3,W1,SKU_C,0,0,138,1807
3,W1,SKU_D,0,0,82,1018
3,W1,SKU_E,0,0,181,650
3,W2,SKU_A,1009,0,0,2153
3,W2,SKU_B,0,0,90,1894
3,W2,SKU_C,282,0,0,2208
3,W2,SKU_D,77,0,0,135
3,W2,SKU_E,0,0,28,924
3,R1,SKU_A,1216,0,0,0
3,R1,SKU_B,606,0,0,0
3,R1,SKU_C,777,0,0,0
3,R1,SKU_D,411,0,0,0
3,R1,SKU_E,338,0,0,0
3,R2,SKU_A,85,0,0,296
3,R2,SKU_B,93,0,0,324
3,R2,SKU_C,73,0,0,348
3,R2,SKU_D,64,0,0,493
3,R2,SKU_E,137,0,0,472
3,R3,SKU_A,627,0,0,475
3,R3,SKU_B,293,0,0,639
3,R3,SKU_C,381,0,0,611
3,R3,SKU_D,476,0,0,838
3,R3,SKU_E,218,0,0,552
4,Supplier,SKU_A,0,0,0,0
4,Supplier,SKU_B,0,0,0,0
4,Supplier,SKU_C,0,0,0,0
4,Supplier,SKU_D,0,0,0,0
4,Supplier,SKU_E,0,0,0,0
4,W1,SKU_A,0,0,144,2867
4,W1,SKU_B,0,0,49,1627
4,W1,SKU_C,0,0,244,1807
4,W1,SKU_D,0,0,156,1018
4,W1,SKU_E,0,0,237,650
4,W2,SKU_A,863,0,0,2153
4,W2,SKU_B,0,0,134,1894
4,W2,SKU_C,192,0,0,2208
4,W2,SKU_D,15,0,0,135
4,W2,SKU_E,0,0,77,924
4,R1,SKU_A,1129,0,0,214
4,R1,SKU_B,565,0,0,82
4,R1,SKU_C,696,0,0,66
4,R1,SKU_D,370,0,0,30
4,R1,SKU_E,294,0,0,0
4,R2,SKU_A,280,0,0,195
4,R2,SKU_B,354,0,0,100
4,R2,SKU_C,365,0,0,29
4,R2,SKU_D,514,0,0,21
4,R2,SKU_E,585,0,0,0
4,R3,SKU_A,446,0,0,986
4,R3,SKU_B,227,0,0,639
4,R3,SKU_C,266,0,0,875
4,R3,SKU_D,397,0,0,1031
4,R3,SKU_E,154,0,0,648
5,Supplier,SKU_A,0,0,0,0
5,Supplier,SKU_B,0,0,0,0
5,Supplier,SKU_C,0,0,0,0
5,Supplier,SKU_D,0,0,0,0
5,Supplier,SKU_E,0,0,0,0
5,W1,SKU_A,0,0,332,3420
5,W1,SKU_B,0,0,153,1858
5,W1,SKU_C,0,0,381,2146
5,W1,SKU_D,0,0,240,1225
5,W1,SKU_E,0,0,305,841
5,W2,SKU_A,682,0,0,2664
5,W2,SKU_B,0,0,200,2015
5,W2,SKU_C,77,0,0,2472
5,W2,SKU_D,0,0,64,328
5,W2,SKU_E,0,0,141,1097
5,R1,SKU_A,1001,0,0,214
5,R1,SKU_B,488,0,0,82
5,R1,SKU_C,588,0,0,66
5,R1,SKU_D,323,0,0,30
5,R1,SKU_E,235,0,0,0
5,R2,SKU_A,172,0,0,195
5,R2,SKU_B,284,0,0,100
5,R2,SKU_C,276,0,0,29
5,R2,SKU_D,459,0,0,21
5,R2,SKU_E,530,0,0,0
5,R3,SKU_A,675,0,0,511
5,R3,SKU_B,800,0,0,0
5,R3,SKU_C,714,0,0,264
5,R3,SKU_D,1134,0,0,193
5,R3,SKU_E,629,0,0,96
6,Supplier,SKU_A,0,0,0,0
6,Supplier,SKU_B,0,0,0,0
6,Supplier,SKU_C,0,0,0,0
6,Supplier,SKU_D,0,0,0,0
6,Supplier,SKU_E,0,0,0,0
6,W1,SKU_A,0,0,568,3420
6,W1,SKU_B,0,0,300,1858
6,W1,SKU_C,0,0,578,2146
6,W1,SKU_D,0,0,342,1225
6,W1,SKU_E,0,0,419,841
6,W2,SKU_A,436,0,0,2664
6,W2,SKU_B,0,0,266,2015
6,W2,SKU_C,0,0,86,2472
6,W2,SKU_D,0,0,165,328
6,W2,SKU_E,0,0,218,1097
6,R1,SKU_A,1049,0,0,0
6,R1,SKU_B,490,0,0,0
6,R1,SKU_C,539,0,0,0
6,R1,SKU_D,289,0,0,0
6,R1,SKU_E,168,0,0,0
6,R2,SKU_A,53,0,0,195
6,R2,SKU_B,210,0,0,100
6,R2,SKU_C,172,0,0,29
6,R2,SKU_D,411,0,0,21
6,R2,SKU_E,463,0,0,0
6,R3,SKU_A,419,0,0,511
6,R3,SKU_B,741,0,0,0
6,R3,SKU_C,565,0,0,264
6,R3,SKU_D,1031,0,0,193
6,R3,SKU_E,502,0,0,96
7,Supplier,SKU_A,0,0,0,0
7,Supplier,SKU_B,0,0,0,0
7,Supplier,SKU_C,0,0,0,0
7,Supplier,SKU_D,0,0,0,0
7,Supplier,SKU_E,0,0,0,0
7,W1,SKU_A,2014,0,0,553
7,W1,SKU_B,1173,0,0,231
7,W1,SKU_C,1010,0,0,339
7,W1,SKU_D,564,0,0,207
7,W1,SKU_E,97,0,0,191
7,W2,SKU_A,1858,0,0,986
7,W2,SKU_B,917,0,0,773
7,W2,SKU_C,1362,0,0,875
7,W2,SKU_D,0,0,268,328
7,W2,SKU_E,27,0,0,725
7,R1,SKU_A,913,0,0,435
7,R1,SKU_B,412,0,0,198
7,R1,SKU_C,417,0,0,426
7,R1,SKU_D,226,0,0,221
7,R1,SKU_E,108,0,0,273
7,R2,SKU_A,123,0,0,418
7,R2,SKU_B,244,0,0,256
7,R2,SKU_C,120,0,0,371
7,R2,SKU_D,391,0,0,233
7,R2,SKU_E,408,0,0,280
7,R3,SKU_A,179,0,0,1194
7,R3,SKU_B,645,0,0,325
7,R3,SKU_C,423,0,0,691
7,R3,SKU_D,926,0,0,208
7,R3,SKU_E,405,0,0,441
8,Supplier,SKU_A,0,0,0,0
8,Supplier,SKU_B,0,0,0,0
8,Supplier,SKU_C,0,0,0,0
8,Supplier,SKU_D,0,0,0,0
8,Supplier,SKU_E,0,0,0,0
8,W1,SKU_A,1753,0,0,1262
8,W1,SKU_B,1029,0,0,636
8,W1,SKU_C,807,0,0,892
8,W1,SKU_D,460,0,0,505
8,W1,SKU_E,0,0,18,507
