t_ship,parent,child,sku,lead_time,qty
1,Supplier,W2,SKU_A,6,1678
1,Supplier,W2,SKU_B,6,1242
1,Supplier,W2,SKU_C,6,1597
1,Supplier,W2,SKU_E,6,372
1,W1,R1,SKU_A,2,1031
1,W1,R1,SKU_B,2,436
1,W1,R1,SKU_C,2,650
1,W1,R1,SKU_D,2,281
1,W1,R1,SKU_E,2,277
1,W1,R2,SKU_A,3,296
1,W1,R2,SKU_B,3,324
1,W1,R2,SKU_C,3,348
1,W1,R2,SKU_D,3,493
1,W1,R2,SKU_E,3,472
1,W2,R3,SKU_A,4,475
1,W2,R3,SKU_B,4,639
1,W2,R3,SKU_C,4,611
1,W2,R3,SKU_D,4,838
1,W2,R3,SKU_E,4,552
2,Supplier,W1,SKU_A,5,2867
2,Supplier,W1,SKU_B,5,1627
2,Supplier,W1,SKU_C,5,1807
2,Supplier,W1,SKU_D,5,1018
2,Supplier,W1,SKU_E,5,650
2,Supplier,W2,SKU_A,6,475
2,Supplier,W2,SKU_B,6,652
2,Supplier,W2,SKU_C,6,611
2,Supplier,W2,SKU_D,6,135
2,Supplier,W2,SKU_E,6,552
4,W1,R1,SKU_A,2,214
4,W1,R1,SKU_B,2,82
4,W1,R1,SKU_C,2,66
4,W1,R1,SKU_D,2,30
4,W1,R2,SKU_A,3,195
4,W1,R2,SKU_B,3,100
4,W1,R2,SKU_C,3,29
4,W1,R2,SKU_D,3,21
4,W2,R3,SKU_A,4,511
4,W2,R3,SKU_C,4,264
4,W2,R3,SKU_D,4,193
4,W2,R3,SKU_E,4,96
5,Supplier,W1,SKU_A,5,553
5,Supplier,W1,SKU_B,5,231
5,Supplier,W1,SKU_C,5,339
5,Supplier,W1,SKU_D,5,207
5,Supplier,W1,SKU_E,5,191
5,Supplier,W2,SKU_A,6,511
5,Supplier,W2,SKU_B,6,121
5,Supplier,W2,SKU_C,6,264
5,Supplier,W2,SKU_D,6,193
5,Supplier,W2,SKU_E,6,173
7,W1,R1,SKU_A,2,435
7,W1,R1,SKU_B,2,198
7,W1,R1,SKU_C,2,426
7,W1,R1,SKU_D,2,221
7,W1,R1,SKU_E,2,273
7,W1,R2,SKU_A,3,418
7,W1,R2,SKU_B,3,256
7,W1,R2,SKU_C,3,371
7,W1,R2,SKU_D,3,233
7,W1,R2,SKU_E,3,280
7,W2,R3,SKU_A,4,683
7,W2,R3,SKU_C,4,427
7,W2,R3,SKU_D,4,15
7,W2,R3,SKU_B,4,325
7,W2,R3,SKU_E,4,345
8,Supplier,W1,SKU_A,5,709
8,Supplier,W1,SKU_B,5,405
8,Supplier,W1,SKU_C,5,553
8,Supplier,W1,SKU_D,5,298
8,Supplier,W1,SKU_E,5,316
8,Supplier,W2,SKU_A,6,683
8,Supplier,W2,SKU_B,6,191
8,Supplier,W2,SKU_C,6,427
8,Supplier,W2,SKU_D,6,283
8,Supplier,W2,SKU_E,6,268
10,Supplier,W2,SKU_A,6,419
10,Supplier,W2,SKU_B,6,161
10,Supplier,W2,SKU_C,6,252
10,Supplier,W2,SKU_D,6,182
10,Supplier,W2,SKU_E,6,169
10,W1,R1,SKU_A,2,329
10,W1,R1,SKU_B,2,160
10,W1,R1,SKU_C,2,231
10,W1,R1,SKU_D,2,132
10,W1,R1,SKU_E,2,141
10,W1,R2,SKU_A,3,335
10,W1,R2,SKU_B,3,158
10,W1,R2,SKU_C,3,188
10,W1,R2,SKU_D,3,123
10,W1,R2,SKU_E,3,141
10,W2,R3,SKU_A,4,548
10,W2,R3,SKU_B,4,225
10,W2,R3,SKU_C,4,340
10,W2,R3,SKU_D,4,135
10,W2,R3,SKU_E,4,237
11,Supplier,W1,SKU_A,5,664
11,Supplier,W1,SKU_B,5,318
11,Supplier,W1,SKU_C,5,419
11,Supplier,W1,SKU_D,5,255
11,Supplier,W1,SKU_E,5,282
13,Supplier,W2,SKU_A,6,513
13,Supplier,W2,SKU_B,6,203
13,Supplier,W2,SKU_C,6,289
13,Supplier,W2,SKU_D,6,231
13,Supplier,W2,SKU_E,6,237
13,W1,R1,SKU_A,2,347
13,W1,R1,SKU_B,2,145
13,W1,R1,SKU_C,2,216
13,W1,R1,SKU_D,2,121
13,W1,R1,SKU_E,2,133
13,W1,R2,SKU_A,3,306
13,W1,R2,SKU_B,3,162
13,W1,R2,SKU_C,3,141
13,W1,R2,SKU_D,3,108
13,W1,R2,SKU_E,3,144
13,W2,R3,SKU_A,4,602
13,W2,R3,SKU_B,4,212
13,W2,R3,SKU_C,4,360
13,W2,R3,SKU_D,4,193
13,W2,R3,SKU_E,4,261
14,Supplier,W1,SKU_A,5,653
14,Supplier,W1,SKU_B,5,307
14,Supplier,W1,SKU_C,5,357
14,Supplier,W1,SKU_D,5,229
14,Supplier,W1,SKU_E,5,277
15,Supplier,W2,SKU_A,6,505
15,Supplier,W2,SKU_B,6,189
15,Supplier,W2,SKU_C,6,373
15,Supplier,W2,SKU_D,6,232
15,Supplier,W2,SKU_E,6,219
15,W2,R3,SKU_A,4,601
15,W2,R3,SKU_B,4,175
15,W2,R3,SKU_C,4,341
15,W2,R3,SKU_D,4,283
15,W2,R3,SKU_E,4,203
16,W1,R1,SKU_A,2,445
16,W1,R1,SKU_B,2,194
16,W1,R1,SKU_C,2,272
16,W1,R1,SKU_D,2,189
16,W1,R1,SKU_E,2,197
16,W1,R2,SKU_A,3,357
16,W1,R2,SKU_B,3,154
16,W1,R2,SKU_C,3,168
16,W1,R2,SKU_D,3,141
16,W1,R2,SKU_E,3,130
17,Supplier,W1,SKU_A,5,802
17,Supplier,W1,SKU_B,5,348
17,Supplier,W1,SKU_C,5,440
17,Supplier,W1,SKU_D,5,330
17,Supplier,W1,SKU_E,5,351
18,Supplier,W2,SKU_A,6,691
18,Supplier,W2,SKU_B,6,171
18,Supplier,W2,SKU_C,6,314
18,Supplier,W2,SKU_D,6,264
18,Supplier,W2,SKU_E,6,203
18,W2,R3,SKU_A,4,532
18,W2,R3,SKU_B,4,168
18,W2,R3,SKU_C,4,262
18,W2,R3,SKU_D,4,182
18,W2,R3,SKU_E,4,197
19,W1,R1,SKU_A,2,344
19,W1,R1,SKU_B,2,94
19,W1,R1,SKU_C,2,182
19,W1,R1,SKU_D,2,91
19,W1,R1,SKU_E,2,111
19,W1,R2,SKU_A,3,278
19,W1,R2,SKU_B,3,136
19,W1,R2,SKU_C,3,107
19,W1,R2,SKU_D,3,115
19,W1,R2,SKU_E,3,134
20,Supplier,W1,SKU_A,5,622
20,Supplier,W1,SKU_B,5,230
20,Supplier,W1,SKU_C,5,289
20,Supplier,W1,SKU_D,5,206
20,Supplier,W1,SKU_E,5,221
21,Supplier,W2,SKU_A,6,544
