node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,51260,0.9973926917539012
R1,SKU_B,23800,23710,0.996218487394958
R1,SKU_C,37760,37246,0.9863877118644068
R1,SKU_D,22301,22147,0.9930944800681584
R1,SKU_E,15853,15843,0.9993692045669589
R2,SKU_A,34230,34230,1.0
R2,SKU_B,19561,17813,0.9106385154133224
R2,SKU_C,18587,11088,0.5965459729918761
R2,SKU_D,16542,14781,0.8935437069278201
R2,SKU_E,16529,16529,1.0
R3,SKU_A,66596,66596,1.0
R3,SKU_B,21533,20760,0.9641016114800539
R3,SKU_C,41348,41278,0.9983070523362678
R3,SKU_D,33476,29929,0.8940434938463376
R3,SKU_E,28210,28210,1.0
