t,node_id,sku,orders_to_parent
0,Supplier,SKU_A,0
0,Supplier,SKU_B,0
0,Supplier,SKU_C,0
0,Supplier,SKU_D,0
0,Supplier,SKU_E,0
0,W1,SKU_A,2248
0,W1,SKU_B,376
0,W1,SKU_C,513
0,W1,SKU_D,485
0,W1,SKU_E,473
0,W2,SKU_A,1407
0,W2,SKU_B,269
0,W2,SKU_C,1151
0,W2,SKU_D,0
0,W2,SKU_E,313
0,R1,SKU_A,426
0,R1,SKU_B,351
0,R1,SKU_C,412
0,R1,SKU_D,584
0,R1,SKU_E,129
0,R2,SKU_A,502
0,R2,SKU_B,92
0,R2,SKU_C,0
0,R2,SKU_D,160
0,R2,SKU_E,321
0,R3,SKU_A,1260
0,R3,SKU_B,79
0,R3,SKU_C,584
0,R3,SKU_D,2
0,R3,SKU_E,658
1,Supplier,SKU_A,0
1,Supplier,SKU_B,0
1,Supplier,SKU_C,0
1,Supplier,SKU_D,0
1,Supplier,SKU_E,0
1,W1,SKU_A,206
1,W1,SKU_B,79
1,W1,SKU_C,123
1,W1,SKU_D,70
1,W1,SKU_E,65
1,W2,SKU_A,169
1,W2,SKU_B,39
1,W2,SKU_C,108
1,W2,SKU_D,0
1,W2,SKU_E,68
1,R1,SKU_A,94
1,R1,SKU_B,28
1,R1,SKU_C,66
1,R1,SKU_D,30
1,R1,SKU_E,27
1,R2,SKU_A,112
1,R2,SKU_B,51
1,R2,SKU_C,31
1,R2,SKU_D,40
1,R2,SKU_E,38
1,R3,SKU_A,169
1,R3,SKU_B,39
1,R3,SKU_C,108
1,R3,SKU_D,73
1,R3,SKU_E,68
2,Supplier,SKU_A,0
2,Supplier,SKU_B,0
2,Supplier,SKU_C,0
2,Supplier,SKU_D,0
2,Supplier,SKU_E,0
2,W1,SKU_A,375
2,W1,SKU_B,147
2,W1,SKU_C,233
2,W1,SKU_D,133
2,W1,SKU_E,135
2,W2,SKU_A,365
2,W2,SKU_B,77
2,W2,SKU_C,174
2,W2,SKU_D,0
2,W2,SKU_E,202
2,R1,SKU_A,180
2,R1,SKU_B,53
2,R1,SKU_C,124
2,R1,SKU_D,62
2,R1,SKU_E,69
2,R2,SKU_A,195
2,R2,SKU_B,94
2,R2,SKU_C,83
2,R2,SKU_D,71
2,R2,SKU_E,66
2,R3,SKU_A,365
2,R3,SKU_B,77
2,R3,SKU_C,174
2,R3,SKU_D,131
2,R3,SKU_E,134
3,Supplier,SKU_A,0
3,Supplier,SKU_B,0
3,Supplier,SKU_C,0
3,Supplier,SKU_D,0
3,Supplier,SKU_E,0
3,W1,SKU_A,553
3,W1,SKU_B,231
3,W1,SKU_C,339
3,W1,SKU_D,329
3,W1,SKU_E,191
3,W2,SKU_A,511
3,W2,SKU_B,121
3,W2,SKU_C,264
3,W2,SKU_D,0
3,W2,SKU_E,385
3,R1,SKU_A,268
3,R1,SKU_B,82
3,R1,SKU_C,188
3,R1,SKU_D,99
3,R1,SKU_E,103
3,R2,SKU_A,0
3,R2,SKU_B,4
3,R2,SKU_C,11
3,R2,SKU_D,68
3,R2,SKU_E,0
3,R3,SKU_A,511
3,R3,SKU_B,121
3,R3,SKU_C,264
3,R3,SKU_D,193
3,R3,SKU_E,183
4,Supplier,SKU_A,0
4,Supplier,SKU_B,0
4,Supplier,SKU_C,0
4,Supplier,SKU_D,0
4,Supplier,SKU_E,0
4,W1,SKU_A,0
4,W1,SKU_B,0
4,W1,SKU_C,0
4,W1,SKU_D,48
4,W1,SKU_E,0
4,W2,SKU_A,103
4,W2,SKU_B,0
4,W2,SKU_C,0
4,W2,SKU_D,0
4,W2,SKU_E,0
4,R1,SKU_A,0
4,R1,SKU_B,0
4,R1,SKU_C,0
4,R1,SKU_D,99
4,R1,SKU_E,0
4,R2,SKU_A,79
4,R2,SKU_B,67
4,R2,SKU_C,67
4,R2,SKU_D,111
4,R2,SKU_E,8
4,R3,SKU_A,103
4,R3,SKU_B,0
4,R3,SKU_C,0
4,R3,SKU_D,0
4,R3,SKU_E,247
5,Supplier,SKU_A,0
5,Supplier,SKU_B,0
5,Supplier,SKU_C,0
5,Supplier,SKU_D,0
5,Supplier,SKU_E,0
5,W1,SKU_A,0
5,W1,SKU_B,25
5,W1,SKU_C,0
5,W1,SKU_D,360
5,W1,SKU_E,0
5,W2,SKU_A,452
5,W2,SKU_B,16
5,W2,SKU_C,59
5,W2,SKU_D,0
5,W2,SKU_E,301
5,R1,SKU_A,0
5,R1,SKU_B,37
5,R1,SKU_C,0
5,R1,SKU_D,146
5,R1,SKU_E,11
5,R2,SKU_A,187
5,R2,SKU_B,137
5,R2,SKU_C,156
5,R2,SKU_D,166
5,R2,SKU_E,63
5,R3,SKU_A,349
5,R3,SKU_B,16
5,R3,SKU_C,59
5,R3,SKU_D,0
5,R3,SKU_E,324
6,Supplier,SKU_A,0
6,Supplier,SKU_B,0
6,Supplier,SKU_C,0
6,Supplier,SKU_D,0
6,Supplier,SKU_E,0
6,W1,SKU_A,128
6,W1,SKU_B,179
6,W1,SKU_C,135
6,W1,SKU_D,299
6,W1,SKU_E,116
6,W2,SKU_A,1057
6,W2,SKU_B,75
6,W2,SKU_C,267
6,W2,SKU_D,0
6,W2,SKU_E,752
6,R1,SKU_A,148
6,R1,SKU_B,117
6,R1,SKU_C,114
6,R1,SKU_D,210
6,R1,SKU_E,78
6,R2,SKU_A,40
6,R2,SKU_B,3
6,R2,SKU_C,26
6,R2,SKU_D,124
6,R2,SKU_E,59
6,R3,SKU_A,605
6,R3,SKU_B,75
6,R3,SKU_C,208
6,R3,SKU_D,79
6,R3,SKU_E,451
7,Supplier,SKU_A,0
7,Supplier,SKU_B,0
7,Supplier,SKU_C,0
7,Supplier,SKU_D,0
7,Supplier,SKU_E,0
7,W1,SKU_A,261
7,W1,SKU_B,119
7,W1,SKU_C,122
7,W1,SKU_D,30
7,W1,SKU_E,115
7,W2,SKU_A,0
7,W2,SKU_B,80
7,W2,SKU_C,0
7,W2,SKU_D,103
7,W2,SKU_E,0
7,R1,SKU_A,284
7,R1,SKU_B,195
7,R1,SKU_C,236
7,R1,SKU_D,273
7,R1,SKU_E,138
7,R2,SKU_A,165
7,R2,SKU_B,69
7,R2,SKU_C,107
7,R2,SKU_D,165
7,R2,SKU_E,114
7,R3,SKU_A,845
7,R3,SKU_B,171
7,R3,SKU_C,350
7,R3,SKU_D,184
7,R3,SKU_E,548
8,Supplier,SKU_A,0
8,Supplier,SKU_B,0
8,Supplier,SKU_C,0
8,Supplier,SKU_D,0
8,Supplier,SKU_E,0
8,W1,SKU_A,464
8,W1,SKU_B,289
8,W1,SKU_C,198
8,W1,SKU_D,532
8,W1,SKU_E,205
8,W2,SKU_A,0
8,W2,SKU_B,145
8,W2,SKU_C,71
8,W2,SKU_D,180
8,W2,SKU_E,554
8,R1,SKU_A,0
8,R1,SKU_B,0
8,R1,SKU_C,0
8,R1,SKU_D,0
8,R1,SKU_E,0
8,R2,SKU_A,65
8,R2,SKU_B,115
8,R2,SKU_C,40
8,R2,SKU_D,194
8,R2,SKU_E,0
8,R3,SKU_A,0
8,R3,SKU_B,0
8,R3,SKU_C,0
8,R3,SKU_D,0
8,R3,SKU_E,307
9,Supplier,SKU_A,0
9,Supplier,SKU_B,0
9,Supplier,SKU_C,0
9,Supplier,SKU_D,0
9,Supplier,SKU_E,0
9,W1,SKU_A,0
9,W1,SKU_B,0
9,W1,SKU_C,145
9,W1,SKU_D,0
9,W1,SKU_E,0
9,W2,SKU_A,36
9,W2,SKU_B,0
9,W2,SKU_C,88
9,W2,SKU_D,0
9,W2,SKU_E,375
9,R1,SKU_A,4
9,R1,SKU_B,0
9,R1,SKU_C,0
9,R1,SKU_D,0
9,R1,SKU_E,0
9,R2,SKU_A,105
9,R2,SKU_B,0
9,R2,SKU_C,41
9,R2,SKU_D,198
9,R2,SKU_E,27
9,R3,SKU_A,0
9,R3,SKU_B,38
9,R3,SKU_C,0
9,R3,SKU_D,69
9,R3,SKU_E,375
10,Supplier,SKU_A,0
10,Supplier,SKU_B,0
10,Supplier,SKU_C,0
10,Supplier,SKU_D,0
10,Supplier,SKU_E,0
10,W1,SKU_A,152
10,W1,SKU_B,0
10,W1,SKU_C,226
10,W1,SKU_D,0
10,W1,SKU_E,34
10,W2,SKU_A,0
10,W2,SKU_B,41
10,W2,SKU_C,176
10,W2,SKU_D,42
10,W2,SKU_E,165
10,R1,SKU_A,115
10,R1,SKU_B,0
10,R1,SKU_C,76
10,R1,SKU_D,0
10,R1,SKU_E,19
10,R2,SKU_A,207
10,R2,SKU_B,20
10,R2,SKU_C,91
10,R2,SKU_D,228
10,R2,SKU_E,68
10,R3,SKU_A,0
10,R3,SKU_B,95
10,R3,SKU_C,0
10,R3,SKU_D,143
10,R3,SKU_E,445
11,Supplier,SKU_A,0
11,Supplier,SKU_B,0
11,Supplier,SKU_C,0
11,Supplier,SKU_D,0
11,Supplier,SKU_E,0
11,W1,SKU_A,345
11,W1,SKU_B,40
11,W1,SKU_C,395
11,W1,SKU_D,287
11,W1,SKU_E,131
11,W2,SKU_A,0
11,W2,SKU_B,123
11,W2,SKU_C,289
11,W2,SKU_D,128
11,W2,SKU_E,709
11,R1,SKU_A,92
11,R1,SKU_B,3
11,R1,SKU_C,64
11,R1,SKU_D,0
11,R1,SKU_E,50
11,R2,SKU_A,0
11,R2,SKU_B,34
11,R2,SKU_C,0
11,R2,SKU_D,257
11,R2,SKU_E,20
11,R3,SKU_A,0
11,R3,SKU_B,44
11,R3,SKU_C,69
11,R3,SKU_D,17
11,R3,SKU_E,0
12,Supplier,SKU_A,0
12,Supplier,SKU_B,0
12,Supplier,SKU_C,0
12,Supplier,SKU_D,0
12,Supplier,SKU_E,0
12,W1,SKU_A,95
12,W1,SKU_B,152
12,W1,SKU_C,0
12,W1,SKU_D,0
12,W1,SKU_E,74
12,W2,SKU_A,0
12,W2,SKU_B,32
12,W2,SKU_C,0
12,W2,SKU_D,52
12,W2,SKU_E,0
12,R1,SKU_A,232
12,R1,SKU_B,73
12,R1,SKU_C,135
12,R1,SKU_D,0
12,R1,SKU_E,102
12,R2,SKU_A,99
12,R2,SKU_B,82
12,R2,SKU_C,50
12,R2,SKU_D,0
12,R2,SKU_E,56
12,R3,SKU_A,0
12,R3,SKU_B,117
12,R3,SKU_C,228
12,R3,SKU_D,111
12,R3,SKU_E,0
13,Supplier,SKU_A,0
13,Supplier,SKU_B,0
13,Supplier,SKU_C,0
13,Supplier,SKU_D,0
13,Supplier,SKU_E,0
13,W1,SKU_A,383
13,W1,SKU_B,303
13,W1,SKU_C,0
13,W1,SKU_D,0
13,W1,SKU_E,201
13,W2,SKU_A,0
13,W2,SKU_B,148
13,W2,SKU_C,109
13,W2,SKU_D,190
13,W2,SKU_E,0
13,R1,SKU_A,387
13,R1,SKU_B,162
13,R1,SKU_C,237
13,R1,SKU_D,0
13,R1,SKU_E,172
13,R2,SKU_A,232
13,R2,SKU_B,144
13,R2,SKU_C,120
13,R2,SKU_D,0
13,R2,SKU_E,113
13,R3,SKU_A,0
13,R3,SKU_B,72
13,R3,SKU_C,145
13,R3,SKU_D,121
13,R3,SKU_E,0
14,Supplier,SKU_A,0
14,Supplier,SKU_B,0
14,Supplier,SKU_C,0
14,Supplier,SKU_D,0
14,Supplier,SKU_E,0
14,W1,SKU_A,661
14,W1,SKU_B,423
14,W1,SKU_C,69
14,W1,SKU_D,0
14,W1,SKU_E,332
14,W2,SKU_A,252
14,W2,SKU_B,207
14,W2,SKU_C,236
14,W2,SKU_D,360
14,W2,SKU_E,0
14,R1,SKU_A,0
14,R1,SKU_B,0
14,R1,SKU_C,0
14,R1,SKU_D,0
14,R1,SKU_E,0
14,R2,SKU_A,30
14,R2,SKU_B,0
14,R2,SKU_C,1
14,R2,SKU_D,0
14,R2,SKU_E,0
14,R3,SKU_A,0
14,R3,SKU_B,131
14,R3,SKU_C,272
14,R3,SKU_D,214
14,R3,SKU_E,0
15,Supplier,SKU_A,0
15,Supplier,SKU_B,0
15,Supplier,SKU_C,0
15,Supplier,SKU_D,0
15,Supplier,SKU_E,0
15,W1,SKU_A,0
15,W1,SKU_B,0
15,W1,SKU_C,103
15,W1,SKU_D,0
15,W1,SKU_E,0
15,W2,SKU_A,204
15,W2,SKU_B,0
15,W2,SKU_C,0
15,W2,SKU_D,0
15,W2,SKU_E,0
15,R1,SKU_A,0
15,R1,SKU_B,29
15,R1,SKU_C,0
15,R1,SKU_D,0
15,R1,SKU_E,0
15,R2,SKU_A,125
15,R2,SKU_B,10
15,R2,SKU_C,48
15,R2,SKU_D,0
15,R2,SKU_E,41
15,R3,SKU_A,202
15,R3,SKU_B,0
15,R3,SKU_C,0
15,R3,SKU_D,0
15,R3,SKU_E,0
16,Supplier,SKU_A,0
16,Supplier,SKU_B,0
16,Supplier,SKU_C,0
16,Supplier,SKU_D,0
16,Supplier,SKU_E,0
16,W1,SKU_A,0
16,W1,SKU_B,0
16,W1,SKU_C,156
16,W1,SKU_D,0
16,W1,SKU_E,0
16,W2,SKU_A,377
16,W2,SKU_B,0
16,W2,SKU_C,78
16,W2,SKU_D,0
16,W2,SKU_E,0
16,R1,SKU_A,87
16,R1,SKU_B,56
16,R1,SKU_C,24
16,R1,SKU_D,0
16,R1,SKU_E,12
16,R2,SKU_A,213
16,R2,SKU_B,56
16,R2,SKU_C,90
16,R2,SKU_D,0
16,R2,SKU_E,79
16,R3,SKU_A,375
16,R3,SKU_B,40
16,R3,SKU_C,42
16,R3,SKU_D,58
16,R3,SKU_E,0
17,Supplier,SKU_A,0
17,Supplier,SKU_B,0
17,Supplier,SKU_C,0
17,Supplier,SKU_D,0
17,Supplier,SKU_E,0
17,W1,SKU_A,193
17,W1,SKU_B,0
17,W1,SKU_C,317
17,W1,SKU_D,0
17,W1,SKU_E,0
17,W2,SKU_A,532
17,W2,SKU_B,0
17,W2,SKU_C,153
17,W2,SKU_D,0
17,W2,SKU_E,0
17,R1,SKU_A,223
17,R1,SKU_B,83
17,R1,SKU_C,90
17,R1,SKU_D,0
17,R1,SKU_E,47
17,R2,SKU_A,0
17,R2,SKU_B,44
17,R2,SKU_C,0
17,R2,SKU_D,0
17,R2,SKU_E,0
17,R3,SKU_A,530
17,R3,SKU_B,96
17,R3,SKU_C,117
17,R3,SKU_D,134
17,R3,SKU_E,0
18,Supplier,SKU_A,0
18,Supplier,SKU_B,0
18,Supplier,SKU_C,0
18,Supplier,SKU_D,0
18,Supplier,SKU_E,0
18,W1,SKU_A,187
18,W1,SKU_B,0
18,W1,SKU_C,0
18,W1,SKU_D,0
18,W1,SKU_E,39
18,W2,SKU_A,0
18,W2,SKU_B,44
18,W2,SKU_C,53
18,W2,SKU_D,42
18,W2,SKU_E,0
18,R1,SKU_A,0
18,R1,SKU_B,0
18,R1,SKU_C,39
18,R1,SKU_D,0
18,R1,SKU_E,27
18,R2,SKU_A,35
18,R2,SKU_B,80
18,R2,SKU_C,16
18,R2,SKU_D,0
18,R2,SKU_E,31
18,R3,SKU_A,0
18,R3,SKU_B,16
18,R3,SKU_C,89
18,R3,SKU_D,48
18,R3,SKU_E,0
19,Supplier,SKU_A,0
19,Supplier,SKU_B,0
19,Supplier,SKU_C,0
19,Supplier,SKU_D,0
19,Supplier,SKU_E,0
19,W1,SKU_A,448
19,W1,SKU_B,0
19,W1,SKU_C,0
19,W1,SKU_D,0
19,W1,SKU_E,145
19,W2,SKU_A,0
19,W2,SKU_B,105
19,W2,SKU_C,148
19,W2,SKU_D,183
19,W2,SKU_E,0
19,R1,SKU_A,137
19,R1,SKU_B,1
19,R1,SKU_C,121
19,R1,SKU_D,0
19,R1,SKU_E,89
19,R2,SKU_A,159
19,R2,SKU_B,146
19,R2,SKU_C,57
19,R2,SKU_D,0
19,R2,SKU_E,75
19,R3,SKU_A,0
19,R3,SKU_B,77
19,R3,SKU_C,184
19,R3,SKU_D,141
19,R3,SKU_E,0
20,Supplier,SKU_A,0
20,Supplier,SKU_B,0
20,Supplier,SKU_C,0
20,Supplier,SKU_D,0
20,Supplier,SKU_E,0
20,W1,SKU_A,747
20,W1,SKU_B,130
20,W1,SKU_C,106
20,W1,SKU_D,0
20,W1,SKU_E,273
20,W2,SKU_A,68
20,W2,SKU_B,215
20,W2,SKU_C,333
20,W2,SKU_D,449
20,W2,SKU_E,0
20,R1,SKU_A,303
20,R1,SKU_B,92
20,R1,SKU_C,223
20,R1,SKU_D,0
20,R1,SKU_E,161
20,R2,SKU_A,98
20,R2,SKU_B,0
20,R2,SKU_C,29
20,R2,SKU_D,0
20,R2,SKU_E,25
20,R3,SKU_A,72
20,R3,SKU_B,187
20,R3,SKU_C,369
20,R3,SKU_D,266
20,R3,SKU_E,0
21,Supplier,SKU_A,0
21,Supplier,SKU_B,0
21,Supplier,SKU_C,0
21,Supplier,SKU_D,0
21,Supplier,SKU_E,0
21,W1,SKU_A,0
21,W1,SKU_B,154
21,W1,SKU_C,166
21,W1,SKU_D,0
21,W1,SKU_E,0
21,W2,SKU_A,219
21,W2,SKU_B,0
21,W2,SKU_C,0
21,W2,SKU_D,0
21,W2,SKU_E,0
21,R1,SKU_A,12
21,R1,SKU_B,80
21,R1,SKU_C,0
21,R1,SKU_D,59
21,R1,SKU_E,0
21,R2,SKU_A,220
21,R2,SKU_B,24
21,R2,SKU_C,94
21,R2,SKU_D,0
21,R2,SKU_E,67
21,R3,SKU_A,219
21,R3,SKU_B,0
21,R3,SKU_C,0
21,R3,SKU_D,0
21,R3,SKU_E,0
22,Supplier,SKU_A,0
22,Supplier,SKU_B,0
22,Supplier,SKU_C,0
22,Supplier,SKU_D,0
22,Supplier,SKU_E,0
22,W1,SKU_A,0
22,W1,SKU_B,240
22,W1,SKU_C,253
22,W1,SKU_D,0
22,W1,SKU_E,19
22,W2,SKU_A,376
22,W2,SKU_B,9
22,W2,SKU_C,53
22,W2,SKU_D,0
22,W2,SKU_E,0
22,R1,SKU_A,134
22,R1,SKU_B,126
22,R1,SKU_C,0
22,R1,SKU_D,101
22,R1,SKU_E,0
22,R2,SKU_A,5
22,R2,SKU_B,53
22,R2,SKU_C,3
22,R2,SKU_D,0
22,R2,SKU_E,29
22,R3,SKU_A,376
22,R3,SKU_B,65
22,R3,SKU_C,0
22,R3,SKU_D,0
22,R3,SKU_E,0
23,Supplier,SKU_A,0
23,Supplier,SKU_B,0
23,Supplier,SKU_C,0
23,Supplier,SKU_D,0
23,Supplier,SKU_E,0
23,W1,SKU_A,51
23,W1,SKU_B,324
23,W1,SKU_C,356
23,W1,SKU_D,0
23,W1,SKU_E,84
23,W2,SKU_A,544
23,W2,SKU_B,73
23,W2,SKU_C,148
23,W2,SKU_D,0
23,W2,SKU_E,0
23,R1,SKU_A,239
23,R1,SKU_B,154
23,R1,SKU_C,60
23,R1,SKU_D,131
23,R1,SKU_E,29
23,R2,SKU_A,90
23,R2,SKU_B,96
23,R2,SKU_C,42
23,R2,SKU_D,0
23,R2,SKU_E,56
23,R3,SKU_A,544
23,R3,SKU_B,129
