node_id,sku,cv2_in,cv2_out,bullwhip_ratio
R1,SKU_A,0.066205,0.066205,1.0
R1,SKU_B,0.132948,8.488433,63.8477
R1,SKU_C,0.14054,4.29413,30.5545
R1,SKU_D,0.077954,2.126995,27.2851
R1,SKU_E,0.08107,11.18231,137.9343
R2,SKU_A,0.04691,11.142861,237.5355
R2,SKU_B,0.106405,9.370305,88.0625
R2,SKU_C,0.135223,6.368415,47.0956
R2,SKU_D,0.062566,2.090549,33.4137
R2,SKU_E,0.057893,6.133396,105.9442
R3,SKU_A,0.063665,9.067416,142.4237
R3,SKU_B,0.092004,7.316437,79.5233
R3,SKU_C,0.146445,10.423839,71.1792
R3,SKU_D,0.068073,5.098196,74.893
R3,SKU_E,0.050516,3.085396,61.0771
Supplier,SKU_A,4.307401,,
Supplier,SKU_B,6.883678,,
Supplier,SKU_C,9.458843,,
Supplier,SKU_D,1.950056,,
Supplier,SKU_E,3.267135,,
W1,SKU_A,1.822845,8.776107,4.8145
W1,SKU_B,4.518496,13.094221,2.8979
W1,SKU_C,2.683001,13.703916,5.1077
W1,SKU_D,2.087409,2.088561,1.0006
W1,SKU_E,4.284767,9.125739,2.1298
W2,SKU_A,9.067416,9.067416,1.0
W2,SKU_B,7.316437,9.073879,1.2402
W2,SKU_C,10.423839,10.423839,1.0
W2,SKU_D,5.098196,6.868587,1.3473
W2,SKU_E,3.085396,3.085405,1.0
